Date,Open,High,Low,Close,Volume,Adj Close
2014-04-07,34.509998,35.369999,33.689999,33.990002,13775500,32.909457
2014-04-08,33.900002,34.279999,32.41,33.509998,16158400,32.444713
2014-04-09,33.73,34.82,33.43,34.73,9554000,33.62593
2014-04-10,35.099998,35.139999,33.0,33.009998,14715400,31.960608
2014-04-11,32.880001,33.849998,32.27,32.52,12681600,31.486187
2014-04-14,32.860001,33.0,31.129999,31.73,15615700,30.7213
2014-04-15,31.799999,32.43,30.540001,31.91,19269200,30.895578
2014-04-16,32.220001,33.73,32.169998,33.619999,14163400,32.551217
2014-04-17,33.610001,33.880001,32.880001,33.759998,13151800,32.686765
2014-04-21,33.580002,34.080002,33.25,33.939999,8893100,32.861043
2014-04-22,34.18,35.25,34.169998,34.950001,14105200,33.838938
2014-04-23,36.869999,37.41,36.0,37.09,22024400,35.910906
2014-04-24,37.150002,37.470001,36.330002,36.73,16534100,35.56235
2014-04-25,36.5,36.610001,35.779999,36.07,10323800,34.923332
2014-04-28,36.200001,36.669998,35.130001,35.84,12646300,34.700644
2014-04-29,36.02,36.75,35.869999,36.740002,10035400,35.572034
2014-04-30,36.810001,37.18,36.299999,36.830002,11962800,35.659173
2014-05-01,37.0,37.529999,36.970001,37.119999,11867300,35.939951
2014-05-02,37.110001,37.470001,36.560001,37.23,9365600,36.046455
2014-05-05,37.009998,37.700001,36.630001,37.549999,8766600,36.356282
2014-05-06,38.450001,38.82,37.459999,37.689999,13277500,36.491831
2014-05-07,37.810001,38.259998,37.310001,38.240002,10513500,37.083382
2014-05-08,38.07,38.580002,37.5,37.700001,11164100,36.559715
2014-05-09,37.82,37.82,36.950001,37.669998,9852300,36.530619
2014-05-12,37.77,38.689999,37.740002,38.650002,8269600,37.480981
2014-05-13,38.52,39.110001,38.369999,38.779999,6636500,37.607047
2014-05-14,38.639999,38.860001,38.189999,38.439999,8417700,37.27733
2014-05-15,38.080002,38.360001,37.330002,38.130001,11211400,36.976709
2014-05-16,38.040001,38.189999,37.41,37.860001,9214000,36.714875
2014-05-19,37.68,38.720001,37.599998,38.389999,6850400,37.228843
2014-05-20,38.400002,38.450001,37.470001,37.830002,9062800,36.685784
2014-05-21,38.009998,38.470001,37.970001,38.34,6500300,37.180356
2014-05-22,38.369999,38.849998,38.290001,38.630001,6668400,37.461586
2014-05-23,38.77,39.549999,38.650002,39.16,7091300,37.975554
2014-05-27,39.560001,39.599998,39.32,39.459999,7278500,38.266479
2014-05-28,39.52,40.689999,39.490002,40.27,9579300,39.051981
2014-05-29,40.32,40.650002,39.639999,40.139999,9408900,38.925912
2014-05-30,40.139999,40.540001,39.669998,39.91,7947700,38.702869
2014-06-02,40.139999,40.950001,39.759998,40.77,10306700,39.536858
2014-06-03,40.84,41.389999,40.669998,41.150002,11273200,39.905366
2014-06-04,41.290001,42.349998,40.77,42.169998,13825900,40.894511
2014-06-05,42.470001,42.66,41.48,41.5,15651100,40.244778
2014-06-06,41.77,42.27,41.73,42.23,8466700,40.952698
2014-06-09,42.349998,42.470001,41.580002,41.869999,9511500,40.603586
2014-06-10,41.860001,42.02,41.259998,41.919998,7033800,40.652073
2014-06-11,41.0,41.080002,39.880001,40.709999,23352200,39.478672
2014-06-12,39.82,39.849998,38.099998,38.5,36333100,37.335517
2014-06-13,38.509998,39.630001,38.48,39.240002,19864000,38.053136
2014-06-16,38.599998,39.139999,38.25,38.84,14132500,37.665233
2014-06-17,39.130001,39.779999,39.029999,39.490002,11030800,38.295575
2014-06-18,39.400002,39.82,39.009998,39.75,10161400,38.547709
2014-06-19,39.830002,40.34,39.419998,39.619999,10209500,38.42164
2014-06-20,39.75,39.970001,39.41,39.57,11776100,38.373153
2014-06-23,39.41,39.669998,38.57,39.07,13342100,37.888276
2014-06-24,38.889999,39.369999,38.549999,38.57,8813100,37.403399
2014-06-25,38.509998,39.5,38.040001,39.349998,8944000,38.159806
2014-06-26,39.279999,39.52,38.849998,39.299999,10651000,38.111319
2014-06-27,39.259998,39.41,38.93,39.330002,17022700,38.140414
2014-06-30,39.18,39.330002,38.599998,38.720001,11834400,37.548864
2014-07-01,39.0,40.41,38.900002,40.310001,13673700,39.090772
2014-07-02,38.959999,39.0,38.029999,38.240002,29005300,37.083382
2014-07-03,38.349998,38.959999,38.290001,38.599998,8751600,37.432491
2014-07-07,38.43,38.5,36.709999,36.900002,19850000,35.783912
2014-07-08,35.599998,36.740002,34.77,36.439999,43293800,35.337823
2014-07-09,37.57,37.830002,36.580002,36.959999,15679900,35.842095
2014-07-10,36.200001,37.689999,36.080002,37.450001,16116000,36.317276
2014-07-11,37.599998,37.880001,37.07,37.23,11699500,36.103929
2014-07-14,37.580002,37.75,37.299999,37.380001,8388500,36.249394
2014-07-15,37.59,38.200001,37.52,38.029999,12018900,36.879731
2014-07-16,38.330002,38.41,37.73,37.869999,9148100,36.724571
2014-07-17,37.599998,37.950001,36.439999,36.57,16479000,35.463892
2014-07-18,36.950001,37.669998,36.860001,37.18,10546500,36.055442
2014-07-21,37.02,37.220001,36.59,37.150002,6598100,36.026351
2014-07-22,37.439999,37.889999,37.369999,37.68,10255600,36.540319
2014-07-23,37.779999,39.299999,37.759998,39.150002,18509000,37.965858
2014-07-24,39.490002,39.75,37.939999,38.07,14606000,36.918522
2014-07-25,38.09,38.919998,37.91,38.060001,10057700,36.908826
2014-07-28,38.369999,38.529999,37.82,38.189999,10621800,37.034892
2014-07-29,38.25,38.619999,37.639999,37.68,11423000,36.540319
2014-07-30,37.82,38.130001,37.5,37.84,10040400,36.695479
2014-07-31,37.439999,37.959999,36.830002,37.459999,10679600,36.326972
2014-08-01,37.380001,37.75,36.900002,37.580002,10073500,36.443345
2014-08-04,37.639999,38.0,36.450001,37.279999,11250600,36.152416
2014-08-05,37.009998,37.220001,35.869999,36.23,16393800,35.134175
2014-08-06,35.77,36.330002,35.349998,36.02,12689800,35.017516
2014-08-07,36.360001,36.720001,35.220001,35.610001,11838000,34.618927
2014-08-08,35.509998,36.279999,34.59,36.240002,13959300,35.231395
2014-08-11,37.0,37.25,36.330002,36.689999,10172900,35.668868
2014-08-12,36.740002,36.82,36.23,36.509998,6490000,35.493877
2014-08-13,36.689999,37.5,36.57,37.27,7328900,36.232727
2014-08-14,37.389999,38.419998,36.240002,38.400002,9026000,37.331279
2014-08-15,38.52,38.630001,37.810001,38.529999,10294100,37.457658
2014-08-18,38.919998,39.779999,38.810001,39.509998,9095000,38.410383
2014-08-19,39.73,39.900002,39.34,39.540001,7092700,38.439551
2014-08-20,39.619999,40.619999,39.599998,40.52,9484200,39.392276
2014-08-21,40.610001,40.77,39.880001,39.91,8285700,38.799252
2014-08-22,39.950001,40.599998,39.91,40.41,6735700,39.285336
2014-08-25,40.709999,40.77,40.23,40.52,5645700,39.392276
2014-08-26,40.549999,40.700001,39.880001,39.900002,7258900,38.789532
2014-08-27,40.049999,40.330002,39.849998,40.16,7529000,39.042294
2014-08-28,39.91,40.130001,39.549999,39.889999,5722800,38.779808
