Date,Open,High,Low,Close,Volume,Adj Close
2014-04-07,34.669998,34.73,33.82,34.110001,24348100,30.407848
2014-04-08,34.150002,34.599998,33.849998,34.529999,20615600,30.782261
2014-04-09,33.900002,34.240002,33.599998,33.619999,33165400,29.971029
2014-04-10,33.709999,34.060001,33.299999,33.299999,34302100,29.68576
2014-04-11,33.0,33.09,31.700001,31.93,45760200,28.464455
2014-04-14,32.290001,32.880001,32.150002,32.549999,18759700,29.017162
2014-04-15,32.810001,33.439999,32.290001,33.360001,23450900,29.739249
2014-04-16,33.689999,33.990002,33.32,33.970001,18140700,30.283043
2014-04-17,33.830002,34.09,33.799999,33.98,12351100,30.291956
2014-04-21,33.950001,34.209999,33.75,33.98,9909400,30.291956
2014-04-22,34.029999,34.439999,34.0,34.23,12291600,30.514822
2014-04-23,34.290001,34.610001,34.099998,34.389999,16063900,30.657456
2014-04-24,35.5,35.700001,33.52,34.169998,33352400,30.461333
2014-04-25,33.549999,34.080002,33.549999,33.720001,16031100,30.060177
2014-04-28,33.93,33.939999,33.52,33.759998,20175900,30.095833
2014-04-29,33.700001,34.099998,33.619999,33.990002,12087700,30.300873
2014-04-30,33.84,34.540001,33.84,34.48,14037800,30.737688
2014-05-01,34.669998,35.400002,34.540001,34.900002,19572600,31.112105
2014-05-02,35.029999,35.330002,34.860001,34.970001,11396700,31.174507
2014-05-05,34.84,34.889999,34.630001,34.75,8449100,30.978384
2014-05-06,35.07,35.139999,34.75,34.75,10114500,30.978384
2014-05-07,34.959999,35.110001,34.610001,35.07,9269700,31.263652
2014-05-08,34.98,35.43,34.73,34.849998,10251500,31.067529
2014-05-09,34.799999,34.900002,34.150002,34.23,16803500,30.514822
2014-05-12,34.380001,34.939999,34.380001,34.82,9498900,31.040786
2014-05-13,34.84,35.189999,34.599998,35.150002,9048300,31.334971
2014-05-14,35.099998,35.110001,34.799999,34.939999,10495300,31.147761
2014-05-15,34.610001,34.75,33.830002,34.360001,18088600,30.630714
2014-05-16,33.75,34.650002,33.490002,34.0,21485200,30.309786
2014-05-19,33.84,34.349998,33.799999,34.25,9006100,30.532652
2014-05-20,34.16,34.299999,32.959999,33.07,24894200,29.480724
2014-05-21,33.150002,33.619999,33.099998,33.459999,12392400,29.828394
2014-05-22,33.389999,33.700001,33.310001,33.419998,8428000,29.792735
2014-05-23,33.490002,33.689999,33.41,33.630001,8267100,29.979945
