Date,Open,High,Low,Close,Volume,Adj Close
2014-04-07,4.55,4.62,4.34,4.39,630200,4.39
2014-04-08,4.39,4.43,4.24,4.34,331200,4.34
2014-04-09,4.35,4.38,4.28,4.29,228300,4.29
2014-04-10,4.31,4.37,4.08,4.19,443700,4.19
2014-04-11,4.19,4.23,4.15,4.19,178500,4.19
2014-04-14,4.19,4.22,3.86,4.0,858900,4.0
2014-04-15,4.0,4.0,3.81,3.94,399900,3.94
2014-04-16,3.9,4.17,3.89,4.01,232600,4.01
2014-04-17,4.01,4.25,4.01,4.21,261900,4.21
2014-04-21,4.2,4.21,4.08,4.15,210800,4.15
2014-04-22,4.15,4.25,4.15,4.2,356600,4.2
2014-04-23,4.14,4.19,4.02,4.03,283100,4.03
2014-04-24,4.07,4.24,4.07,4.15,179000,4.15
2014-04-25,4.08,4.16,4.0,4.01,239700,4.01
2014-04-28,4.01,4.12,3.87,3.96,252800,3.96
2014-04-29,3.96,4.01,3.81,3.84,290100,3.84
2014-04-30,3.85,4.02,3.82,4.02,198400,4.02
2014-05-01,3.99,4.12,3.99,4.06,153800,4.06
2014-05-02,4.08,4.19,4.02,4.09,204300,4.09
2014-05-05,4.04,4.08,3.9,3.95,249700,3.95
2014-05-06,3.95,4.08,3.95,4.06,153500,4.06
2014-05-07,4.12,4.19,3.99,4.13,610300,4.13
2014-05-08,4.13,4.23,3.93,4.15,593600,4.15
2014-05-09,4.12,4.12,4.02,4.07,208900,4.07
2014-05-12,4.01,4.11,4.0,4.03,257500,4.03
2014-05-13,4.03,4.2,3.92,4.11,239800,4.11
2014-05-14,4.1,4.15,4.03,4.08,135100,4.08
2014-05-15,4.08,4.11,3.93,4.0,166800,4.0
2014-05-16,3.97,4.05,3.95,3.97,97200,3.97
2014-05-19,3.98,4.05,3.94,4.05,492600,4.05
2014-05-20,4.06,4.37,4.05,4.22,698900,4.22
2014-05-21,4.25,4.35,4.01,4.12,657400,4.12
2014-05-22,4.11,4.14,4.01,4.08,353800,4.08
2014-05-23,4.09,4.18,4.0,4.04,1175700,4.04
2014-05-27,4.05,4.17,4.02,4.04,494400,4.04
2014-05-28,4.05,4.13,4.02,4.05,350700,4.05
2014-05-29,4.07,4.1,3.97,4.04,348300,4.04
2014-05-30,4.01,4.14,3.99,4.08,382200,4.08
2014-06-02,4.05,4.25,3.98,4.17,686600,4.17
2014-06-03,4.16,4.2,4.07,4.16,323400,4.16
2014-06-04,4.17,4.3,4.17,4.29,440500,4.29
2014-06-05,4.3,4.44,4.21,4.39,331000,4.39
2014-06-06,4.39,4.45,4.24,4.36,229600,4.36
2014-06-09,4.33,4.38,4.25,4.35,334800,4.35
2014-06-10,4.37,4.38,4.25,4.37,242000,4.37
2014-06-11,4.36,4.36,4.18,4.28,239300,4.28
2014-06-12,4.22,4.26,4.11,4.17,216900,4.17
2014-06-13,4.17,4.23,4.12,4.13,376800,4.13
2014-06-16,4.11,4.32,4.11,4.23,210900,4.23
2014-06-17,4.18,4.28,4.12,4.24,316200,4.24
2014-06-18,4.22,4.27,4.19,4.19,549800,4.19
2014-06-19,4.2,4.3,4.12,4.28,273400,4.28
2014-06-20,4.3,4.32,4.11,4.3,541300,4.3
2014-06-23,4.3,4.3,4.11,4.15,513700,4.15
2014-06-24,4.12,4.26,4.12,4.2,442300,4.2
2014-06-25,4.17,4.31,4.15,4.28,509300,4.28
2014-06-26,4.27,4.44,4.2,4.4,517500,4.4
2014-06-27,4.4,4.6,4.33,4.39,5502200,4.39
2014-06-30,4.4,4.46,4.31,4.45,491100,4.45
2014-07-01,4.45,4.46,4.36,4.41,375700,4.41
2014-07-02,4.39,4.53,4.38,4.45,235100,4.45
2014-07-03,4.46,4.61,4.45,4.58,138300,4.58
2014-07-07,4.56,4.72,4.45,4.7,350900,4.7
2014-07-08,4.7,4.7,4.38,4.52,327500,4.52
2014-07-09,4.52,4.56,4.45,4.52,102400,4.52
2014-07-10,4.45,4.46,4.27,4.38,182500,4.38
2014-07-11,4.36,4.36,4.17,4.24,243100,4.24
2014-07-14,4.26,4.38,4.22,4.35,181800,4.35
2014-07-15,4.35,4.35,4.13,4.17,256100,4.17
2014-07-16,4.17,4.31,4.09,4.28,249500,4.28
