Date,Open,High,Low,Close,Volume,Adj Close
2014-07-08,47.400009,47.400009,44.299995,44.500009,129200,24.624551
2014-07-09,44.690002,45.200005,44.690002,45.120003,8900,24.967631
2014-07-10,44.939995,45.349991,43.870005,43.870005,609100,24.275931
2014-07-11,44.239999,44.890002,44.000006,44.150009,1441600,24.430875
2014-07-14,44.270001,44.83,44.000006,44.500009,1980200,24.624551
2014-07-15,44.58001,44.93001,44.200002,44.600002,1920200,24.679883
2014-07-16,44.890002,48.689998,44.890002,45.299998,2506900,25.067233
2014-07-17,45.340005,45.929995,45.179999,45.349991,2300800,25.094897
2014-07-18,45.250005,45.999994,44.19,45.499994,2714800,25.177903
2014-07-21,45.279992,45.975004,45.229999,45.770006,2131800,25.327317
2014-07-22,45.779992,46.230002,45.700004,45.700004,1915000,25.288581
2014-07-23,45.830002,47.740006,45.460004,45.999994,2691700,25.454583
2014-07-24,46.999996,48.740009,46.139994,47.269998,7661000,26.157353
2014-07-25,47.230001,47.325009,46.289997,46.489997,2458000,25.725732
2014-07-28,46.950003,47.380004,46.180005,46.400007,1639700,25.675935
2014-07-29,46.769998,47.740006,46.719998,47.100006,2977200,26.063287
2014-07-30,47.500002,47.990002,46.890007,47.819994,3969600,26.461699
2014-07-31,47.699999,48.010001,45.000008,46.999996,4353800,26.007945
2014-08-01,46.839997,47.790006,45.630006,46.540007,2354200,25.753405
2014-08-04,46.409996,46.820005,45.820006,46.619995,1741700,25.797667
2014-08-05,45.999994,46.90001,45.999994,46.330008,2204500,25.6372
2014-08-06,46.699996,46.699996,45.849994,46.470009,1082100,25.714671
2014-08-07,46.600003,46.750007,46.040008,46.400007,1339600,25.675935
2014-08-08,45.929995,46.810002,45.869999,46.540007,1122800,25.753405
2014-08-11,46.240004,46.530005,45.999994,46.400007,528100,25.675935
2014-08-12,46.35,46.723997,46.170002,46.340008,603300,25.642733
2014-08-13,46.400007,46.960006,46.270006,46.880004,977100,25.941546
2014-08-14,46.919998,48.370003,46.839997,48.319993,2434500,26.738379
