Date,Open,High,Low,Close,Volume,Adj Close
2010-04-05,79.910004,81.830002,79.410004,81.610001,741800,67.573315
2010-04-06,81.760002,84.639999,81.620003,84.459999,1411300,69.933122
2010-04-07,84.32,84.989998,82.709999,83.349998,1174100,69.014038
2010-04-08,83.290001,84.43,82.889999,84.129997,812000,69.659879
2010-04-09,84.220001,85.449997,83.949997,85.339996,740200,70.661762
2010-04-12,85.349998,85.669998,84.410004,85.309998,475800,70.636923
2010-04-13,85.309998,85.370003,83.910004,84.919998,471800,70.314002
2010-04-14,85.410004,87.0,85.349998,86.790001,571400,71.86237
2010-04-15,87.620003,87.620003,86.050003,86.139999,694400,71.324167
2010-04-16,86.309998,86.529999,82.300003,84.25,2127500,69.759242
2010-04-19,84.410004,86.839996,82.720001,84.099998,2139400,69.63504
2010-04-20,84.809998,86.349998,83.889999,85.0,1323000,70.380244
2010-04-21,85.330002,87.5,85.089996,86.279999,1283400,71.440087
2010-04-22,85.93,88.0,85.309998,87.82,758900,72.715212
2010-04-23,87.830002,88.730003,86.879997,88.489998,609300,73.269972
2010-04-26,88.190002,88.660004,85.25,85.449997,797900,70.752843
2010-04-27,85.0,86.300003,83.519997,84.089996,1328300,69.626758
2010-04-28,84.650002,86.779999,84.650002,85.43,1067000,70.736285
2010-04-29,86.800003,89.769997,86.589996,89.440002,1579000,74.056579
2010-04-30,89.059998,89.559998,87.169998,87.349998,814800,72.326049
2010-05-03,88.050003,89.220001,88.0,89.150002,706800,73.816457
2010-05-04,87.989998,88.360001,86.639999,87.120003,1038500,72.135612
2010-05-05,86.540001,88.519997,85.650002,87.410004,720800,72.375734
2010-05-06,87.029999,88.410004,80.610001,84.269997,1699800,69.775799
2010-05-07,85.080002,86.769997,83.599998,84.07,2062900,69.610201
2010-05-10,88.080002,89.0,86.360001,88.459999,1570500,73.245133
2010-05-11,86.809998,90.0,86.809998,88.769997,1157300,73.501812
2010-05-12,89.419998,90.800003,88.809998,90.690002,813400,75.091582
2010-05-13,90.360001,91.470001,89.93,90.220001,693200,74.70242
2010-05-14,89.470001,89.599998,86.129997,87.25,1133000,72.24325
2010-05-17,87.470001,88.419998,85.769997,87.839996,916700,72.731769
2010-05-18,88.489998,88.57,83.139999,83.610001,2288700,69.22932
2010-05-19,83.440002,85.099998,81.900002,83.389999,2046200,69.047159
2010-05-20,82.0,82.529999,79.68,79.699997,1508800,65.991826
2010-05-21,78.5,84.080002,77.860001,84.0,2559400,69.552241
2010-05-24,84.099998,84.099998,81.260002,81.400002,1920500,67.399435
2010-05-25,79.870003,81.120003,78.839996,80.809998,1866400,66.91091
2010-05-26,81.889999,82.519997,80.110001,80.32,1929600,66.50519
2010-05-27,80.949997,81.760002,79.75,81.480003,1745800,68.058821
2010-05-28,81.540001,81.860001,78.870003,79.239998,1592100,66.187784
2010-06-01,78.769997,79.550003,76.970001,77.529999,1448700,64.759452
2010-06-02,78.190002,79.720001,77.650002,79.669998,1013000,66.546956
2010-06-03,79.599998,80.370003,77.949997,78.959999,1194800,65.953906
2010-06-04,77.550003,77.830002,75.139999,75.360001,1201900,62.94689
2010-06-07,76.0,76.379997,74.199997,74.239998,1280500,62.011371
2010-06-08,74.5,76.809998,74.110001,76.589996,1442600,63.974284
2010-06-09,76.889999,77.080002,75.599998,76.260002,1894400,63.698646
2010-06-10,76.959999,78.779999,76.849998,78.639999,1216200,65.686616
2010-06-11,77.82,78.489998,76.660004,78.389999,770600,65.477795
