Date,Open,High,Low,Close,Volume,Adj Close
2014-12-11,35.049999,36.970001,34.880001,36.709999,601900,35.771115
2014-12-12,37.220001,37.52,35.049999,35.41,3836400,34.504364
2014-12-15,35.869999,35.950001,34.860001,35.290001,1898600,34.387435
2014-12-16,35.41,35.75,35.349998,35.459999,4877500,34.553085
2014-12-17,35.470001,36.599998,35.439999,36.169998,2500200,35.244925
2014-12-18,37.110001,38.689999,36.860001,38.169998,11518700,37.193774
2014-12-19,39.119999,41.900002,38.209999,41.900002,8381800,40.82838
2014-12-22,41.040001,42.98,39.619999,39.68,4526300,38.665157
2014-12-23,39.720001,40.310001,39.169998,39.259998,1400000,38.255896
2014-12-24,39.419998,39.599998,38.779999,39.290001,518900,38.285132
2014-12-26,39.080002,39.560001,38.869999,39.02,453600,38.022037
2014-12-29,39.380001,39.389999,38.700001,38.880001,975400,37.885618
2014-12-30,38.91,39.060001,38.080002,38.869999,845500,37.875872
2014-12-31,38.950001,39.110001,38.580002,39.040001,382100,38.041526
2015-01-02,39.369999,39.639999,38.060001,38.32,749800,37.339939
2015-01-05,38.209999,38.450001,37.150002,37.799999,1169600,36.833238
2015-01-06,37.799999,38.119999,37.110001,37.869999,1532500,36.901447
2015-01-07,39.060001,40.599998,38.450001,39.330002,2298400,38.32411
2015-01-08,39.830002,41.84,39.830002,40.349998,1730100,39.318019
2015-01-09,40.700001,40.740002,39.959999,39.959999,826900,38.937994
2015-01-12,39.810001,40.189999,39.369999,39.689999,2490000,38.674899
2015-01-13,40.68,41.150002,40.07,40.259998,1834400,39.230321
2015-01-14,40.549999,40.950001,40.0,40.389999,1064000,39.356997
2015-01-15,41.119999,41.389999,39.220001,39.349998,1080800,38.343595
2015-01-16,39.049999,39.259998,38.299999,38.950001,1753600,37.953827
2015-01-20,38.810001,39.360001,38.25,38.279999,1083400,37.300961
2015-01-21,38.209999,39.050999,37.68,38.91,798000,37.914849
2015-01-22,38.919998,39.639999,38.0,39.200001,1388600,38.197433
2015-01-23,39.349998,39.900002,39.16,39.310001,675600,38.304621
2015-01-26,39.599998,40.189999,38.799999,38.849998,1141300,37.856383
2015-01-27,38.419998,39.25,38.189999,39.240002,489900,38.236411
2015-01-28,39.43,39.59,38.200001,38.330002,592100,37.349685
2015-01-29,38.34,39.75,38.0,39.16,930300,38.158456
2015-01-30,38.75,39.060001,38.5,38.68,1469100,37.690732
2015-02-02,39.07,39.099998,38.09,38.450001,987900,37.466615
2015-02-03,38.68,38.73,38.255001,38.68,1509600,37.690732
2015-02-04,38.630001,38.68,38.0,38.099998,754300,37.125564
2015-02-05,38.439999,38.689999,38.09,38.41,1479300,37.427637
2015-02-06,38.599998,39.439999,38.400002,38.880001,995500,37.885618
2015-02-09,38.919998,39.046001,38.240002,38.389999,681800,37.408148
2015-02-10,38.889999,39.450001,38.700001,39.25,1337500,38.246154
2015-02-11,39.119999,39.540001,38.689999,39.02,639000,38.022037
2015-02-12,39.450001,39.720001,39.009998,39.32,1151000,38.314363
2015-02-13,39.27,40.040001,38.66,38.740002,1618100,37.749199
2015-02-17,40.009998,42.889999,38.990002,42.119999,2549300,41.042751
2015-02-18,42.259998,42.404999,40.869999,40.970001,1974700,39.922165
2015-02-19,40.889999,41.380001,40.630001,40.799999,827300,39.756511
2015-02-20,40.889999,41.919998,40.669998,41.59,834400,40.526307
2015-02-23,41.68,41.709999,41.259998,41.630001,706600,40.565285
2015-02-24,41.650002,43.345001,41.450001,42.330002,1221900,41.247383
2015-02-25,42.709999,42.98,42.34,42.689999,781800,41.598172
2015-02-26,43.130001,43.639999,42.77,43.48,1934000,42.367968
2015-02-27,43.669998,45.709999,43.549999,44.23,2284400,43.188184
2015-03-02,44.32,45.099998,44.130001,44.669998,1926600,43.617819
2015-03-03,45.029999,45.119999,43.07,43.619999,1150800,42.592551
2015-03-04,43.220001,43.740002,42.470001,42.540001,1437700,41.537992
2015-03-05,42.02,42.540001,40.84,42.259998,1514800,41.264585
2015-03-06,41.959999,42.59,40.689999,41.150002,662700,40.180734
2015-03-09,41.290001,41.450001,40.380001,40.52,639900,39.565572
2015-03-10,40.110001,40.41,39.650002,39.740002,757900,38.803946
2015-03-11,39.849998,39.919998,39.220001,39.330002,592800,38.403603
2015-03-12,39.709999,39.91,39.299999,39.689999,727500,38.75512
2015-03-13,39.52,39.761002,38.919998,38.959999,582000,38.042316
2015-03-16,39.200001,39.650002,38.700001,39.450001,894800,38.520776
2015-03-17,39.209999,39.669998,39.02,39.619999,395200,38.68677
2015-03-18,39.669998,39.799999,38.740002,39.650002,715400,38.716065
2015-03-19,39.23,40.080002,39.23,39.84,803700,38.901589
2015-03-20,40.259998,40.669998,38.790001,38.970001,1273300,38.052082
2015-03-23,38.889999,38.98,38.380001,38.509998,542200,37.602914
2015-03-24,38.669998,39.41,38.669998,39.299999,811700,38.374307
2015-03-25,39.459999,40.25,38.639999,38.759998,1157400,37.847026
2015-03-26,38.98,39.349998,38.540001,38.68,1243500,37.768912
2015-03-27,38.84,39.259998,38.490002,38.790001,1244100,37.876322
2015-03-30,38.73,39.200001,38.509998,39.119999,1061700,38.198547
2015-03-31,38.700001,39.220001,38.310001,38.41,1274300,37.505271
2015-04-01,38.450001,38.900002,37.040001,38.380001,2258700,37.475979
2015-04-02,38.389999,39.34,38.200001,38.959999,952900,38.042316
2015-04-06,38.919998,39.305,38.639999,39.209999,445700,38.286427
2015-04-07,39.310001,39.48,38.790001,38.939999,718400,38.022786
2015-04-08,39.150002,39.43,38.700001,38.880001,396500,37.964202
2015-04-09,38.98,39.16,38.310001,38.59,513200,37.681032
2015-04-10,38.580002,39.07,38.32,38.98,283100,38.061845
2015-04-13,39.130001,39.43,38.849998,39.0,607500,38.081374
2015-04-14,39.119999,39.380001,38.810001,38.970001,561500,38.052082
2015-04-15,38.799999,39.470001,38.599998,38.990002,908000,38.071612
2015-04-16,38.82,39.779999,38.73,39.299999,880700,38.374307
2015-04-17,39.41,39.41,38.279999,38.5,589100,37.593152
2015-04-20,38.59,38.950001,38.009998,38.150002,753100,37.251397
2015-04-21,38.16,39.099998,38.009998,38.689999,1602600,37.778675
2015-04-22,38.810001,39.82,37.779999,39.360001,2207300,38.432895
2015-04-23,39.549999,41.32,39.509998,41.240002,1231500,40.268614
2015-04-24,41.380001,41.799999,40.639999,41.57,1403400,40.590839
2015-04-27,42.639999,43.224998,40.147999,40.59,2885000,39.633923
2015-04-28,40.880001,43.259998,40.759998,42.419998,1527200,41.420816
2015-04-29,42.369999,42.509998,41.75,42.259998,1136200,41.264585
2015-04-30,41.900002,42.02,40.73,40.779999,1452800,39.819446
2015-05-01,40.599998,41.509998,40.5,41.369999,1397400,40.395549
2015-05-04,41.48,42.380001,41.470001,42.150002,1121800,41.157179
2015-05-05,42.34,42.34,40.82,41.119999,1565000,40.151438
2015-05-06,41.220001,41.43,40.25,40.700001,1012300,39.741332
2015-05-07,40.759998,41.610001,40.599998,41.110001,1108600,40.141675
2015-05-08,41.490002,41.740002,40.775002,41.16,792600,40.190496
2015-05-11,41.16,41.75,40.654999,40.830002,539500,39.868271
