Date,Open,High,Low,Close,Volume,Adj Close
2010-04-05,31.709874,31.709874,31.289876,31.459875,18849200,21.036868
2010-04-06,31.359876,31.359876,31.119877,31.199876,22490200,20.86301
2010-04-07,30.779878,30.779878,30.089882,30.23988,29006200,20.533686
2010-04-08,30.149881,30.27988,29.859882,30.15988,31576200,20.479364
2010-04-09,30.189881,30.23988,29.929882,30.079881,21013600,20.425042
2010-04-12,30.049882,30.19988,29.899882,29.939882,19633000,20.329979
2010-04-13,29.999881,30.149881,29.759883,30.069881,20272800,20.418252
2010-04-14,30.049882,30.049882,29.649883,29.849882,44206400,20.268867
2010-04-15,29.839883,29.839883,29.499883,29.539883,28856700,20.058369
2010-04-16,29.489883,29.779882,29.479884,29.579882,26306600,20.08553
2010-04-19,29.499883,29.759883,29.449883,29.729883,18978600,20.187384
2010-04-20,29.789882,29.829881,29.539883,29.759883,15930800,20.207755
2010-04-21,29.789882,29.829881,29.429884,29.559883,24152600,20.07195
2010-04-22,29.119884,29.349884,28.909885,29.279884,26552900,19.881823
2010-04-23,29.069885,29.069885,28.819886,29.049886,26070500,19.725648
2010-04-26,28.979886,29.099885,28.839887,28.939886,17428000,19.650955
2010-04-27,28.889886,28.949885,28.599887,28.749887,26602200,19.521941
2010-04-28,28.849886,29.249884,28.719887,29.119884,28366100,19.773179
2010-04-29,29.219885,29.319884,29.119884,29.219885,15858800,19.841082
2010-04-30,29.199884,29.309884,28.889886,28.899886,23367500,19.623794
2010-05-03,29.159884,29.439884,29.109885,29.289883,15539800,19.888613
2010-05-04,29.139885,29.159884,28.529887,28.749887,36789100,19.521941
2010-05-05,28.639887,28.929886,28.579886,28.679887,17347800,19.474409
2010-05-06,28.609887,28.719887,26.489895,28.00989,42107900,19.019463
2010-05-07,27.979889,28.709888,27.799891,28.189889,38892900,19.141687
2010-05-10,28.929886,28.999885,28.279888,28.609887,27673800,19.426877
2010-05-11,28.459889,28.649887,28.249889,28.399888,24781600,19.284282
2010-05-12,28.549888,28.779886,28.449887,28.699886,20688900,19.487989
2010-05-13,28.689887,28.959887,28.539886,28.689887,14156500,19.481199
2010-05-14,28.589888,28.849886,28.349888,28.509888,24603500,19.358975
2010-05-17,28.479887,28.709888,28.309888,28.659886,22279500,19.460828
2010-05-18,28.699886,29.009886,28.379889,28.419889,22884600,19.297863
2010-05-19,28.309888,28.619886,28.289887,28.509888,25470700,19.358975
2010-05-20,28.279888,28.279888,27.749891,27.759891,31498100,18.849707
2010-05-21,27.369891,27.979889,27.319892,27.95989,37210300,18.985512
2010-05-24,27.76989,27.81989,27.389892,27.489891,20591800,18.66637
2010-05-25,27.089894,27.459892,26.799895,27.399891,24799200,18.605258
2010-05-26,27.509892,27.509892,26.799895,26.929894,30040300,18.286117
2010-05-27,27.219893,27.589892,27.009894,27.57989,18694100,18.727482
2010-05-28,27.599891,27.669891,27.189892,27.519891,19514100,18.686741
2010-06-01,27.299893,27.72989,27.209893,27.209893,15402800,18.476244
2010-06-02,27.249893,27.599891,27.089894,27.589892,18972300,18.734273
2010-06-03,27.669891,27.789891,27.469892,27.639891,16961200,18.768224
2010-06-04,27.379893,27.449891,27.109892,27.209893,22462700,18.476244
2010-06-07,27.269892,27.369891,27.079894,27.079894,17574800,18.387971
2010-06-08,27.119892,27.72989,27.059893,27.679891,21557300,18.795385
2010-06-09,27.68989,28.03989,27.609891,27.77989,19699900,18.863287
2010-06-10,28.069889,28.419889,28.04989,28.339889,17770400,19.243541
2010-06-11,28.159888,28.559887,27.99989,28.559887,18022700,19.392926
2010-06-14,28.759887,28.869885,28.579886,28.629888,15998800,19.440458
2010-06-15,28.839887,29.129886,28.709888,29.109885,20556300,19.766389
2010-06-16,29.059885,29.209886,28.979886,29.179885,20739400,19.813921
2010-06-17,29.209886,29.319884,28.689887,29.089886,22459200,19.752809
2010-06-18,29.149885,29.299885,29.059885,29.129886,19510400,19.77997
2010-06-21,29.399884,29.449883,28.949885,29.059885,13404300,19.732438
2010-06-22,29.109885,29.379885,29.009886,29.059885,15813400,19.732438
2010-06-23,29.199884,29.469884,29.139885,29.329883,19897600,19.915774
2010-06-24,29.259885,29.429884,28.869885,28.959887,16411500,19.664536
2010-06-25,29.109885,29.199884,28.529887,28.549888,21396300,19.386136
2010-06-28,28.729887,28.849886,28.539886,28.709888,14050200,19.49478
2010-06-29,28.559887,29.159884,28.149889,28.619886,49151500,19.433667
2010-06-30,28.759887,28.769886,27.799891,28.019889,29439100,19.026253
2010-07-01,28.00989,28.199888,27.599891,28.12989,32420000,19.100946
2010-07-02,27.17,27.18,26.48,26.809999,25574500,19.410298
2010-07-06,27.15,27.200001,26.49,26.610001,39477900,19.2655
2010-07-07,26.120001,26.530001,25.99,26.52,20717700,19.549304
2010-07-08,26.719999,26.780001,26.32,26.780001,19227900,19.740964
2010-07-09,26.809999,26.82,26.469999,26.65,18324600,19.645133
2010-07-12,26.65,26.700001,26.42,26.49,20748500,19.527189
2010-07-13,26.85,27.07,26.709999,26.889999,22709200,19.82205
2010-07-14,26.93,27.049999,26.629999,26.84,18155100,19.785193
2010-07-15,26.870001,26.870001,26.67,26.799999,18416100,19.755706
2010-07-16,26.780001,27.0,26.6,26.690001,21672900,19.67462
2010-07-19,26.780001,26.92,26.700001,26.719999,14947000,19.696734
2010-07-20,26.629999,26.77,26.559999,26.67,21387100,19.659877
2010-07-21,26.799999,26.809999,26.41,26.52,20639200,19.549304
2010-07-22,26.719999,27.16,26.690001,27.0,22514500,19.903137
2010-07-23,27.82,28.18,27.49,28.02,47092800,20.655034
2010-07-26,28.030001,28.35,28.030001,28.280001,15439700,20.846694
