Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,36.91,38.240002,36.900002,38.09,712900,34.250495
2010-01-05,38.700001,38.700001,37.599998,38.02,398900,34.187551
2010-01-06,37.959999,38.48,37.889999,38.09,717200,34.250495
2010-01-07,38.029999,38.169998,37.799999,37.82,603700,34.007711
2010-01-08,37.66,38.57,37.66,38.389999,759000,34.520254
2010-01-11,38.639999,38.790001,37.860001,38.220001,763000,34.367392
2010-01-12,37.889999,38.040001,37.400002,37.689999,323400,33.890814
2010-01-13,37.900002,38.110001,37.490002,38.07,330500,34.232511
2010-01-14,38.009998,38.290001,37.709999,37.919998,221100,34.097629
2010-01-15,38.799999,38.889999,37.639999,37.889999,450400,34.070654
2010-01-19,37.970001,38.369999,37.889999,38.369999,474100,34.50227
2010-01-20,37.91,38.080002,37.59,37.959999,360900,34.133598
2010-01-21,37.889999,38.290001,37.119999,37.119999,624700,33.378271
2010-01-22,37.0,37.290001,35.970001,36.09,607800,32.452097
2010-01-25,36.630001,37.099998,36.400002,36.5,831500,32.820768
2010-01-26,37.110001,38.779999,37.080002,37.369999,1156200,33.60307
2010-01-27,37.259998,37.619999,36.549999,36.860001,669000,33.14448
2010-01-28,36.950001,37.040001,36.009998,36.439999,545300,32.766815
2010-01-29,36.560001,36.869999,35.720001,35.720001,852200,32.119394
2010-02-01,35.950001,36.349998,35.799999,36.25,1012700,32.595968
2010-02-02,36.380001,37.119999,35.990002,36.900002,951800,33.180449
2010-02-03,36.779999,37.299999,36.549999,36.630001,704100,32.937665
2010-02-04,36.220001,36.48,35.389999,35.389999,486000,31.822657
2010-02-05,35.48,35.68,34.490002,35.16,759400,31.615841
2010-02-08,35.200001,35.299999,34.560001,34.860001,682600,31.346082
2010-02-09,35.580002,35.650002,34.93,35.32,440500,31.759713
2010-02-10,35.110001,35.529999,34.59,35.380001,417500,31.813666
2010-02-11,35.299999,35.959999,34.959999,35.869999,407100,32.254272
2010-02-12,35.41,36.650002,35.32,36.599998,788700,32.910687
2010-02-16,36.919998,37.709999,36.77,37.709999,633600,33.908798
2010-02-17,37.880001,38.040001,37.52,37.77,946500,33.962751
2010-02-18,37.77,38.110001,37.759998,37.869999,708300,34.05267
2010-02-19,37.84,38.290001,37.700001,38.130001,462500,34.286464
2010-02-22,38.34,38.34,37.82,38.139999,285400,34.295454
2010-02-23,37.919998,38.200001,36.740002,36.970001,710900,33.243393
2010-02-24,37.040001,37.360001,36.66,36.880001,734400,33.162465
2010-02-25,36.43,37.080002,36.110001,36.91,648700,33.18944
2010-02-26,37.049999,37.529999,36.669998,37.490002,632600,33.710977
2010-03-01,37.560001,39.459999,37.560001,39.439999,1212000,35.464412
2010-03-02,39.860001,40.860001,39.849998,40.330002,1359800,36.264702
2010-03-03,40.290001,40.630001,40.09,40.349998,597800,36.282683
2010-03-04,40.32,40.740002,40.080002,40.290001,338200,36.228734
2010-03-05,40.52,41.439999,40.34,41.169998,565400,37.020026
2010-03-08,41.080002,41.77,41.080002,41.25,466500,37.091964
2010-03-09,41.0,41.290001,40.599998,41.0,360000,36.867164
2010-03-10,40.91,41.490002,40.700001,41.330002,358300,37.163902
2010-03-11,40.91,41.400002,40.459999,41.400002,359300,37.353376
2010-03-12,41.66,42.09,41.66,41.939999,863300,37.840591
2010-03-15,41.849998,42.419998,41.75,42.200001,760200,38.075179
2010-03-16,42.41,42.720001,42.299999,42.599998,924800,38.436079
2010-03-17,42.779999,43.0,42.669998,42.830002,485600,38.643601
2010-03-18,42.700001,43.0,42.459999,42.849998,331500,38.661643
2010-03-19,42.240002,43.110001,42.169998,42.240002,646200,38.11127
2010-03-22,41.970001,43.200001,41.799999,43.049999,431000,38.842095
2010-03-23,43.169998,43.380001,42.66,43.200001,420400,38.977435
2010-03-24,43.040001,43.119999,42.400002,42.509998,428700,38.354876
2010-03-25,42.93,43.139999,41.799999,41.830002,455100,37.741346
2010-03-26,41.869999,42.240002,41.009998,41.470001,869000,37.416533
2010-03-29,41.709999,42.599998,41.709999,42.150002,745500,38.030067
2010-03-30,42.290001,42.650002,41.939999,42.529999,427900,38.372922
2010-03-31,42.400002,43.799999,42.380001,42.630001,993700,38.463149
2010-04-01,43.16,43.439999,42.459999,42.869999,571400,38.679689
2010-04-05,42.93,43.240002,42.779999,43.16,467300,38.941344
2010-04-06,43.009998,43.669998,42.779999,43.619999,638000,39.35638
2010-04-07,43.650002,44.049999,43.369999,43.610001,540300,39.347359
2010-04-08,43.369999,43.700001,42.900002,43.68,311600,39.410517
2010-04-09,43.759998,44.310001,43.439999,44.310001,333100,39.978939
2010-04-12,44.369999,44.5,43.310001,43.509998,454300,39.257132
2010-04-13,43.369999,43.380001,42.93,43.139999,614200,38.923298
2010-04-14,43.439999,44.610001,43.34,44.52,674800,40.168412
2010-04-15,44.389999,44.75,44.18,44.509998,487600,40.159387
2010-04-16,44.389999,44.860001,43.82,43.900002,657600,39.609014
2010-04-19,43.630001,43.860001,42.880001,43.73,451100,39.455629
2010-04-20,44.139999,44.279999,43.75,44.200001,368300,39.87969
2010-04-21,44.349998,44.400002,43.740002,43.82,778700,39.536832
2010-04-22,43.490002,44.139999,43.43,43.919998,1313800,39.627056
2010-04-23,44.110001,44.77,43.389999,44.66,1208000,40.294727
2010-04-26,44.549999,45.32,44.43,44.790001,721200,40.412021
2010-04-27,44.689999,45.540001,44.0,44.25,1851700,39.924802
2010-04-28,44.720001,45.689999,44.110001,45.240002,1314600,40.818037
2010-04-29,45.779999,46.75,45.599998,46.490002,867100,41.945856
2010-04-30,46.57,46.970001,45.57,45.66,891400,41.196982
2010-05-03,46.0,46.34,45.57,46.0,1112800,41.503749
2010-05-04,45.330002,45.450001,43.990002,44.43,1219500,40.087208
2010-05-05,43.98,44.060001,42.970001,43.130001,1010400,38.914277
2010-05-06,42.84,43.560001,38.48,40.790001,2202500,36.802999
2010-05-07,40.43,40.43,38.310001,39.23,2738400,35.39548
2010-05-10,41.119999,43.630001,41.119999,42.650002,1386500,38.481195
2010-05-11,42.080002,43.02,41.610001,42.259998,1140300,38.129312
2010-05-12,42.470001,43.52,42.470001,43.470001,797600,39.221044
2010-05-13,43.130001,43.669998,42.919998,43.119999,517400,38.905253
2010-05-14,42.700001,42.73,41.610001,41.990002,969200,37.885706
2010-05-17,42.139999,42.389999,40.369999,41.709999,1014400,37.633073
2010-05-18,42.389999,42.639999,41.689999,41.970001,1732600,37.867661
2010-05-19,41.84,42.110001,40.900002,41.57,1703000,37.506757
2010-05-20,40.009998,41.16,39.639999,39.919998,2919400,36.018035
2010-05-21,39.09,40.880001,38.779999,40.82,1308300,36.830066
2010-05-24,40.52,41.330002,40.450001,40.529999,866400,36.568411
2010-05-25,39.18,40.549999,38.209999,40.43,1825600,36.478187
2010-05-26,40.75,42.209999,40.709999,41.450001,1408900,37.398488
2010-05-27,42.48,43.27,41.939999,43.27,616600,39.040592
2010-05-28,43.259998,43.709999,42.799999,43.060001,1083900,38.851119
2010-06-01,42.75,43.09,41.540001,41.540001,650900,37.479691
2010-06-02,42.400002,42.849998,41.299999,42.849998,603400,38.661643
2010-06-03,42.990002,43.139999,42.419998,43.0,606900,38.796983
2010-06-04,40.580002,42.700001,40.189999,41.049999,1510700,37.037584
2010-06-07,41.09,41.310001,39.73,39.869999,1504500,35.972922
2010-06-08,39.639999,40.18,38.669998,39.330002,2074300,35.485707
2010-06-09,39.75,40.950001,39.509998,39.880001,1193600,35.981947
2010-06-10,40.860001,42.029999,40.830002,41.830002,1064800,37.741346
2010-06-11,41.119999,42.259998,41.119999,42.169998,620500,38.175879
2010-06-14,42.59,43.130001,41.880001,42.040001,872800,38.058195
2010-06-15,42.349998,43.23,42.310001,43.220001,631800,39.126432
2010-06-16,42.82,43.310001,42.689999,42.860001,563200,38.800528
2010-06-17,43.209999,43.25,42.189999,42.540001,918200,38.510837
2010-06-18,42.560001,42.939999,42.290001,42.73,899200,38.68284
