Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,96.099998,97.150002,94.540001,95.07,6294000,34.650738
2005-01-04,96.050003,96.300003,93.330002,94.019997,7579400,34.268037
2005-01-05,94.25,94.449997,92.220001,92.220001,5932800,33.611982
2005-01-06,92.400002,94.559998,92.220001,93.580002,6300400,34.10767
2005-01-07,93.669998,94.300003,93.150002,93.379997,5815400,34.034773
2005-01-10,93.5,93.699997,92.389999,92.519997,4818800,33.721323
2005-01-11,92.519997,92.519997,91.110001,91.239998,5896000,33.254794
2005-01-12,92.0,92.5,90.739998,92.370003,8387600,33.666654
2005-01-13,92.199997,93.129997,92.160004,92.860001,6702200,33.845247
2005-01-14,93.489998,94.029999,92.989998,93.690002,3825000,34.147762
2005-01-18,93.309998,93.5,91.900002,92.529999,4624600,33.873201
2005-01-19,92.300003,92.68,91.5,91.510002,5838600,33.499803
2005-01-20,91.510002,91.559998,89.919998,90.080002,5108200,32.976311
2005-01-21,89.93,90.959999,88.760002,89.230003,6873600,32.665146
2005-01-24,89.550003,89.730003,88.120003,88.120003,5634200,32.258799
2005-01-25,88.739998,90.5,88.129997,90.5,5999600,33.130063
2005-01-26,90.5,91.639999,89.900002,91.120003,6698000,33.357033
2005-01-27,87.400002,88.239998,86.400002,86.519997,21820200,31.673072
2005-01-28,87.0,88.120003,86.849998,87.459999,8176600,32.017186
2005-01-31,88.0,89.650002,87.660004,89.099998,6675200,32.617554
2005-02-01,89.599998,90.540001,89.150002,90.120003,4790000,32.990955
2005-02-02,90.089996,91.449997,89.57,91.010002,6762200,33.316764
2005-02-03,90.519997,92.029999,90.269997,91.800003,5226800,33.605966
2005-02-04,91.800003,92.190002,90.989998,91.900002,6606200,33.642573
2005-02-07,91.900002,92.190002,91.239998,91.360001,3716400,33.444891
2005-02-08,91.400002,91.82,90.629997,91.480003,3357200,33.488821
2005-02-09,91.480003,91.989998,90.5,90.639999,3792200,33.181314
2005-02-10,91.0,92.410004,90.910004,92.059998,3192400,33.701144
2005-02-11,92.300003,93.160004,91.300003,92.779999,4649800,33.964721
2005-02-14,93.139999,93.190002,91.870003,92.220001,2402400,33.759718
2005-02-15,92.010002,92.580002,90.980003,91.5,6315800,33.496141
2005-02-16,91.25,92.82,91.110001,92.540001,4533600,33.876863
2005-02-17,92.540001,93.040001,91.699997,91.82,3419400,33.613286
2005-02-18,91.82,91.849998,90.720001,90.839996,4278400,33.254529
2005-02-22,90.610001,91.410004,89.419998,89.459999,5091200,32.749342
2005-02-23,89.910004,90.769997,89.650002,90.459999,3099800,33.11542
