Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,11.22,11.43,10.95,11.22,14482500,10.786933
2010-01-05,11.32,12.34,11.29,12.1,25066000,11.632967
2010-01-06,11.99,12.24,11.85,12.11,14980700,11.642581
2010-01-07,12.06,12.86,12.05,12.69,19814500,12.200194
2010-01-08,12.62,12.85,12.05,12.47,24589200,11.988686
2010-01-11,12.34,12.89,12.13,12.79,16220400,12.296335
2010-01-12,12.67,12.91,12.31,12.54,12905500,12.055984
2010-01-13,12.53,12.96,12.41,12.85,11763200,12.354019
2010-01-14,12.72,13.31,12.69,13.17,12026800,12.661668
2010-01-15,13.18,13.33,12.59,12.74,9127500,12.248264
2010-01-19,12.8,13.29,12.79,13.03,9836500,12.527071
2010-01-20,12.97,13.49,12.69,13.41,20133800,12.892404
2010-01-21,13.5,13.69,13.15,13.44,24669200,12.921246
2010-01-22,13.31,13.73,12.91,13.29,22279200,12.777036
2010-01-25,13.38,13.64,12.95,13.33,19299600,12.815492
2010-01-26,12.78,13.4,12.7,13.15,16290600,12.642439
2010-01-27,13.01,13.44,12.82,13.16,24581400,12.652053
2010-01-28,13.23,13.54,12.63,12.65,17086500,12.161738
2010-01-29,12.8,13.16,12.19,12.23,19296900,11.757949
2010-02-01,12.37,12.64,12.32,12.63,9733500,12.14251
2010-02-02,12.8,13.07,12.66,12.9,12952100,12.402088
2010-02-03,12.91,12.91,12.32,12.42,9609600,11.940616
2010-02-04,11.79,12.03,11.32,11.46,17073600,11.01767
2010-02-05,11.41,11.73,10.93,11.3,20004600,10.863845
2010-02-08,11.31,11.6,11.14,11.25,9296400,10.815775
2010-02-09,11.53,12.55,11.53,12.39,23978700,11.911774
2010-02-10,12.27,12.33,11.49,11.58,19463200,11.133038
2010-02-11,11.65,12.22,11.58,11.83,14521800,11.373388
2010-02-12,11.69,12.27,11.57,12.25,12768600,11.777177
2010-02-16,12.33,12.62,12.3,12.48,7985600,11.998299
2010-02-17,12.33,12.8,12.33,12.73,10321500,12.23865
2010-02-18,12.61,12.82,12.41,12.55,7197400,12.065598
2010-02-19,12.48,12.74,12.48,12.69,4816200,12.200194
2010-02-22,12.73,13.21,12.68,12.73,9824800,12.23865
2010-02-23,12.73,12.93,12.48,12.64,5596600,12.152125
2010-02-24,12.62,12.77,12.45,12.75,6896100,12.257879
2010-02-25,12.58,12.74,12.36,12.66,6528800,12.171352
2010-02-26,12.74,13.02,12.67,12.92,6592000,12.421317
2010-03-01,12.93,13.5,12.93,13.17,8057800,12.661668
2010-03-02,13.18,13.42,12.73,12.78,9626600,12.28672
2010-03-03,12.83,13.07,12.73,12.93,5705700,12.430931
2010-03-04,13.07,13.07,12.59,12.78,7559000,12.28672
2010-03-05,12.84,12.94,12.61,12.7,7205000,12.209808
2010-03-08,12.7,12.9,12.52,12.54,10698200,12.055984
2010-03-09,12.68,13.27,12.62,12.81,17172100,12.315563
2010-03-10,13.0,13.56,12.95,13.3,17016700,12.78665
2010-03-11,13.18,13.28,12.86,12.99,10470400,12.488615
2010-03-12,13.1,13.11,12.68,12.83,7359600,12.334791
2010-03-15,12.84,12.84,12.51,12.66,13433400,12.171352
2010-03-16,12.83,13.0,12.67,12.98,8101500,12.479001
2010-03-17,12.92,13.05,12.76,12.94,8628800,12.440545
2010-03-18,12.91,13.15,12.9,13.11,6619800,12.603983
2010-03-19,12.57,13.09,12.56,12.57,9765000,12.084826
2010-03-22,12.42,13.09,12.33,13.07,7552800,12.565527
2010-03-23,13.07,13.44,12.81,13.43,9092700,12.911632
2010-03-24,13.35,13.87,13.34,13.81,11060200,13.276965
2010-03-25,13.88,14.45,13.85,14.2,17938500,13.651912
2010-03-26,14.15,14.9,14.15,14.5,12418800,13.940332
2010-03-29,14.57,14.76,14.49,14.65,12981500,14.084542
2010-03-30,14.66,14.82,14.5,14.62,11130600,14.055701
2010-03-31,14.48,14.7,14.39,14.59,6676200,14.026859
2010-04-01,14.63,14.89,14.61,14.69,7045600,14.122998
2010-04-05,14.69,14.78,14.25,14.42,12949300,13.86342
2010-04-06,14.27,14.66,14.27,14.66,9131800,14.094157
2010-04-07,14.55,14.65,14.06,14.17,16171400,13.62307
2010-04-08,14.63,14.83,14.36,14.81,13900700,14.238368
2010-04-09,14.76,14.86,14.49,14.58,11695600,14.017245
2010-04-12,14.67,14.94,14.61,14.93,8403200,14.353736
2010-04-13,14.84,14.92,14.3,14.37,9319100,13.81535
2010-04-14,14.47,14.78,14.33,14.39,10568900,13.834579
2010-04-15,14.4,14.56,14.01,14.39,14046900,13.834579
2010-04-16,14.38,14.4,13.7,13.87,13023100,13.334649
2010-04-19,13.78,14.2,13.17,13.18,18874700,12.671282
2010-04-20,13.4,13.48,12.68,13.16,25945600,12.652053
2010-04-21,13.37,13.37,12.35,12.57,25576200,12.084826
2010-04-22,12.6,12.84,12.1,12.36,26749900,11.882931
2010-04-23,12.47,13.22,12.45,13.01,20970900,12.507843
2010-04-26,13.08,13.15,12.78,12.95,14005900,12.450159
2010-04-27,12.88,12.99,12.2,12.22,13762800,11.748336
2010-04-28,12.47,12.57,12.11,12.18,13210400,11.70988
2010-04-29,12.36,12.51,11.95,12.11,13514300,11.642581
2010-04-30,12.21,12.58,12.0,12.08,22022900,11.613739
2010-05-03,12.3,12.74,12.16,12.59,12473500,12.104054
2010-05-04,12.28,12.35,11.49,11.76,18811600,11.306091
2010-05-05,11.51,12.42,11.3,12.33,24063000,11.85409
2010-05-06,12.15,12.53,10.9,11.72,21529100,11.267634
2010-05-07,11.73,12.31,11.4,11.7,22890900,11.248406
2010-05-10,12.44,12.44,12.1,12.3,9885000,11.825248
2010-05-11,12.17,12.51,11.92,12.4,13176200,11.921387
2010-05-12,12.54,13.62,12.5,13.55,19995700,13.027001
2010-05-13,13.5,13.97,13.18,13.25,10911900,12.73858
2010-05-14,13.21,13.9,13.01,13.74,19889400,13.209667
2010-05-17,13.76,14.0,13.3,13.94,10750400,13.401947
2010-05-18,13.98,14.1,13.45,13.57,11284500,13.046228
2010-05-19,13.4,13.85,13.2,13.63,10407300,13.103913
2010-05-20,13.23,13.4,12.86,12.91,15818600,12.411703
2010-05-21,12.68,13.54,12.65,13.34,11238500,12.825106
2010-05-24,13.12,13.9,13.01,13.46,9253200,12.940474
2010-05-25,13.0,13.92,13.0,13.84,12158200,13.305807
2010-05-26,13.97,14.48,13.43,13.85,16419800,13.315421
2010-05-27,14.09,14.26,13.84,13.95,12319900,13.411561
2010-05-28,13.65,13.91,13.4,13.58,8475200,13.055842
2010-06-01,13.31,13.88,13.24,13.54,11559500,13.017386
2010-06-02,13.89,14.25,13.86,14.09,17184800,13.546158
2010-06-03,14.18,14.5,14.04,14.28,10460200,13.728824
2010-06-04,13.95,14.1,13.5,13.58,10129700,13.055842
2010-06-07,13.68,13.88,13.11,13.13,8644600,12.623211
2010-06-08,13.26,13.43,12.78,13.19,10711200,12.680895
2010-06-09,13.25,13.73,13.25,13.36,8691600,12.844334
2010-06-10,13.64,13.7,13.33,13.35,12495600,12.83472
2010-06-11,13.21,13.59,13.08,13.45,9612100,12.93086
2010-06-14,13.65,14.06,13.61,13.69,16056800,13.161596
2010-06-15,13.89,14.16,13.75,13.99,12452700,13.450017
2010-06-16,13.88,14.48,13.78,14.08,12239100,13.536543
2010-06-17,14.16,14.4,13.95,14.19,7956300,13.642297
2010-06-18,14.18,14.2,13.44,13.71,13390000,13.180825
2010-06-21,13.88,14.0,13.33,13.49,8075000,12.969316
2010-06-22,13.49,13.61,12.62,12.67,11331000,12.180966
2010-06-23,12.73,12.88,12.42,12.66,7757100,12.171352
2010-06-24,12.52,12.74,12.29,12.31,7594100,11.834862
2010-06-25,12.3,12.35,11.81,12.0,11967400,11.536827
2010-06-28,12.09,12.32,11.93,12.04,7610400,11.575283
2010-06-29,11.78,11.78,11.24,11.31,10400100,10.87346
2010-06-30,11.37,12.25,11.3,11.75,16054200,11.296476
2010-07-01,11.97,12.28,11.33,11.72,14191300,11.267634
2010-07-02,11.64,11.82,10.71,11.03,18289100,10.604266
2010-07-06,11.4,11.7,10.96,11.1,9754900,10.671565
2010-07-07,11.28,11.74,10.93,11.71,10661800,11.25802
2010-07-08,11.9,11.96,11.5,11.77,5722400,11.315705
2010-07-09,11.78,11.9,11.51,11.65,6974700,11.200336
2010-07-12,11.71,12.08,11.43,11.67,9615500,11.219564
2010-07-13,11.9,12.27,11.9,12.11,10829200,11.642581
2010-07-14,12.16,12.4,12.0,12.21,8406400,11.738721
2010-07-15,12.26,12.32,11.8,12.01,8121800,11.546441
2010-07-16,11.95,12.14,11.68,11.72,8205100,11.267634
2010-07-19,11.43,11.7,10.4,11.38,29991000,10.940758
2010-07-20,11.18,11.62,11.1,11.53,9408900,11.084968
2010-07-21,11.54,11.76,10.85,10.9,15492500,10.479284
