Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,54.740002,56.200001,54.34,56.060001,3974600,47.678663
2010-01-05,56.189999,56.560001,55.599998,55.849998,3007400,47.500057
2010-01-06,55.57,56.040001,55.220001,55.700001,2854500,47.372485
2010-01-07,55.380001,56.130001,55.169998,56.099998,2694000,47.71268
2010-01-08,55.779999,57.75,55.299999,57.630001,4165500,49.013937
2010-01-11,58.259998,60.16,58.16,59.950001,8119900,50.987082
2010-01-12,58.889999,58.970001,56.459999,57.389999,8129400,48.809817
2010-01-13,57.75,58.540001,55.889999,58.290001,6647000,49.575263
2010-01-14,58.700001,58.869999,57.779999,58.349998,4170800,49.62629
2010-01-15,58.360001,58.59,55.959999,56.330002,6654200,47.908297
2010-01-19,56.369999,57.689999,56.139999,57.66,3618800,49.039451
2010-01-20,57.07,57.099998,55.610001,56.110001,3804200,47.721187
2010-01-21,55.93,56.470001,54.66,55.450001,5413200,47.159861
2010-01-22,55.200001,55.200001,52.869999,53.02,6205900,45.093162
2010-01-25,53.73,58.0,53.060001,53.689999,4313400,45.662991
2010-01-26,53.48,54.330002,52.779999,53.41,3479300,45.424854
2010-01-27,52.529999,53.41,50.619999,52.389999,6772900,44.55735
2010-01-28,52.32,52.52,50.18,51.110001,4456300,43.46872
2010-01-29,51.400002,52.330002,49.689999,49.950001,5507600,42.482148
2010-02-01,50.369999,51.860001,50.240002,51.349998,3836700,43.672836
2010-02-02,51.799999,52.860001,51.610001,52.450001,3678000,44.608381
2010-02-03,52.169998,53.169998,51.75,51.84,2497200,44.08958
2010-02-04,51.349998,51.450001,49.68,49.869999,4636500,42.414107
2010-02-05,49.759998,50.169998,48.330002,49.82,5771500,42.371582
2010-02-08,49.84,50.59,48.84,48.959999,3775400,41.640158
2010-02-09,49.900002,51.360001,49.73,50.32,5841600,42.796829
2010-02-10,50.439999,50.650002,49.43,50.049999,3155300,42.567196
2010-02-11,49.91,52.509998,49.849998,52.32,5045200,44.497816
2010-02-12,51.470001,53.16,51.110001,53.110001,5683500,45.169707
2010-02-16,53.759998,54.549999,53.540001,53.779999,6325800,45.739536
2010-02-17,57.689999,58.049999,56.049999,56.48,17375400,48.035869
2010-02-18,56.919998,57.52,56.450001,57.259998,6090000,48.699252
2010-02-19,57.110001,57.720001,56.599998,57.279999,4262100,48.716263
2010-02-22,57.599998,57.75,56.490002,56.700001,4127600,48.222978
2010-02-23,56.580002,57.439999,55.450001,56.09,4890200,47.704177
2010-02-24,56.299999,56.990002,55.740002,56.18,3982800,47.780721
2010-02-25,55.27,57.119999,54.599998,56.959999,5749000,48.444105
2010-02-26,57.34,57.490002,56.240002,57.299999,4068600,48.733273
2010-03-01,57.450001,58.459999,57.450001,58.290001,3529600,49.575263
2010-03-02,58.580002,58.990002,57.66,58.209999,3547700,49.507222
2010-03-03,58.349998,59.700001,58.330002,58.66,3921600,49.889945
2010-03-04,58.779999,59.330002,58.07,58.5,3374900,49.753866
2010-03-05,59.290001,59.849998,59.009998,59.540001,3086000,50.63838
2010-03-08,59.59,59.779999,58.779999,59.200001,2429700,50.349212
2010-03-09,58.849998,59.73,58.759998,59.279999,3370400,50.41725
2010-03-10,59.279999,59.349998,58.110001,58.490002,4794100,49.745362
2010-03-11,58.16,58.290001,56.709999,57.73,7502500,49.098985
2010-03-12,58.310001,58.939999,57.959999,58.639999,4650900,49.872934
2010-03-15,58.43,58.599998,57.599998,58.130001,3531100,49.439184
2010-03-16,58.389999,59.0,57.75,58.919998,3566600,50.111071
2010-03-17,59.02,59.959999,58.959999,59.59,3866700,50.680904
2010-03-18,59.32,59.91,58.959999,59.25,3415000,50.391736
2010-03-19,58.990002,59.639999,58.639999,58.990002,5244000,50.170609
2010-03-22,58.330002,60.040001,58.279999,60.02,5205800,51.046616
2010-03-23,60.200001,62.080002,60.099998,61.959999,8971600,52.696572
2010-03-24,61.639999,61.650002,60.310001,60.490002,6149600,51.446349
2010-03-25,61.060001,61.830002,60.07,60.200001,5452100,51.199705
2010-03-26,60.52,61.200001,60.110001,60.560001,4195800,51.505883
2010-03-29,60.830002,61.419998,60.73,61.349998,3364400,52.420136
2010-03-30,61.560001,62.0,60.990002,61.110001,3932400,52.215071
2010-03-31,60.619999,61.139999,59.200001,59.459999,5567300,50.805238
2010-04-01,59.990002,60.700001,59.099998,59.740002,5010400,51.044484
2010-04-05,60.380001,60.799999,60.099998,60.639999,3515000,51.813482
2010-04-06,60.48,60.849998,60.27,60.68,2270100,51.84766
2010-04-07,60.66,60.959999,59.939999,60.400002,3690600,51.608417
2010-04-08,60.220001,60.779999,59.709999,60.619999,2714000,51.796392
2010-04-09,60.860001,61.68,60.740002,61.68,2807200,52.702104
2010-04-12,61.759998,62.389999,61.580002,62.040001,3805100,53.009705
2010-04-13,61.73,62.200001,61.09,61.540001,2381200,52.582483
2010-04-14,61.810001,62.029999,60.639999,61.77,3581700,52.779004
2010-04-15,61.52,62.73,61.259998,61.759998,2546300,52.770458
2010-04-16,61.509998,61.939999,59.889999,60.509998,4345700,51.702403
2010-04-19,60.060001,61.0,59.240002,60.470001,3536600,51.668228
2010-04-20,60.849998,61.5,60.029999,60.200001,3187300,51.437527
2010-04-21,60.330002,61.0,59.889999,60.5,3533600,51.69386
2010-04-22,59.889999,61.09,59.09,60.959999,2832900,52.086903
2010-04-23,60.990002,61.830002,60.669998,61.790001,3838700,52.796094
2010-04-26,62.470001,63.68,62.02,62.209999,4530700,53.154958
2010-04-27,61.779999,62.09,59.009998,59.32,4932200,50.685616
2010-04-28,59.959999,60.27,59.27,59.580002,2948700,50.907773
2010-04-29,60.16,60.799999,59.75,60.610001,2662500,51.787849
2010-04-30,61.029999,61.650002,59.77,59.82,3984700,51.112838
2010-05-03,60.41,61.599998,59.82,61.32,4745500,52.394504
2010-05-04,60.23,60.610001,57.869999,58.419998,6055300,49.916615
2010-05-05,57.290001,58.77,55.82,57.509998,6720400,49.139071
2010-05-06,56.970001,58.139999,52.73,56.389999,9057800,48.182095
2010-05-07,56.119999,57.380001,54.630001,56.380001,7929700,48.173552
2010-05-10,58.779999,59.669998,57.32,59.43,4719600,50.779605
2010-05-11,58.720001,60.41,58.5,59.459999,3394500,50.805238
2010-05-12,59.860001,61.310001,59.84,61.139999,4043000,52.240704
2010-05-13,61.040001,61.169998,59.799999,59.880001,3299400,51.164106
2010-05-14,59.119999,59.490002,57.299999,58.360001,4523800,49.86535
2010-05-17,58.57,58.869999,56.77,57.950001,4221700,49.515029
2010-05-18,58.470001,59.599998,57.0,57.16,4433600,48.840017
2010-05-19,59.470001,59.52,56.0,58.869999,11276800,50.301115
2010-05-20,57.040001,58.560001,56.349998,56.669998,8009300,48.421338
2010-05-21,55.52,59.049999,55.23,58.73,7004500,50.181494
2010-05-24,58.189999,58.869999,56.189999,56.330002,5300400,48.13083
2010-05-25,54.869999,55.900002,53.200001,55.889999,8849200,47.754873
2010-05-26,56.700001,57.610001,55.919998,56.139999,5225500,47.968484
2010-05-27,57.240002,59.490002,57.240002,59.439999,5068200,50.788148
2010-05-28,59.400002,59.57,57.029999,57.68,5162100,49.284328
2010-06-01,57.220001,58.68,56.580002,57.130001,4939800,48.814385
2010-06-02,58.099998,60.099998,57.0,60.07,7109000,51.326449
2010-06-03,60.41,60.860001,59.209999,59.669998,5281500,50.98467
2010-06-04,58.369999,59.330002,56.5,56.880001,5196200,48.600774
2010-06-07,57.139999,57.150002,54.709999,54.779999,5371700,46.806439
2010-06-08,55.009998,55.720001,53.950001,55.060001,6148700,47.045686
2010-06-09,55.759998,57.450001,54.939999,55.27,4816100,47.225118
2010-06-10,56.84,58.0,56.549999,57.869999,4373400,49.446671
2010-06-11,57.23,58.970001,56.950001,58.860001,3544000,50.292572
2010-06-14,59.450001,59.689999,57.27,57.639999,6107200,49.25015
2010-06-15,58.459999,59.509998,57.400002,59.5,6232800,50.839416
2010-06-16,59.009998,59.68,58.619999,59.34,3372400,50.702705
2010-06-17,59.830002,59.959999,58.259998,59.419998,4043800,50.771059
2010-06-18,59.5,59.849998,58.75,59.259998,5729700,50.634348
2010-06-21,60.0,61.43,59.849998,60.450001,5562200,51.651138
2010-06-22,60.380001,60.75,58.919998,59.099998,3965500,50.497637
2010-06-23,59.07,59.849998,58.209999,59.209999,3200700,50.591627
2010-06-24,58.73,59.419998,58.060001,58.189999,3722600,49.720093
2010-06-25,58.73,59.860001,58.119999,59.740002,8440100,51.044484
2010-06-28,59.509998,59.509998,58.360001,58.509998,2993200,50.245837
2010-06-29,57.540001,57.549999,54.900002,55.43,5541200,47.600869
