Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,44.490002,45.25,44.490002,44.790001,774200,42.167656
2010-01-05,44.869999,45.119999,44.619999,45.099998,762300,42.459504
2010-01-06,45.0,45.5,44.919998,45.279999,505100,42.628965
2010-01-07,45.119999,45.130001,44.48,44.669998,706500,42.054679
2010-01-08,44.48,44.669998,44.07,44.290001,715400,41.69693
2010-01-11,44.529999,45.130001,44.09,44.25,797200,41.659271
2010-01-12,44.040001,44.040001,43.419998,43.669998,525400,41.113226
2010-01-13,43.869999,44.02,43.23,43.990002,481300,41.414495
2010-01-14,43.91,44.470001,43.66,44.400002,563500,41.80049
2010-01-15,44.220001,44.330002,43.200001,43.66,806800,41.103814
2010-01-19,43.57,44.310001,43.560001,44.299999,724100,41.706343
2010-01-20,43.860001,43.93,43.419998,43.700001,902700,41.141473
2010-01-21,43.639999,44.23,43.060001,43.27,953700,40.736648
2010-01-22,42.939999,43.080002,42.119999,42.16,748500,39.691635
2010-01-25,42.540001,43.18,42.299999,42.889999,1094000,40.378895
2010-01-26,42.639999,43.400002,42.389999,42.700001,819600,40.20002
2010-01-27,42.709999,42.950001,42.0,42.869999,1393600,40.360065
2010-01-28,45.779999,45.779999,43.459999,44.380001,3461300,41.78166
2010-01-29,44.779999,44.779999,43.509998,44.02,2174000,41.442737
2010-02-01,44.48,45.130001,44.450001,44.810001,1251500,42.186485
2010-02-02,45.619999,46.299999,44.700001,46.200001,1582000,43.495104
2010-02-03,46.029999,46.310001,45.790001,45.91,923400,43.222082
2010-02-04,45.41,45.41,43.200001,43.240002,2361000,40.708405
2010-02-05,43.16,43.330002,41.93,42.889999,1504300,40.378895
2010-02-08,42.959999,43.169998,42.349998,42.369999,854500,39.889339
2010-02-09,43.029999,43.450001,42.529999,43.02,766900,40.501285
2010-02-10,42.93,42.93,41.790001,42.41,790500,40.13223
2010-02-11,42.259998,42.82,41.810001,42.810001,912100,40.510748
2010-02-12,42.310001,43.049999,42.060001,43.0,875200,40.690542
