Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,11.84,11.99,11.69,11.71,6197000,9.804392
2005-01-04,11.76,11.86,11.53,11.53,7322800,9.653684
2005-01-05,11.54,11.63,11.28,11.4,7483200,9.544839
2005-01-06,11.75,11.81,11.65,11.74,10244500,9.82951
2005-01-07,11.89,11.93,11.76,11.88,8833000,9.946728
2005-01-10,11.88,11.92,11.79,11.89,6707600,9.9551
2005-01-11,11.7,11.81,11.56,11.76,11334200,9.846256
2005-01-12,11.66,11.85,11.56,11.81,8585800,9.888119
2005-01-13,11.82,11.96,11.8,11.87,10984200,9.938355
2005-01-14,11.91,11.99,11.71,11.77,8565100,9.854629
2005-01-18,11.8,12.24,11.68,12.23,13132000,10.23977
2005-01-19,12.4,12.4,11.9,11.93,7464000,9.988591
2005-01-20,11.9,11.91,11.6,11.66,6872500,9.762529
2005-01-21,11.67,11.79,11.52,11.52,7961900,9.645312
2005-01-24,11.46,11.5,11.11,11.25,7884300,9.41925
2005-01-25,11.33,11.66,11.33,11.51,7683700,9.636939
2005-01-26,11.51,11.9,10.7,10.95,31481100,9.168069
2005-01-27,11.13,11.14,10.7,10.75,15862600,9.000616
2005-01-28,10.75,10.83,10.61,10.74,11825600,8.992243
2005-01-31,10.83,11.01,10.72,10.94,8212100,9.159697
2005-02-01,11.02,11.08,10.87,10.93,6815600,9.151324
2005-02-02,10.99,11.14,10.98,11.1,7782300,9.29366
2005-02-03,11.12,11.14,10.98,11.05,5072800,9.251796
2005-02-04,11.05,11.32,11.01,11.32,8690600,9.477858
2005-02-07,11.48,11.92,11.46,11.76,11743300,9.846256
2005-02-08,11.86,12.1,11.85,12.09,10767100,10.122554
2005-02-09,12.03,12.19,11.62,11.68,7613900,9.779274
2005-02-10,11.76,11.83,11.42,11.76,5283400,9.846256
2005-02-11,11.78,12.0,11.6,11.92,5524200,9.980218
2005-02-14,11.9,11.94,11.75,11.85,3164100,9.92161
2005-02-15,11.84,11.99,11.71,11.77,4488100,9.854629
2005-02-16,11.78,11.94,11.65,11.84,6507300,9.913237
2005-02-17,11.85,11.92,11.69,11.72,5804900,9.812765
2005-02-18,11.86,11.86,11.65,11.67,5702900,9.770902
2005-02-22,11.57,11.69,11.45,11.48,6141500,9.61182
2005-02-23,11.5,11.58,11.23,11.3,6418700,9.461113
2005-02-24,11.15,11.51,11.11,11.5,6939600,9.628566
2005-02-25,11.53,11.69,11.51,11.68,4577100,9.779274
2005-02-28,11.52,11.64,11.35,11.47,4538700,9.603448
2005-03-01,11.45,11.66,11.45,11.56,4174700,9.678803
2005-03-02,11.56,11.72,11.45,11.48,3198000,9.61182
2005-03-03,11.64,11.78,11.52,11.72,6446200,9.812765
2005-03-04,11.78,11.79,11.25,11.28,11589000,9.444367
2005-03-07,11.38,11.62,11.36,11.42,6471200,9.561585
2005-03-08,11.43,11.5,11.26,11.31,3918600,9.469486
2005-03-09,11.3,11.52,11.21,11.35,6739100,9.502977
2005-03-10,11.33,11.46,11.29,11.38,3592500,9.528094
2005-03-11,11.4,11.51,11.27,11.3,3518100,9.461113
2005-03-14,11.33,11.52,11.32,11.48,5026300,9.61182
2005-03-15,11.49,11.61,11.31,11.34,4635600,9.494604
2005-03-16,11.28,11.4,11.11,11.17,5365500,9.352268
2005-03-17,11.11,11.38,11.07,11.32,6681400,9.477858
2005-03-18,11.32,11.38,11.0,11.1,8783600,9.29366
2005-03-21,11.1,11.14,10.81,10.82,7544800,9.059225
2005-03-22,10.8,11.17,10.8,10.97,7952400,9.184815
2005-03-23,11.07,11.07,10.78,10.82,5686600,9.059225
2005-03-24,10.86,11.08,10.83,10.86,5698700,9.092715
2005-03-28,10.87,11.05,10.87,11.0,3510000,9.209933
2005-03-29,10.97,11.09,10.82,10.85,4244900,9.084343
2005-03-30,10.83,11.0,10.77,10.8,5828700,9.04248
2005-03-31,11.0,11.2,10.85,11.13,5598200,9.318778
2005-04-01,11.21,11.3,11.11,11.14,5913300,9.32715
2005-04-04,11.09,11.27,10.97,11.25,4661100,9.41925
2005-04-05,11.19,11.32,11.16,11.25,6154100,9.41925
2005-04-06,11.37,11.84,11.28,11.76,11246100,9.846256
2005-04-07,11.79,12.1,11.67,12.06,12559400,10.097436
2005-04-08,12.04,12.22,11.98,11.98,5778700,10.030454
2005-04-11,11.95,12.0,11.71,11.84,4542600,9.913237
2005-04-12,11.68,11.94,11.58,11.9,4422800,9.963473
2005-04-13,11.85,11.85,11.53,11.6,8985200,9.712293
2005-04-14,11.6,11.67,11.32,11.39,6222900,9.536467
2005-04-15,11.41,11.42,11.07,11.1,6914900,9.29366
2005-04-18,11.54,11.9,11.44,11.56,12259400,9.678803
2005-04-19,11.65,11.79,11.65,11.69,7492000,9.787646
2005-04-20,11.94,12.51,11.84,12.32,24123600,10.315125
2005-04-21,12.43,12.6,11.93,12.32,15039800,10.315125
2005-04-22,12.31,12.51,12.11,12.32,8627700,10.315125
2005-04-25,12.54,12.6,12.35,12.6,6045600,10.54956
2005-04-26,12.45,12.77,12.43,12.56,9289400,10.516069
2005-04-27,12.75,13.73,12.74,13.57,36506000,11.361708
2005-04-28,13.48,13.9,13.46,13.8,20110100,11.55428
2005-04-29,13.8,13.95,13.15,13.75,13297400,11.512416
2005-05-02,13.65,13.92,13.65,13.81,10107800,11.562652
2005-05-03,13.64,13.89,13.55,13.84,7229500,11.58777
2005-05-04,13.8,13.86,13.54,13.69,12148500,11.46218
