Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,24.709999,24.780001,24.43,24.65,1168800,17.073351
2005-01-04,24.629999,24.77,24.440001,24.5,1300500,16.969457
2005-01-05,24.26,24.629999,24.25,24.34,1062500,16.858636
2005-01-06,24.299999,24.48,24.299999,24.379999,479200,16.88634
2005-01-07,24.49,24.49,24.129999,24.139999,1432000,16.720109
2005-01-10,24.049999,24.200001,23.99,24.059999,1125700,16.664699
2005-01-11,23.98,24.190001,23.83,24.049999,679100,16.657772
2005-01-12,23.91,24.08,23.639999,23.82,923800,16.498468
2005-01-13,23.870001,23.870001,23.459999,23.5,716400,16.276826
2005-01-14,23.700001,23.700001,23.34,23.530001,1272100,16.297605
2005-01-18,23.459999,23.85,23.389999,23.82,880700,16.498468
2005-01-19,23.75,23.940001,23.6,23.700001,555800,16.415353
2005-01-20,23.43,23.83,23.43,23.799999,743900,16.484615
2005-01-21,23.35,23.74,23.07,23.6,1185100,16.346089
2005-01-24,23.370001,23.52,23.209999,23.299999,1128700,16.138299
2005-01-25,23.23,23.549999,22.940001,22.950001,1783700,15.895879
2005-01-26,23.1,23.16,22.92,23.09,920700,15.992847
2005-01-27,22.9,23.09,22.879999,23.08,923000,15.985921
2005-01-28,22.93,22.969999,22.540001,22.77,1165100,15.771206
2005-01-31,22.870001,23.0,22.73,22.969999,680700,15.909731
2005-02-01,23.0,23.290001,22.799999,23.07,944700,15.978994
2005-02-02,23.0,23.200001,22.91,23.059999,641500,15.972068
2005-02-03,23.030001,23.120001,22.84,22.91,609600,15.868174
2005-02-04,22.780001,23.209999,22.780001,23.15,551700,16.034405
2005-02-07,23.059999,23.440001,23.059999,23.379999,733600,16.19371
2005-02-08,23.469999,23.48,23.18,23.209999,475300,16.075962
2005-02-09,23.24,23.299999,22.860001,22.889999,676200,15.854321
2005-02-10,22.9,23.030001,22.76,22.870001,670400,15.840469
2005-02-11,22.969999,23.01,22.67,22.969999,480400,15.909731
2005-02-14,22.799999,22.99,22.719999,22.99,264000,15.923584
2005-02-15,22.860001,23.209999,22.860001,23.139999,708700,16.027478
2005-02-16,23.18,23.18,22.83,22.879999,321000,15.847394
2005-02-17,22.75,22.85,22.610001,22.610001,375500,15.660385
2005-02-18,22.82,22.82,22.48,22.559999,431900,15.625752
2005-02-22,22.5,22.559999,22.299999,22.360001,798700,15.487227
2005-02-23,22.48,22.67,22.24,22.299999,858200,15.445668
2005-02-24,22.290001,22.379999,22.15,22.379999,611800,15.501079
2005-02-25,22.299999,22.530001,22.290001,22.379999,530700,15.501079
2005-02-28,22.27,22.620001,22.25,22.5,805700,15.584195
2005-03-01,22.6,23.35,22.530001,23.110001,1873300,16.0067
2005-03-02,23.139999,23.200001,22.870001,23.01,782500,15.937437
2005-03-03,22.950001,23.18,22.790001,23.049999,906700,15.965141
2005-03-04,23.200001,23.41,23.09,23.25,507700,16.103668
2005-03-07,23.27,23.450001,23.190001,23.26,724700,16.110595
2005-03-08,23.0,23.440001,23.0,23.43,717400,16.228342
2005-03-09,23.379999,23.379999,22.950001,23.129999,633100,16.020552
2005-03-10,22.9,23.41,22.9,23.33,714400,16.159079
2005-03-11,23.35,23.5,22.940001,23.030001,677500,15.95129
2005-03-14,23.129999,23.5,23.049999,23.379999,491400,16.19371
2005-03-15,23.15,23.360001,23.01,23.110001,567100,16.144809
2005-03-16,23.030001,23.16,23.0,23.1,918500,16.137823
2005-03-17,23.1,23.17,23.0,23.1,640000,16.137823
2005-03-18,23.059999,23.219999,22.99,23.15,1400000,16.172752
2005-03-21,23.110001,23.139999,22.84,23.02,890400,16.081934
2005-03-22,22.92,23.09,22.65,22.76,840600,15.900296
2005-03-23,22.82,22.84,22.610001,22.690001,840600,15.851394
2005-03-24,22.73,22.83,22.48,22.5,619300,15.718658
2005-03-28,22.540001,22.76,22.540001,22.559999,539100,15.760574
2005-03-29,23.25,23.35,22.809999,23.040001,1661900,16.095907
2005-03-30,23.1,23.6,22.889999,23.59,1141200,16.48014
2005-03-31,23.59,23.92,23.5,23.9,1288900,16.696708
2005-04-01,23.700001,24.049999,23.209999,23.34,1910400,16.305488
2005-04-04,23.41,23.5,23.129999,23.41,613900,16.35439
2005-04-05,23.49,23.68,23.440001,23.5,459500,16.417265
2005-04-06,23.629999,23.85,23.549999,23.67,440400,16.536028
2005-04-07,23.629999,23.93,23.57,23.780001,450500,16.612876
2005-04-08,23.870001,23.91,23.610001,23.67,549200,16.536028
2005-04-11,23.629999,23.77,23.57,23.610001,584200,16.494112
2005-04-12,23.65,24.030001,23.299999,23.92,785900,16.71068
2005-04-13,23.98,24.0,23.32,23.33,682500,16.298502
2005-04-14,23.209999,23.290001,22.860001,23.0,968700,16.067962
2005-04-15,22.84,23.24,22.82,23.0,983900,16.067962
2005-04-18,23.0,23.43,22.85,23.33,770700,16.298502
2005-04-19,23.360001,23.52,23.219999,23.379999,844600,16.333432
2005-04-20,23.33,23.370001,22.610001,22.719999,778600,15.872351
2005-04-21,22.85,23.059999,22.57,23.01,554700,16.074948
2005-04-22,23.07,23.1,22.690001,22.82,551900,15.942212
2005-04-25,22.799999,23.389999,22.799999,23.27,792200,16.256586
2005-04-26,23.51,23.73,23.139999,23.26,820300,16.2496
2005-04-27,23.25,23.34,23.0,23.26,700400,16.2496
2005-04-28,23.1,23.35,23.0,23.120001,521000,16.151795
2005-04-29,23.1,23.530001,22.84,23.49,725800,16.410279
2005-05-02,23.4,23.76,23.389999,23.690001,678600,16.550001
2005-05-03,23.67,24.0,23.620001,23.790001,596900,16.619862
2005-05-04,23.85,24.23,23.75,24.17,838100,16.885332
2005-05-05,24.23,24.35,23.77,23.99,764600,16.759582
2005-05-06,24.01,24.139999,23.690001,23.77,800500,16.605889
2005-05-09,23.700001,23.950001,23.700001,23.950001,361600,16.731639
2005-05-10,23.780001,23.969999,23.65,23.74,883100,16.584931
2005-05-11,23.83,23.9,23.469999,23.639999,593900,16.51507
2005-05-12,23.74,23.93,23.309999,23.309999,452100,16.284529
2005-05-13,23.440001,23.440001,22.92,23.139999,1413900,16.165766
2005-05-16,23.24,23.76,23.120001,23.75,490700,16.591917
2005-05-17,23.610001,23.93,23.450001,23.84,342400,16.654792
2005-05-18,23.790001,24.35,23.790001,24.35,445000,17.011081
2005-05-19,24.15,24.27,23.9,24.15,622200,16.871359
2005-05-20,24.35,24.35,23.879999,24.049999,484100,16.801498
2005-05-23,23.65,23.860001,23.5,23.75,947800,16.591917
2005-05-24,23.67,23.879999,23.540001,23.84,663200,16.654792
2005-05-25,23.959999,23.959999,23.59,23.73,478300,16.577944
2005-05-26,23.620001,23.93,23.620001,23.799999,452700,16.626847
2005-05-27,23.73,23.879999,23.65,23.709999,263600,16.563972
2005-05-31,23.5,23.700001,23.309999,23.32,1035400,16.291516
2005-06-01,23.27,24.17,23.27,23.690001,1234800,16.550001
2005-06-02,23.790001,23.870001,23.549999,23.809999,379400,16.633833
2005-06-03,23.75,24.290001,23.0,23.98,1119900,16.752596
2005-06-06,23.92,24.120001,23.82,24.07,728600,16.815471
2005-06-07,24.01,24.190001,23.790001,23.809999,543200,16.633833
2005-06-08,23.91,24.1,23.879999,24.0,448200,16.766569
2005-06-09,23.92,24.15,23.85,24.040001,716000,16.794514
2005-06-10,24.0,24.1,23.91,23.98,586400,16.752596
2005-06-13,23.9,24.290001,23.870001,24.190001,662200,16.899304
2005-06-14,24.190001,24.200001,23.91,24.190001,482300,17.050851
2005-06-15,24.290001,24.290001,24.09,24.290001,646600,17.121339
2005-06-16,24.290001,24.469999,24.190001,24.379999,659200,17.184776
2005-06-17,24.57,24.690001,24.34,24.68,1104800,17.396239
2005-06-20,24.49,24.75,24.41,24.639999,576600,17.368043
2005-06-21,24.65,24.690001,24.440001,24.57,561000,17.318702
2005-06-22,24.6,24.75,24.299999,24.35,1251300,17.163631
2005-06-23,24.4,24.450001,23.99,24.0,830700,16.916925
2005-06-24,24.0,24.190001,24.0,24.02,886400,16.931023
2005-06-27,24.0,24.1,23.959999,24.049999,533400,16.952168
2005-06-28,24.17,24.58,24.059999,24.530001,572400,17.290508
2005-06-29,24.549999,24.6,24.360001,24.530001,1032500,17.290508
2005-06-30,24.5,24.58,24.139999,24.139999,965800,17.015607
2005-07-01,24.389999,24.42,24.120001,24.23,1076100,17.079046
2005-07-05,24.200001,24.450001,24.1,24.42,649000,17.212972
2005-07-06,24.42,24.42,24.02,24.049999,533200,16.952168
2005-07-07,23.91,24.190001,23.639999,24.18,878100,17.043803
2005-07-08,24.1,24.48,24.1,24.459999,499600,17.241166
2005-07-11,24.58,24.66,24.41,24.639999,676400,17.368043
2005-07-12,24.530001,24.799999,24.51,24.66,573400,17.382141
2005-07-13,24.559999,25.01,24.559999,24.84,744500,17.509018
2005-07-14,24.73,24.959999,24.68,24.85,564500,17.516067
2005-07-15,24.85,25.0,24.610001,24.98,769000,17.6077
2005-07-18,24.83,24.99,24.450001,24.48,768200,17.255264
2005-07-19,24.42,24.879999,24.42,24.799999,1021500,17.480822
2005-07-20,24.780001,25.41,24.700001,25.4,1609700,17.903746
2005-07-21,25.18,25.33,24.9,25.07,1032500,17.671138
2005-07-22,25.02,25.370001,25.01,25.299999,1090400,17.833258
2005-07-25,25.299999,25.389999,25.120001,25.190001,746300,17.755723
2005-07-26,25.209999,25.379999,25.17,25.24,670700,17.790966
2005-07-27,25.32,25.4,25.049999,25.08,550000,17.678187
2005-07-28,25.17,25.32,25.040001,25.26,495600,17.805064
2005-07-29,25.25,25.34,24.85,24.940001,696500,17.579505
2005-08-01,24.870001,25.08,24.870001,24.969999,795900,17.600651
2005-08-02,25.01,25.15,24.9,25.059999,490800,17.664089
2005-08-03,24.799999,25.120001,24.75,25.1,654400,17.692285
2005-08-04,25.15,25.15,24.620001,24.67,826300,17.38919
2005-08-05,24.66,24.67,24.32,24.32,759000,17.142484
2005-08-08,24.4,24.49,24.25,24.309999,694900,17.135435
2005-08-09,24.32,24.52,24.32,24.459999,1097700,17.241166
2005-08-10,24.450001,24.629999,24.360001,24.459999,1502100,17.241166
2005-08-11,24.530001,24.610001,24.389999,24.6,1255700,17.339849
2005-08-12,24.530001,24.67,24.42,24.59,1489400,17.3328
2005-08-15,24.540001,24.780001,24.43,24.719999,1657500,17.424433
2005-08-16,24.700001,24.83,24.4,24.49,1982300,17.262312
2005-08-17,24.379999,24.629999,24.34,24.540001,1869400,17.297557
2005-08-18,24.42,24.690001,24.41,24.620001,1192800,17.353947
2005-08-19,24.719999,24.790001,24.629999,24.700001,1527800,17.410336
2005-08-22,24.610001,24.9,24.610001,24.799999,1088400,17.480822
2005-08-23,24.860001,24.9,24.530001,24.549999,684200,17.304604
2005-08-24,24.5,24.610001,24.360001,24.379999,798900,17.184776
2005-08-25,24.4,24.51,24.360001,24.450001,592100,17.234118
2005-08-26,24.4,24.5,23.959999,23.959999,787000,16.88873
2005-08-29,23.879999,24.139999,23.209999,24.049999,1128600,16.952168
2005-08-30,23.950001,23.98,23.6,23.85,945200,16.811195
2005-08-31,23.75,23.99,23.65,23.99,1202400,16.909877
2005-09-01,24.0,24.209999,23.75,24.01,1156800,16.923974
2005-09-02,24.1,24.139999,23.9,23.9,469100,16.846438
2005-09-06,23.9,24.129999,23.809999,23.99,1146400,16.909877
2005-09-07,23.91,24.049999,23.719999,23.879999,1093100,16.83234
2005-09-08,23.690001,23.74,23.440001,23.5,1317200,16.564489
2005-09-09,23.58,23.77,23.440001,23.68,856200,16.691367
2005-09-12,23.68,23.780001,23.48,23.67,947000,16.684318
2005-09-13,23.799999,23.809999,23.35,23.389999,1137300,16.486953
2005-09-14,23.360001,23.379999,23.15,23.27,885800,16.554537
2005-09-15,23.25,23.370001,23.0,23.26,952200,16.547423
2005-09-16,23.379999,23.690001,23.26,23.67,1351000,16.839101
2005-09-19,23.700001,23.780001,23.34,23.389999,732200,16.639906
2005-09-20,23.35,23.82,23.290001,23.309999,934300,16.582993
2005-09-21,23.200001,23.360001,22.99,23.08,867600,16.419369
2005-09-22,23.0,23.32,22.82,23.209999,734700,16.511851
2005-09-23,23.18,23.35,23.02,23.209999,417700,16.511851
2005-09-26,23.200001,23.4,22.969999,23.1,546300,16.433597
2005-09-27,23.16,23.190001,22.879999,22.93,430100,16.312657
2005-09-28,23.030001,23.120001,22.73,22.76,505600,16.191717
2005-09-29,22.73,23.129999,22.559999,23.129999,542400,16.454939
2005-09-30,22.389999,22.940001,22.309999,22.469999,1750600,15.985407
2005-10-03,22.549999,22.58,22.139999,22.5,1939100,16.00675
2005-10-04,22.530001,22.690001,22.110001,22.110001,1029700,15.7293
2005-10-05,22.02,22.190001,21.68,21.709999,1626800,15.444735
2005-10-06,21.5,21.82,21.25,21.559999,944600,15.338023
2005-10-07,21.59,21.82,21.57,21.73,1280300,15.458963
2005-10-10,21.85,21.879999,21.49,21.530001,669700,15.316682
2005-10-11,21.5,21.68,21.17,21.219999,607900,15.096143
2005-10-12,21.09,21.389999,20.969999,21.190001,560200,15.074802
2005-10-13,21.049999,21.379999,21.02,21.32,756600,15.167285
2005-10-14,21.25,21.77,21.25,21.709999,723800,15.444735
2005-10-17,21.6,21.799999,21.41,21.6,799500,15.36648
2005-10-18,21.6,21.719999,21.34,21.370001,482200,15.202856
2005-10-19,22.24,22.24,21.42,22.129999,1049500,15.743527
2005-10-20,22.200001,22.290001,21.690001,21.780001,775200,15.494535
2005-10-21,22.1,22.27,21.92,22.110001,1140700,15.7293
2005-10-24,22.209999,22.83,22.07,22.68,1425500,16.134804
2005-10-25,22.540001,22.709999,22.33,22.540001,795300,16.035207
2005-10-26,22.379999,22.790001,22.379999,22.610001,601600,16.085006
2005-10-27,22.51,22.799999,22.51,22.57,716700,16.056549
2005-10-28,22.65,23.280001,22.65,23.200001,1701400,16.504738
2005-10-31,23.32,23.42,23.09,23.26,979500,16.547423
2005-11-01,23.16,23.370001,23.16,23.290001,896900,16.568766
2005-11-02,23.15,23.58,23.15,23.559999,921200,16.760846
2005-11-03,23.59,23.59,23.219999,23.26,702300,16.547423
2005-11-04,23.25,23.459999,23.139999,23.290001,966800,16.568766
2005-11-07,23.4,23.76,23.209999,23.75,1151900,16.896014
2005-11-08,23.66,23.790001,23.57,23.73,1217400,16.881786
2005-11-09,23.719999,24.040001,23.719999,24.0,1265400,17.073867
2005-11-10,24.049999,24.24,23.940001,24.15,1620200,17.180578
2005-11-11,24.219999,24.25,23.940001,24.190001,1547600,17.209035
2005-11-14,24.01,24.1,23.9,24.1,778800,17.145008
2005-11-15,24.08,24.200001,23.889999,24.0,1253100,17.073867
2005-11-16,24.040001,24.1,23.76,23.82,1062700,16.945813
