Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,23.0,23.0,22.43,22.549999,2738400,12.105984
2005-01-04,22.75,22.799999,22.35,22.360001,2479700,12.003983
2005-01-05,22.5,22.700001,22.32,22.620001,3065400,12.143564
2005-01-06,22.9,22.950001,22.299999,22.32,3190700,11.982509
2005-01-07,22.200001,22.57,22.200001,22.49,1315400,12.073773
2005-01-10,22.49,22.639999,22.190001,22.309999,1225400,11.97714
2005-01-11,22.299999,22.41,22.1,22.190001,1183900,11.912718
2005-01-12,22.24,22.4,22.030001,22.370001,1650300,12.009352
2005-01-13,22.459999,22.5,22.059999,22.059999,2000100,11.842927
2005-01-14,22.18,22.639999,22.129999,22.549999,1469200,12.105984
2005-01-18,22.57,22.959999,22.549999,22.860001,1957000,12.272408
2005-01-19,23.0,23.379999,22.99,23.049999,1515700,12.374409
2005-01-20,23.059999,23.24,22.870001,23.02,2142800,12.358305
2005-01-21,23.08,23.280001,22.940001,22.959999,1631500,12.326093
2005-01-24,22.98,23.15,22.82,22.82,2045100,12.250934
2005-01-25,22.83,23.08,22.75,22.85,1343600,12.26704
2005-01-26,22.9,23.15,22.74,23.030001,1403100,12.363673
2005-01-27,22.969999,23.5,22.870001,23.0,1825600,12.347567
2005-01-28,23.0,23.299999,22.889999,23.23,1791000,12.471043
2005-01-31,23.290001,23.969999,23.290001,23.700001,2601400,12.723363
2005-02-01,23.85,24.1,23.66,24.01,2349400,12.889787
2005-02-02,24.01,24.200001,23.85,24.040001,2876300,12.905893
2005-02-03,23.9,24.15,23.73,23.75,2267900,12.750205
2005-02-04,23.860001,24.309999,23.82,24.309999,2188500,13.050841
2005-02-07,24.360001,24.52,24.200001,24.41,1093000,13.104527
2005-02-08,24.5,24.58,24.27,24.4,942000,13.099158
2005-02-09,24.5,24.6,24.24,24.24,1553800,13.013262
2005-02-10,24.25,24.49,23.879999,24.030001,1138600,12.900524
2005-02-11,24.07,24.4,24.01,24.25,948600,13.018631
2005-02-14,24.25,24.33,24.120001,24.27,842200,13.029368
2005-02-15,24.26,24.540001,24.200001,24.299999,1779600,13.045473
2005-02-16,24.34,24.450001,24.0,24.26,1365600,13.023999
2005-02-17,24.33,24.440001,23.92,24.15,981000,12.964945
2005-02-18,24.25,24.299999,23.84,23.959999,1195900,12.862943
2005-02-22,23.969999,24.1,23.379999,23.5,1562700,12.615993
2005-02-23,23.5,23.82,23.32,23.719999,1932700,12.734099
2005-02-24,23.709999,23.709999,23.209999,23.299999,3165400,12.508622
2005-02-25,23.309999,23.469999,23.0,23.43,2489200,12.578413
2005-02-28,23.379999,23.799999,23.34,23.780001,2027900,12.766311
2005-03-01,23.84,24.42,23.75,24.42,2090100,13.109895
2005-03-02,24.27,24.49,24.1,24.48,1568000,13.223331
2005-03-03,24.0,24.26,23.799999,24.110001,2539200,13.023469
2005-03-04,24.309999,24.459999,24.209999,24.450001,931100,13.207127
2005-03-07,24.389999,24.700001,24.34,24.51,903800,13.239536
2005-03-08,24.559999,24.700001,24.35,24.610001,1078200,13.293554
2005-03-09,24.6,24.99,24.549999,24.92,1853800,13.461006
2005-03-10,24.93,25.26,24.860001,25.09,2257300,13.552834
2005-03-11,25.09,25.16,24.92,25.07,1506500,13.542031
2005-03-14,25.1,25.190001,24.82,25.120001,1726900,13.56904
2005-03-15,25.120001,25.18,24.91,24.91,934800,13.455604
2005-03-16,24.92,25.16,24.65,24.959999,1759700,13.482612
2005-03-17,25.049999,25.049999,24.65,24.690001,1351500,13.336767
2005-03-18,24.700001,24.709999,24.34,24.360001,2693000,13.158511
2005-03-21,24.360001,24.379999,23.93,24.129999,1303900,13.034272
2005-03-22,24.139999,24.280001,23.6,23.6,2814600,12.747983
2005-03-23,23.51,23.91,23.35,23.57,2226400,12.731778
2005-03-24,23.719999,23.879999,23.34,23.370001,1338600,12.623744
2005-03-28,23.469999,23.959999,23.469999,23.77,1301300,12.839812
2005-03-29,23.5,23.68,23.25,23.629999,2270200,12.764187
2005-03-30,23.6,24.17,23.6,24.120001,2160900,13.028871
2005-03-31,24.120001,24.530001,23.93,24.299999,1498300,13.126101
2005-04-01,24.299999,24.379999,23.75,24.110001,1945600,13.023469
2005-04-04,24.059999,24.639999,23.66,24.59,2693300,13.28275
2005-04-05,24.75,24.969999,24.540001,24.65,3246400,13.31516
2005-04-06,24.75,24.9,24.51,24.639999,2291400,13.309758
2005-04-07,23.450001,24.030001,23.4,23.860001,3147400,12.888427
2005-04-08,23.799999,23.809999,23.469999,23.559999,1601300,12.726376
2005-04-11,23.690001,23.84,23.25,23.35,1557800,12.612941
2005-04-12,23.25,23.690001,23.0,23.52,1986600,12.70477
2005-04-13,23.52,23.719999,23.209999,23.33,2482600,12.602137
2005-04-14,23.41,23.530001,22.969999,23.040001,2059000,12.445489
2005-04-15,23.0,23.209999,22.469999,22.52,2283000,12.164601
2005-04-18,22.41,22.74,22.4,22.58,2322400,12.197011
2005-04-19,22.75,22.92,22.43,22.75,2401400,12.288839
2005-04-20,22.74,22.9,21.93,22.0,2613300,11.883713
2005-04-21,22.200001,22.360001,21.93,22.299999,5646100,12.045763
2005-04-22,22.17,22.18,21.9,21.969999,2206200,11.867507
2005-04-25,22.15,22.42,22.02,22.129999,1960400,11.953934
2005-04-26,22.139999,22.200001,21.889999,21.9,2327300,11.829696
2005-04-27,21.91,22.379999,21.84,22.120001,1831100,11.948533
2005-04-28,22.110001,22.34,21.85,21.879999,1633500,11.818892
2005-04-29,21.969999,22.049999,21.51,21.690001,3126100,11.716261
2005-05-02,21.389999,21.85,21.32,21.52,3590900,11.624432
2005-05-03,21.450001,22.02,21.299999,21.77,3118600,11.759474
2005-05-04,21.799999,21.969999,21.57,21.75,3268400,11.748671
2005-05-05,21.700001,22.16,21.559999,21.709999,2534000,11.727063
2005-05-06,21.25,21.74,20.799999,20.959999,4000900,11.321937
2005-05-09,20.93,21.389999,20.9,21.200001,2557500,11.451578
2005-05-10,21.1,21.15,20.709999,20.85,2227900,11.262519
2005-05-11,20.860001,20.940001,20.42,20.49,2179000,11.068058
2005-05-12,20.540001,20.870001,20.18,20.209999,2463600,10.91681
2005-05-13,20.27,20.5,19.879999,20.43,3088800,11.035648
2005-05-16,19.6,20.559999,19.299999,20.450001,10107700,11.046452
2005-05-17,20.6,20.790001,20.32,20.450001,2898500,11.046452
2005-05-18,20.6,20.860001,20.41,20.790001,3104800,11.230109
2005-05-19,20.84,21.09,20.74,20.9,2169000,11.289527
