Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,56.68,56.950001,55.23,56.0,2321900,49.081707
2005-01-04,55.959999,55.959999,52.849998,53.43,3672000,46.829208
2005-01-05,54.5,54.689999,52.380001,52.93,2610800,46.390978
2005-01-06,52.5,53.689999,52.5,53.529999,2015200,46.916853
2005-01-07,53.529999,54.5,53.25,53.869999,1542700,47.214849
2005-01-10,54.0,55.75,54.0,55.0,2111700,48.205248
2005-01-11,55.0,55.470001,54.099998,54.91,1585600,48.126367
2005-01-12,54.119999,55.18,54.049999,55.099998,2318200,48.292893
2005-01-13,55.639999,56.779999,55.200001,56.040001,1699000,49.116767
2005-01-14,56.290001,57.810001,55.810001,57.529999,2263200,50.422689
2005-01-18,57.540001,58.400002,57.099998,57.830002,1902400,50.685629
2005-01-19,58.299999,58.919998,57.18,57.599998,1946600,50.484041
2005-01-20,57.610001,58.040001,55.34,55.400002,2552300,48.555833
2005-01-21,55.549999,56.209999,54.790001,54.810001,2219300,48.038722
2005-01-24,54.610001,55.099998,53.450001,54.290001,2523900,47.582963
2005-01-25,54.290001,55.27,54.25,55.110001,2028400,48.301659
2005-01-26,55.110001,56.900002,55.110001,56.700001,1996300,49.695229
2005-01-27,56.59,56.98,55.59,55.860001,1807800,48.959004
2005-01-28,56.029999,57.169998,55.91,56.259998,1636800,49.309585
2005-01-31,56.509998,56.639999,54.700001,56.470001,2930900,49.493644
2005-02-01,56.75,57.560001,56.669998,57.169998,1918000,50.107163
2005-02-02,57.18,58.080002,57.0,57.849998,2449300,50.703155
2005-02-03,56.849998,57.93,56.75,57.139999,1609300,50.200622
2005-02-04,57.900002,60.220001,57.790001,59.610001,3538300,52.370653
2005-02-07,59.5,60.049999,58.259998,58.75,2282200,51.615096
2005-02-08,59.299999,60.5,59.029999,59.759998,1847300,52.502435
2005-02-09,59.450001,60.23,58.450001,58.52,1476900,51.413029
2005-02-10,58.279999,59.0,57.779999,58.759998,1507700,51.62388
2005-02-11,56.650002,58.09,56.130001,57.610001,2973100,50.613544
2005-02-14,57.860001,58.060001,57.029999,57.380001,1049700,50.411477
2005-02-15,57.360001,57.369999,56.18,56.68,2266100,49.796488
2005-02-16,57.299999,58.099998,56.330002,58.049999,1437100,51.000107
2005-02-17,58.169998,59.220001,57.759998,58.549999,1642100,51.439384
2005-02-18,58.049999,58.119999,57.049999,57.98,1455800,50.938608
