Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,26.65,26.790001,25.74,26.0,2332900,16.881276
2005-01-04,26.15,26.190001,25.200001,25.549999,2681400,16.589099
2005-01-05,25.42,25.66,24.67,24.77,3260600,16.082662
2005-01-06,24.92,25.01,24.48,24.48,2451800,15.89437
2005-01-07,24.5,24.91,24.23,24.530001,1772600,15.926835
2005-01-10,24.5,24.75,24.059999,24.52,2989100,15.920342
2005-01-11,24.4,24.530001,24.110001,24.280001,1636000,15.764515
2005-01-12,24.620001,24.82,24.110001,24.469999,1903400,15.887877
2005-01-13,24.51,24.74,24.219999,24.41,2507600,15.848921
2005-01-14,24.549999,26.16,24.540001,25.18,3266300,16.348866
2005-01-18,24.85,25.35,24.82,25.190001,1596600,16.355359
2005-01-19,25.200001,25.33,24.75,24.91,1480800,16.173561
2005-01-20,24.799999,25.42,24.76,24.870001,2601400,16.14759
2005-01-21,25.0,25.290001,24.809999,24.93,2616700,16.186546
2005-01-24,24.940001,25.129999,24.639999,24.860001,2970400,16.141097
2005-01-25,25.01,26.17,25.0,25.51,3799200,16.563129
2005-01-26,26.34,26.360001,25.469999,25.860001,3354600,16.790377
2005-01-27,25.799999,26.530001,25.540001,26.35,2329500,17.108524
2005-01-28,26.290001,26.540001,25.43,25.860001,2111000,16.790377
2005-01-31,26.110001,26.32,25.860001,26.049999,1326700,16.913739
2005-02-01,25.969999,26.219999,25.84,26.18,2287900,16.998146
2005-02-02,26.290001,26.870001,26.200001,26.77,2723900,17.381221
2005-02-03,27.280001,27.360001,26.200001,26.51,2117100,17.212409
2005-02-04,26.65,27.799999,26.51,27.790001,1825300,18.043487
2005-02-07,27.719999,27.950001,27.26,27.42,1857500,17.803253
2005-02-08,27.440001,28.129999,27.33,27.9,1816000,18.114907
2005-02-09,27.75,27.860001,27.049999,27.09,2782400,17.633232
2005-02-10,27.32,27.6,27.09,27.5,1625600,17.900106
2005-02-11,27.5,28.74,27.35,28.34,2265100,18.446873
2005-02-14,28.34,28.49,27.950001,28.209999,894600,18.362253
2005-02-15,28.16,28.92,28.040001,28.43,1840900,18.505455
2005-02-16,28.290001,28.43,27.85,28.26,1641300,18.3948
2005-02-17,28.15,28.360001,27.200001,27.299999,1279200,17.769923
2005-02-18,27.32,27.43,26.77,26.790001,1637100,17.437958
2005-02-22,26.65,27.120001,26.360001,26.52,2259100,17.262211
2005-02-23,26.9,27.0,26.190001,26.559999,1958400,17.288247
2005-02-24,26.549999,27.629999,26.5,27.629999,2431100,17.984724
2005-02-25,27.469999,28.33,27.469999,28.120001,1911400,18.303672
2005-02-28,28.17,28.370001,27.290001,27.459999,2633100,17.874069
2005-03-01,27.639999,28.549999,27.629999,28.43,1780000,18.505455
2005-03-02,28.08,28.75,27.860001,28.120001,2028000,18.303672
2005-03-03,28.059999,28.27,27.110001,27.959999,2106000,18.199525
2005-03-04,28.15,28.73,28.0,28.18,3623300,18.342727
2005-03-07,28.190001,28.75,28.01,28.49,1958500,18.54451
2005-03-08,28.58,28.75,27.709999,27.82,2480300,18.108398
2005-03-09,27.73,28.24,27.33,27.440001,2751500,17.861051
2005-03-10,27.360001,27.68,26.85,27.469999,1480500,17.880578
2005-03-11,27.469999,27.780001,26.85,27.209999,1714600,17.711341
2005-03-14,27.129999,27.559999,26.98,27.290001,807500,17.763415
2005-03-15,27.35,27.450001,26.629999,26.65,1121300,17.34683
2005-03-16,26.440001,26.549999,25.959999,26.01,2212000,16.930246
2005-03-17,25.950001,26.17,25.700001,25.709999,1444100,16.734971
2005-03-18,25.92,26.16,25.700001,25.889999,2228100,16.852136
2005-03-21,25.860001,26.030001,25.440001,25.639999,1249400,16.689407
2005-03-22,25.690001,26.059999,25.16,25.379999,2453000,16.52017
2005-03-23,25.940001,26.030001,25.5,25.5,2059300,16.59828
2005-03-24,25.75,25.91,25.52,25.52,1548500,16.611299
2005-03-28,25.57,25.870001,25.51,25.52,1382500,16.611299
2005-03-29,25.5,26.059999,25.23,25.65,2269000,16.695917
2005-03-30,25.690001,26.42,25.65,26.41,1425900,17.190611
2005-03-31,26.389999,26.4,25.790001,26.01,1452400,16.930246
2005-04-01,26.23,26.25,25.09,25.290001,2638600,16.461589
2005-04-04,25.129999,25.450001,24.91,25.02,1893000,16.285842
2005-04-05,25.15,25.24,24.780001,25.08,1940400,16.324896
2005-04-06,25.299999,25.35,24.700001,24.809999,1448400,16.14915
2005-04-07,24.77,25.98,24.75,25.76,1905000,16.767517
2005-04-08,25.75,26.280001,25.629999,25.84,1371900,16.81959
