Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,22.209999,22.219999,21.790001,21.870001,3680300,18.245479
2010-01-05,21.780001,21.91,21.17,21.34,4433900,17.803316
2010-01-06,21.9,22.02,21.620001,21.99,6425800,18.345591
2010-01-07,22.18,22.309999,21.85,22.27,4979500,18.579187
2010-01-08,22.110001,22.530001,21.98,22.16,2544200,18.487416
2010-01-11,22.24,22.24,21.940001,22.08,2556000,18.420675
2010-01-12,21.92,21.98,21.51,21.860001,5357900,18.237136
2010-01-13,21.99,21.99,21.77,21.860001,3581700,18.237136
2010-01-14,21.76,21.99,21.709999,21.99,2491900,18.345591
2010-01-15,21.879999,21.950001,21.75,21.870001,4159200,18.245479
2010-01-19,21.85,22.02,21.790001,22.02,4199900,18.370619
2010-01-20,21.93,21.93,21.629999,21.82,2764500,18.203765
2010-01-21,21.84,21.98,21.389999,21.889999,4665800,18.262163
2010-01-22,21.91,22.1,21.77,21.9,5302700,18.270506
2010-01-25,22.09,22.200001,21.9,22.01,3192700,18.362276
2010-01-26,21.99,22.110001,21.83,21.950001,4582000,18.312221
2010-01-27,21.67,21.860001,21.57,21.809999,3522200,18.362735
2010-01-28,21.889999,21.889999,21.540001,21.709999,2785200,18.278541
2010-01-29,21.74,21.870001,21.530001,21.559999,3029700,18.15225
2010-02-01,21.639999,21.780001,21.530001,21.68,2487300,18.253284
2010-02-02,21.700001,22.379999,21.549999,22.35,4060900,18.817384
2010-02-03,22.34,22.41,22.190001,22.25,2415100,18.73319
2010-02-04,22.16,22.27,22.0,22.02,4859700,18.539544
2010-02-05,22.01,22.23,21.700001,22.200001,5277400,18.691093
2010-02-08,22.139999,22.280001,21.9,21.9,2668800,18.43851
2010-02-09,22.02,22.299999,21.969999,22.190001,2175700,18.682674
2010-02-10,22.139999,22.309999,21.84,22.1,3355300,18.606899
2010-02-11,22.059999,22.219999,21.74,22.139999,2980000,18.640576
2010-02-12,22.0,22.08,21.75,22.049999,3671900,18.564801
2010-02-16,22.27,22.389999,22.09,22.389999,2486800,18.851061
2010-02-17,22.700001,23.02,22.700001,22.780001,3299600,19.179419
2010-02-18,22.690001,23.34,22.68,22.870001,2663500,19.255194
2010-02-19,22.76,22.82,22.59,22.790001,2732600,19.187839
2010-02-22,22.790001,22.82,22.66,22.75,2087600,19.15416
2010-02-23,22.719999,22.969999,22.6,22.780001,3946800,19.179419
2010-02-24,22.799999,23.1,22.790001,23.08,2592700,19.432001
2010-02-25,22.9,23.209999,22.74,23.190001,3087300,19.524615
2010-02-26,23.190001,23.33,23.1,23.219999,2948600,19.549872
2010-03-01,23.209999,23.370001,23.09,23.34,2089200,19.650906
