Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,24.380001,24.719999,23.48,23.58,26667900,7.315445
2005-01-04,23.75,23.789999,22.11,22.469999,19755600,6.971079
2005-01-05,22.23,22.95,22.11,22.68,18120300,7.036229
2005-01-06,23.079999,23.35,22.3,22.46,14089200,6.967977
2005-01-07,22.510001,22.68,21.699999,22.03,19077300,6.834574
2005-01-10,22.1,22.3,21.95,22.08,14488800,6.850086
2005-01-11,21.87,21.99,21.070001,21.4,27334500,6.639123
2005-01-12,21.59,21.67,20.7,21.22,26445000,6.58328
2005-01-13,21.27,22.0,20.8,21.44,22469100,6.651532
2005-01-14,21.840001,21.89,21.3,21.51,14347800,6.673249
2005-01-18,21.27,21.900001,21.22,21.85,11613900,6.778731
2005-01-19,21.95,22.0,21.26,21.35,8412300,6.623611
2005-01-20,20.92,21.920001,20.92,21.4,16002000,6.639123
2005-01-21,21.43,21.860001,21.36,21.44,14908800,6.651532
2005-01-24,21.32,21.63,20.460001,20.58,11592600,6.384727
2005-01-25,20.67,21.23,20.55,20.94,10992600,6.496413
2005-01-26,21.010001,21.5,20.66,21.210001,10728000,6.580178
2005-01-27,21.25,23.01,21.12,22.91,25072800,7.107585
2005-01-28,23.0,23.09,22.38,22.88,16776300,7.098277
2005-01-31,23.07,23.35,22.6,22.92,14074200,7.110687
2005-02-01,22.9,23.45,22.76,23.35,12679500,7.24409
2005-02-02,24.27,24.839999,23.58,24.649999,50885100,7.647401
2005-02-03,24.39,24.559999,24.049999,24.39,17253000,7.566739
2005-02-04,24.4,25.86,24.39,25.789999,20161200,8.001074
2005-02-07,25.82,26.299999,25.250001,25.479999,13040700,7.904899
2005-02-08,25.319999,26.139999,25.239999,25.73,11394300,7.98246
2005-02-09,25.800001,25.880001,24.700001,24.83,19593900,7.703244
2005-02-10,24.959999,25.54,24.87,25.410001,15059400,7.883183
2005-02-11,25.250001,26.339999,25.159999,26.149999,13912800,8.11276
2005-02-14,26.139999,26.240001,25.5,25.600001,10822500,7.942129
2005-02-15,25.77,26.65,25.73,25.829999,18712500,8.013483
2005-02-16,25.749999,26.120001,25.279999,25.74,11661600,7.985562
2005-02-17,26.09,26.099999,25.309999,25.509999,25435200,7.914207
2005-02-18,27.47,28.3,26.710001,28.27,78303000,8.770468
2005-02-22,28.079999,29.29,27.83,28.629999,35520000,8.882154
2005-02-23,28.170001,28.520001,27.24,27.700001,27696000,8.593631
2005-02-24,27.32,28.469999,27.32,28.429999,17387400,8.820106
2005-02-25,28.469999,28.989999,28.159999,28.840001,13128300,8.947304
2005-02-28,28.7,29.000001,28.450001,28.989999,18951600,8.99384
