Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,47.77,47.82,46.439999,46.720001,1037200,36.374905
2005-01-04,46.700001,46.970001,46.150002,46.25,915800,36.008975
2005-01-05,46.25,46.75,46.200001,46.5,767700,36.203618
2005-01-06,46.419998,47.169998,46.419998,46.779999,607300,36.421618
2005-01-07,46.779999,46.830002,46.240002,46.389999,561300,36.117975
2005-01-10,46.099998,47.279999,46.099998,47.0,582700,36.592905
2005-01-11,46.75,46.900002,46.110001,46.130001,559400,35.915547
2005-01-12,45.959999,46.41,45.439999,46.259998,489500,36.01676
2005-01-13,46.259998,46.689999,45.5,45.549999,507000,35.463974
2005-01-14,45.669998,46.049999,45.549999,45.900002,596900,35.736476
2005-01-18,45.470001,46.470001,44.860001,46.400002,721600,36.125762
2005-01-19,46.169998,46.290001,45.450001,45.57,469500,35.479546
2005-01-20,45.209999,45.709999,44.93,44.93,676100,34.98126
2005-01-21,45.02,45.189999,44.27,44.27,535100,34.467402
2005-01-24,44.380001,44.599998,44.009998,44.009998,468900,34.264972
2005-01-25,44.150002,44.810001,44.150002,44.490002,573400,34.638689
2005-01-26,44.43,45.080002,44.32,44.98,574900,35.020188
2005-01-27,45.07,45.529999,44.639999,44.950001,273400,34.996832
2005-01-28,45.049999,45.049999,44.02,44.400002,496200,34.568618
2005-01-31,44.869999,45.610001,44.799999,45.549999,319200,35.463974
2005-02-01,45.400002,45.860001,45.220001,45.549999,301900,35.463974
2005-02-02,45.549999,45.950001,45.41,45.880001,278000,35.720904
2005-02-03,45.900002,46.099998,45.549999,45.93,615700,35.759832
2005-02-04,45.5,45.5,44.75,45.02,863500,35.051332
2005-02-07,44.93,45.459999,44.810001,45.259998,330500,35.238187
2005-02-08,45.099998,46.110001,45.049999,46.080002,541200,35.876619
2005-02-09,45.900002,45.900002,44.73,44.73,451800,34.825545
2005-02-10,44.73,45.220001,44.549999,44.91,368900,34.965688
2005-02-11,44.919998,45.34,44.610001,44.889999,444900,34.950116
2005-02-14,44.790001,44.900002,44.049999,44.400002,406900,34.568618
2005-02-15,44.400002,44.529999,43.799999,44.490002,526700,34.638689
2005-02-16,44.279999,44.349998,43.82,44.189999,358400,34.529294
2005-02-17,44.25,44.529999,43.549999,43.599998,453100,34.068278
2005-02-18,43.720001,43.889999,42.98,43.07,527100,33.654147
2005-02-22,43.080002,43.099998,42.279999,42.310001,615900,33.060297
2005-02-23,42.5,42.970001,42.09,42.599998,1016000,33.286896
2005-02-24,42.630001,42.740002,42.220001,42.59,797200,33.279083
2005-02-25,42.689999,43.349998,42.299999,43.0,865100,33.59945
2005-02-28,43.099998,43.099998,42.200001,42.459999,838700,33.177503
2005-03-01,42.599998,42.889999,42.52,42.75,436400,33.404104
2005-03-02,42.740002,42.740002,41.799999,42.150002,865000,32.935276
2005-03-03,42.220001,42.450001,41.900002,42.150002,650800,32.935276
2005-03-04,42.25,43.200001,42.139999,43.110001,667400,33.685403
2005-03-07,43.099998,43.169998,42.669998,42.75,372800,33.404104
2005-03-08,42.689999,43.860001,42.66,43.810001,1255000,34.232371
2005-03-09,43.639999,43.810001,43.119999,43.540001,688500,34.021397
2005-03-10,43.419998,43.669998,43.220001,43.5,330100,33.990141
2005-03-11,43.599998,44.110001,43.599998,44.049999,571700,34.419901
2005-03-14,44.139999,44.400002,43.919998,44.360001,727800,34.662131
2005-03-15,44.400002,44.799999,44.259998,44.310001,409800,34.623062
2005-03-16,44.139999,44.150002,43.240002,43.68,790700,34.13079
2005-03-17,43.68,43.689999,42.939999,43.09,402800,33.669775
2005-03-18,43.099998,43.139999,42.029999,42.439999,668500,33.161875
2005-03-21,42.560001,42.869999,42.23,42.650002,715400,33.325967
2005-03-22,42.619999,43.189999,42.23,42.259998,495800,33.021226
2005-03-23,42.150002,42.150002,41.52,41.970001,511200,32.794627
2005-03-24,41.919998,42.580002,41.860001,42.400002,880000,33.130622
2005-03-28,42.400002,42.630001,42.299999,42.490002,469400,33.200946
2005-03-29,42.439999,42.549999,41.290001,41.52,771800,32.443004
2005-03-30,41.450001,41.990002,41.439999,41.970001,434800,32.794627
2005-03-31,41.900002,42.240002,41.529999,41.700001,645000,32.583653
2005-04-01,41.810001,42.25,41.400002,41.529999,448200,32.450817
2005-04-04,41.5,41.5,40.919998,41.400002,548200,32.349239
2005-04-05,41.389999,41.950001,41.389999,41.849998,299800,32.700859
2005-04-06,41.84,42.139999,41.84,42.0,405400,32.818068
2005-04-07,42.009998,42.290001,41.599998,42.09,336400,32.888392
2005-04-08,42.18,42.18,41.470001,41.509998,816600,32.435189
2005-04-11,41.59,41.98,41.349998,41.77,437100,32.63835
2005-04-12,41.669998,42.369999,41.16,42.360001,481100,33.099366
2005-04-13,42.32,42.360001,41.209999,41.310001,605000,32.278915
2005-04-14,41.43,41.66,39.830002,40.189999,785000,31.403764
2005-04-15,39.849998,40.400002,39.119999,39.380001,926800,30.770846
2005-04-18,40.330002,40.330002,39.150002,39.419998,386600,30.802099
2005-04-19,39.419998,39.720001,39.029999,39.139999,468600,30.583313
2005-04-20,39.09,39.200001,38.150002,38.240002,706200,29.88007
2005-04-21,38.52,39.0,38.43,38.880001,777800,30.380155
2005-04-22,38.779999,38.900002,38.259998,38.599998,318800,30.161366
2005-04-25,38.599998,39.02,38.349998,38.540001,441600,30.114485
2005-04-26,38.529999,38.529999,37.75,37.860001,556800,29.583144
2005-04-27,37.66,37.869999,37.150002,37.619999,632700,29.395611
2005-04-28,38.599998,38.599998,36.98,37.060001,784500,28.958039
2005-04-29,37.259998,37.700001,36.41,36.93,863700,28.856458
2005-05-02,36.950001,37.540001,36.68,37.080002,548800,28.973667
2005-05-03,36.970001,37.380001,36.75,36.959999,577600,28.879899
2005-05-04,37.0,37.5,36.700001,37.279999,811400,29.129941
2005-05-05,37.349998,37.68,36.75,36.830002,823000,28.778321
2005-05-06,37.029999,37.029999,36.41,36.580002,712200,28.582976
2005-05-09,36.400002,36.98,36.389999,36.98,415800,28.895527
2005-05-10,37.0,37.0,36.209999,36.470001,814800,28.497023
2005-05-11,36.599998,37.0,36.5,36.779999,579400,28.73925
2005-05-12,36.830002,36.860001,36.0,36.060001,525200,28.176656
2005-05-13,36.150002,36.200001,35.509998,35.650002,797400,27.856289
2005-05-16,35.73,36.5,35.73,36.470001,606900,28.497023
2005-05-17,36.330002,36.369999,35.700001,36.119999,868300,28.223537
2005-05-18,36.110001,37.810001,36.110001,37.549999,951700,29.471464
2005-05-19,37.700001,37.709999,36.75,37.060001,644200,29.086885
2005-05-20,37.080002,37.099998,36.77,37.02,301500,29.055489
2005-05-23,37.009998,37.41,37.009998,37.389999,329600,29.345887
2005-05-24,37.34,37.34,36.720001,37.23,527800,29.220309
2005-05-25,37.080002,37.09,36.810001,37.060001,768900,29.086885
