Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,50.68,51.25,48.580002,48.93,2415600,43.908171
2010-01-05,48.709999,48.810001,47.240002,48.02,2564200,43.091567
2010-01-06,48.189999,48.790001,47.369999,47.700001,1994000,42.804409
2010-01-07,47.860001,48.959999,46.689999,48.91,2150800,43.890223
2010-01-08,48.43,48.860001,47.27,48.560001,2210500,43.576146
2010-01-11,49.889999,50.490002,49.119999,49.43,1259200,44.356854
2010-01-12,48.700001,50.82,48.700001,49.619999,3027000,44.527353
2010-01-13,49.669998,51.0,49.02,50.810001,1399300,45.595222
2010-01-14,50.52,51.66,50.0,50.59,1443400,45.3978
2010-01-15,50.400002,50.91,50.0,50.049999,1113000,44.913221
2010-01-19,50.060001,52.209999,50.040001,51.720001,1618500,46.411825
2010-01-20,51.080002,51.27,50.16,50.98,1127200,45.747772
2010-01-21,51.259998,51.619999,47.669998,47.709999,1875000,42.813382
2010-01-22,46.98,48.119999,45.049999,46.0,2932100,41.278885
2010-01-25,46.560001,46.560001,44.119999,45.919998,2892600,41.207094
2010-01-26,45.43,46.560001,44.470001,45.720001,2637000,41.027623
2010-01-27,45.610001,46.32,44.43,45.93,2400300,41.216069
2010-01-28,45.970001,46.099998,45.32,45.639999,1939500,40.955832
2010-01-29,46.029999,46.360001,44.810001,45.490002,1935500,40.821229
2010-02-01,46.689999,47.66,46.130001,47.549999,1806900,42.669803
2010-02-02,47.779999,48.029999,47.130001,47.990002,1521700,43.064647
2010-02-03,47.639999,47.860001,46.77,47.759998,1517100,42.858249
2010-02-04,47.18,47.18,44.939999,45.099998,2290200,40.471253
2010-02-05,45.169998,46.490002,43.810001,45.540001,2295700,40.866097
2010-02-08,45.84,46.41,44.060001,44.18,1488900,39.645677
2010-02-09,45.080002,45.080002,43.330002,44.259998,1827500,39.717465
2010-02-10,44.16,45.299999,43.490002,44.75,1273000,40.157176
2010-02-11,44.48,45.5,44.23,45.330002,1076600,40.67765
2010-02-12,44.57,46.07,44.25,45.959999,1128200,41.242989
2010-02-16,46.689999,48.02,46.290001,47.939999,1485000,43.019776
2010-02-17,48.139999,48.580002,47.450001,47.900002,1152300,42.983884
2010-02-18,47.52,48.549999,47.240002,48.110001,1270500,43.17233
2010-02-19,47.639999,48.369999,47.5,48.119999,1514100,43.181302
2010-02-22,48.349998,50.0,48.169998,49.57,1452600,44.482485
2010-02-23,49.389999,49.57,48.59,48.790001,1531700,43.78254
2010-02-24,48.93,49.98,48.470001,49.959999,1280800,44.832458
2010-02-25,49.02,50.580002,48.869999,50.490002,694000,45.308064
2010-02-26,50.540001,51.5,50.07,51.060001,1014700,45.819563
2010-03-01,51.5,51.75,51.029999,51.5,961600,46.214404
2010-03-02,51.689999,52.66,51.630001,52.41,907100,47.031007
2010-03-03,52.470001,52.919998,51.880001,52.07,519000,46.725903
2010-03-04,52.349998,53.0,52.16,52.830002,694600,47.407903
2010-03-05,53.16,55.740002,52.970001,55.400002,1435300,49.714137
2010-03-08,55.360001,57.869999,55.360001,57.450001,1758900,51.553738
2010-03-09,56.990002,58.580002,56.700001,57.0,1386700,51.149922
2010-03-10,57.209999,58.16,56.450001,57.110001,1221900,51.248633
2010-03-11,56.029999,57.59,55.82,57.369999,1471000,51.481947
2010-03-12,57.599998,57.639999,55.900002,56.41,1296300,50.620476
2010-03-15,56.34,56.5,54.799999,55.669998,1033200,49.956423
2010-03-16,55.669998,57.400002,55.669998,57.080002,1206900,51.221713
2010-03-17,57.470001,58.25,57.240002,57.599998,1084600,51.688341
2010-03-18,57.66,58.07,56.700001,56.740002,782500,50.916609
2010-03-19,55.18,56.959999,55.119999,55.18,1344600,49.516715
2010-03-22,54.830002,55.900002,54.330002,55.509998,1305000,49.812844
2010-03-23,55.529999,55.779999,54.709999,54.900002,1190800,49.265453
2010-03-24,54.48,55.240002,54.349998,54.779999,1820000,49.157766
2010-03-25,55.240002,57.09,55.209999,55.93,1107000,50.18974
2010-03-26,56.049999,56.330002,54.130001,54.549999,1707400,48.951372
2010-03-29,54.779999,56.490002,54.419998,56.119999,1182500,50.452725
2010-03-30,56.220001,57.439999,56.02,57.060001,1225000,51.297801
2010-03-31,56.709999,59.16,56.599998,57.27,2381200,51.486593
2010-04-01,57.779999,58.68,57.150002,57.799999,1080300,51.96307
2010-04-05,58.049999,60.75,57.990002,60.389999,1131600,54.291519
2010-04-06,60.259998,64.480003,60.23,63.490002,3048400,57.078468
2010-04-07,63.09,63.560001,59.389999,59.849998,2096600,53.806051
2010-04-08,59.470001,60.709999,59.16,60.5,1007100,54.390412
2010-04-09,60.919998,62.0,60.48,61.799999,1114600,55.559131
2010-04-12,61.75,61.779999,60.380001,60.529999,903800,54.417381
2010-04-13,60.470001,62.630001,60.470001,62.049999,1105700,55.783884
