Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,52.669998,53.150002,51.52,51.799999,4434100,41.139896
2005-01-04,52.150002,52.16,51.16,51.240002,2424500,40.695142
2005-01-05,51.43,51.790001,50.950001,51.279999,2580900,40.726908
2005-01-06,50.209999,50.209999,48.259998,48.5,13875000,38.519015
2005-01-07,48.599998,49.400002,47.75,49.02,6716600,38.932003
2005-01-10,49.029999,49.700001,48.970001,49.68,3735500,39.456179
2005-01-11,49.599998,49.799999,49.209999,49.209999,4146300,39.082901
2005-01-12,49.25,49.740002,49.150002,49.740002,3306800,39.503833
2005-01-13,49.779999,49.880001,49.009998,49.25,3388900,39.11467
2005-01-14,49.25,49.82,49.16,49.75,2969600,39.511773
2005-01-18,48.259998,50.299999,48.259998,50.200001,2912300,39.869167
2005-01-19,48.790001,50.200001,48.790001,49.939999,3199400,39.662672
2005-01-20,50.200001,50.560001,49.830002,49.950001,4420300,39.670615
2005-01-21,50.279999,50.279999,48.880001,49.099998,4803600,38.995538
2005-01-24,49.549999,49.560001,48.630001,48.66,3572700,38.646088
2005-01-25,48.98,49.560001,48.650002,49.09,2919700,38.987597
2005-01-26,49.580002,50.59,49.299999,50.5,4013500,40.107428
2005-01-27,50.5,50.75,50.0,50.16,3173100,39.837398
2005-01-28,50.360001,50.439999,49.32,49.490002,2992200,39.305281
2005-01-31,50.049999,50.990002,49.939999,50.77,2854500,40.321864
2005-02-01,51.0,51.669998,50.41,50.700001,4032600,40.26627
2005-02-02,51.349998,51.73,50.450001,51.310001,3245800,40.750737
2005-02-03,51.080002,53.0,51.080002,51.740002,3623400,41.092246
2005-02-04,51.869999,52.080002,51.290001,51.52,2577400,40.917519
2005-02-07,51.52,51.959999,51.299999,51.369999,2203900,40.798387
2005-02-08,51.369999,51.400002,50.619999,50.639999,2569400,40.218617
2005-02-09,49.900002,50.240002,49.189999,49.700001,6293100,39.472064
2005-02-10,49.93,50.07,48.98,49.060001,4594600,38.963772
2005-02-11,49.18,49.950001,49.060001,49.23,2923700,39.098786
2005-02-14,49.360001,49.700001,49.060001,49.700001,2906600,39.472064
2005-02-15,49.700001,49.860001,49.380001,49.82,3051900,39.567368
