Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,29.22,29.519998,29.22,29.419995,7026100,24.15764
2010-01-05,29.290006,29.419995,28.939995,29.089999,9764900,23.886671
2010-01-06,29.020003,29.150004,28.570001,29.020003,8512000,23.829195
2010-01-07,28.920002,28.930004,28.629994,28.719995,8171900,23.582849
2010-01-08,28.549996,28.840003,28.360004,28.760005,7698200,23.615703
2010-01-11,28.849994,29.249996,28.719995,29.169997,6113800,23.95236
2010-01-12,29.010001,29.169997,28.440002,28.499995,6784300,23.402201
2010-01-13,28.869999,29.169997,28.599999,29.020003,5312500,23.829195
2010-01-14,28.889994,29.020003,28.620004,28.790001,6528700,23.640333
2010-01-15,28.679997,28.790001,28.010005,28.159999,8472000,23.12302
2010-01-19,28.080001,28.74,28.080001,28.729998,5764900,23.591063
2010-01-20,28.490003,28.729998,28.029998,28.620004,6391000,23.500743
2010-01-21,28.679997,29.0,27.920004,28.059996,10382000,23.040904
2010-01-22,27.889996,28.130001,27.179996,27.200001,9791900,22.334737
2010-01-25,27.539997,27.539997,26.649996,27.409998,10903300,22.507172
2010-01-26,27.319998,27.440004,26.990002,27.179996,8742400,22.31831
2010-01-27,27.170004,27.179996,26.559995,26.950004,10676100,22.129456
2010-01-28,27.089995,27.129993,26.429996,26.810002,18181300,22.014497
2010-01-29,26.940001,27.879994,26.820005,27.449997,12463500,22.540015
2010-02-01,27.860001,28.100006,27.589998,28.050003,8717400,23.032699
2010-02-02,28.069998,28.540005,27.830003,28.509998,9383800,23.410414
2010-02-03,28.180004,28.319994,27.879994,27.899999,14756500,22.909526
2010-02-04,27.780002,27.780002,27.009997,27.560003,14088000,22.630345
2010-02-05,27.51,27.589998,26.739996,27.030002,22880400,22.195145
2010-02-08,27.07,27.420001,26.85,26.919996,9182300,22.104816
2010-02-09,27.189999,27.759997,27.07,27.409998,10366100,22.507172
2010-02-10,27.200001,27.579996,26.990002,27.380001,8775000,22.48254
2010-02-11,27.279997,27.790005,26.919996,27.780002,14528600,22.810993
2010-02-12,27.499997,27.939999,27.359996,27.879994,11740100,22.893099
2010-02-16,28.010005,28.790001,28.010005,28.700002,10982100,23.566432
2010-02-17,28.800003,29.029996,28.48,28.949997,9861700,23.771711
2010-02-18,28.779998,29.240003,28.629994,29.079996,7271300,23.878457
2010-02-19,29.029996,29.459993,28.800003,29.44,8754900,24.174067
2010-02-22,29.549994,29.549994,28.96,29.010001,8047900,23.820981
2010-02-23,28.979995,29.18,28.459997,28.48,10279300,23.385782
2010-02-24,28.52,28.989998,28.52,28.679997,8550900,23.727463
2010-02-25,28.440002,28.96,28.239997,28.859997,7884700,23.87638
2010-02-26,29.010001,29.100002,28.760005,29.039998,5850500,24.025299
2010-03-01,29.089999,29.699998,29.079996,29.599994,6901000,24.488593
2010-03-02,29.599994,29.770004,29.4,29.670002,5688000,24.546512
2010-03-03,29.649997,29.940003,29.389997,29.609997,7441600,24.496869
2010-03-04,29.459993,29.940003,29.389997,29.900005,7651300,24.736797
2010-03-05,29.950005,30.600002,29.900005,30.539999,10930100,25.266276
2010-03-08,30.380002,30.780004,30.200003,30.640002,7754300,25.34901
2010-03-09,30.539999,30.739994,30.349995,30.600002,6406200,25.315917
2010-03-10,30.680001,30.759999,30.389995,30.529997,9836100,25.258
2010-03-11,30.439996,30.749996,30.349995,30.659996,7982200,25.365551
2010-03-12,30.789997,30.789997,30.449998,30.539999,4635600,25.266276
2010-03-15,30.439996,30.520004,30.039996,30.460001,6935200,25.200092
2010-03-16,30.489998,31.250001,30.439996,31.059997,9283200,25.696479
2010-03-17,31.029999,31.38,30.979999,31.199999,6086000,25.812305
2010-03-18,31.189996,31.459999,31.080002,31.16,5649000,25.779214
2010-03-19,31.239999,31.639998,30.929998,31.239999,14395500,25.845398
2010-03-22,30.990001,31.399993,30.799997,31.279997,9018900,25.878489
2010-03-23,31.440004,31.440004,31.049995,31.289999,6104700,25.886764
2010-03-24,31.210001,31.359995,31.049995,31.250001,6792400,25.853673
2010-03-25,31.470001,31.629996,31.189996,31.229996,8853800,25.837122
2010-03-26,31.199999,31.729999,31.059997,31.499997,7234600,26.060499
2010-03-29,31.639998,31.740002,31.419998,31.56,6522300,26.11014
2010-03-30,31.690001,31.750004,31.199999,31.390003,11298400,25.969499
2010-03-31,31.329998,31.430001,30.929998,31.269994,7523900,25.870214
2010-04-01,31.390003,31.539997,31.029999,31.409996,9531700,25.986039
2010-04-05,31.369998,31.920003,31.229996,31.899998,7300100,26.391427
2010-04-06,31.750004,32.04,31.579995,31.989999,6275600,26.465886
2010-04-07,31.960002,32.289997,31.719997,32.090001,12846900,26.548619
2010-04-08,31.589998,32.320003,31.589998,32.199997,10182800,26.639621
2010-04-09,32.330005,32.930002,32.130001,32.630004,7752900,26.995373
2010-04-12,32.779998,32.779998,32.429999,32.699999,5914600,27.053282
2010-04-13,32.679994,32.939994,32.599996,32.769995,7298300,27.11119
2010-04-14,32.220002,32.869999,32.009992,32.869999,9164700,27.193925
2010-04-15,32.639996,33.029995,32.599996,32.890004,7244700,27.210476
2010-04-16,32.729997,33.100001,32.669992,32.999998,16000700,27.301475
2010-04-19,33.020003,33.159994,32.410004,32.710002,11794800,27.061557
2010-04-20,32.959999,33.479995,32.849994,33.169997,11547600,27.442119
2010-04-21,33.129997,33.190002,32.79,33.080006,9793500,27.367668
2010-04-22,32.759993,33.320001,32.31,33.249995,13556200,27.508303
2010-04-23,33.070003,33.359999,32.840001,33.139999,8303100,27.417301
2010-04-26,32.949997,33.75,32.939994,33.509995,9812400,27.723405
2010-04-27,33.259998,33.419992,32.549995,32.669992,10787000,27.028456
2010-04-28,32.949997,33.190002,32.48,33.060001,8745300,27.351117
2010-04-29,33.349998,33.730003,33.190002,33.460002,8199800,27.682045
2010-04-30,33.550001,34.070001,32.890004,33.080006,9978400,27.367668
2010-05-03,33.159994,34.020001,33.139999,33.879997,6678300,28.029514
2010-05-04,33.500001,33.659997,32.649999,32.669992,13179900,27.028456
2010-05-05,32.48,32.589996,31.719997,31.880003,17248200,26.374885
2010-05-06,31.530004,31.880003,28.429999,30.9,16527800,25.564111
2010-05-07,30.739994,31.269994,29.819994,30.250003,15060700,25.026357
2010-05-10,31.570003,32.31,31.16,31.489994,13582600,26.052223
2010-05-11,31.040002,31.989999,31.040002,31.480004,7601100,26.043958
2010-05-12,31.639998,31.780002,31.090005,31.539997,8797200,26.093591
2010-05-13,31.409996,31.669996,31.12,31.16,8743700,25.779214
2010-05-14,30.839997,31.16,30.37,30.560004,12765100,25.282826
2010-05-17,30.59,30.839997,29.950005,30.63,7497100,25.340735
2010-05-18,30.659996,31.029999,30.449998,30.619997,13434900,25.33246
2010-05-19,30.439996,30.969996,30.099999,30.759999,15749000,25.448285
2010-05-20,30.169995,30.650005,29.739998,29.739998,16292000,24.604421
2010-05-21,29.230001,30.179998,29.079996,30.079994,12443600,24.885706
2010-05-24,29.97,30.37,29.71,29.770004,6883700,24.629245
