Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,26.98,27.219999,26.620001,27.120001,294700,25.946965
2010-01-05,26.83,26.940001,26.450001,26.790001,110700,25.631239
2010-01-06,26.379999,26.860001,26.08,26.75,229600,25.592968
2010-01-07,26.059999,27.07,25.719999,26.99,459900,25.822587
2010-01-08,26.16,28.4,25.99,28.190001,946100,26.970683
2010-01-11,28.139999,28.83,28.139999,28.83,671700,27.583
2010-01-12,27.92,28.48,27.780001,28.440001,623300,27.20987
2010-01-13,28.450001,28.969999,28.34,28.889999,517700,27.640405
2010-01-14,27.99,28.66,27.99,28.48,588300,27.248139
2010-01-15,28.25,28.549999,28.0,28.48,957700,27.248139
2010-01-19,28.02,28.65,28.02,28.549999,641000,27.315111
2010-01-20,27.74,28.0,27.309999,27.83,622700,26.626254
2010-01-21,27.6,27.65,27.1,27.43,457100,26.243556
2010-01-22,27.129999,27.32,26.629999,26.74,676900,25.5834
2010-01-25,26.92,27.02,26.68,26.84,234000,25.679075
2010-01-26,26.620001,27.24,26.030001,27.09,372800,25.918262
2010-01-27,27.17,27.629999,27.110001,27.559999,379500,26.367932
2010-01-28,27.559999,27.559999,27.18,27.32,423800,26.138313
2010-01-29,27.139999,27.549999,26.84,27.360001,697300,26.176584
2010-02-01,26.940001,27.93,26.940001,27.91,429400,26.702794
2010-02-02,27.91,28.1,27.780001,27.92,377800,26.712361
2010-02-03,27.92,28.139999,27.719999,27.969999,268800,26.760198
2010-02-04,27.799999,27.799999,27.360001,27.360001,221400,26.176584
2010-02-05,27.059999,27.25,26.42,27.0,496500,25.832154
2010-02-08,26.700001,27.24,26.57,26.969999,235200,25.803451
2010-02-09,26.98,27.059999,26.549999,26.99,306600,25.822587
2010-02-10,26.870001,26.870001,26.41,26.59,488500,25.439888
2010-02-11,26.700001,27.440001,26.360001,27.370001,282200,26.186151
2010-02-12,27.290001,28.23,27.059999,28.219999,272700,26.999384
2010-02-16,28.24,28.84,28.120001,28.799999,323400,27.554297
2010-02-17,28.629999,28.860001,28.290001,28.74,238800,27.496893
2010-02-18,28.83,29.120001,28.799999,28.969999,100200,27.716944
2010-02-19,29.02,29.23,28.77,29.030001,508300,27.77435
2010-02-22,29.1,29.5,28.870001,28.9,229700,27.649972
2010-02-23,28.9,29.0,28.58,28.68,135300,27.439489
2010-02-24,28.42,29.030001,28.290001,28.91,205700,27.65954
2010-02-25,28.27,29.01,28.02,28.93,137300,27.678675
2010-02-26,28.549999,29.040001,28.219999,28.809999,395500,27.563865
2010-03-01,28.92,29.040001,28.4,28.92,726200,27.669108
2010-03-02,29.26,29.26,28.85,28.940001,244900,27.688243
2010-03-03,29.17,29.25,28.790001,28.889999,153300,27.640405
2010-03-04,29.4,29.540001,28.870001,29.23,231700,27.965699
2010-03-05,29.469999,30.200001,29.27,30.15,317400,28.845905
2010-03-08,30.049999,30.219999,29.85,30.08,197400,28.778933
2010-03-09,29.17,30.030001,29.17,29.76,80100,28.472775
2010-03-10,29.58,30.059999,29.51,29.82,277800,28.530179
2010-03-11,29.700001,29.709999,29.09,29.540001,233900,28.262291
2010-03-12,29.77,29.83,29.129999,29.83,220700,28.539747
2010-03-15,29.290001,29.709999,28.98,29.6,194300,28.319696
2010-03-16,29.57,29.6,29.200001,29.49,222800,28.214453
2010-03-17,29.49,29.49,29.08,29.190001,260200,27.92743
2010-03-18,29.18,29.49,28.950001,29.33,508600,28.061374
2010-03-19,28.209999,29.309999,28.18,28.209999,954000,26.989817
2010-03-22,28.030001,28.6,27.98,28.459999,434000,27.229003
2010-03-23,28.42,28.540001,28.26,28.379999,245000,27.152464
2010-03-24,28.26,28.32,27.690001,28.08,444200,26.86544
2010-03-25,28.5,28.66,27.879999,28.549999,923100,27.315111
2010-03-26,28.74,30.959999,28.74,30.75,1325600,29.419954
2010-03-29,31.02,32.200001,31.02,32.07,679100,30.682859
2010-03-30,31.950001,32.099998,31.52,32.009998,289400,30.625453
2010-03-31,31.360001,32.349998,31.32,32.34,514400,30.941181
2010-04-01,32.490002,32.82,31.68,32.09,1421900,30.701994
2010-04-05,32.41,33.34,32.240002,33.240002,260700,31.802254
2010-04-06,33.02,33.27,32.970001,33.169998,184900,31.735278
2010-04-07,33.240002,33.790001,33.07,33.650002,237500,32.19452
2010-04-08,32.889999,33.139999,32.790001,32.880001,352700,31.457825
2010-04-09,32.830002,33.080002,32.400002,33.02,360900,31.591769
2010-04-12,32.990002,33.080002,32.810001,33.080002,165500,31.649175
2010-04-13,33.150002,33.66,33.029999,33.560001,474800,32.108412
2010-04-14,33.869999,34.380001,33.790001,34.060001,248300,32.586786
2010-04-15,34.18,34.380001,34.009998,34.099998,292800,32.625053
2010-04-16,34.060001,34.200001,33.560001,33.98,372400,32.510244
2010-04-19,33.389999,33.799999,32.959999,33.560001,265900,32.108412
2010-04-20,33.669998,34.119999,33.669998,33.849998,301600,32.385866
2010-04-21,33.790001,34.099998,33.59,34.0,380000,32.52938
2010-04-22,33.02,34.110001,33.02,34.029999,352000,32.558081
2010-04-23,33.75,34.139999,33.419998,34.060001,363000,32.586786
2010-04-26,33.880001,34.0,33.650002,33.779999,288500,32.318894
2010-04-27,33.389999,33.540001,32.299999,32.509998,180700,31.103826
2010-04-28,32.549999,32.650002,32.009998,32.150002,183900,30.7594
2010-04-29,32.419998,32.610001,32.189999,32.470001,157400,31.065559
