Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,38.66,39.299999,38.509998,39.279999,1293400,6.546666
2010-01-05,39.389999,39.52,39.029999,39.43,1261400,6.571667
2010-01-06,39.549999,40.700001,39.02,40.25,1879800,6.708333
2010-01-07,40.09,40.349998,39.91,40.09,836400,6.681667
2010-01-08,40.139999,40.310001,39.720001,40.290001,654600,6.715
2010-01-11,40.209999,40.52,40.040001,40.290001,963600,6.715
2010-01-12,40.16,40.34,39.279999,39.98,1012800,6.663333
2010-01-13,39.93,40.669998,39.709999,40.560001,1773400,6.76
2010-01-14,40.490002,40.970001,40.189999,40.52,1240600,6.753333
2010-01-15,40.57,40.939999,40.099998,40.450001,1244200,6.741667
2010-01-19,40.41,41.220001,40.0,40.959999,1000400,6.826667
2010-01-20,40.860001,40.939999,40.290001,40.799999,1219000,6.8
2010-01-21,40.950001,41.580002,40.459999,40.529999,1661800,6.755
2010-01-22,40.419998,40.580002,39.580002,39.630001,1205600,6.605
2010-01-25,39.779999,39.779999,39.139999,39.459999,823200,6.576667
2010-01-26,39.529999,39.84,39.040001,39.23,884200,6.538333
2010-01-27,39.349998,39.630001,38.810001,39.470001,980600,6.578334
2010-01-28,39.400002,39.400002,38.689999,38.919998,688800,6.486666
2010-01-29,38.959999,39.25,38.450001,38.450001,1315600,6.408333
2010-02-01,38.619999,39.23,38.330002,39.23,1903400,6.538333
2010-02-02,39.330002,39.459999,38.040001,39.080002,1044000,6.513334
2010-02-03,38.869999,39.290001,38.709999,38.939999,770000,6.49
2010-02-04,38.84,38.919998,38.0,38.029999,1008800,6.338333
2010-02-05,38.130001,39.009998,37.830002,38.779999,1694000,6.463333
2010-02-08,38.900002,38.990002,38.209999,38.349998,809000,6.391666
2010-02-09,38.779999,39.259998,38.540001,38.740002,991600,6.456667
2010-02-10,38.610001,38.919998,38.080002,38.580002,701800,6.43
2010-02-11,38.529999,39.18,38.290001,39.119999,919800,6.52
2010-02-12,38.91,39.299999,38.720001,39.23,1086600,6.538333
2010-02-16,39.310001,39.5,38.919998,39.049999,864000,6.508333
2010-02-17,39.0,39.560001,38.77,39.48,1488600,6.58
2010-02-18,39.59,40.77,39.560001,40.509998,1557600,6.751666
2010-02-19,40.580002,41.119999,39.639999,40.849998,1278000,6.808333
2010-02-22,40.970001,41.009998,40.34,40.549999,907000,6.758333
2010-02-23,40.41,40.93,39.889999,39.889999,1324400,6.648333
2010-02-24,40.060001,40.360001,39.450001,40.130001,1979400,6.688334
2010-02-25,39.709999,41.959999,39.59,40.41,5709400,6.735
2010-02-26,40.77,41.599998,40.330002,41.580002,3061400,6.93
2010-03-01,41.810001,42.360001,41.630001,41.849998,2703200,6.975
2010-03-02,41.689999,42.02,41.150002,41.790001,3801400,6.965
2010-03-03,41.959999,41.990002,41.209999,41.400002,2635800,6.9
2010-03-04,41.57,41.77,41.25,41.759998,1333400,6.96
2010-03-05,41.790001,41.799999,41.009998,41.41,1585200,6.901667
2010-03-08,41.290001,41.450001,41.130001,41.150002,758400,6.858334
2010-03-09,41.0,41.389999,40.869999,40.91,1865800,6.818333
2010-03-10,40.91,41.330002,40.709999,40.880001,1311600,6.813334
2010-03-11,40.75,41.41,40.709999,41.389999,1291400,6.898333
