Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,22.6,22.809999,22.280001,22.33,379300,17.340707
2010-01-05,22.35,22.42,21.9,22.209999,545700,17.247519
2010-01-06,22.26,22.440001,22.110001,22.219999,349400,17.255285
2010-01-07,22.1,22.15,21.959999,22.08,633500,17.146566
2010-01-08,22.1,22.18,22.0,22.139999,391300,17.19316
2010-01-11,22.139999,22.299999,22.049999,22.17,582600,17.216457
2010-01-12,22.1,22.35,22.1,22.299999,447000,17.31741
2010-01-13,22.309999,22.360001,22.200001,22.290001,244200,17.309646
2010-01-14,22.219999,22.280001,22.129999,22.23,299400,17.263051
2010-01-15,22.24,22.280001,21.98,22.0,243300,17.084441
2010-01-19,22.02,22.26,22.02,22.25,400800,17.278582
2010-01-20,22.08,22.139999,21.9,22.139999,278800,17.19316
2010-01-21,22.09,22.370001,22.02,22.309999,501600,17.325176
2010-01-22,22.360001,22.73,22.309999,22.700001,778500,17.628037
2010-01-25,22.82,23.34,22.68,22.82,558700,17.721224
2010-01-26,22.84,22.99,22.66,22.66,317000,17.596974
2010-01-27,22.59,22.83,22.32,22.48,561700,17.457192
2010-01-28,22.549999,22.74,22.27,22.6,385900,17.55038
2010-01-29,22.66,22.98,22.549999,22.549999,470000,17.511551
2010-02-01,22.610001,22.84,22.530001,22.780001,404700,17.690162
2010-02-02,22.83,23.0,22.549999,22.700001,903500,17.628037
2010-02-03,22.799999,24.120001,22.799999,23.74,1457900,18.435665
2010-02-04,23.5,23.780001,23.32,23.559999,925300,18.295883
2010-02-05,23.49,23.52,22.82,23.1,843400,17.938663
2010-02-08,23.25,23.25,22.709999,22.77,571100,17.682397
2010-02-09,22.92,23.0,22.719999,22.860001,530800,17.752288
2010-02-10,22.85,22.950001,22.709999,22.879999,339600,17.767818
2010-02-11,22.9,23.0,22.76,22.940001,304500,17.814413
2010-02-12,22.85,22.98,22.68,22.98,523700,17.845475
2010-02-16,23.040001,23.040001,22.76,23.040001,399100,17.89207
2010-02-17,23.059999,23.33,22.950001,23.27,588600,18.070679
2010-02-18,23.280001,23.360001,23.15,23.34,443600,18.125039
2010-02-19,23.34,23.540001,23.280001,23.540001,361100,18.280352
2010-02-22,23.6,23.620001,23.41,23.610001,317200,18.334712
2010-02-23,23.6,23.809999,23.49,23.719999,455900,18.420133
2010-02-24,23.790001,23.879999,23.73,23.870001,378800,18.536619
2010-02-25,23.629999,23.799999,23.59,23.77,362500,18.458962
2010-02-26,23.790001,23.83,23.59,23.73,480800,18.427899
2010-03-01,23.77,24.030001,23.700001,24.02,567700,18.653103
2010-03-02,24.01,24.16,23.879999,24.129999,484400,18.738525
2010-03-03,24.09,24.32,24.059999,24.290001,389100,18.862777
2010-03-04,24.389999,24.5,24.02,24.17,482800,18.769588
2010-03-05,24.32,24.450001,24.049999,24.43,334800,18.971495
2010-03-08,24.42,24.559999,24.360001,24.389999,541200,18.940432
2010-03-09,24.370001,24.48,24.190001,24.43,728800,18.971495
2010-03-10,24.42,24.639999,24.200001,24.639999,768400,19.134573
2010-03-11,24.58,24.809999,24.459999,24.73,434900,19.204464
2010-03-12,24.860001,25.209999,24.700001,25.209999,729200,19.577215
2010-03-15,25.25,25.440001,25.049999,25.32,625900,19.662638
2010-03-16,25.299999,25.610001,25.290001,25.49,496500,19.794654
2010-03-17,25.559999,25.68,25.4,25.639999,325300,19.911139
2010-03-18,25.700001,25.84,25.610001,25.73,327900,19.98103
2010-03-19,25.58,25.6,24.959999,25.58,915900,19.864545
2010-03-22,25.5,25.5,24.92,24.969999,2011100,19.39084
2010-03-23,24.93,25.209999,24.76,25.209999,746600,19.577215
2010-03-24,25.17,25.17,24.74,25.059999,510500,19.460731
2010-03-25,25.18,25.280001,25.059999,25.17,569800,19.546153
2010-03-26,25.25,25.309999,25.02,25.09,410500,19.484028
2010-03-29,25.01,25.120001,24.77,24.950001,450800,19.625617
2010-03-30,25.01,25.040001,24.76,24.91,425100,19.594152
2010-03-31,24.83,24.940001,24.530001,24.549999,451000,19.310977
2010-04-01,24.59,24.73,24.33,24.5,463400,19.271647
2010-04-05,24.5,24.65,24.459999,24.6,510200,19.350307
2010-04-06,24.459999,24.82,24.459999,24.73,467900,19.452564
2010-04-07,24.57,24.77,24.459999,24.68,455200,19.413235
2010-04-08,24.68,24.73,24.5,24.58,537900,19.334575
2010-04-09,24.51,24.620001,24.290001,24.610001,398900,19.358174
2010-04-12,24.549999,24.809999,24.299999,24.809999,307200,19.515492
2010-04-13,24.709999,25.02,24.709999,25.02,410200,19.680679
2010-04-14,25.01,25.24,24.99,25.24,286500,19.85373
2010-04-15,25.18,25.42,25.1,25.34,454200,19.93239
2010-04-16,25.35,25.530001,25.17,25.370001,598800,19.955988
2010-04-19,25.25,25.440001,25.07,25.4,505100,19.979585
2010-04-20,25.49,25.84,25.309999,25.84,437800,20.325689
2010-04-21,25.790001,25.889999,25.51,25.76,551300,20.262761
2010-04-22,25.68,26.35,25.51,26.309999,631800,20.695389
2010-04-23,26.5,27.0,26.209999,26.51,782600,20.852709
2010-04-26,26.549999,26.65,26.379999,26.440001,520000,20.797648
2010-04-27,26.4,26.790001,26.02,26.059999,752400,20.498739
2010-04-28,26.209999,26.290001,25.709999,25.809999,706800,20.30209
2010-04-29,25.85,26.559999,25.799999,26.559999,785200,20.892038
2010-04-30,26.5,26.559999,26.219999,26.27,560900,20.663926
2010-05-03,26.379999,26.610001,26.299999,26.59,496700,20.915637
2010-05-04,26.35,26.530001,26.26,26.41,675100,20.774049
2010-05-05,26.16,26.5,25.74,25.870001,855000,20.349287
2010-05-06,25.76,25.85,22.629999,24.58,1912500,19.334575
2010-05-07,24.620001,24.73,24.030001,24.290001,1491500,19.106462
2010-05-10,25.24,25.24,24.6,25.190001,584300,19.8144
2010-05-11,24.91,25.58,24.91,25.290001,446600,19.89306
2010-05-12,25.42,25.540001,25.139999,25.459999,508400,20.02678
2010-05-13,25.379999,25.450001,25.190001,25.190001,631500,19.8144
2010-05-14,25.01,25.200001,24.940001,25.129999,880400,19.767203
2010-05-17,25.139999,25.26,24.629999,25.110001,593900,19.751472
2010-05-18,25.360001,25.360001,24.84,25.0,820600,19.664946
2010-05-19,24.85,25.129999,24.690001,24.9,560200,19.586286
2010-05-20,24.51,24.83,24.43,24.43,1326600,19.216586
2010-05-21,24.17,24.67,23.93,24.65,965300,19.389637
2010-05-24,24.52,24.67,24.4,24.450001,469700,19.232318
2010-05-25,23.85,24.190001,23.66,24.15,549600,18.996338
2010-05-26,24.190001,24.370001,23.92,23.950001,620700,18.839019
2010-05-27,24.34,24.85,24.209999,24.84,620700,19.539091
2010-05-28,24.77,24.92,24.559999,24.690001,348900,19.421101
2010-06-01,24.620001,24.870001,24.370001,24.370001,410900,19.16939
2010-06-02,24.41,24.700001,24.280001,24.700001,458900,19.428967
2010-06-03,25.66,25.66,24.870001,25.540001,778200,20.08971
2010-06-04,25.200001,25.34,24.49,24.52,566200,19.28738
2010-06-07,24.629999,24.74,24.290001,24.290001,448000,19.106462
2010-06-08,24.280001,24.459999,23.959999,24.42,543800,19.20872
2010-06-09,24.549999,24.65,24.24,24.27,632200,19.09073
2010-06-10,24.639999,24.82,24.530001,24.790001,389900,19.499761
2010-06-11,24.549999,25.1,24.530001,25.08,349000,19.727874
2010-06-14,25.290001,25.549999,25.120001,25.360001,859300,19.948122
2010-06-15,25.42,25.77,25.280001,25.74,519500,20.247028
2010-06-16,25.65,25.75,25.440001,25.719999,499100,20.231296
2010-06-17,25.790001,25.799999,25.360001,25.67,482900,20.191967
2010-06-18,25.68,25.68,25.35,25.66,427300,20.184101
2010-06-21,25.93,25.99,25.73,25.809999,499200,20.30209
2010-06-22,25.860001,26.049999,25.59,25.59,373900,20.129039
2010-06-23,25.6,25.799999,25.379999,25.67,454300,20.191967
2010-06-24,25.540001,25.799999,25.5,25.68,613400,20.199833
2010-06-25,25.67,26.049999,25.440001,25.9,1962600,20.372884
2010-06-28,25.75,25.75,25.34,25.389999,614700,20.22156
2010-06-29,25.120001,25.190001,24.719999,24.790001,668800,19.743698
2010-06-30,24.75,24.889999,24.379999,24.379999,549700,19.417157
2010-07-01,24.360001,24.42,23.959999,24.389999,688400,19.425122
2010-07-02,24.43,24.540001,24.200001,24.35,451900,19.393265
2010-07-06,24.629999,24.709999,24.129999,24.290001,380400,19.345479
2010-07-07,24.290001,24.940001,24.290001,24.92,438800,19.847234
2010-07-08,25.110001,25.27,24.9,25.209999,632600,20.078201
2010-07-09,25.18,25.370001,25.07,25.34,246100,20.181739
2010-07-12,25.219999,25.280001,24.98,25.120001,277100,20.006523
2010-07-13,25.27,26.0,25.25,25.92,582800,20.643672
2010-07-14,25.77,25.91,25.700001,25.809999,403000,20.556064
2010-07-15,25.83,25.83,25.49,25.77,308800,20.524207
2010-07-16,25.700001,25.75,25.27,25.280001,557800,20.133953
2010-07-19,25.4,25.41,25.02,25.190001,271900,20.062273
2010-07-20,25.0,25.780001,24.870001,25.780001,419700,20.532172
2010-07-21,25.84,25.84,25.27,25.309999,466900,20.157845
2010-07-22,25.540001,25.809999,25.52,25.799999,654100,20.548099
2010-07-23,25.719999,25.83,25.620001,25.83,619400,20.571993
2010-07-26,25.9,26.27,25.809999,26.15,491400,20.826853
2010-07-27,26.25,26.440001,25.77,25.99,810100,20.699423
2010-07-28,25.74,26.049999,25.15,25.35,797600,20.189703
2010-07-29,25.5,25.5,24.809999,25.25,731600,20.110059
2010-07-30,24.889999,25.469999,24.85,25.42,461300,20.245453
2010-08-02,25.76,25.780001,25.24,25.559999,639500,20.356954
2010-08-03,25.389999,25.58,25.32,25.379999,406300,20.213595
2010-08-04,25.459999,25.6,25.280001,25.33,374200,20.173774
2010-08-05,25.280001,25.42,25.120001,25.129999,378500,20.014486
2010-08-06,24.98,25.49,24.889999,25.450001,520900,20.269347
2010-08-09,25.610001,25.85,25.42,25.85,279300,20.587922
2010-08-10,25.68,25.709999,25.450001,25.469999,249000,20.285275
2010-08-11,25.120001,25.190001,24.85,24.85,376900,19.791484
2010-08-12,24.5,24.799999,24.5,24.75,276800,19.71184
2010-08-13,24.700001,24.91,24.6,24.68,340600,19.65609
2010-08-16,24.65,24.799999,24.52,24.700001,385500,19.672019
2010-08-17,24.77,25.059999,24.620001,25.02,302500,19.926879
2010-08-18,25.01,25.24,24.73,25.120001,255900,20.006523
2010-08-19,25.059999,25.09,24.709999,24.709999,258900,19.679982
2010-08-20,24.639999,24.82,24.51,24.77,239000,19.727769
2010-08-23,24.780001,24.889999,24.639999,24.67,443700,19.648125
2010-08-24,24.459999,24.610001,24.34,24.42,523400,19.449016
2010-08-25,24.299999,24.879999,24.299999,24.809999,522900,19.759626
2010-08-26,24.9,25.18,24.83,24.889999,331500,19.823341
2010-08-27,25.02,25.33,24.719999,25.33,377200,20.173774
2010-08-30,25.200001,25.4,24.780001,24.809999,338400,19.759626
2010-08-31,24.719999,24.99,24.629999,24.85,471300,19.791484
2010-09-01,25.16,25.610001,24.969999,25.57,635800,20.364919
2010-09-02,25.559999,25.74,25.41,25.709999,526800,20.47642
2010-09-03,25.99,26.0,25.6,25.790001,356000,20.540136
2010-09-07,25.74,25.82,25.51,25.52,340300,20.325098
2010-09-08,25.629999,25.700001,25.309999,25.33,649900,20.173774
2010-09-09,25.700001,25.75,25.459999,25.65,263400,20.428634
2010-09-10,25.73,25.77,25.42,25.620001,285900,20.404742
2010-09-13,25.799999,26.0,25.719999,25.959999,331700,20.675529
2010-09-14,25.889999,26.1,25.889999,25.950001,322300,20.667566
2010-09-15,25.9,26.040001,25.83,25.969999,413000,20.683494
2010-09-16,25.969999,26.1,25.93,26.0,172100,20.707387
2010-09-17,26.09,26.290001,26.030001,26.1,464700,20.787032
2010-09-20,26.25,26.43,26.09,26.41,444300,21.033927
2010-09-21,26.379999,26.700001,26.360001,26.48,343300,21.089677
2010-09-22,26.41,26.6,26.17,26.17,325400,20.842782
2010-09-23,26.040001,26.16,25.83,25.84,317600,20.579957
2010-09-24,26.16,26.75,26.059999,26.73,443900,21.288787
2010-09-27,26.66,26.66,26.32,26.42,355600,21.041891
2010-09-28,26.02,26.209999,25.9,26.129999,255700,21.066078
2010-09-29,25.93,26.41,25.91,26.280001,317900,21.187009
2010-09-30,26.34,26.66,26.34,26.370001,624500,21.259568
2010-10-01,26.4,26.6,26.07,26.16,397300,21.090264
2010-10-04,26.1,26.34,25.870001,26.219999,442000,21.138636
2010-10-05,26.459999,26.5,26.07,26.48,320000,21.348249
2010-10-06,26.389999,26.459999,26.33,26.370001,242200,21.259568
2010-10-07,26.5,26.5,26.200001,26.209999,112600,21.130574
2010-10-08,26.200001,26.24,26.030001,26.16,202100,21.090264
2010-10-11,26.129999,26.5,26.129999,26.4,214800,21.283753
2010-10-12,26.389999,26.52,26.18,26.51,257800,21.372436
2010-10-13,26.65,26.9,26.49,26.719999,386900,21.541737
2010-10-14,26.77,27.0,26.73,26.93,413900,21.711041
2010-10-15,27.0,27.120001,26.51,26.530001,506600,21.38856
2010-10-18,26.629999,27.1,26.58,27.1,362900,21.848095
2010-10-19,26.799999,27.200001,26.780001,26.870001,529200,21.662669
2010-10-20,26.98,27.26,26.950001,27.24,340100,21.960963
2010-10-21,27.25,27.540001,27.18,27.280001,354800,21.993212
2010-10-22,27.299999,27.450001,27.299999,27.389999,148800,22.081893
2010-10-25,27.469999,27.549999,27.26,27.51,375800,22.178638
2010-10-26,27.469999,27.610001,27.18,27.219999,440500,21.944839
2010-10-27,27.219999,28.719999,27.219999,28.65,1317200,23.097709
2010-10-28,28.75,28.9,28.25,28.309999,704000,22.8236
2010-10-29,28.219999,28.370001,28.02,28.16,377500,22.70267
2010-11-01,28.09,28.370001,28.040001,28.18,331400,22.718794
2010-11-02,28.360001,28.469999,28.219999,28.35,269700,22.855849
2010-11-03,28.4,28.530001,28.24,28.51,468800,22.984841
2010-11-04,28.690001,28.9,28.5,28.889999,501100,23.291198
2010-11-05,28.84,29.0,28.65,28.83,444400,23.242826
2010-11-08,28.68,28.75,28.360001,28.48,371300,22.960655
2010-11-09,28.5,28.6,27.969999,27.969999,555500,22.549491
2010-11-10,28.030001,28.25,27.950001,28.200001,492000,22.734919
2010-11-11,28.040001,28.35,28.030001,28.26,299900,22.78329
2010-11-12,28.16,28.26,27.969999,27.969999,315700,22.549491
2010-11-15,28.01,28.389999,27.870001,28.209999,361900,22.742979
2010-11-16,28.09,28.129999,27.690001,27.790001,372400,22.404376
2010-11-17,27.82,27.99,27.65,27.799999,237600,22.412436
2010-11-18,28.0,28.35,28.0,28.26,246800,22.78329
2010-11-19,28.190001,28.27,27.969999,28.26,201500,22.78329
2010-11-22,28.16,28.360001,28.110001,28.299999,379300,22.815538
2010-11-23,28.01,28.219999,27.969999,28.030001,301400,22.597864
2010-11-24,28.190001,28.42,28.17,28.42,235500,22.912283
2010-11-26,28.139999,28.389999,28.139999,28.27,140600,22.791353
2010-11-29,28.15,28.379999,27.959999,28.299999,269000,22.815538
2010-11-30,28.049999,28.280001,27.959999,28.08,478400,22.638174
2010-12-01,28.360001,28.75,28.360001,28.75,393500,23.17833
2010-12-02,28.75,28.889999,28.6,28.870001,361300,23.275075
2010-12-03,28.76,28.940001,28.49,28.889999,300800,23.291198
2010-12-06,28.809999,28.85,28.57,28.59,437500,23.049337
2010-12-07,28.790001,28.93,28.700001,28.889999,478500,23.291198
2010-12-08,28.950001,29.1,28.82,29.049999,280300,23.42019
2010-12-09,29.15,29.25,28.9,29.17,455200,23.516935
2010-12-10,29.16,29.41,29.049999,29.370001,420500,23.678176
2010-12-13,29.379999,29.540001,29.299999,29.48,369100,23.766857
2010-12-14,29.48,29.799999,29.48,29.59,390200,23.85554
2010-12-15,29.6,29.73,29.32,29.4,712500,23.702361
2010-12-16,29.389999,29.780001,29.309999,29.65,400600,23.903912
2010-12-17,29.700001,29.76,29.440001,29.469999,1364100,23.758795
2010-12-20,29.540001,29.59,29.4,29.5,509100,23.782982
2010-12-21,29.5,29.58,29.43,29.52,511000,23.799106
2010-12-22,29.51,29.700001,29.43,29.49,669100,23.774919
2010-12-23,29.51,29.66,29.41,29.440001,201000,23.73461
2010-12-27,29.469999,29.469999,29.34,29.41,268300,23.710423
2010-12-28,29.42,29.450001,29.200001,29.35,335600,23.662052
2010-12-29,29.1,29.309999,28.91,29.24,252000,23.833219
2010-12-30,29.25,29.4,29.07,29.190001,220300,23.792465
2010-12-31,29.120001,29.200001,29.030001,29.08,202400,23.702805
2011-01-03,29.290001,29.51,29.24,29.450001,408600,24.004389
2011-01-04,29.5,29.5,29.08,29.1,305000,23.719107
2011-01-05,28.959999,29.309999,28.93,29.120001,300100,23.735409
2011-01-06,29.049999,29.290001,28.969999,29.02,312400,23.6539
2011-01-07,29.059999,29.190001,28.67,28.84,303700,23.507184
2011-01-10,28.690001,29.1,28.4,28.950001,396100,23.596844
2011-01-11,28.98,29.08,28.809999,28.9,252300,23.556089
2011-01-12,29.09,29.09,28.709999,28.84,465400,23.507184
2011-01-13,28.84,28.940001,28.66,28.690001,201500,23.384921
2011-01-14,28.700001,28.93,28.629999,28.93,298900,23.580542
2011-01-18,28.9,29.190001,28.82,29.190001,589800,23.792465
2011-01-19,29.15,29.15,28.860001,28.9,344500,23.556089
2011-01-20,28.799999,28.98,28.67,28.84,289600,23.507184
2011-01-21,28.950001,28.950001,28.59,28.639999,249300,23.344165
2011-01-24,28.68,29.01,28.59,28.940001,261800,23.588693
2011-01-25,28.959999,29.469999,28.85,29.450001,442800,24.004389
2011-01-26,29.52,29.690001,29.41,29.67,303200,24.183708
2011-01-27,29.700001,30.049999,29.51,30.0,565900,24.452688
2011-01-28,30.09,30.17,29.610001,29.700001,432100,24.208161
2011-01-31,29.84,29.92,29.48,29.68,716300,24.191859
