Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,24.110001,25.030001,24.1,25.0,3470900,20.791169
2010-01-05,24.91,25.629999,24.709999,25.59,3689900,21.28184
2010-01-06,25.440001,25.49,24.780001,25.42,2179300,21.14046
2010-01-07,25.41,25.639999,24.92,25.639999,2642100,21.323422
2010-01-08,25.469999,25.76,25.290001,25.67,3806100,21.348372
2010-01-11,25.75,26.120001,25.559999,25.790001,1318400,21.44817
2010-01-12,26.59,26.98,25.209999,25.35,3634200,21.082245
2010-01-13,25.540001,25.73,25.16,25.530001,1946200,21.231942
2010-01-14,25.530001,25.83,25.08,25.65,1713600,21.331739
2010-01-15,25.469999,25.879999,25.17,25.26,2082000,21.007397
2010-01-19,25.16,25.959999,25.030001,25.780001,2072700,21.439854
2010-01-20,25.48,25.48,24.77,25.17,2338800,20.932549
2010-01-21,25.16,25.379999,23.75,23.809999,5080800,19.801508
2010-01-22,23.76,24.35,23.190001,23.34,5751600,19.410635
2010-01-25,23.76,24.08,23.42,23.76,2916500,19.759927
2010-01-26,23.549999,23.98,23.280001,23.360001,2806000,19.427268
2010-01-27,23.360001,24.02,23.139999,24.01,3707900,19.967838
2010-01-28,24.26,24.26,23.059999,23.17,4017900,19.269255
2010-01-29,23.379999,23.66,22.98,23.049999,3480200,19.169457
2010-02-01,23.24,23.690001,23.1,23.33,1882800,19.402318
2010-02-02,23.41,24.049999,23.1,24.0,3614800,19.959522
2010-02-03,23.879999,24.08,23.299999,23.450001,2894800,19.502117
2010-02-04,23.01,23.309999,22.530001,22.57,3661500,18.770267
2010-02-05,22.469999,22.799999,21.59,22.459999,3843900,18.678785
2010-02-08,22.610001,22.93,22.08,22.190001,3291100,18.454242
2010-02-09,21.639999,22.82,20.889999,21.450001,6365500,17.838823
2010-02-10,21.33,22.049999,21.18,21.9,3778400,18.213063
2010-02-11,21.879999,22.24,21.389999,22.209999,3834800,18.470873
2010-02-12,21.940001,22.120001,21.66,22.040001,3531300,18.329495
2010-02-16,22.309999,22.809999,22.200001,22.809999,2727000,18.969862
2010-02-17,22.91,23.1,22.77,22.84,3088400,18.994812
2010-02-18,22.67,22.99,22.59,22.969999,2654900,19.102925
2010-02-19,22.799999,22.93,22.450001,22.83,2801200,18.986495
2010-02-22,22.860001,23.15,22.85,23.0,2344800,19.127875
2010-02-23,22.809999,22.85,22.1,22.209999,3261500,18.470873
2010-02-24,22.32,23.219999,22.299999,23.200001,3551200,19.294205
2010-02-25,22.67,23.17,22.4,23.120001,3051900,19.227673
2010-02-26,23.200001,23.25,22.790001,23.209999,2308800,19.30252
2010-03-01,23.24,23.549999,23.1,23.16,2442100,19.260938
2010-03-02,23.25,23.93,23.25,23.780001,3145200,19.77656
2010-03-03,23.870001,24.209999,23.73,23.959999,2833900,19.926255
2010-03-04,23.99,24.200001,23.73,24.16,2784500,20.092585
2010-03-05,24.32,24.860001,24.110001,24.799999,2654900,20.624839
