Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,20.65,20.690001,20.209999,20.440001,6668600,18.758875
2010-01-05,20.299999,20.780001,20.16,20.719999,8285700,19.015845
2010-01-06,20.620001,21.469999,20.33,21.299999,8224800,19.548142
2010-01-07,21.4,23.290001,21.040001,22.559999,15574600,20.704511
2010-01-08,22.43,23.040001,22.32,23.01,6714700,21.1175
2010-01-11,23.110001,23.35,22.719999,23.27,7180200,21.356116
2010-01-12,23.030001,23.1,22.379999,22.450001,9228700,20.603559
2010-01-13,22.610001,22.9,22.110001,22.780001,8276800,20.906418
2010-01-14,22.780001,23.99,22.66,23.700001,7962100,21.750751
2010-01-15,23.49,23.6,22.950001,23.389999,10337100,21.466246
2010-01-19,23.280001,23.469999,23.0,23.35,5851900,21.429537
2010-01-20,23.26,23.93,23.110001,23.42,8259000,21.493779
2010-01-21,23.530001,25.889999,23.51,24.530001,18108000,22.512486
2010-01-22,24.52,25.67,23.66,24.549999,20884600,22.530839
2010-01-25,24.540001,24.700001,23.059999,24.0,12374200,22.026076
2010-01-26,23.719999,24.379999,23.459999,23.620001,9918600,21.67733
2010-01-27,23.57,24.809999,23.440001,24.700001,11197700,22.668504
2010-01-28,26.01,26.200001,24.57,24.809999,20523500,22.769455
2010-01-29,24.59,24.77,24.200001,24.33,13430100,22.328934
2010-02-01,24.459999,24.58,23.639999,24.5,11481000,22.484952
2010-02-02,24.5,24.68,23.98,24.27,11749100,22.27387
2010-02-03,24.049999,24.049999,22.860001,23.27,13874900,21.356116
2010-02-04,23.219999,23.299999,21.92,22.0,12493100,20.19057
2010-02-05,21.959999,22.67,21.440001,22.49,9157500,20.640268
2010-02-08,22.370001,23.09,21.84,22.4,7662000,20.55767
2010-02-09,22.610001,23.07,22.4,22.690001,5773100,20.82382
2010-02-10,22.59,23.41,22.49,22.99,5819800,21.099145
2010-02-11,22.940001,23.0,22.379999,22.48,9105600,20.631091
2010-02-12,22.26,22.4,21.799999,22.370001,8346600,20.530139
2010-02-16,22.709999,22.889999,22.530001,22.690001,9008200,20.82382
2010-02-17,22.91,23.02,22.41,22.6,9022600,20.741222
2010-02-18,22.440001,22.780001,22.08,22.620001,9492600,20.759577
2010-02-19,22.65,23.120001,22.65,23.030001,7952400,21.135856
2010-02-22,23.16,23.9,23.049999,23.65,7016700,21.704862
