Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,59.310001,60.139999,59.310001,60.02,782400,57.429243
2010-01-05,61.32,61.98,60.650002,61.919998,1718100,59.247227
2010-01-06,62.060001,62.119999,61.470001,61.900002,1277300,59.228094
2010-01-07,62.849998,63.700001,62.16,63.32,1683500,60.586798
2010-01-08,61.810001,62.84,61.099998,61.990002,2149500,59.314209
2010-01-11,62.400002,63.810001,62.200001,63.360001,1426000,60.625072
2010-01-12,63.200001,63.560001,61.73,62.139999,1476200,59.457732
2010-01-13,62.259998,62.790001,61.73,62.549999,766400,59.850034
2010-01-14,62.400002,62.869999,62.150002,62.73,755300,60.022265
2010-01-15,62.490002,62.689999,61.450001,61.75,1431500,59.084567
2010-01-19,61.939999,63.740002,61.900002,63.709999,1656600,60.959963
2010-01-20,63.700001,64.769997,62.040001,62.529999,1544600,59.830897
2010-01-21,62.529999,63.0,61.189999,61.349998,1038000,58.701831
2010-01-22,62.099998,63.009998,60.560001,60.59,1666600,57.974638
2010-01-25,61.220001,62.150002,60.529999,60.84,1886100,58.213847
2010-01-26,60.68,61.16,60.419998,60.66,1369400,58.041616
2010-01-27,60.470001,60.470001,58.889999,59.880001,1655100,57.295286
2010-01-28,58.25,59.279999,56.529999,56.849998,3494800,54.396073
2010-01-29,56.939999,56.970001,55.349998,56.32,3514500,53.888952
2010-02-01,56.459999,57.09,55.57,57.029999,2072500,54.568304
2010-02-02,57.110001,58.52,56.950001,58.299999,2173500,55.783485
2010-02-03,58.169998,58.169998,57.060001,57.130001,1272100,54.66399
2010-02-04,56.59,56.880001,55.57,55.619999,1619000,53.219167
2010-02-05,55.5,55.59,54.720001,55.43,1726900,53.037369
2010-02-08,55.209999,56.310001,55.209999,55.419998,1338200,53.027799
2010-02-09,55.889999,56.529999,55.57,56.080002,1519000,53.659314
2010-02-10,56.009998,57.220001,55.900002,56.68,2530800,54.233413
2010-02-11,56.419998,57.939999,56.419998,57.599998,2396300,55.1137
