Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,84.610001,84.610001,82.949997,83.370003,499500,73.926083
2010-01-05,83.160004,83.410004,82.699997,83.290001,413500,73.855143
2010-01-06,82.93,83.540001,82.730003,83.339996,363700,73.899475
2010-01-07,83.010002,83.519997,82.330002,82.599998,356800,73.243302
2010-01-08,82.339996,82.470001,81.419998,81.739998,323400,72.48072
2010-01-11,82.169998,82.32,81.660004,82.150002,261600,72.84428
2010-01-12,81.730003,82.419998,81.57,82.07,169400,72.77334
2010-01-13,82.089996,82.480003,81.959999,82.290001,225100,72.96842
2010-01-14,82.080002,82.5,81.779999,82.43,264700,73.092561
2010-01-15,82.540001,82.540001,82.089996,82.150002,339100,72.84428
2010-01-19,82.349998,82.650002,82.050003,82.599998,178200,73.243302
2010-01-20,82.059998,82.25,81.360001,81.389999,285900,72.170368
2010-01-21,81.379997,81.889999,80.339996,80.349998,444000,71.248176
2010-01-22,80.089996,80.739998,79.669998,79.769997,357000,70.733875
2010-01-25,79.839996,80.779999,79.75,80.040001,196700,70.973294
2010-01-26,80.07,80.300003,79.32,79.349998,303800,70.361453
2010-01-27,79.360001,80.169998,79.080002,80.160004,258900,71.079703
2010-01-28,80.199997,80.419998,78.989998,79.220001,235500,70.246182
2010-01-29,79.25,79.849998,78.870003,78.970001,324100,70.024501
2010-02-01,79.160004,79.980003,79.129997,79.959999,241000,70.902355
2010-02-02,79.93,80.379997,79.449997,80.330002,150200,71.230444
2010-02-03,80.370003,80.580002,78.889999,78.949997,704400,70.006763
2010-02-04,78.629997,79.370003,77.629997,77.739998,625000,68.933829
2010-02-05,75.0,75.0,71.209999,73.919998,1377500,65.546548
2010-02-08,71.980003,72.410004,71.349998,71.349998,815300,63.267671
2010-02-09,71.760002,72.099998,70.910004,71.040001,846200,62.992789
2010-02-10,71.190002,71.480003,70.669998,70.720001,585300,62.709038
2010-02-11,70.739998,71.019997,70.059998,71.010002,470800,62.966188
2010-02-12,70.75,71.190002,70.32,70.389999,833000,62.416418
2010-02-16,70.760002,70.760002,69.940002,70.470001,765500,62.487357
2010-02-17,70.57,71.18,70.360001,71.089996,524600,63.037121
2010-02-18,71.050003,71.389999,70.75,71.349998,343900,63.267671
2010-02-19,71.419998,71.449997,70.910004,71.32,553800,63.24107
2010-02-22,71.5,71.5,70.959999,71.059998,431200,63.01052
2010-02-23,71.129997,71.129997,70.110001,70.25,583900,62.292277
2010-02-24,70.519997,70.790001,70.160004,70.760002,453300,62.744507
2010-02-25,70.349998,70.489998,69.790001,70.43,480500,62.451887
2010-02-26,70.360001,70.360001,69.860001,70.160004,544800,62.212475
2010-03-01,70.110001,70.43,69.480003,70.209999,325300,62.568938
2010-03-02,70.510002,70.760002,69.699997,70.110001,371100,62.479822
2010-03-03,70.25,70.589996,70.080002,70.239998,367800,62.595672
2010-03-04,70.18,70.190002,69.730003,69.839996,476400,62.239203
2010-03-05,70.0,70.040001,69.650002,69.949997,524500,62.337232
2010-03-08,69.93,70.099998,69.57,69.620003,282300,62.043152
2010-03-09,69.599998,69.779999,69.129997,69.309998,398200,61.766885
2010-03-10,69.5,69.620003,69.260002,69.5,419600,61.936209
2010-03-11,69.349998,69.709999,69.099998,69.690002,329200,62.105533
2010-03-12,69.620003,70.919998,69.470001,70.730003,745300,63.032349
2010-03-15,70.650002,71.580002,70.650002,71.25,503500,63.495754
2010-03-16,71.360001,72.75,71.339996,72.68,558800,64.770125
2010-03-17,72.610001,73.870003,72.5,73.589996,524300,65.581085
2010-03-18,73.480003,73.589996,73.129997,73.349998,257100,65.367206
2010-03-19,74.25,74.43,73.510002,74.25,857200,66.169259
2010-03-22,73.870003,74.93,73.870003,74.919998,322100,66.766341
2010-03-23,75.0,75.0,74.199997,74.75,318600,66.614844
2010-03-24,74.550003,74.699997,73.599998,73.699997,313600,65.679114
2010-03-25,74.0,74.139999,73.440002,73.580002,363400,65.572178
2010-03-26,73.699997,73.699997,73.120003,73.5,241600,65.500883
2010-03-29,73.809998,74.32,73.690002,74.220001,392600,66.142525
2010-03-30,74.440002,74.660004,74.32,74.599998,346500,66.481167
2010-03-31,74.410004,74.940002,74.080002,74.419998,472000,66.320756
2010-04-01,74.559998,75.32,74.050003,74.379997,338300,66.285109
2010-04-05,74.669998,75.190002,74.419998,74.690002,227800,66.561376
2010-04-06,74.269997,74.959999,74.18,74.459999,284600,66.356404
2010-04-07,74.449997,74.540001,73.900002,74.040001,254700,65.982115
2010-04-08,74.059998,74.18,73.720001,74.120003,211300,66.05341
2010-04-09,74.089996,74.5,73.989998,74.489998,173900,66.383138
2010-04-12,74.620003,75.0,74.620003,74.949997,160100,66.793074
2010-04-13,75.080002,75.800003,75.0,75.529999,246200,67.309954
2010-04-14,75.57,76.269997,75.480003,76.269997,205000,67.969417
2010-04-15,75.910004,76.800003,75.839996,76.699997,226000,68.352619
2010-04-16,76.540001,77.0,76.279999,76.309998,405800,68.005064
2010-04-19,76.379997,76.599998,75.790001,76.400002,217300,68.085273
2010-04-20,76.400002,77.050003,76.099998,77.029999,250100,68.646707
2010-04-21,77.190002,77.190002,76.599998,77.080002,173900,68.691268
2010-04-22,76.699997,78.0,76.279999,77.959999,216700,69.475494
2010-04-23,77.949997,78.980003,77.849998,78.82,340500,70.241899
2010-04-26,78.889999,79.199997,78.580002,78.589996,239300,70.036927
2010-04-27,78.419998,78.989998,77.699997,78.199997,329800,69.689372
2010-04-28,78.089996,78.400002,76.980003,77.32,395200,68.905146
2010-04-29,77.889999,77.959999,76.980003,77.199997,447000,68.798204
2010-04-30,77.529999,79.730003,75.790001,76.970001,959900,68.593239
2010-05-03,77.370003,78.010002,76.919998,77.529999,482100,69.092291
2010-05-04,76.690002,77.550003,76.690002,77.349998,408200,68.93188
2010-05-05,77.239998,77.800003,76.870003,77.290001,403400,68.878412
2010-05-06,77.330002,77.760002,73.25,75.480003,615000,67.265399
2010-05-07,75.43,75.75,73.870003,74.099998,636900,66.035583
2010-05-10,76.489998,76.739998,75.5,76.639999,492500,68.299151
2010-05-11,75.760002,76.389999,75.559998,75.800003,538900,67.550573
2010-05-12,75.800003,76.290001,75.580002,76.139999,624000,67.853567
2010-05-13,75.879997,77.129997,75.639999,76.099998,330200,67.81792
2010-05-14,76.0,76.040001,74.720001,74.980003,444300,66.819815
2010-05-17,75.150002,75.949997,74.889999,75.760002,357600,67.514926
2010-05-18,76.209999,76.550003,75.080002,75.239998,579200,67.051514
2010-05-19,74.830002,75.050003,74.419998,74.760002,415000,66.623757
2010-05-20,73.720001,74.379997,72.419998,72.419998,497800,64.538419
2010-05-21,71.620003,73.330002,71.529999,73.330002,606200,65.349386
2010-05-24,72.910004,73.580002,72.800003,72.849998,365300,64.921622
2010-05-25,71.900002,72.760002,71.68,72.690002,431500,64.779039
2010-05-26,72.839996,73.5,72.419998,72.629997,449300,65.038726
2010-05-27,73.459999,73.739998,72.910004,73.739998,382200,66.032709
2010-05-28,73.459999,73.639999,72.900002,72.989998,332600,65.361099
2010-06-01,72.720001,73.089996,71.580002,71.669998,357500,64.179065
2010-06-02,71.779999,72.57,71.779999,72.57,459700,64.984999
2010-06-03,72.779999,73.150002,72.160004,72.989998,517500,65.361099
