Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,87.900002,88.900002,87.120003,87.970001,898900,75.2298
2010-01-05,88.0,88.239998,87.139999,87.370003,1129600,74.716696
2010-01-06,88.099998,88.68,87.260002,87.57,1173800,74.887728
2010-01-07,87.879997,87.900002,87.080002,87.599998,763800,74.913383
2010-01-08,87.629997,87.919998,87.160004,87.75,751200,75.04166
2010-01-11,88.0,88.75,87.889999,88.639999,593200,75.802766
2010-01-12,88.269997,88.300003,87.470001,88.18,791600,75.409386
2010-01-13,88.230003,89.169998,88.230003,88.940002,610900,76.059321
2010-01-14,88.940002,90.199997,88.540001,90.07,713400,77.025667
2010-01-15,90.129997,90.360001,88.959999,89.449997,1078400,76.495456
2010-01-19,89.510002,90.309998,88.690002,89.540001,809300,76.572425
2010-01-20,89.110001,89.120003,87.239998,88.160004,845700,75.392285
2010-01-21,88.099998,89.050003,86.510002,86.610001,767000,74.06676
2010-01-22,86.349998,86.75,84.830002,84.940002,834800,72.638619
2010-01-25,85.449997,85.970001,85.07,85.57,403500,73.177377
2010-01-26,85.209999,85.379997,84.580002,84.989998,879900,72.681374
2010-01-27,84.709999,85.639999,83.650002,85.510002,754000,73.126069
2010-01-28,85.650002,85.940002,83.5,84.360001,696100,72.142615
2010-01-29,84.839996,84.900002,83.040001,83.339996,724100,71.270333
2010-02-01,83.629997,84.839996,83.480003,84.639999,618300,72.382063
2010-02-02,84.800003,87.379997,84.629997,87.089996,1494100,74.477241
2010-02-03,86.550003,87.410004,86.550003,86.949997,812200,74.357517
2010-02-04,86.690002,86.690002,84.489998,84.519997,934300,72.27944
2010-02-05,84.349998,84.760002,82.800003,84.239998,1048200,72.039992
2010-02-08,84.239998,85.550003,84.010002,84.599998,792500,72.347856
2010-02-09,85.239998,86.620003,84.580002,86.010002,905900,73.553656
2010-02-10,85.959999,86.230003,85.419998,85.989998,827500,73.536549
2010-02-11,85.519997,87.080002,85.099998,87.080002,698400,74.468694
2010-02-12,86.099998,87.160004,85.699997,87.010002,855400,74.408832
2010-02-16,87.370003,88.099998,87.239998,87.599998,1380400,74.913383
2010-02-17,88.089996,88.330002,86.559998,88.110001,908700,75.349524
2010-02-18,88.120003,90.0,87.830002,89.849998,742600,76.837528
2010-02-19,89.68,90.730003,89.389999,90.339996,1278000,77.256562
2010-02-22,90.370003,91.800003,90.370003,91.32,1248800,78.094637
2010-02-23,91.099998,91.529999,90.080002,90.18,1228300,77.119737
2010-02-24,90.540001,92.120003,90.389999,91.330002,1209900,78.10319
2010-02-25,89.970001,91.110001,89.449997,91.050003,948300,78.206262
2010-02-26,90.839996,91.790001,90.419998,91.419998,830900,78.524065
2010-03-01,91.400002,92.0,91.050003,91.919998,1092200,78.953534
2010-03-02,92.260002,92.620003,91.470001,92.419998,984300,79.383002
2010-03-03,92.43,92.940002,92.339996,92.589996,753100,79.52902
2010-03-04,92.68,92.910004,91.519997,92.470001,765900,79.425952
2010-03-05,92.510002,93.419998,92.510002,93.160004,837100,80.018621
2010-03-08,93.25,93.300003,92.099998,92.540001,751000,79.486077
2010-03-09,92.349998,92.870003,91.830002,92.279999,1112300,79.262752
2010-03-10,92.209999,92.790001,91.849998,92.559998,847700,79.503253
2010-03-11,92.440002,92.480003,91.269997,92.440002,633400,79.400185
2010-03-12,92.5,92.5,91.419998,92.32,485400,79.29711
2010-03-15,92.050003,92.580002,91.830002,92.440002,646700,79.400185
2010-03-16,92.559998,93.110001,92.410004,92.949997,850200,79.838238
2010-03-17,92.959999,94.260002,92.769997,94.010002,977500,80.748716
2010-03-18,93.879997,94.32,93.529999,94.18,543600,80.894734
2010-03-19,94.169998,94.870003,93.739998,94.169998,1084700,80.886143
2010-03-22,93.620003,94.220001,93.209999,94.169998,962900,80.886143
2010-03-23,94.089996,94.709999,93.870003,94.620003,989900,81.272669
2010-03-24,94.510002,94.610001,93.25,93.519997,985600,80.327832
2010-03-25,94.160004,94.25,92.860001,92.959999,1380200,79.846829
2010-03-26,93.230003,93.669998,92.690002,93.260002,1024500,80.104513
2010-03-29,93.75,93.860001,93.110001,93.589996,907000,80.387958
2010-03-30,93.620003,93.82,92.760002,92.940002,752600,79.829654
2010-03-31,92.809998,92.809998,91.440002,91.629997,1186200,78.704441
2010-04-01,91.809998,92.800003,91.809998,92.529999,766600,79.477486
2010-04-05,92.730003,93.379997,92.550003,92.830002,626900,79.73517
2010-04-06,92.690002,93.120003,92.050003,93.099998,829000,79.96708
2010-04-07,92.68,93.040001,92.089996,92.669998,951100,79.597737
2010-04-08,92.550003,92.660004,91.970001,92.519997,748300,79.468895
2010-04-09,92.720001,93.989998,92.349998,93.910004,742900,80.662824
2010-04-12,93.790001,94.650002,93.489998,94.389999,759000,81.07511
2010-04-13,94.489998,95.209999,93.699997,95.18,823000,81.753672
2010-04-14,95.379997,95.620003,94.400002,95.610001,719700,82.123015
2010-04-15,95.480003,96.5,95.370003,96.019997,909300,82.475176
2010-04-16,95.620003,95.980003,94.0,94.800003,841200,81.427278
2010-04-19,94.720001,95.349998,94.360001,95.150002,575700,81.727905
2010-04-20,95.5,97.089996,95.349998,96.529999,790500,82.913236
2010-04-21,96.760002,97.809998,96.650002,97.540001,875400,83.780765
2010-04-22,96.440002,97.18,95.410004,96.730003,1231600,83.085027
2010-04-23,96.82,97.080002,95.599998,96.82,934100,83.162329
2010-04-26,96.910004,96.910004,95.760002,96.110001,833000,82.552484
2010-04-27,95.620003,95.82,93.540001,93.82,1043400,80.585516
2010-04-28,94.129997,94.800003,93.260002,93.919998,1000400,80.671409
2010-04-29,94.349998,95.580002,94.349998,95.43,623300,81.968406
2010-04-30,95.529999,95.68,93.57,93.57,782200,80.370782
2010-05-03,93.910004,95.599998,93.910004,95.339996,735400,81.891098
2010-05-04,94.459999,94.470001,92.040001,92.510002,925000,79.46031
2010-05-05,92.510002,92.93,92.0,92.559998,884900,79.503253
2010-05-06,92.050003,92.470001,85.0,89.660004,1411600,77.01234
2010-05-07,89.599998,89.690002,86.209999,86.519997,1774200,74.31527
2010-05-10,90.300003,90.459999,87.949997,89.260002,1327700,76.668763
2010-05-11,88.650002,90.669998,88.330002,89.879997,798100,77.2013
2010-05-12,90.029999,91.0,89.330002,90.870003,732000,78.051653
2010-05-13,90.440002,90.589996,89.470001,89.730003,858600,77.413228
2010-05-14,89.059998,89.459999,87.779999,88.330002,822000,76.205398
2010-05-17,88.620003,88.839996,86.68,88.389999,816000,76.25716
2010-05-18,88.620003,89.440002,87.489998,87.519997,823700,75.506578
2010-05-19,86.43,87.400002,85.459999,86.269997,1037500,74.428159
2010-05-20,85.010002,85.050003,82.410004,82.620003,1473500,71.279181
2010-05-21,81.110001,83.669998,81.010002,83.669998,1617500,72.185049
