Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,17.32,17.379999,16.57,17.209999,1795200,15.628585
2010-01-05,17.190001,17.32,17.09,17.209999,1045700,15.628585
2010-01-06,17.16,17.24,16.889999,16.889999,1188200,15.33799
2010-01-07,16.77,16.91,16.629999,16.780001,1276000,15.238099
2010-01-08,16.780001,17.040001,16.620001,17.02,1409000,15.456045
2010-01-11,17.129999,17.24,16.950001,17.0,1379400,15.437883
2010-01-12,16.879999,17.0,16.860001,16.940001,1178900,15.383396
2010-01-13,16.940001,17.1,16.91,17.07,908700,15.50145
2010-01-14,17.059999,17.16,16.969999,16.98,921900,15.41972
2010-01-15,16.84,16.9,16.5,16.51,1871400,14.992908
2010-01-19,16.540001,17.110001,16.51,17.08,2389500,15.510531
2010-01-20,16.959999,17.18,16.76,17.01,2451300,15.446964
2010-01-21,14.9,15.13,14.3,14.98,14303200,13.603498
2010-01-22,14.84,15.09,14.67,14.69,3385300,13.340146
2010-01-25,14.44,14.56,14.19,14.54,3738200,13.20393
2010-01-26,14.57,15.1,14.31,14.93,3071400,13.558094
2010-01-27,14.83,15.05,14.65,14.82,2165000,13.458201
2010-01-28,14.86,17.75,14.65,14.67,1782800,13.321985
2010-01-29,14.77,14.77,14.27,14.31,2901300,12.995065
2010-02-01,14.34,14.55,14.26,14.54,2124900,13.20393
2010-02-02,14.58,14.66,14.44,14.59,2043200,13.249336
2010-02-03,14.57,14.68,14.4,14.48,2010500,13.149443
2010-02-04,14.63,14.99,14.5,14.51,2991200,13.176687
2010-02-05,14.49,14.63,14.3,14.56,1754500,13.222093
2010-02-08,14.26,14.59,14.21,14.41,3489400,13.085876
2010-02-09,14.57,14.65,14.39,14.56,2639100,13.222093
2010-02-10,14.56,14.57,14.26,14.34,1734100,13.022308
2010-02-11,14.35,14.39,14.11,14.34,1610000,13.022308
2010-02-12,14.26,14.26,14.12,14.23,1039500,12.922415
2010-02-16,14.27,14.41,14.17,14.37,1249200,13.049551
2010-02-17,14.44,14.44,14.28,14.36,989100,13.04047
2010-02-18,14.33,14.43,14.29,14.37,764700,13.049551
2010-02-19,14.33,14.48,14.2,14.38,1434200,13.058633
2010-02-22,14.44,14.52,14.37,14.4,1247000,13.076794
2010-02-23,14.41,14.56,14.3,14.47,1896700,13.140363
2010-02-24,14.53,14.61,14.43,14.5,1002200,13.167606
2010-02-25,14.35,14.48,14.15,14.45,1138800,13.1222
2010-02-26,14.48,14.48,14.21,14.24,2117500,12.931497
2010-03-01,14.56,14.68,14.29,14.5,2054500,13.167606
2010-03-02,14.64,14.64,14.38,14.4,2020000,13.076794
2010-03-03,14.46,14.6,14.46,14.54,1058100,13.20393
2010-03-04,14.55,14.64,14.5,14.55,917100,13.213011
2010-03-05,14.65,14.89,14.57,14.89,1044800,13.521769
2010-03-08,14.89,15.02,14.87,14.96,1078900,13.585337
2010-03-09,14.92,15.1,14.87,15.04,1050200,13.657985
2010-03-10,15.02,15.07,14.94,15.04,958800,13.657985
2010-03-11,15.02,15.09,14.92,15.09,792000,13.703391
2010-03-12,15.08,15.18,15.01,15.13,1202500,13.739716
2010-03-15,15.09,15.21,14.99,15.12,1078300,13.730634
2010-03-16,15.11,15.18,15.05,15.13,916300,13.803621
2010-03-17,15.13,15.37,15.12,15.3,1466300,13.958718
2010-03-18,15.25,15.34,15.19,15.22,1339500,13.885731
2010-03-19,15.16,15.4,15.08,15.16,1897300,13.830991
2010-03-22,15.12,15.65,15.1,15.54,1601300,14.177678
2010-03-23,15.6,15.65,15.47,15.61,891500,14.241541
2010-03-24,15.54,15.66,15.39,15.47,1150500,14.113815
