Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,31.059999,31.35,30.82,30.82,3827700,24.585764
2005-01-04,30.940001,30.99,29.42,29.75,5120600,23.732202
2005-01-05,29.799999,29.93,29.219999,29.34,3852500,23.405137
2005-01-06,28.700001,29.01,28.549999,28.75,6228200,22.934481
2005-01-07,28.950001,28.950001,28.389999,28.530001,2212800,22.758983
2005-01-10,28.5,28.57,28.16,28.540001,3510700,22.766961
2005-01-11,28.530001,28.530001,28.049999,28.09,4329700,22.407985
2005-01-12,28.08,28.120001,27.66,27.82,3841300,22.1926
2005-01-13,27.889999,28.219999,27.57,27.610001,3838700,22.02508
2005-01-14,27.73,28.129999,27.639999,28.0,1559900,22.33619
2005-01-18,28.0,28.530001,27.74,28.469999,2254200,22.711119
2005-01-19,28.299999,28.450001,27.889999,27.93,2891800,22.28035
2005-01-20,27.860001,28.389999,27.620001,28.26,3393300,22.543598
2005-01-21,28.24,28.469999,27.84,28.120001,3773100,22.431918
2005-01-24,28.129999,28.48,27.51,27.58,4144400,22.001148
2005-01-25,27.5,28.040001,27.139999,27.23,5183900,21.721945
2005-01-26,27.549999,27.6,26.450001,26.700001,11389100,21.299154
2005-01-27,26.65,26.91,26.5,26.75,4651300,21.339039
2005-01-28,26.75,26.889999,26.360001,26.42,3151900,21.075791
2005-01-31,26.67,27.25,26.559999,27.190001,3956500,21.690037
2005-02-01,27.18,27.799999,27.139999,27.709999,5616300,22.104851
2005-02-02,27.950001,28.23,27.889999,28.23,6213200,22.519666
2005-02-03,28.08,28.17,27.559999,27.6,4473100,22.017102
2005-02-04,27.530001,27.879999,27.33,27.84,4046700,22.208555
2005-02-07,27.85,28.059999,27.690001,27.969999,1815400,22.312258
2005-02-08,27.84,27.959999,27.709999,27.879999,1450100,22.240463
2005-02-09,27.85,27.99,27.190001,27.27,2213900,21.753854
2005-02-10,27.32,27.360001,26.66,26.75,4084700,21.339039
2005-02-11,26.75,26.870001,26.6,26.75,8373000,21.339039
2005-02-14,26.68,26.77,26.25,26.559999,11190000,21.187472
2005-02-15,26.610001,27.08,26.559999,26.93,3256600,21.482629
