Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,33.549999,33.619999,32.93,33.119999,1362000,7.148934
2005-01-04,33.25,33.32,32.650002,32.700001,572000,7.058278
2005-01-05,32.599998,33.0,32.5,32.810001,1631200,7.082022
2005-01-06,32.799999,33.220001,32.740002,33.150002,936400,7.15541
2005-01-07,33.18,33.43,32.84,33.169998,530800,7.159727
2005-01-10,33.169998,33.509998,33.07,33.189999,873200,7.164044
2005-01-11,33.150002,33.189999,32.799999,33.040001,891200,7.131667
2005-01-12,32.860001,33.040001,32.610001,32.939999,690400,7.110081
2005-01-13,32.709999,32.849998,32.119999,32.290001,2440800,6.96978
2005-01-14,32.970001,33.240002,32.169998,32.41,800400,6.995681
2005-01-18,32.41,32.740002,32.18,32.619999,1035200,7.04101
2005-01-19,32.5,32.880001,32.490002,32.700001,438000,7.058278
2005-01-20,32.700001,32.919998,32.580002,32.619999,598000,7.04101
2005-01-21,32.75,32.799999,32.509998,32.639999,770800,7.045327
2005-01-24,32.599998,32.779999,32.34,32.400002,667200,6.993523
2005-01-25,32.380001,32.830002,32.349998,32.470001,1148400,7.008633
2005-01-26,32.389999,32.560001,32.200001,32.299999,985200,6.971938
2005-01-27,32.200001,32.790001,32.200001,32.599998,618800,7.036693
2005-01-28,32.869999,34.450001,32.700001,34.119999,2514800,7.364784
2005-01-31,34.349998,34.43,33.700001,34.43,2138400,7.431697
2005-02-01,34.43,34.700001,33.959999,34.400002,1274000,7.425222
2005-02-02,34.349998,35.09,34.18,35.09,1480800,7.574158
2005-02-03,35.029999,35.330002,34.990002,35.189999,1744000,7.608753
2005-02-04,35.200001,35.700001,35.040001,35.700001,1668400,7.719025
2005-02-07,35.700001,36.07,35.57,36.0,1830400,7.783891
2005-02-08,36.0,36.73,34.82,36.52,2818800,7.896325
2005-02-09,36.5,36.869999,35.75,36.139999,2251200,7.814161
2005-02-10,36.25,36.630001,36.25,36.380001,1344400,7.866054
