Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,50.91,51.150002,49.970001,50.02,5383200,18.983805
2005-01-04,50.119999,50.48,49.669998,49.669998,3895800,18.850971
2005-01-05,49.049999,49.48,48.490002,48.549999,8916000,18.425904
2005-01-06,49.5,50.509998,49.25,49.73,5987200,18.873743
2005-01-07,49.73,50.349998,49.349998,50.080002,3691600,19.006577
2005-01-10,50.080002,50.84,50.049999,50.540001,4684000,19.181158
2005-01-11,50.360001,50.630001,50.0,50.450001,4142200,19.147001
2005-01-12,50.110001,50.299999,49.889999,50.209999,4678400,19.055914
2005-01-13,50.5,50.869999,49.709999,49.900002,4201400,18.938263
2005-01-14,49.900002,50.099998,49.52,50.080002,3377800,19.006577
2005-01-18,49.75,50.299999,49.529999,50.139999,3426000,19.029348
2005-01-19,50.139999,50.48,49.900002,50.07,2423600,19.002781
2005-01-20,50.119999,50.459999,49.880001,50.119999,3227800,19.021757
2005-01-21,50.119999,50.27,49.439999,49.799999,3754400,18.900309
2005-01-24,49.799999,49.900002,49.119999,49.259998,3898600,18.7859
2005-01-25,49.509998,50.040001,49.220001,49.799999,5636000,18.991836
2005-01-26,50.0,50.389999,49.849998,49.880001,4044200,19.022345
2005-01-27,51.950001,52.919998,50.970001,52.689999,14601800,20.093972
2005-01-28,52.310001,52.580002,50.360001,51.66,14362000,19.70117
2005-01-31,52.0,52.549999,51.759998,52.540001,7571800,20.036769
2005-02-01,52.540001,53.25,52.200001,53.209999,5782000,20.292281
2005-02-02,53.25,54.389999,53.25,54.290001,7078800,20.704153
2005-02-03,54.5,55.43,54.310001,54.779999,11066600,20.891019
2005-02-04,54.349998,54.939999,54.240002,54.830002,7439000,20.910088
2005-02-07,54.830002,55.369999,54.459999,55.200001,6113400,21.051192
2005-02-08,55.18,55.299999,54.669998,54.900002,5810800,20.936784
2005-02-09,54.91,55.0,54.439999,54.509998,3523600,20.788051
2005-02-10,54.52,54.580002,53.709999,54.0,5097800,20.593557
2005-02-11,54.099998,54.810001,54.099998,54.650002,4423800,20.841443
2005-02-14,54.66,54.790001,54.330002,54.490002,2855800,20.780425
2005-02-15,54.5,54.5,53.630001,53.919998,6124400,20.563048
2005-02-16,53.919998,54.130001,53.580002,53.98,4582200,20.58593
2005-02-17,54.0,54.240002,53.59,53.919998,4638000,20.563048
2005-02-18,54.049999,54.09,53.200001,53.200001,3953600,20.288468
2005-02-22,53.200001,53.279999,52.400002,52.400002,3937000,19.983378
2005-02-23,52.5,52.759998,52.290001,52.599998,3773600,20.05965
2005-02-24,52.5,52.869999,52.080002,52.84,3542200,20.151177
2005-02-25,52.5,52.91,52.34,52.599998,3566200,20.05965
2005-02-28,52.419998,52.98,52.200001,52.919998,4051600,20.181685
2005-03-01,52.919998,53.560001,52.779999,52.869999,4736800,20.162618
2005-03-02,52.869999,53.299999,52.240002,52.709999,4765000,20.1016
2005-03-03,52.900002,53.139999,52.310001,52.68,2756000,20.090159
2005-03-04,52.759998,52.959999,52.369999,52.84,3368000,20.151177
2005-03-07,52.990002,53.150002,52.77,52.93,2718400,20.1855
2005-03-08,52.880001,53.0,52.650002,52.82,2662800,20.14355
2005-03-09,52.560001,52.73,51.700001,51.759998,3889600,19.739305
2005-03-10,51.68,52.91,51.66,52.700001,3909600,20.097787
2005-03-11,52.549999,53.25,52.25,52.34,3240400,19.960496
2005-03-14,52.34,52.580002,52.110001,52.580002,2828200,20.052024
2005-03-15,52.830002,53.139999,52.549999,52.599998,3012000,20.05965
2005-03-16,52.610001,52.68,52.0,52.209999,2418200,19.910919
2005-03-17,52.299999,52.310001,51.639999,51.959999,2429600,19.815578
2005-03-18,51.790001,52.259998,51.419998,52.139999,4777000,19.884223
2005-03-21,52.139999,52.200001,51.48,51.66,2926400,19.70117
2005-03-22,51.43,51.66,50.549999,50.59,4660200,19.293112
2005-03-23,50.599998,52.41,50.599998,52.130001,5533600,19.88041
2005-03-24,52.0,52.209999,51.73,51.77,2897000,19.74312
2005-03-28,51.77,52.029999,51.57,51.619999,2215400,19.685915
2005-03-29,51.5,51.98,51.32,51.43,3059400,19.613457
2005-03-30,51.349998,52.459999,51.34,52.279999,3002400,19.937614
2005-03-31,52.450001,52.5,52.02,52.169998,2223600,19.895664
2005-04-01,52.299999,52.470001,51.25,51.52,3690800,19.647779
2005-04-04,51.549999,51.849998,51.299999,51.779999,2768800,19.746933
2005-04-05,52.02,52.490002,52.02,52.27,2807000,19.933801
