Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,11.28,11.34,11.05,11.06,2121500,6.510628
2005-01-04,11.09,11.19,10.94,10.95,1583300,6.445875
2005-01-05,10.95,11.0,10.73,10.75,1862600,6.328142
2005-01-06,10.75,10.82,10.66,10.76,3343700,6.334029
2005-01-07,10.76,10.87,10.69,10.7,1580500,6.298708
2005-01-10,10.71,10.85,10.65,10.7,1206500,6.298708
2005-01-11,10.7,10.75,10.55,10.65,1180200,6.269275
2005-01-12,10.64,10.67,10.55,10.66,835300,6.275162
2005-01-13,10.68,10.84,10.68,10.74,959600,6.322255
2005-01-14,10.82,10.94,10.77,10.9,1107600,6.416441
2005-01-18,10.9,10.97,10.75,10.89,1246900,6.410555
2005-01-19,10.87,11.1,10.85,11.04,1151000,6.498854
2005-01-20,11.06,11.11,10.95,11.05,1687300,6.504741
2005-01-21,11.12,11.2,10.97,10.99,1644500,6.469421
2005-01-24,10.97,11.19,10.95,11.1,961500,6.534175
2005-01-25,11.15,11.2,10.93,11.0,1053900,6.475308
2005-01-26,11.01,11.25,11.01,11.15,2506800,6.563607
2005-01-27,11.1,11.28,11.07,11.21,1375700,6.598927
2005-01-28,11.29,11.29,11.03,11.1,1905100,6.534175
2005-01-31,11.16,11.26,11.13,11.25,1279200,6.622474
2005-02-01,11.48,11.55,11.38,11.45,3310800,6.740207
2005-02-02,11.5,11.71,11.41,11.64,1301800,6.852053
2005-02-03,11.65,11.74,11.57,11.7,1840200,6.887373
2005-02-04,11.78,11.94,11.76,11.91,1993800,7.010992
2005-02-07,11.86,11.9,11.73,11.77,992400,6.92858
2005-02-08,11.72,11.85,11.72,11.83,1400100,6.963899
2005-02-09,11.8,11.92,11.67,11.83,1337700,6.963899
2005-02-10,11.82,11.95,11.76,11.95,4609600,7.034539
2005-02-11,11.95,12.03,11.84,11.99,3018100,7.058085
2005-02-14,11.91,12.22,11.88,12.15,2219300,7.212426
2005-02-15,12.1,12.41,12.04,12.31,3431600,7.307405
2005-02-16,12.21,12.35,12.2,12.33,1223200,7.319277
2005-02-17,12.33,12.36,12.17,12.33,1405500,7.319277
2005-02-18,12.33,12.33,11.94,12.0,1763300,7.123384
2005-02-22,11.95,11.95,11.71,11.72,2004800,6.957171
2005-02-23,11.77,12.01,11.74,11.86,1681600,7.040277
2005-02-24,11.89,11.92,11.76,11.8,1092600,7.004661
2005-02-25,11.81,12.15,11.81,12.11,1891400,7.188681
2005-02-28,12.1,12.21,11.98,11.98,813500,7.111511
2005-03-01,11.98,12.15,11.92,12.06,1246100,7.159001
2005-03-02,12.0,12.23,11.98,12.14,2150200,7.20649
2005-03-03,12.19,12.4,12.15,12.34,2215900,7.325213
2005-03-04,12.38,12.54,12.35,12.47,1541400,7.402383
2005-03-07,12.47,12.56,12.44,12.51,1652500,7.426127
2005-03-08,12.6,12.81,12.55,12.61,3883000,7.485489
