Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,45.400002,45.650002,44.950001,45.0,5114400,19.649802
2005-01-04,45.25,45.380001,44.400002,44.490002,4172800,19.427105
2005-01-05,44.490002,45.290001,44.040001,45.25,5192400,19.758967
2005-01-06,45.25,45.369999,44.970001,45.259998,2947200,19.763333
2005-01-07,45.23,45.950001,45.16,45.75,3009600,19.977298
2005-01-10,45.849998,46.439999,45.790001,46.009998,3531000,20.09083
2005-01-11,45.82,47.299999,45.720001,47.110001,7491600,20.571159
2005-01-12,47.0,47.209999,46.759998,47.080002,3911800,20.55806
2005-01-13,47.080002,47.080002,46.52,46.68,3533200,20.383394
2005-01-14,46.669998,47.099998,46.540001,47.0,4276800,20.523126
2005-01-18,47.0,47.57,46.790001,47.5,5232800,20.741457
2005-01-19,47.400002,47.650002,47.23,47.259998,3818200,20.636658
2005-01-20,47.099998,47.110001,46.599998,46.669998,3508000,20.410554
2005-01-21,46.57,46.650002,45.849998,45.889999,3453200,20.069431
2005-01-24,45.549999,45.779999,45.049999,45.110001,4687000,19.728308
2005-01-25,45.080002,45.619999,45.040001,45.57,3181400,19.929483
2005-01-26,45.700001,45.779999,45.32,45.5,2586800,19.898869
2005-01-27,45.299999,45.799999,45.18,45.639999,3222200,19.960096
2005-01-28,45.889999,46.110001,45.580002,45.82,3565000,20.038817
2005-01-31,46.0,46.360001,45.900002,46.349998,3325000,20.270606
2005-02-01,46.470001,46.709999,46.27,46.529999,6040600,20.349327
2005-02-02,48.200001,48.869999,46.950001,48.259998,11163400,21.105921
2005-02-03,48.400002,49.349998,48.360001,49.189999,6485000,21.512645
2005-02-04,49.200001,50.009998,48.849998,49.849998,6882800,21.801288
2005-02-07,49.900002,50.0,49.360001,49.450001,3848400,21.626354
2005-02-08,49.400002,49.57,49.139999,49.32,3287200,21.569499
2005-02-09,49.400002,49.5,48.540001,48.68,2672600,21.289604
2005-02-10,48.700001,49.189999,48.41,49.040001,3233400,21.447045
2005-02-11,49.119999,50.009998,48.740002,49.900002,5103400,21.823156
2005-02-14,49.799999,49.93,48.919998,48.959999,3492800,21.412058
2005-02-15,48.939999,49.02,48.099998,48.549999,4383800,21.232749
2005-02-16,48.5,48.889999,48.389999,48.849998,2801600,21.36395
2005-02-17,48.98,49.23,48.669998,48.77,3037400,21.328964
2005-02-18,48.82,48.91,48.360001,48.630001,2605200,21.267737
2005-02-22,48.630001,48.68,47.669998,47.75,2146200,20.882879
2005-02-23,47.75,48.27,47.740002,48.049999,2065200,21.01408
2005-02-24,48.099998,49.41,47.900002,49.41,3677600,21.60886
2005-02-25,49.41,49.950001,49.009998,49.869999,4576000,21.810035
2005-02-28,49.869999,50.240002,49.439999,49.830002,3423000,21.792543
2005-03-01,50.09,51.130001,50.029999,50.720001,6010600,22.181773
2005-03-02,50.77,50.900002,49.869999,50.060001,4941800,21.89313
2005-03-03,53.59,53.59,51.900002,52.779999,12224800,23.082688
2005-03-04,53.099998,53.400002,52.110001,52.580002,8157600,22.995222
2005-03-07,52.57,53.27,52.52,52.880001,4479600,23.126423
2005-03-08,52.650002,52.68,52.080002,52.189999,5406600,22.824658
2005-03-09,52.119999,52.18,51.419998,51.889999,3516200,22.693457
2005-03-10,52.0,52.84,51.860001,52.650002,3361800,23.025835
2005-03-11,52.799999,53.0,52.650002,52.849998,3864000,23.113301
2005-03-14,52.950001,53.130001,52.279999,52.560001,2241600,22.986475
2005-03-15,52.73,52.919998,52.110001,52.310001,2535200,22.87714
2005-03-16,52.18,52.43,51.66,51.98,3126600,22.732818
2005-03-17,51.950001,53.240002,51.709999,52.990002,4536600,23.17453
2005-03-18,52.970001,53.25,52.34,52.849998,4623800,23.113301
2005-03-21,52.799999,52.990002,51.900002,52.32,3239800,22.881513
2005-03-22,52.419998,52.939999,52.150002,52.450001,2968200,22.938367
2005-03-23,52.5,53.389999,52.18,53.189999,4183400,23.261996
2005-03-24,53.25,53.779999,52.599998,53.450001,3861800,23.375705
2005-03-28,53.450001,53.599998,53.009998,53.150002,3844000,23.244504
2005-03-29,52.900002,53.16,52.349998,52.439999,4284200,22.933993
2005-03-30,52.5,53.060001,52.5,52.959999,3995200,23.161409
2005-03-31,52.599998,52.860001,52.310001,52.619999,3206400,23.012714
2005-04-01,52.619999,52.799999,51.459999,51.560001,6414800,22.549137
2005-04-04,51.599998,51.849998,51.150002,51.5,5753400,22.522896
2005-04-05,51.5,52.490002,51.25,52.380001,3681800,22.907754
2005-04-06,52.529999,52.709999,52.299999,52.610001,3027600,23.008341
2005-04-07,52.580002,52.59,51.75,52.139999,5353200,22.802792
2005-04-08,52.07,52.23,51.509998,51.650002,2737400,22.588497
2005-04-11,51.630001,52.150002,51.5,52.060001,2670800,22.767806
2005-04-12,52.0,52.830002,51.310001,52.580002,4427000,22.995222
2005-04-13,52.580002,52.650002,51.970001,52.209999,4019600,22.833405
2005-04-14,52.220001,52.560001,52.009998,52.25,3215400,22.850899
2005-04-15,52.049999,52.5,51.84,51.860001,4797800,22.680338
2005-04-18,51.82,52.25,51.610001,51.73,3276400,22.623483
2005-04-19,51.25,52.700001,50.900002,52.630001,5404600,23.017088
