Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,14.66,14.75,14.51,14.71,9852200,11.381865
2005-01-04,14.71,14.75,14.59,14.66,9035400,11.343178
2005-01-05,14.63,14.66,14.42,14.43,11376200,11.165215
2005-01-06,14.4,14.52,14.37,14.45,6672600,11.18069
2005-01-07,14.48,14.65,14.45,14.65,11452500,11.33544
2005-01-10,14.49,14.59,14.48,14.55,10033300,11.258065
2005-01-11,14.55,14.55,14.35,14.43,10201700,11.165215
2005-01-12,14.43,14.45,14.24,14.32,15451200,11.080102
2005-01-13,14.34,14.34,14.04,14.08,11036500,10.894403
2005-01-14,14.04,14.15,14.01,14.06,9362300,10.878928
2005-01-18,13.96,14.15,13.91,14.08,10296500,10.894403
2005-01-19,14.08,14.27,13.92,13.93,6560200,10.77834
2005-01-20,13.55,13.75,13.4,13.46,14965100,10.414678
2005-01-21,13.46,13.46,13.1,13.11,12369700,10.143865
2005-01-24,13.12,13.3,13.05,13.07,10804700,10.112915
2005-01-25,13.07,13.42,13.07,13.23,11581200,10.236715
2005-01-26,13.28,13.36,13.17,13.35,7424200,10.408237
2005-01-27,13.26,13.31,13.17,13.19,6295200,10.283493
2005-01-28,13.15,13.25,13.04,13.14,9261100,10.244512
2005-01-31,13.25,13.29,13.11,13.17,6976900,10.267901
2005-02-01,13.27,13.28,13.01,13.08,9248000,10.197733
2005-02-02,13.18,13.38,13.08,13.27,7073200,10.345865
2005-02-03,13.17,13.25,13.06,13.11,8963300,10.221122
2005-02-04,13.21,13.26,13.15,13.22,7186000,10.306883
2005-02-07,13.29,13.54,13.24,13.42,8965600,10.462812
2005-02-08,13.39,13.44,13.15,13.16,9651200,10.260104
2005-02-09,13.1,13.19,13.04,13.12,8383100,10.228918
2005-02-10,13.11,13.21,13.06,13.1,7250200,10.213326
2005-02-11,13.09,13.19,13.04,13.06,8416800,10.18214
2005-02-14,13.12,13.2,13.04,13.1,6266800,10.213326
2005-02-15,13.06,13.18,13.06,13.16,5484200,10.260104
2005-02-16,13.1,13.3,13.05,13.25,7424100,10.330272
2005-02-17,13.19,13.25,13.0,13.0,6854800,10.135361
2005-02-18,13.01,13.01,12.77,12.96,9104100,10.104176
2005-02-22,12.76,12.9,12.71,12.76,10733600,9.948247
2005-02-23,12.8,12.93,12.73,12.81,7916800,9.987229
2005-02-24,12.83,12.88,12.75,12.8,5234600,9.979433
2005-02-25,12.85,13.02,12.8,13.0,5376000,10.135361
2005-02-28,12.6,12.67,12.49,12.65,16898800,9.862486
2005-03-01,12.57,12.67,12.53,12.67,11680300,9.878079
2005-03-02,12.56,12.73,12.45,12.47,12005300,9.722151
2005-03-03,12.46,12.55,12.44,12.5,7814600,9.74554
2005-03-04,12.5,12.61,12.38,12.4,7352500,9.667575
2005-03-07,12.33,12.58,12.32,12.52,9969000,9.761133
2005-03-08,12.43,12.55,12.4,12.45,7163900,9.706557
2005-03-09,12.41,12.44,12.28,12.34,11097100,9.620797
2005-03-10,12.32,12.51,12.32,12.37,7869000,9.644186
2005-03-11,12.55,12.6,12.37,12.39,5273100,9.659779
2005-03-14,12.39,12.42,12.3,12.39,5398000,9.659779
2005-03-15,12.44,12.47,12.2,12.23,8217600,9.535036
2005-03-16,11.82,12.02,11.4,11.91,29500300,9.28555
2005-03-17,11.72,11.92,11.54,11.67,18744000,9.098436
2005-03-18,11.67,11.68,11.26,11.39,17270700,8.880136
2005-03-21,11.31,11.6,11.1,11.51,15450500,8.973693
2005-03-22,11.4,11.63,11.15,11.17,11713800,8.708614
2005-03-23,11.17,11.27,10.94,10.99,18426800,8.568278
2005-03-24,10.98,11.54,10.95,11.29,12879500,8.802171
2005-03-28,11.24,11.35,11.18,11.22,6599500,8.747597
2005-03-29,11.26,11.41,11.22,11.27,8067400,8.786579
2005-03-30,11.25,11.52,11.25,11.44,10321100,8.919118
2005-03-31,11.42,11.53,11.31,11.33,6892600,8.833357
2005-04-01,11.65,11.69,11.1,11.18,12408500,8.716411
2005-04-04,11.12,11.23,10.95,11.09,9371900,8.646243
2005-04-05,11.01,11.2,11.01,11.1,6034700,8.65404
2005-04-06,11.15,11.36,11.1,11.11,7073200,8.661835
2005-04-07,11.02,11.31,10.96,11.3,11621200,8.809968
2005-04-08,11.12,11.28,10.97,11.03,9868100,8.599464
2005-04-11,10.3,10.49,10.09,10.44,40717700,8.139474
2005-04-12,10.26,10.37,9.93,10.06,29788700,7.843211
2005-04-13,10.05,10.08,9.97,10.05,16557300,7.835414
2005-04-14,10.02,10.05,9.65,9.75,22252900,7.601521
2005-04-15,9.67,9.73,9.47,9.5,23093200,7.40661
2005-04-18,9.49,9.51,9.28,9.34,20166800,7.281867
2005-04-19,9.33,9.47,9.14,9.28,18745900,7.235088
2005-04-20,9.48,9.7,9.17,9.34,21331800,7.281867
2005-04-21,9.55,9.86,9.5,9.82,19665500,7.656096
2005-04-22,9.83,9.98,9.69,9.89,15436300,7.710671
2005-04-25,9.93,10.39,9.75,9.79,10062600,7.632707
2005-04-26,9.69,9.78,9.56,9.57,12750400,7.461185
2005-04-27,9.58,9.58,9.31,9.44,11225200,7.359831
2005-04-28,9.27,9.35,9.1,9.14,11218400,7.202234
2005-04-29,9.21,9.24,9.07,9.11,9015500,7.178593
2005-05-02,9.16,9.25,9.07,9.22,7506400,7.265273
2005-05-03,9.27,9.49,9.25,9.47,12268100,7.46227
2005-05-04,9.85,10.45,9.77,10.16,44127200,8.005983
2005-05-05,10.15,10.22,9.46,9.7,32811700,7.643508
2005-05-06,9.71,9.87,9.63,9.76,19503800,7.690788
2005-05-09,9.76,10.08,9.76,9.95,15056200,7.840505
2005-05-10,9.9,9.93,9.67,9.78,14651600,7.706547
2005-05-11,9.85,9.85,9.44,9.64,13919300,7.596229
2005-05-12,9.77,9.77,9.27,9.35,22690900,7.367712
2005-05-13,9.39,9.47,9.23,9.3,10094900,7.328312
2005-05-16,9.35,9.51,9.31,9.41,9855200,7.414991
2005-05-17,9.41,9.48,9.26,9.31,12589000,7.336192
2005-05-18,9.6,9.98,9.39,9.92,22639900,7.816866
2005-05-19,9.9,10.07,9.78,10.01,19569100,7.887785
2005-05-20,9.95,10.06,9.88,10.0,11360600,7.879905
2005-05-23,10.07,10.27,10.05,10.17,14459200,8.013864
2005-05-24,10.13,10.14,9.85,9.98,13139900,7.864145
2005-05-25,9.95,9.98,9.79,9.96,13339500,7.848386
