Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,14.67,14.97,14.58,14.9,3805200,14.451761
2005-01-04,14.98,15.0,14.32,14.46,3385900,14.024998
2005-01-05,14.46,14.75,14.15,14.34,2399400,13.908608
2005-01-06,14.36,14.81,14.35,14.63,3392100,14.189884
2005-01-07,14.7,14.74,14.58,14.7,2420600,14.257778
2005-01-10,14.7,14.83,14.55,14.59,3276600,14.151087
2005-01-11,14.57,14.65,14.45,14.56,1963700,14.12199
2005-01-12,14.53,14.69,14.33,14.51,2222900,14.073494
2005-01-13,14.5,15.09,14.47,14.87,4829800,14.422664
2005-01-14,14.94,15.4,14.8,15.32,3006000,14.859126
2005-01-18,15.2,15.41,14.87,15.36,3903400,14.897923
2005-01-19,15.3,15.54,15.17,15.24,1910900,14.781533
2005-01-20,15.2,15.21,14.71,14.79,3249300,14.345071
2005-01-21,14.79,14.85,14.45,14.52,2693600,14.083194
2005-01-24,14.51,14.63,14.34,14.39,2966000,13.957104
2005-01-25,14.4,15.0,14.4,14.62,2863500,14.180185
2005-01-26,14.61,15.19,14.53,15.06,5842300,14.606949
2005-01-27,15.06,15.64,14.98,15.61,4442200,15.140402
2005-01-28,15.55,15.6,15.2,15.37,1949500,14.907622
2005-01-31,15.45,15.68,15.22,15.44,2612100,14.975516
2005-02-01,15.5,16.09,15.47,15.96,2352500,15.479873
2005-02-02,15.99,16.09,15.7,15.99,1401100,15.508971
2005-02-03,15.87,16.0,15.62,16.0,3036900,15.51867
2005-02-04,15.46,15.59,14.3,14.42,10294000,13.986201
2005-02-07,14.37,14.45,13.85,14.05,5444900,13.627332
2005-02-08,14.1,14.34,14.07,14.26,2477900,13.831015
2005-02-09,14.26,14.35,13.84,13.9,2254000,13.481844
2005-02-10,13.87,13.93,13.62,13.77,3655000,13.355756
2005-02-11,13.76,14.19,13.65,14.0,1741900,13.578836
2005-02-14,14.04,14.34,14.04,14.28,1553100,13.850413
2005-02-15,14.29,14.72,14.29,14.45,2088200,14.015299
2005-02-16,14.33,14.34,13.89,13.91,3807800,13.491544
2005-02-17,13.9,13.96,13.64,13.7,2215100,13.287861
2005-02-18,13.8,13.96,13.68,13.79,1758200,13.375154
2005-02-22,13.75,13.76,13.1,13.12,3054400,12.725309
2005-02-23,13.65,14.09,13.65,14.0,8903900,13.578836
2005-02-24,14.0,14.44,13.9,14.35,3547600,13.918308
2005-02-25,14.35,14.75,14.26,14.71,2931900,14.267477
2005-02-28,14.71,14.71,14.23,14.46,1827300,14.024998
2005-03-01,14.58,14.67,14.48,14.55,1461300,14.112291
2005-03-02,14.45,14.64,14.12,14.45,2056300,14.015299
2005-03-03,14.47,14.64,14.27,14.39,2078000,13.957104
2005-03-04,14.43,14.58,14.24,14.53,1599300,14.092892
2005-03-07,14.51,14.74,14.43,14.66,1450600,14.218981
2005-03-08,14.61,14.71,14.39,14.53,1201900,14.092892
2005-03-09,14.35,14.5,14.29,14.44,1385500,14.005599
2005-03-10,14.4,14.63,14.26,14.63,2187000,14.189884
2005-03-11,14.65,15.04,14.62,14.76,2821000,14.315973
2005-03-14,14.7,15.02,14.56,14.84,2126700,14.393567
2005-03-15,14.78,14.81,14.37,14.5,2715800,14.063795
2005-03-16,14.15,14.45,13.92,14.04,5241100,13.617633
2005-03-17,14.09,14.12,13.35,13.88,5856600,13.462446
2005-03-18,13.92,13.99,13.54,13.65,3630000,13.239365
2005-03-21,13.65,13.77,13.28,13.43,2868700,13.025984
2005-03-22,13.62,13.82,13.42,13.52,3043500,13.113277
2005-03-23,13.7,13.81,13.36,13.52,2057600,13.113277
2005-03-24,13.53,14.08,13.5,13.87,2334900,13.452747
2005-03-28,13.88,14.0,13.65,13.71,3432500,13.29756
2005-03-29,13.71,13.74,13.16,13.2,2674000,12.802903
2005-03-30,13.25,13.47,13.25,13.43,2276800,13.025984
2005-03-31,13.39,13.49,13.3,13.35,2130400,12.948391
2005-04-01,13.32,13.67,12.97,13.06,4161800,12.667115
2005-04-04,13.13,13.16,12.82,12.96,3964400,12.570123
2005-04-05,13.04,13.06,12.86,12.99,2391700,12.59922
2005-04-06,12.98,13.03,12.87,12.93,2125700,12.541026
2005-04-07,12.9,13.22,12.83,13.13,1735700,12.735009
2005-04-08,13.16,13.16,12.77,12.8,2753000,12.414936
2005-04-11,12.84,13.0,12.78,12.84,3399700,12.453733
2005-04-12,12.82,12.98,12.45,12.92,2374400,12.531326
2005-04-13,12.9,12.92,12.47,12.58,2474700,12.201554
2005-04-14,12.59,12.69,11.84,11.99,3961100,11.629303
2005-04-15,11.95,12.04,11.25,11.47,7495100,11.124947
2005-04-18,11.43,11.54,11.24,11.54,4809100,11.192841
2005-04-19,11.55,11.85,11.51,11.68,5693700,11.328629
2005-04-20,11.77,11.77,11.35,11.38,3537100,11.037654
2005-04-21,11.55,11.9,11.46,11.85,2353100,11.493515
2005-04-22,11.83,11.88,11.65,11.77,2550300,11.415922
2005-04-25,11.77,11.79,11.59,11.78,1150900,11.425621
2005-04-26,11.72,11.82,11.55,11.57,1607200,11.221938
2005-04-27,11.85,12.15,11.73,11.99,4700300,11.629303
2005-04-28,11.95,12.03,11.61,11.65,3109700,11.299531
2005-04-29,11.8,11.96,11.67,11.87,2735900,11.512913
2005-05-02,11.9,12.22,11.87,12.17,2487900,11.803889
2005-05-03,12.18,12.66,12.16,12.49,5018300,12.114262
2005-05-04,12.56,13.11,12.55,12.98,4894800,12.589521
2005-05-05,13.95,14.28,13.1,13.2,9910000,12.802903
2005-05-06,13.3,13.46,13.17,13.29,1969800,12.890195
2005-05-09,13.2,13.35,13.1,13.31,2268400,12.909594
2005-05-10,13.31,13.35,13.08,13.18,1927600,12.783505
2005-05-11,13.25,13.49,13.19,13.38,2194700,12.977488
2005-05-12,13.4,13.56,12.94,13.07,3956400,12.676813
2005-05-13,13.15,13.64,13.13,13.5,6367400,13.093878
2005-05-16,13.55,13.96,13.54,13.9,4213000,13.481844
2005-05-17,13.85,14.0,13.58,13.75,3571900,13.336357
2005-05-18,13.77,14.41,13.76,14.19,5158000,13.76312
2005-05-19,13.6,14.03,13.5,13.95,3857700,13.53034
2005-05-20,14.0,14.31,13.94,14.19,3190200,13.76312
2005-05-23,14.32,14.48,14.1,14.36,2656100,13.928006
2005-05-24,14.27,14.47,14.22,14.41,2521800,13.976502
2005-05-25,14.38,14.44,14.07,14.26,3065100,13.831015
2005-05-26,14.31,14.53,14.29,14.51,1517200,14.073494
2005-05-27,14.47,14.66,14.44,14.59,1005100,14.151087
