Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,35.880007,36.160005,35.160007,35.440005,7363300,47.453571
2005-01-04,35.670007,35.730005,34.860003,35.650005,7553800,47.734758
2005-01-05,35.500007,35.710003,35.250006,35.490004,4725200,47.520519
2005-01-06,35.600006,36.450006,35.590006,36.370005,5310800,48.698826
2005-01-07,36.300004,36.390007,35.720006,36.000004,4952300,48.2034
2005-01-10,36.020006,36.170004,35.470006,35.630007,3720100,47.70798
2005-01-11,35.580004,35.650005,35.240004,35.410004,2864800,47.4134
2005-01-12,35.580004,35.840007,35.300006,35.840007,3336700,47.989167
2005-01-13,35.930006,36.000004,35.370003,35.450004,4179200,47.466959
2005-01-14,35.550006,35.690005,35.310005,35.580004,3833200,47.641027
2005-01-18,35.310005,35.930006,35.310005,35.880007,3004200,48.042727
2005-01-19,36.250004,36.580005,35.800007,35.810006,2304300,47.948996
2005-01-20,35.530004,35.870004,35.520005,35.760006,4078200,47.882048
2005-01-21,35.710003,35.840007,35.220005,35.250006,4496800,47.199166
2005-01-24,35.260006,35.360004,34.800005,34.950007,4010600,46.797472
2005-01-25,35.000006,35.420006,35.000006,35.020004,2763000,46.891197
2005-01-26,35.330007,35.480005,35.100005,35.230004,3591000,47.172384
2005-01-27,35.230004,35.880007,35.130006,35.730005,3820300,47.841877
2005-01-28,35.870004,36.000004,35.640006,36.000004,2875800,48.2034
2005-01-31,36.000004,36.240005,35.730005,36.140007,6134700,48.390862
2005-02-01,34.700006,35.140005,34.350003,34.510004,14393800,46.208316
2005-02-02,34.510004,34.830006,34.330005,34.470004,6441100,46.154756
2005-02-03,34.370005,34.420005,33.710004,34.010003,5955500,45.538823
2005-02-04,34.010003,34.270007,33.870004,34.160005,3647700,45.739673
2005-02-07,34.180003,34.450006,34.170004,34.400006,3053500,46.061031
2005-02-08,34.520003,35.180005,34.520003,34.960006,4906000,46.81086
2005-02-09,34.970005,35.010005,33.750004,33.760007,4583900,45.204082
2005-02-10,33.970003,34.010003,32.850004,33.550006,8956700,44.922895
2005-02-11,33.660004,34.280006,33.610005,34.220004,4606100,45.82001
2005-02-14,34.150006,34.240006,33.900006,33.900006,3178200,45.391538
2005-02-15,33.900006,33.950005,33.570005,33.770006,4117000,45.21747
2005-02-16,33.200004,33.720006,33.100005,33.710004,7575900,45.137128
2005-02-17,33.450004,34.000004,33.070004,33.180005,8432700,44.42747
2005-02-18,33.260006,33.650005,33.100005,33.610005,4997700,45.003232
2005-02-22,33.360004,33.580004,33.150004,33.310005,5495600,44.601537
2005-02-23,33.500003,33.660004,33.440005,33.470006,4367100,44.815776
2005-02-24,33.370004,33.920004,33.310005,33.760007,3872400,45.204082
2005-02-25,33.760007,34.360006,33.720006,33.750004,4819100,45.190688
2005-02-28,33.750004,34.000004,33.360004,33.480005,4407100,44.829164
2005-03-01,33.540004,33.990005,33.510006,33.870004,4474100,45.351367
2005-03-02,33.770006,34.480007,33.600006,34.340004,6199900,45.980689
2005-03-03,34.500005,34.750006,34.240006,34.600004,4575500,46.328824
2005-03-04,34.740006,35.750004,34.730004,35.620004,6802200,47.694586
2005-03-07,35.350005,36.010007,35.250006,35.940006,5238700,48.123064
2005-03-08,35.940006,36.000004,35.770006,35.830004,6691400,47.975773
2005-03-09,35.580004,36.110006,35.530004,35.760006,5038200,47.882048
2005-03-10,35.850006,35.950005,35.640006,35.700004,3349200,47.801706
2005-03-11,35.630007,35.870004,35.230004,35.370003,3611900,47.35984
2005-03-14,35.340006,35.500007,34.940004,35.400004,3082800,47.400011
2005-03-15,35.580004,35.630007,35.160007,35.160007,3668200,47.078658
2005-03-16,34.850004,35.060004,34.460005,34.570006,4608300,46.288658
2005-03-17,34.550004,34.850004,34.450006,34.690003,3823100,46.449332
2005-03-18,34.600004,34.730004,34.500005,34.650007,4767200,46.395777
2005-03-21,34.470004,34.730004,34.350003,34.690003,3121500,46.449332
2005-03-22,34.650007,35.240004,34.530006,34.760005,4262100,46.543062
2005-03-23,34.300004,34.740006,34.270007,34.460005,4587400,46.141367
2005-03-24,34.490006,34.830006,34.080005,34.080005,2439100,45.632554
2005-03-28,34.080005,34.430004,33.970003,34.130004,3172600,45.699502
2005-03-29,33.940006,34.290005,33.690005,33.800003,3653300,45.257636
2005-03-30,33.680006,34.170004,33.680006,34.030005,4166100,45.700813
2005-03-31,34.000004,34.060006,33.750004,33.800003,3232700,45.39193
2005-04-01,33.950005,34.110006,33.360004,33.450004,3149200,44.921897
2005-04-04,33.570005,33.610005,32.000004,33.220006,6774600,44.613019
2005-04-05,33.180005,33.520005,32.800005,33.150004,3176800,44.51901
2005-04-06,33.120003,33.510006,33.100005,33.290003,3127500,44.707022
2005-04-07,33.300006,34.280006,33.210006,34.250005,4401300,45.996263
2005-04-08,34.180003,34.290005,33.880004,33.890006,2697200,45.512801
2005-04-11,33.860005,34.130004,33.760007,33.870004,1486600,45.485939
2005-04-12,33.710004,34.480007,33.310005,34.440007,3079000,46.251427
2005-04-13,34.160005,34.400006,33.550006,33.640006,3634800,45.177061
2005-04-14,33.650005,33.810006,32.540006,32.750006,5869800,43.98183
2005-04-15,32.520004,32.730004,30.990005,31.330005,9166100,42.074831
2005-04-18,31.150004,32.150004,31.040005,31.440005,6246400,42.222556
2005-04-19,31.440005,31.700005,30.700005,31.160005,7687700,41.846528
2005-04-20,31.220004,31.910005,31.000005,31.260004,5891500,41.980822
2005-04-21,31.670005,31.990005,31.010004,31.900004,4526200,42.840314
2005-04-22,31.680005,32.250005,31.620004,32.250005,5723100,43.31035
2005-04-25,32.040005,32.250005,31.770004,32.040005,3375700,43.028329
2005-04-26,31.780005,31.920004,31.420005,31.420005,3320200,42.195696
2005-04-27,31.150004,31.500005,30.550005,31.470004,4870200,42.262843
2005-04-28,31.450004,31.450004,30.910005,30.940004,4054700,41.551076
2005-04-29,31.230005,31.440005,30.630005,31.310005,5833000,42.047972
2005-05-02,31.450004,31.580004,30.630005,30.720005,5363700,41.255627
2005-05-03,27.300005,28.660005,27.270004,28.650004,43078200,38.475706
2005-05-04,28.550005,29.400005,28.340005,29.250005,12930900,39.281481
2005-05-05,29.120003,29.570005,29.080005,29.240004,9466500,39.26805
2005-05-06,29.520004,29.530005,28.770004,29.170005,6119000,39.174044
2005-05-09,29.040005,29.480004,28.950003,29.400005,4540900,39.482925
2005-05-10,29.110004,29.770004,29.030004,29.320005,4850900,39.375488
2005-05-11,29.230005,29.470004,28.860004,29.030004,5162900,38.986029
2005-05-12,29.050004,29.100003,28.520004,28.530005,3796800,38.314552
2005-05-13,28.530005,29.240004,28.510005,28.910005,5376300,38.824876
2005-05-16,28.950003,29.130004,28.800004,28.850005,3412700,38.744298
2005-05-17,28.710004,28.990004,28.580004,28.920004,5362100,38.838305
2005-05-18,28.980005,29.720005,28.660005,29.470004,8064100,39.576931
2005-05-19,29.500004,29.870005,29.370004,29.700005,5863400,39.885811
2005-05-20,29.790004,29.880004,29.440003,29.810004,3500100,40.033536
2005-05-23,29.280004,30.040005,29.270003,29.870005,3355000,40.114114
2005-05-24,29.720005,29.910005,29.470004,29.690004,3348600,39.87238
2005-05-25,29.690004,29.700005,29.140004,29.450004,3399100,39.550072
2005-05-26,29.500004,29.760005,29.100003,29.200004,3609700,39.214332
2005-05-27,29.300004,29.400005,29.020005,29.040005,3154000,38.99946
2005-05-31,29.060005,29.100003,28.780003,28.930003,3007000,38.851733
2005-06-01,28.990004,29.130004,28.830005,28.890005,4641100,38.798017
2005-06-02,28.900004,28.990004,28.740005,28.750004,4971400,38.610002
2005-06-03,28.770004,28.850005,28.570003,28.650004,2952300,38.475706
2005-06-06,28.530005,28.870005,28.420003,28.770004,3124100,38.636861
2005-06-07,28.930003,29.880004,28.770004,29.310004,6921900,39.362057
2005-06-08,29.430004,29.440003,28.880004,28.900004,2908200,38.811445
2005-06-09,28.910005,29.330004,28.910005,29.230005,4144400,39.254622
2005-06-10,29.350004,30.450004,29.340005,30.350004,6064100,40.758731
2005-06-13,30.320004,30.370004,29.860004,30.330004,5737200,40.731872
2005-06-14,30.330004,30.640004,30.220004,30.270005,4582100,40.651297
2005-06-15,30.280004,30.740005,30.060005,30.620004,4144000,41.12133
2005-06-16,30.680005,31.050004,30.510005,30.910005,3693200,41.510789
