Date,Open,High,Low,Close,Volume,Adj Close
2005-01-03,47.700001,47.799999,46.360001,46.380001,669200,23.190001
2005-01-04,47.0,47.150002,45.790001,46.389999,798000,23.195
2005-01-05,46.189999,46.400002,45.580002,45.580002,478800,22.790001
2005-01-06,45.5,46.130001,45.389999,45.599998,332600,22.799999
2005-01-07,45.799999,45.950001,45.380001,45.389999,352000,22.695
2005-01-10,45.419998,45.799999,45.419998,45.529999,557200,22.764999
2005-01-11,45.630001,46.07,45.299999,46.009998,556200,23.004999
2005-01-12,45.799999,45.900002,45.5,45.689999,484600,22.844999
2005-01-13,45.700001,46.349998,45.580002,45.91,402400,22.955
2005-01-14,46.099998,46.290001,45.68,45.860001,473600,22.93
2005-01-18,45.860001,46.509998,45.529999,46.48,433600,23.24
2005-01-19,46.279999,46.549999,45.75,46.0,358400,23.0
2005-01-20,45.849998,45.900002,45.43,45.470001,354400,22.735001
2005-01-21,45.299999,45.48,44.799999,45.0,397000,22.5
2005-01-24,44.950001,45.25,44.650002,44.759998,262400,22.379999
2005-01-25,45.0,49.75,45.0,49.400002,1928400,24.700001
2005-01-26,49.900002,52.950001,49.849998,50.630001,3654400,25.315001
2005-01-27,50.630001,50.630001,49.369999,49.790001,969600,24.895
2005-01-28,49.790001,50.130001,49.32,49.599998,726200,24.799999
2005-01-31,50.400002,50.919998,50.25,50.790001,819000,25.395
2005-02-01,50.700001,51.990002,50.599998,51.209999,818000,25.605
2005-02-02,51.400002,52.970001,51.299999,52.529999,1057200,26.264999
2005-02-03,52.299999,52.639999,51.139999,51.279999,842000,25.639999
2005-02-04,51.299999,52.549999,51.169998,51.849998,1152600,25.924999
2005-02-07,51.75,52.369999,51.689999,52.200001,483600,26.1
2005-02-08,52.200001,52.900002,51.759998,51.950001,516600,25.975
2005-02-09,51.849998,51.98,50.970001,50.98,382200,25.49
2005-02-10,51.099998,51.169998,50.77,51.049999,756800,25.525
2005-02-11,51.049999,51.849998,50.560001,51.689999,482600,25.844999
2005-02-14,51.689999,51.830002,51.0,51.5,347800,25.75
2005-02-15,51.450001,53.599998,51.450001,53.400002,990000,26.700001
2005-02-16,53.299999,53.790001,52.93,53.259998,730200,26.629999
2005-02-17,53.299999,54.279999,53.299999,53.849998,1002800,26.924999
2005-02-18,53.799999,53.950001,53.560001,53.75,528400,26.875
2005-02-22,53.75,54.209999,52.68,52.75,713600,26.375
2005-02-23,52.759998,54.450001,52.700001,54.259998,894800,27.129999
2005-02-24,54.080002,55.27,54.080002,55.220001,812000,27.610001
2005-02-25,55.220001,56.209999,54.950001,56.209999,967600,28.105
2005-02-28,56.0,56.41,55.91,55.98,1125000,27.99
2005-03-01,55.779999,56.150002,55.75,55.900002,665600,27.950001
2005-03-02,55.970001,56.310001,55.759998,56.009998,490600,28.004999
2005-03-03,55.869999,55.889999,54.23,55.060001,665200,27.530001
2005-03-04,55.25,56.369999,55.060001,56.139999,603800,28.07
2005-03-07,55.919998,56.43,55.779999,56.400002,476800,28.200001
2005-03-08,56.400002,56.799999,55.919998,56.040001,876200,28.02
2005-03-09,56.040001,56.040001,54.57,54.700001,841400,27.35
2005-03-10,54.900002,54.950001,53.830002,53.919998,794000,26.959999
2005-03-11,54.099998,54.349998,53.669998,53.900002,222000,26.950001
2005-03-14,54.0,54.200001,53.580002,53.900002,412000,26.950001
2005-03-15,53.900002,54.139999,53.57,53.75,1048800,26.875
2005-03-16,53.549999,53.82,53.27,53.279999,384000,26.639999
2005-03-17,53.349998,53.880001,53.09,53.75,463600,26.875
2005-03-18,53.5,54.349998,53.43,54.220001,920200,27.110001
2005-03-21,54.0,54.16,53.759998,53.98,671800,26.99
2005-03-22,53.849998,55.040001,53.849998,54.950001,858600,27.475
2005-03-23,54.959999,55.849998,54.84,55.040001,868400,27.52
2005-03-24,54.849998,55.0,53.459999,53.57,939200,26.785
2005-03-28,53.299999,53.299999,52.349998,52.970001,702400,26.485001
2005-03-29,53.049999,53.099998,51.380001,51.5,656600,25.75
2005-03-30,51.349998,52.389999,51.310001,51.959999,627600,25.98
2005-03-31,51.709999,52.18,51.599998,51.919998,503000,25.959999
2005-04-01,51.869999,52.720001,51.630001,51.810001,516600,25.905001
2005-04-04,51.630001,53.040001,51.549999,52.5,483400,26.25
2005-04-05,52.5,52.959999,52.310001,52.669998,473400,26.334999
2005-04-06,52.68,53.52,52.139999,53.27,778800,26.635
2005-04-07,53.27,53.98,53.200001,53.689999,473000,26.844999
2005-04-08,53.490002,53.66,53.009998,53.139999,302200,26.57
2005-04-11,53.02,53.490002,52.619999,53.330002,437200,26.665001
2005-04-12,53.330002,54.509998,52.900002,54.5,859200,27.25
2005-04-13,54.299999,54.310001,53.099998,53.34,549600,26.67
2005-04-14,53.349998,53.509998,50.93,51.400002,489200,25.700001
2005-04-15,51.150002,51.77,49.360001,49.630001,993600,24.815001
2005-04-18,49.650002,50.490002,49.200001,50.470001,775000,25.235001
2005-04-19,50.470001,50.799999,50.23,50.73,374400,25.365
2005-04-20,50.650002,50.720001,49.52,49.700001,456800,24.85
2005-04-21,49.950001,50.849998,49.700001,50.849998,366000,25.424999
2005-04-22,50.799999,50.950001,49.650002,50.029999,479800,25.014999
2005-04-25,50.009998,51.52,50.0,51.400002,486600,25.700001
2005-04-26,51.150002,51.599998,50.029999,50.080002,625200,25.040001
2005-04-27,50.080002,50.080002,48.75,49.509998,803400,24.754999
2005-04-28,49.400002,49.400002,47.509998,48.02,937200,24.01
2005-04-29,48.119999,48.900002,47.650002,48.709999,982200,24.355
2005-05-02,48.709999,49.240002,48.389999,49.220001,621400,24.610001
2005-05-03,48.98,48.990002,48.099998,48.130001,994800,24.065001
2005-05-04,48.130001,48.84,47.650002,48.75,632200,24.375
2005-05-05,48.599998,49.450001,48.48,49.080002,470600,24.540001
2005-05-06,49.0,51.369999,48.869999,51.049999,876400,25.525
2005-05-09,51.0,52.619999,51.0,52.459999,1539600,26.23
2005-05-10,52.459999,53.450001,52.0,53.240002,1027600,26.620001
2005-05-11,53.240002,53.650002,53.07,53.549999,745800,26.775
2005-05-12,53.540001,53.540001,52.560001,52.740002,750200,26.370001
2005-05-13,52.75,52.830002,51.110001,51.73,789400,25.865
2005-05-16,51.799999,53.09,51.799999,52.790001,633000,26.395
2005-05-17,52.599998,52.98,52.299999,52.93,341000,26.465
2005-05-18,53.0,54.18,52.849998,53.700001,763600,26.85
2005-05-19,53.700001,53.849998,53.25,53.580002,429200,26.790001
2005-05-20,53.580002,53.580002,52.98,53.369999,358800,26.684999
2005-05-23,53.439999,53.98,53.439999,53.810001,249800,26.905001
2005-05-24,53.099998,53.310001,52.650002,53.07,461200,26.535
2005-05-25,53.139999,53.139999,52.150002,52.32,305400,26.16
2005-05-26,52.57,53.75,52.57,53.360001,444400,26.68
2005-05-27,53.220001,53.349998,52.52,52.689999,285000,26.344999
2005-05-31,52.5,53.299999,52.5,52.580002,480400,26.290001
2005-06-01,52.349998,53.009998,52.16,52.919998,748000,26.459999
2005-06-02,52.75,52.91,52.610001,52.669998,634000,26.334999
2005-06-03,52.68,52.82,51.75,52.110001,821400,26.055
2005-06-06,52.150002,52.75,52.0,52.73,405000,26.365
2005-06-07,52.68,53.080002,52.630001,52.77,703800,26.385
2005-06-08,52.77,53.07,52.459999,52.689999,502600,26.344999
2005-06-09,52.450001,53.529999,52.080002,53.529999,691200,26.764999
2005-06-10,53.619999,54.740002,53.5,54.110001,785000,27.055
2005-06-13,53.900002,54.0,53.419998,53.799999,367800,26.9
2005-06-14,53.799999,54.669998,53.75,54.48,386400,27.24
2005-06-15,54.43,54.68,54.110001,54.509998,353800,27.254999
2005-06-16,54.52,55.09,54.139999,55.060001,247000,27.530001
2005-06-17,55.75,57.25,54.830002,54.880001,1762400,27.440001
2005-06-20,54.5,54.700001,54.119999,54.619999,428200,27.309999
2005-06-21,54.619999,54.619999,53.799999,54.470001,410800,27.235001
2005-06-22,54.459999,54.849998,53.73,54.290001,537600,27.145
2005-06-23,54.150002,54.619999,53.82,53.900002,586200,26.950001
2005-06-24,53.900002,54.290001,52.93,53.299999,422800,26.65
2005-06-27,52.75,53.540001,52.549999,53.450001,450200,26.725
2005-06-28,53.599998,54.540001,53.599998,54.52,714600,27.26
2005-06-29,54.759998,56.07,54.75,55.82,1216800,27.91
2005-06-30,55.830002,56.799999,55.830002,56.259998,1495200,28.129999
2005-07-01,56.509998,57.0,56.07,56.450001,1097800,28.225
2005-07-05,56.48,57.619999,56.279999,57.59,534600,28.795
2005-07-06,57.75,58.389999,56.799999,57.259998,1116400,28.629999
2005-07-07,56.349998,56.490002,55.0,56.450001,2282600,28.225
2005-07-08,56.299999,56.560001,55.450001,56.259998,918600,28.129999
2005-07-11,56.259998,57.09,56.200001,57.009998,686800,28.504999
2005-07-12,57.009998,57.009998,56.110001,56.490002,603800,28.245001
2005-07-13,56.549999,56.91,56.360001,56.650002,416800,28.325001
2005-07-14,56.720001,57.0,55.98,56.619999,611800,28.309999
2005-07-15,56.619999,57.560001,56.5,57.540001,490800,28.77
2005-07-18,57.470001,57.77,56.23,56.349998,458200,28.174999
2005-07-19,56.209999,57.450001,56.060001,56.970001,369600,28.485001
2005-07-20,56.959999,57.75,56.959999,57.369999,414600,28.684999
2005-07-21,57.57,58.130001,57.209999,57.52,821600,28.76
2005-07-22,57.240002,57.84,56.549999,57.18,434600,28.59
2005-07-25,56.93,57.290001,55.849998,56.0,474800,28.0
