Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,14.21,14.4,13.98,14.25,6710900,13.1563
2010-01-05,14.18,14.38,14.05,14.18,5441000,13.091673
2010-01-06,14.01,14.24,13.67,13.73,14566200,12.67621
2010-01-07,13.78,14.25,13.59,14.0,9000300,12.925488
2010-01-08,13.99,14.45,13.88,14.15,6732900,13.063975
2010-01-11,14.13,14.22,13.85,14.09,5991400,13.00858
2010-01-12,13.89,13.93,13.39,13.56,8138900,12.519259
2010-01-13,13.69,14.06,13.5,13.99,7031200,12.916255
2010-01-14,13.94,14.06,13.75,13.78,6850300,12.722373
2010-01-15,13.76,13.87,13.06,13.26,14344500,12.242284
2010-01-19,13.27,13.57,13.16,13.43,6186200,12.399236
2010-01-20,13.69,13.79,13.31,13.56,10145000,12.519259
2010-01-21,13.58,13.92,13.18,13.2,10630600,12.186888
2010-01-22,13.13,13.71,13.09,13.3,15336100,12.279214
2010-01-25,13.55,13.55,13.13,13.32,6425300,12.297678
2010-01-26,13.19,13.46,13.11,13.29,10398100,12.269981
2010-01-27,13.23,13.46,12.91,13.3,7602300,12.279214
2010-01-28,13.43,13.46,12.75,13.17,10561500,12.159191
2010-01-29,13.27,13.41,12.85,12.93,9468900,11.937611
2010-02-01,13.0,13.29,12.83,13.29,9059600,12.269981
2010-02-02,13.3,13.38,12.91,13.15,19341800,12.140726
2010-02-03,13.33,13.85,13.29,13.75,15527900,12.694675
2010-02-04,13.37,13.57,12.96,13.05,16819400,12.048401
2010-02-05,13.02,13.14,12.42,12.95,12835900,11.956076
2010-02-08,12.95,12.99,12.48,12.72,13207000,11.743729
2010-02-09,12.98,13.2,12.71,13.03,9556200,12.029936
2010-02-10,13.01,13.05,12.33,12.67,8884700,11.697566
2010-02-11,12.64,12.99,12.46,12.76,8540600,11.780659
2010-02-12,12.85,12.98,12.72,12.91,9802400,11.919146
2010-02-16,13.13,13.3,12.99,13.27,6136000,12.251516
2010-02-17,13.38,13.64,13.34,13.52,8071600,12.482329
2010-02-18,13.41,13.78,13.31,13.71,11409100,12.657746
2010-02-19,13.12,14.0,13.09,13.83,21106800,12.768535
2010-02-22,13.84,13.99,13.32,13.36,12625500,12.334608
2010-02-23,13.35,13.45,12.96,13.02,10633700,12.020704
2010-02-24,13.09,13.27,12.99,13.2,5700200,12.186888
2010-02-25,12.87,13.19,12.62,13.14,12728400,12.131494
2010-02-26,13.12,13.29,12.94,12.99,7146900,11.993006
2010-03-01,13.07,13.59,13.01,13.43,6531400,12.399236
2010-03-02,13.56,13.64,13.43,13.5,6642900,12.463863
2010-03-03,13.54,13.94,13.41,13.88,12249900,12.814698
2010-03-04,13.97,14.25,13.86,14.22,16687100,13.128603
2010-03-05,14.27,14.71,14.25,14.65,14665100,13.525599
2010-03-08,14.73,14.85,14.53,14.71,8871800,13.580995
2010-03-09,14.61,14.62,14.29,14.44,7036400,13.377186
2010-03-10,14.45,14.75,14.39,14.75,8161300,13.66437
2010-03-11,14.63,14.8,14.4,14.8,6584300,13.71069
2010-03-12,14.79,14.85,14.42,14.6,6646700,13.525411
2010-03-15,14.52,14.54,14.22,14.44,6831400,13.377186
2010-03-16,14.44,14.78,14.31,14.78,10303100,13.692162
2010-03-17,14.83,14.95,14.46,14.5,8074800,13.432771
2010-03-18,14.51,14.66,14.24,14.37,5526800,13.312339
2010-03-19,13.98,14.63,13.98,13.98,9926200,12.951043
2010-03-22,13.96,14.14,13.7,14.07,5845700,13.034419
2010-03-23,14.14,14.28,14.06,14.26,6684500,13.210435
2010-03-24,14.13,14.43,14.03,14.24,8418900,13.191907
2010-03-25,14.42,14.44,13.85,13.87,10887900,12.84914
2010-03-26,14.05,14.09,13.8,13.93,7965300,12.904724
2010-03-29,14.01,14.17,13.96,14.14,7386800,13.099268
2010-03-30,14.19,14.24,14.0,14.15,6439100,13.108531
2010-03-31,14.02,14.2,13.9,13.94,6581400,12.913987
2010-04-01,14.13,14.19,13.91,14.17,8667900,13.127059
2010-04-05,14.18,14.71,14.1,14.64,12290300,13.562467
2010-04-06,14.59,14.94,14.36,14.59,11180300,13.516147
2010-04-07,14.52,14.68,14.35,14.47,7250200,13.404979
2010-04-08,14.35,15.18,14.25,15.0,15517300,13.89597
2010-04-09,14.99,15.31,14.94,15.18,8839000,14.062722
2010-04-12,15.2,15.32,15.05,15.2,7592100,14.081249
2010-04-13,15.18,15.55,15.03,15.5,7592100,14.359169
2010-04-14,15.6,15.68,15.37,15.59,11249200,14.442545
2010-04-15,15.53,15.94,15.44,15.91,8552600,14.738992
2010-04-16,15.79,16.1,15.49,15.51,11259200,14.368433
2010-04-19,15.46,15.64,15.23,15.5,8008900,14.359169
2010-04-20,15.64,16.15,15.64,15.95,6580600,14.776048
2010-04-21,15.86,16.110001,15.75,16.1,6679800,14.915008
2010-04-22,15.93,16.5,15.73,16.43,8765900,15.220719
2010-04-23,16.459999,16.530001,16.25,16.48,5981600,15.267038
2010-04-26,16.48,16.639999,16.24,16.32,4453100,15.118815
2010-04-27,16.129999,16.25,15.67,15.85,10482000,14.683408
2010-04-28,16.209999,16.309999,15.91,16.08,10485900,14.896479
2010-04-29,16.280001,16.73,16.27,16.459999,7775700,15.24851
2010-04-30,16.49,16.610001,16.139999,16.209999,9630200,15.01691
2010-05-03,16.32,16.98,16.32,16.709999,11561300,15.480109
2010-05-04,16.41,16.42,15.84,16.200001,16238700,15.007648
2010-05-05,15.72,16.120001,15.2,15.58,20493300,14.43328
2010-05-06,15.21,15.5,13.75,14.96,29521700,13.858914
2010-05-07,14.98,15.0,13.85,14.21,27277300,13.164115
2010-05-10,15.05,15.52,14.54,15.34,13641500,14.210945
2010-05-11,14.99,15.5,14.99,15.09,12360700,13.979346
2010-05-12,15.18,15.57,14.99,15.43,10663300,14.294321
2010-05-13,15.33,15.52,14.94,15.0,10602400,13.89597
2010-05-14,14.75,14.91,14.48,14.67,10016700,13.590258
2010-05-17,14.74,15.36,14.58,15.25,16496700,14.127569
2010-05-18,15.41,15.5,14.84,14.91,12462100,13.812594
2010-05-19,14.75,15.1,14.41,14.91,13194100,13.812594
2010-05-20,14.28,14.55,13.84,13.88,15329300,12.858404
2010-05-21,13.54,14.32,13.46,14.32,15869800,13.266019
2010-05-24,14.26,14.64,13.92,13.96,19601200,12.932516
2010-05-25,13.35,13.94,13.17,13.89,17879500,12.867668
2010-05-26,14.1,14.56,13.94,14.16,13468700,13.117795
2010-05-27,14.58,14.87,14.46,14.85,11554000,13.75701
