Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,7.45,7.62,7.4,7.53,4444300,6.611672
2010-01-05,7.54,7.54,7.41,7.45,6134700,6.541429
2010-01-06,7.4,7.46,7.32,7.45,5586100,6.541429
2010-01-07,7.37,7.45,7.19,7.26,6202400,6.374601
2010-01-08,7.27,7.3,7.08,7.27,6480800,6.383381
2010-01-11,7.25,7.47,7.22,7.47,5290500,6.558989
2010-01-12,7.41,7.41,7.23,7.29,4630700,6.400942
2010-01-13,7.31,7.45,7.19,7.38,3504500,6.479966
2010-01-14,7.4,7.46,7.14,7.22,11506600,6.339478
2010-01-15,7.17,7.24,6.98,7.16,8729100,6.286796
2010-01-19,7.18,7.21,7.07,7.12,3647900,6.251674
2010-01-20,7.03,7.16,6.95,7.15,5044800,6.278016
2010-01-21,7.24,7.33,6.98,7.01,6134600,6.15509
2010-01-22,6.99,7.02,6.81,6.85,5634000,6.014602
2010-01-25,6.94,6.94,6.76,6.78,3630100,5.953139
2010-01-26,6.73,6.82,6.63,6.66,4701300,5.847774
2010-01-27,6.61,6.63,6.38,6.47,9869000,5.680945
2010-01-28,6.5,6.67,6.46,6.52,5829200,5.724848
2010-01-29,6.56,6.61,6.41,6.46,6768800,5.672165
2010-02-01,6.52,6.65,6.47,6.6,7124600,5.795091
2010-02-02,6.63,6.76,6.52,6.72,6027600,5.900456
2010-02-03,6.73,6.88,6.59,6.69,5255000,5.874115
2010-02-04,6.63,6.67,6.37,6.41,6372200,5.628263
2010-02-05,6.57,6.57,6.21,6.39,10450500,5.610702
2010-02-08,6.44,6.51,6.29,6.35,7221600,5.57558
2010-02-09,6.44,6.5,6.31,6.4,8394300,5.619483
2010-02-10,6.36,6.66,6.33,6.5,7902000,5.707287
2010-02-11,6.49,6.76,6.4,6.73,6257700,5.909237
2010-02-12,6.7,6.74,6.6,6.72,5480200,5.900456
2010-02-16,6.82,6.9,6.77,6.87,4281600,6.032163
2010-02-17,6.84,7.02,6.84,6.98,5921900,6.128748
2010-02-18,6.98,7.12,6.92,7.09,4649300,6.225333
2010-02-19,7.05,7.19,7.02,7.11,3164100,6.242894
2010-02-22,7.15,7.18,6.96,7.06,3209600,6.198991
2010-02-23,7.07,7.07,6.76,6.85,6859700,6.014602
2010-02-24,6.86,6.96,6.76,6.82,8647700,5.988261
2010-02-25,6.68,6.77,6.59,6.75,13394300,5.926798
2010-02-26,6.89,7.71,6.77,7.5,32287700,6.585331
2010-03-01,7.52,8.39,7.52,8.26,25938400,7.252645
2010-03-02,8.18,8.37,8.1,8.17,10363400,7.173621
2010-03-03,8.2,8.39,8.1,8.18,8881400,7.182401
2010-03-04,8.22,8.33,8.12,8.29,6049600,7.278986
2010-03-05,8.33,8.56,8.32,8.45,10231300,7.419473
2010-03-08,8.45,8.66,8.37,8.51,7680800,7.472156
2010-03-09,8.41,8.56,8.37,8.52,5570100,7.480936
2010-03-10,8.47,8.65,8.35,8.58,3646900,7.533619
2010-03-11,8.56,8.6,8.18,8.53,3331300,7.489716
2010-03-12,8.49,8.56,8.33,8.42,8964700,7.393132
2010-03-15,8.44,8.5,8.22,8.34,6364200,7.322888
2010-03-16,8.36,8.43,8.29,8.43,2755800,7.401912
2010-03-17,8.45,8.58,8.42,8.54,5708600,7.498497
2010-03-18,8.51,8.69,8.48,8.64,6078400,7.586302
2010-03-19,8.61,8.75,8.53,8.61,5120300,7.55996
2010-03-22,8.53,8.79,8.43,8.73,5040800,7.665325
2010-03-23,8.74,8.87,8.46,8.79,5494600,7.718008
2010-03-24,8.73,8.73,8.39,8.53,9068700,7.489716
2010-03-25,8.65,8.65,8.36,8.39,4007800,7.366791
2010-03-26,8.4,8.57,8.33,8.33,5181500,7.314108
2010-03-29,8.38,8.55,8.3,8.49,5037000,7.454594
2010-03-30,8.49,8.58,8.34,8.5,4349200,7.463375
2010-03-31,8.49,8.59,8.31,8.32,4942700,7.305327
2010-04-01,8.4,8.5,8.3,8.49,4105700,7.454594
2010-04-05,8.5,8.67,8.45,8.67,3438300,7.612643
2010-04-06,8.62,8.67,8.52,8.52,4502700,7.480936
2010-04-07,8.53,8.62,8.48,8.54,3771000,7.498497
2010-04-08,8.51,8.52,8.34,8.47,3943700,7.437034
2010-04-09,8.49,8.82,8.41,8.72,6470200,7.656545
2010-04-12,8.77,8.82,8.65,8.77,4748000,7.700447
2010-04-13,8.77,8.84,8.62,8.64,2656200,7.586302
2010-04-14,8.64,9.29,8.64,9.05,11565100,7.9463
2010-04-15,9.05,9.3,8.96,9.22,5203700,8.095567
2010-04-16,9.17,9.24,8.9,8.96,4968200,7.867275
2010-04-19,8.93,9.09,8.72,9.06,5215300,7.95508
2010-04-20,9.44,9.93,9.43,9.74,16509800,8.55215
2010-04-21,9.77,9.8,9.48,9.64,9949000,8.464346
2010-04-22,9.6,9.86,9.5,9.85,6213100,8.648735
2010-04-23,9.86,9.89,9.66,9.73,6346700,8.543369
2010-04-26,9.78,9.89,9.74,9.87,6090200,8.666295
2010-04-27,9.77,9.83,9.36,9.42,8140600,8.271176
2010-04-28,9.52,9.62,9.17,9.27,10484900,8.139469
2010-04-29,9.06,9.7,9.06,9.5,12983500,8.341419
2010-04-30,9.53,9.56,8.86,8.91,11853500,7.823373
2010-05-03,8.98,9.08,8.9,8.99,7390200,7.893617
2010-05-04,8.88,8.89,8.25,8.45,10895000,7.419473
2010-05-05,8.37,8.55,8.16,8.4,10946100,7.37557
2010-05-06,8.34,12.25,7.43,8.05,11172900,7.068255
2010-05-07,8.35,8.35,7.5,7.72,9367100,6.7785
2010-05-10,8.14,8.51,7.84,8.36,12120200,7.340449
2010-05-11,8.2,8.35,8.09,8.17,6541600,7.173621
2010-05-12,8.21,8.48,8.18,8.42,6080900,7.393132
2010-05-13,8.37,8.6,8.26,8.38,7677400,7.35801
2010-05-14,8.29,8.34,7.92,8.05,5864700,7.068255
2010-05-17,8.06,8.2,7.84,8.09,4850300,7.103377
2010-05-18,8.19,8.28,7.94,8.04,7524900,7.059475
2010-05-19,7.98,8.03,7.77,7.9,8150000,6.936549
2010-05-20,7.65,7.88,7.53,7.58,10432800,6.655574
2010-05-21,7.44,7.83,7.28,7.77,11009200,6.822403
2010-05-24,8.2,8.2,7.68,7.87,11421600,6.910207
2010-05-25,7.62,7.83,7.32,7.8,13723400,6.848744
2010-05-26,7.83,8.27,7.82,7.92,12867800,6.95411
2010-05-27,8.05,8.61,8.05,8.58,10759200,7.533619
2010-05-28,8.56,8.61,8.31,8.35,8118700,7.331669
2010-06-01,8.22,8.41,7.92,7.92,7126900,6.95411
2010-06-02,7.99,8.3,7.95,8.12,9497300,7.129718
2010-06-03,8.13,8.49,8.06,8.31,8005900,7.296547
2010-06-04,8.06,8.29,7.78,7.84,6170200,6.883866
2010-06-07,7.84,7.96,7.52,7.52,6428300,6.602892
2010-06-08,7.55,7.66,7.34,7.64,8641900,6.708257
2010-06-09,7.69,7.93,7.53,7.66,6019600,6.725818
2010-06-10,7.85,8.08,7.81,8.07,5146900,7.085816
2010-06-11,7.95,8.06,7.88,7.98,3686500,7.006792
2010-06-14,8.08,8.17,7.95,7.97,4240200,6.998012
2010-06-15,8.1,8.14,7.98,8.09,6538900,7.103377
2010-06-16,8.0,8.11,7.89,8.06,6980600,7.077036
2010-06-17,8.04,8.28,7.99,8.27,4798000,7.261425
2010-06-18,8.27,8.4,8.24,8.32,5628800,7.305327
2010-06-21,8.43,8.58,8.29,8.31,5894600,7.296547
2010-06-22,8.29,8.39,8.16,8.16,5429300,7.16484
2010-06-23,8.16,8.32,8.08,8.25,5063500,7.243864
2010-06-24,8.19,8.29,7.95,7.96,5122400,6.989231
2010-06-25,8.01,8.05,7.71,7.71,16574900,6.76972
2010-06-28,7.73,7.87,7.46,7.53,9861400,6.611672
2010-06-29,7.35,7.44,7.19,7.27,7402400,6.383381
2010-06-30,7.27,7.39,7.1,7.13,7473000,6.260455
2010-07-01,7.19,7.2,6.95,7.0,11000800,6.146309
2010-07-02,7.18,7.2,6.86,6.93,4645800,6.084846
2010-07-06,7.01,7.24,6.99,7.1,7853800,6.234113
2010-07-07,7.14,7.35,7.06,7.31,5149000,6.418503
2010-07-08,7.49,7.67,7.38,7.63,7724900,6.699477
2010-07-09,7.67,7.75,7.58,7.72,3483000,6.7785
2010-07-12,7.66,7.8,7.57,7.68,3390200,6.743379
2010-07-13,7.78,7.9,7.65,7.9,9756000,6.936549
2010-07-14,7.84,7.89,7.71,7.85,4401100,6.892646
2010-07-15,7.86,7.92,7.66,7.83,3180400,6.875085
2010-07-16,7.73,7.78,7.31,7.32,6811700,6.427283
2010-07-19,7.35,7.56,7.33,7.54,5518500,6.620453
2010-07-20,7.5,7.98,7.5,7.88,7684700,6.918988
2010-07-21,7.88,7.9,7.62,7.64,5159400,6.708257
2010-07-22,7.77,8.07,7.77,8.03,2988400,7.050694
2010-07-23,8.0,8.25,7.98,8.18,5399200,7.182401
2010-07-26,8.19,8.38,8.11,8.38,5173700,7.35801
2010-07-27,8.4,8.44,8.26,8.32,5072100,7.305327
2010-07-28,8.26,8.36,8.2,8.25,3592500,7.243864
2010-07-29,9.1,9.14,8.54,8.98,19311700,7.884836
2010-07-30,8.8,9.25,8.31,9.14,8017600,8.025324
2010-08-02,9.34,9.4,9.16,9.21,8751600,8.086786
2010-08-03,9.1,9.17,8.87,8.94,8144600,7.849714
2010-08-04,9.02,9.19,8.99,9.16,5170000,8.042884
2010-08-05,9.07,9.55,9.03,9.39,7728500,8.244835
2010-08-06,9.27,9.38,9.06,9.29,9322500,8.15703
2010-08-09,9.38,9.59,9.24,9.59,6042400,8.420443
2010-08-10,9.46,9.55,9.3,9.32,7721600,8.183371
2010-08-11,9.03,9.18,8.85,8.89,6187700,7.805813
2010-08-12,8.69,8.81,8.57,8.69,6905300,7.630203
2010-08-13,8.63,8.75,8.6,8.64,2697900,7.586302
2010-08-16,8.54,8.67,8.49,8.57,4498600,7.524838
2010-08-17,8.62,8.75,8.56,8.66,3949100,7.603862
2010-08-18,8.65,8.85,8.5,8.65,4655500,7.595081
2010-08-19,8.6,8.68,8.46,8.53,6288300,7.489716
2010-08-20,8.44,8.66,8.37,8.57,4458900,7.524838
2010-08-23,8.64,8.67,8.35,8.41,4311000,7.384351
2010-08-24,8.23,8.57,8.19,8.43,7644400,7.401912
2010-08-25,8.33,8.59,8.28,8.55,4535600,7.507277
2010-08-26,8.56,8.65,8.42,8.6,7638600,7.55118
2010-08-27,8.7,8.8,8.55,8.69,10252200,7.630203
2010-08-30,8.66,8.71,8.43,8.48,8007600,7.445814
2010-08-31,8.44,8.6,8.4,8.53,8310700,7.489716
2010-09-01,8.68,8.89,8.58,8.81,4799700,7.735569
2010-09-02,8.88,9.11,8.75,9.03,5642700,7.928738
2010-09-03,9.18,9.24,9.0,9.2,4041100,8.078006
2010-09-07,9.05,9.2,8.99,9.0,4969100,7.902397
2010-09-08,9.09,9.24,9.02,9.18,4145000,8.060445
2010-09-09,9.36,9.36,9.17,9.21,4550700,8.086786
2010-09-10,9.23,9.57,9.23,9.54,6638200,8.376541
2010-09-13,9.62,9.8,9.52,9.61,6544900,8.438004
2010-09-14,9.6,9.77,9.56,9.57,5139300,8.402882
2010-09-15,9.53,9.59,9.32,9.43,6760700,8.279956
2010-09-16,9.34,9.38,9.12,9.21,6570600,8.086786
2010-09-17,9.3,9.69,9.28,9.65,10203300,8.473126
2010-09-20,9.67,9.96,9.6,9.89,6178400,8.683857
2010-09-21,9.93,9.99,9.65,9.76,3809600,8.569711
2010-09-22,9.74,9.84,9.51,9.65,4447900,8.473126
2010-09-23,9.56,10.08,9.43,9.64,6707000,8.464346
2010-09-24,9.82,10.11,9.72,10.07,8829100,8.841904
2010-09-27,10.02,10.3,9.98,10.17,5286500,8.929709
2010-09-28,10.19,10.19,9.93,10.13,5378700,8.894587
2010-09-29,10.02,10.2,9.93,10.04,5478000,8.815563
2010-09-30,10.12,10.24,9.96,10.03,3585700,8.806782
2010-10-01,10.18,10.19,9.97,10.15,4234900,8.912148
2010-10-04,10.09,10.16,9.86,9.98,5246800,8.76288
2010-10-05,10.1,10.54,10.1,10.49,7302300,9.210683
2010-10-06,10.49,10.5,10.17,10.25,5513300,8.999952
2010-10-07,10.28,10.34,10.16,10.25,5316400,8.999952
2010-10-08,10.26,10.51,10.17,10.47,5814400,9.193122
2010-10-11,10.48,10.83,10.44,10.71,4578400,9.403853
2010-10-12,10.6,10.9,10.4,10.65,5748100,9.35117
2010-10-13,10.77,10.93,10.59,10.73,5628900,9.421413
2010-10-14,10.76,10.82,10.52,10.56,6144600,9.272146
2010-10-15,10.72,10.84,10.6,10.81,5244700,9.491657
2010-10-18,10.71,10.71,10.48,10.62,6727900,9.324829
2010-10-19,10.43,10.49,10.15,10.24,12261400,8.991172
2010-10-20,10.29,10.61,10.28,10.58,6929300,9.289707
2010-10-21,10.63,10.88,10.52,10.57,6380600,9.280926
2010-10-22,10.6,10.66,10.36,10.43,8080400,9.158001
2010-10-25,10.49,10.7,10.42,10.62,8998900,9.324829
2010-10-26,10.56,10.69,10.49,10.6,4873900,9.307268
2010-10-27,10.49,10.59,10.38,10.52,4479200,9.237025
2010-10-28,10.61,10.64,10.22,10.42,10310200,9.14922
2010-10-29,10.52,11.01,10.24,10.35,12462600,9.087757
2010-11-01,10.56,10.59,10.08,10.2,7129500,8.95605
2010-11-02,10.34,10.52,10.34,10.47,7218900,9.193122
2010-11-03,10.47,10.56,10.13,10.38,7138700,9.114098
2010-11-04,10.52,10.55,10.29,10.38,11619200,9.114098
2010-11-05,10.44,10.66,10.39,10.64,8425300,9.34239
2010-11-08,10.6,10.72,10.51,10.53,3977600,9.245804
2010-11-09,10.58,10.58,10.34,10.39,5650500,9.122879
2010-11-10,10.44,10.75,10.38,10.68,6327400,9.377512
2010-11-11,10.59,10.77,10.49,10.7,5418300,9.395072
2010-11-12,10.63,10.7,10.38,10.54,10197000,9.254585
2010-11-15,10.6,10.71,10.49,10.53,4365300,9.245804
2010-11-16,10.42,10.55,10.3,10.52,8110500,9.237025
2010-11-17,10.48,10.53,10.36,10.46,3506500,9.184342
2010-11-18,10.57,10.84,10.49,10.53,8909900,9.245804
2010-11-19,10.5,10.62,10.43,10.57,3701700,9.280926
2010-11-22,10.46,10.61,10.38,10.6,4390600,9.307268
2010-11-23,10.46,10.47,10.25,10.32,4091100,9.061415
2010-11-24,10.39,10.72,10.32,10.69,4508800,9.386291
2010-11-26,10.59,10.64,10.5,10.6,1447600,9.307268
2010-11-29,10.5,10.59,10.29,10.52,4992100,9.237025
2010-11-30,10.37,10.68,10.33,10.65,6370900,9.35117
2010-12-01,10.8,10.92,10.66,10.73,7457700,9.421413
