Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,45.57,46.07,45.380001,45.919998,1302400,38.866835
2010-01-05,45.889999,45.889999,45.119999,45.369999,1011900,38.401314
2010-01-06,45.490002,45.689999,45.119999,45.32,729200,38.358995
2010-01-07,45.200001,45.200001,44.48,44.560001,1242500,37.71573
2010-01-08,44.459999,44.580002,44.16,44.5,1128000,37.664944
2010-01-11,44.720001,45.150002,44.549999,45.009998,816200,38.096608
2010-01-12,44.939999,45.299999,44.650002,45.169998,702800,38.232033
2010-01-13,45.119999,45.580002,44.82,45.349998,725100,38.384386
2010-01-14,45.23,45.720001,45.220001,45.59,830500,38.587524
2010-01-15,45.419998,45.880001,45.09,45.18,1120900,38.240499
2010-01-19,44.98,45.099998,44.23,44.580002,1823300,37.732658
2010-01-20,44.240002,44.360001,43.27,43.759998,1385000,37.038604
2010-01-21,43.860001,44.200001,43.25,43.360001,1391100,36.700045
2010-01-22,43.380001,43.689999,43.0,43.02,890700,36.412268
2010-01-25,43.32,43.380001,42.759998,42.799999,915900,36.226058
2010-01-26,42.59,43.099998,42.380001,42.91,1077100,36.319163
2010-01-27,42.91,43.0,42.580002,42.880001,1021600,36.293772
2010-01-28,42.93,43.029999,42.41,42.459999,676500,35.938281
2010-01-29,42.52,42.650002,41.860001,42.0,1369100,35.548936
2010-02-01,42.150002,42.709999,42.080002,42.5,1017200,35.972138
2010-02-02,42.450001,42.540001,42.0,42.349998,1387400,35.845176
2010-02-03,42.200001,42.720001,42.080002,42.650002,909300,36.0991
2010-02-04,42.419998,42.459999,40.380001,40.43,2138200,34.220083
2010-02-05,40.59,41.380001,40.43,41.220001,1714900,34.888743
2010-02-08,41.220001,41.810001,41.099998,41.310001,1213800,34.964919
2010-02-09,41.509998,41.630001,39.759998,39.98,3747400,33.839201
2010-02-10,40.110001,40.419998,38.869999,39.0,2462600,33.009726
2010-02-11,38.959999,39.509998,38.439999,39.439999,3022400,33.382143
2010-02-12,39.200001,39.200001,38.599998,38.900002,2394500,32.925087
2010-02-16,39.080002,39.959999,38.889999,39.880001,2199600,33.754562
2010-02-17,40.099998,40.630001,39.970001,40.470001,1843600,34.25394
2010-02-18,40.330002,40.84,40.25,40.639999,1567300,34.397827
2010-02-19,40.619999,41.470001,40.450001,41.110001,1653700,34.795638
2010-02-22,40.939999,41.580002,40.720001,41.349998,1354800,34.998773
2010-02-23,41.290001,41.34,40.610001,40.860001,1269400,34.584037
2010-02-24,40.799999,41.09,40.529999,40.98,1053700,34.890541
2010-02-25,40.52,40.880001,40.16,40.849998,1393200,34.779857
2010-02-26,40.900002,40.900002,40.02,40.380001,1893500,34.3797
2010-03-01,40.529999,41.080002,40.259998,41.080002,1190200,34.975683
2010-03-02,41.209999,41.490002,40.959999,41.07,1285900,34.967167
2010-03-03,41.18,41.41,40.950001,41.32,2124200,35.180018
2010-03-04,41.509998,42.220001,41.400002,42.18,1604200,35.912226
2010-03-05,42.459999,42.810001,42.240002,42.810001,1705500,36.448612
2010-03-08,42.720001,42.919998,42.23,42.689999,1260800,36.346441
2010-03-09,42.549999,43.060001,42.389999,42.939999,2591900,36.559292
2010-03-10,43.009998,43.119999,42.619999,43.009998,1335300,36.61889
2010-03-11,43.0,43.139999,42.599998,43.130001,787300,36.721061
2010-03-12,43.23,43.23,42.880001,43.150002,742400,36.73809
2010-03-15,43.150002,43.279999,42.990002,43.130001,924900,36.721061
2010-03-16,43.09,43.41,43.060001,43.34,1198300,36.899855
2010-03-17,43.380001,43.610001,43.310001,43.459999,1141000,37.002023
2010-03-18,43.5,43.75,43.27,43.32,1116500,36.882827
2010-03-19,43.360001,43.689999,43.049999,43.360001,1417800,36.916884
2010-03-22,43.200001,43.369999,43.009998,43.150002,1183900,36.73809
2010-03-23,43.130001,43.330002,42.810001,43.0,1196000,36.610378
