Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,14.15,14.94,14.14,14.81,8833800,13.657948
2010-01-05,14.9,15.22,14.72,14.8,7420500,13.648725
2010-01-06,14.82,15.33,14.35,15.05,8882700,13.879278
2010-01-07,14.94,14.99,14.53,14.93,4852300,13.768613
2010-01-08,14.91,14.97,14.5,14.76,4107200,13.611837
2010-01-11,14.9,14.97,14.16,14.4,5517400,13.27984
2010-01-12,14.07,14.24,13.8,14.12,6459700,13.021622
2010-01-13,13.88,13.95,13.2,13.57,11785400,12.514405
2010-01-14,13.57,13.72,13.33,13.68,4577100,12.615849
2010-01-15,13.72,13.85,13.42,13.77,4888700,12.698848
2010-01-19,13.84,13.86,13.56,13.58,6044100,12.523628
2010-01-20,13.48,13.93,13.38,13.83,6745600,12.75418
2010-01-21,13.82,13.92,13.32,13.36,5319900,12.320741
2010-01-22,13.33,13.52,12.89,12.97,5375400,11.961079
2010-01-25,13.05,13.11,12.72,13.01,5364200,11.997968
2010-01-26,12.93,13.19,12.77,12.96,4372100,11.951857
2010-01-27,12.91,12.98,12.37,12.86,7481500,11.859635
2010-01-28,12.92,12.92,12.52,12.69,4309700,11.702859
2010-01-29,12.75,13.04,12.47,12.5,4205400,11.52764
2010-02-01,12.59,12.86,12.53,12.83,4127200,11.831969
2010-02-02,12.9,13.07,12.62,12.98,6676400,11.970301
2010-02-03,12.27,12.58,12.08,12.26,15369200,11.306309
2010-02-04,12.05,12.16,11.88,11.91,9604200,10.983535
2010-02-05,11.93,12.04,11.67,12.0,10448800,11.066534
2010-02-08,12.0,12.03,11.72,11.81,6548600,10.891314
2010-02-09,11.93,12.15,11.69,12.0,6759700,11.066534
2010-02-10,12.0,12.0,11.68,11.92,5574000,10.992757
2010-02-11,11.93,11.96,11.66,11.79,6091600,10.87287
2010-02-12,11.59,12.0,11.48,11.91,7982200,10.983535
2010-02-16,12.05,12.2,11.88,12.15,5381400,11.204865
2010-02-17,12.16,12.17,11.72,11.87,6258100,10.946646
2010-02-18,11.81,12.06,11.81,12.02,5042700,11.084979
2010-02-19,12.0,12.3,11.94,12.23,5825700,11.278642
2010-02-22,12.25,12.32,11.92,11.97,6269200,11.038868
2010-02-23,11.94,11.98,11.64,11.7,6884400,10.789871
2010-02-24,11.72,12.18,11.69,12.01,7707500,11.075756
2010-02-25,11.74,11.99,11.66,11.98,6072500,11.048089
2010-02-26,11.98,12.07,11.78,11.92,4161000,10.992757
2010-03-01,11.99,12.01,11.82,11.84,5209200,10.91898
2010-03-02,11.9,12.59,11.86,12.44,8606000,11.472307
2010-03-03,12.55,13.14,12.5,12.97,8556400,11.961079
2010-03-04,13.0,13.16,12.7,13.16,6377900,12.136299
2010-03-05,13.28,13.62,13.18,13.43,8337400,12.385296
2010-03-08,13.46,13.71,13.33,13.58,7974900,12.523628
2010-03-09,13.46,13.58,13.2,13.33,6372700,12.293075
2010-03-10,13.3,13.93,13.07,13.9,7373400,12.818735
2010-03-11,13.89,14.35,13.62,13.74,6643800,12.671181
2010-03-12,13.94,13.98,13.6,13.77,3748300,12.698848
2010-03-15,13.7,13.73,13.44,13.68,4762200,12.615849
2010-03-16,13.74,13.97,13.58,13.92,5592900,12.83718
2010-03-17,14.01,14.36,14.0,14.22,6595200,13.113843
2010-03-18,14.47,14.5,14.04,14.15,6258900,13.049288
2010-03-19,13.84,14.12,13.45,13.84,6401300,12.763403
2010-03-22,13.67,13.85,13.33,13.77,5589200,12.698848
2010-03-23,13.77,13.83,13.58,13.8,2827900,12.726514
2010-03-24,13.68,14.41,13.57,14.29,10575900,13.178398
2010-03-25,14.39,14.94,13.61,13.69,10120800,12.625071
2010-03-26,13.92,13.94,13.32,13.64,5847400,12.578961
2010-03-29,13.69,13.82,13.6,13.7,4113200,12.634293
2010-03-30,13.7,13.79,13.51,13.61,3953700,12.551294
2010-03-31,13.6,13.93,13.57,13.9,7186200,12.818735
2010-04-01,14.14,14.43,14.03,14.39,5562000,13.270619
2010-04-05,13.59,13.69,13.36,13.61,14563900,12.551294
2010-04-06,13.59,13.99,13.42,13.8,6416000,12.726514
2010-04-07,13.75,13.83,13.26,13.3,7347300,12.265409
2010-04-08,13.3,13.42,13.0,13.27,5736900,12.237743
2010-04-09,13.33,13.46,13.07,13.2,6713900,12.173187
2010-04-12,13.29,13.35,13.09,13.13,4688400,12.108633
2010-04-13,13.09,13.21,12.97,13.05,5357900,12.034856
2010-04-14,13.08,13.26,13.03,13.2,6075800,12.173187
2010-04-15,13.18,13.35,12.94,12.98,6889500,11.970301
2010-04-16,12.98,12.99,12.31,12.55,11901000,11.57375
2010-04-19,12.4,12.62,11.99,12.42,8929400,11.453863
2010-04-20,12.54,12.89,12.43,12.78,5402600,11.785859
2010-04-21,12.83,12.98,12.55,12.82,7404400,11.822747
2010-04-22,12.68,12.96,12.6,12.9,6032300,11.896524
2010-04-23,12.8,13.29,12.73,13.25,5521100,12.219298
2010-04-26,13.27,13.49,13.13,13.36,6170700,12.320741
2010-04-27,13.36,13.53,12.92,12.98,7901700,11.970301
2010-04-28,13.1,13.27,12.94,13.08,6626400,12.062522
2010-04-29,13.16,13.42,13.12,13.41,6804400,12.366852
2010-04-30,13.1,13.4,13.01,13.15,6342900,12.127077
2010-05-03,13.53,13.87,13.5,13.66,11522800,12.597404
2010-05-04,13.48,13.51,13.06,13.12,7721900,12.09941
2010-05-05,12.92,13.24,12.61,12.93,8247200,11.924191
2010-05-06,12.91,13.2,12.46,12.9,15117600,11.896524
2010-05-07,12.84,13.18,12.16,12.32,8843500,11.361641
2010-05-10,12.72,12.95,12.6,12.79,6826400,11.795081
2010-05-11,12.65,13.03,12.64,12.7,5324200,11.712082
2010-05-12,12.76,13.28,12.75,13.22,5977700,12.191632
2010-05-13,13.22,13.37,13.03,13.19,6419800,12.163965
2010-05-14,13.06,13.1,12.58,12.94,5322200,11.933412
2010-05-17,12.93,12.99,12.31,12.57,8219900,11.592194
2010-05-18,12.79,12.87,12.35,12.42,5317600,11.453863
