Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,30.370001,30.73,30.120001,30.25,2654800,27.5274
2010-01-05,30.27,30.27,29.75,30.16,2104800,27.4455
2010-01-06,30.190001,30.860001,29.92,30.799999,1893700,28.027897
2010-01-07,30.709999,30.99,30.33,30.52,2076900,27.773099
2010-01-08,30.450001,30.93,30.32,30.77,1792500,28.000599
2010-01-11,30.98,31.809999,30.790001,31.549999,2883300,28.710395
2010-01-12,31.42,31.950001,30.719999,30.780001,2776700,28.009699
2010-01-13,30.98,31.110001,30.58,30.93,1781200,28.146198
2010-01-14,30.98,30.99,30.370001,30.5,2092700,27.754899
2010-01-15,30.469999,30.65,30.0,30.459999,1837800,27.718498
2010-01-19,30.59,30.98,30.34,30.790001,1647300,28.018799
2010-01-20,30.77,31.6,30.219999,31.43,3502400,28.601196
2010-01-21,30.139999,30.23,28.299999,28.32,8874100,25.771106
2010-01-22,28.24,28.299999,26.709999,26.99,6387200,24.56081
2010-01-25,27.360001,27.85,27.120001,27.52,2793700,25.043109
2010-01-26,27.309999,27.91,27.129999,27.43,2733800,24.961209
2010-01-27,27.34,27.57,26.309999,27.0,4176900,24.569911
2010-01-28,27.219999,27.290001,26.059999,26.530001,2769100,24.142213
2010-01-29,26.700001,27.1,25.629999,25.780001,2935600,23.459715
2010-02-01,25.85,26.559999,25.799999,26.280001,1932600,23.914714
2010-02-02,26.41,26.620001,26.24,26.459999,1881700,24.078512
2010-02-03,26.33,26.5,26.110001,26.200001,1495100,23.841914
2010-02-04,26.01,26.280001,24.51,24.540001,3917900,22.33132
2010-02-05,24.49,25.07,24.0,24.870001,2972000,22.631618
2010-02-08,24.809999,24.959999,24.42,24.559999,2753600,22.349518
2010-02-09,24.83,25.25,24.5,25.08,2268200,22.822717
2010-02-10,25.15,26.639999,25.08,26.450001,4633000,24.069413
2010-02-11,26.450001,26.450001,25.709999,25.84,3115700,23.514315
2010-02-12,25.6,25.809999,25.120001,25.76,1964300,23.441515
2010-02-16,26.129999,26.309999,25.77,26.299999,1984000,23.932912
2010-02-17,26.43,26.540001,26.17,26.52,1985600,24.133113
2010-02-18,26.280001,26.4,25.870001,26.18,1986300,23.823714
2010-02-19,26.1,26.209999,25.84,26.09,2500800,23.741814
2010-02-22,26.07,26.139999,25.790001,26.0,1700000,23.659914
2010-02-23,25.870001,26.23,25.52,25.57,2265400,23.268615
2010-02-24,25.629999,25.790001,25.52,25.719999,2754100,23.405114
2010-02-25,25.48,25.540001,24.93,25.370001,2383500,23.086617
2010-02-26,25.48,25.92,25.370001,25.85,2354500,23.523415
2010-03-01,25.950001,26.18,25.76,26.09,1283300,23.741814
2010-03-02,26.15,26.440001,26.049999,26.4,1741400,24.023912
2010-03-03,26.42,27.35,26.33,27.01,3230800,24.579011
2010-03-04,27.059999,28.209999,26.91,28.049999,4804300,25.525406
2010-03-05,28.24,28.92,27.92,28.860001,2857000,26.262505
2010-03-08,28.860001,29.09,28.629999,28.870001,1349000,26.271605
2010-03-09,28.6,29.27,28.43,28.969999,1748200,26.390026
2010-03-10,28.969999,29.15,28.59,28.809999,2229100,26.244275
2010-03-11,28.76,28.809999,28.43,28.799999,1503100,26.235165
2010-03-12,28.92,29.27,28.709999,28.92,1944000,26.344479
2010-03-15,29.51,29.68,28.709999,29.120001,2578000,26.526669
2010-03-16,29.32,29.620001,29.049999,29.5,1360900,26.872826
2010-03-17,29.65,30.57,29.629999,30.370001,2849700,27.665348
2010-03-18,30.309999,30.540001,29.719999,29.74,2064500,27.091453
2010-03-19,29.4,30.030001,29.34,29.4,2101400,26.781732
2010-03-22,29.17,29.49,29.030001,29.25,1585000,26.645091
2010-03-23,29.34,30.059999,29.17,29.85,2355400,27.191657
2010-03-24,29.67,29.99,29.67,29.76,1692000,27.109672
2010-03-25,30.07,30.4,29.65,29.700001,1222100,27.055016
2010-03-26,29.82,30.0,29.15,29.5,1186600,26.872826
2010-03-29,29.639999,29.65,29.059999,29.299999,1422400,26.690637
2010-03-30,29.33,29.469999,29.01,29.200001,886400,26.599544
2010-03-31,29.02,29.17,28.639999,28.67,2204100,26.116744
2010-04-01,29.629999,30.66,29.43,30.66,5889100,27.929521
2010-04-05,30.700001,31.59,30.540001,31.549999,2992400,28.740259
2010-04-06,31.440001,31.950001,31.360001,31.799999,2343500,28.967995
2010-04-07,31.719999,31.790001,30.91,31.25,2723700,28.466977
2010-04-08,31.01,31.08,30.66,30.92,1640500,28.166366
2010-04-09,30.92,31.280001,30.77,31.129999,1052900,28.357663
2010-04-12,31.129999,31.67,31.129999,31.32,1451300,28.530743
2010-04-13,31.24,32.130001,30.76,31.950001,2726800,29.104638
2010-04-14,32.349998,33.459999,32.099998,33.439999,3227100,30.461942
2010-04-15,33.259998,33.400002,33.02,33.27,2072500,30.307083
2010-04-16,33.209999,33.369999,31.940001,32.290001,3388100,29.414359
2010-04-19,31.950001,32.470001,31.459999,32.07,1949900,29.21395
2010-04-20,32.32,32.389999,31.9,32.389999,1383800,29.505452
2010-04-21,32.360001,32.52,31.65,32.16,1082700,29.295935
2010-04-22,31.85,32.220001,31.33,32.080002,1530900,29.223062
2010-04-23,32.029999,32.43,31.83,32.369999,1303300,29.487233
2010-04-26,32.18,32.700001,31.42,31.530001,2200700,28.722042
2010-04-27,31.209999,31.530001,29.76,29.82,3323700,27.164328
2010-04-28,30.08,30.82,30.07,30.459999,1959700,27.747331
2010-04-29,30.709999,32.490002,30.58,32.32,2860900,29.441686
2010-04-30,32.32,33.07,31.59,31.690001,3604600,28.867793
2010-05-03,31.85,32.349998,31.469999,32.330002,1836300,29.450798
2010-05-04,31.76,31.76,30.450001,30.84,2519400,28.093491
2010-05-05,30.33,31.120001,29.67,30.370001,1888100,27.665348
2010-05-06,30.17,30.809999,27.360001,28.98,3234400,26.399136
2010-05-07,29.049999,29.219999,27.48,27.780001,3955100,25.306005
2010-05-10,29.690001,29.98,28.68,29.950001,2794000,27.282752
2010-05-11,32.099998,34.48,31.74,33.380001,8518500,30.407287
2010-05-12,33.459999,34.25,32.860001,34.18,3649500,31.136041
2010-05-13,33.869999,34.830002,33.709999,34.259998,3644600,31.208915
2010-05-14,34.34,34.77,33.119999,33.57,3630700,30.580365
2010-05-17,33.73,34.43,32.060001,33.009998,4645400,30.070236
2010-05-18,33.560001,33.689999,31.290001,31.6,3248600,28.785808
