Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,19.469999,19.75,19.309999,19.559999,16539100,16.983695
2010-01-05,19.85,20.059999,19.469999,19.629999,18060900,17.044475
2010-01-06,19.57,19.780001,19.309999,19.379999,13448300,16.827403
2010-01-07,19.33,19.6,19.25,19.57,9861300,16.992378
2010-01-08,19.450001,19.92,19.360001,19.889999,11434300,17.27023
2010-01-11,20.620001,20.85,20.219999,20.49,25617100,17.791202
2010-01-12,20.35,20.49,20.02,20.17,16162900,17.513351
2010-01-13,20.34,20.59,20.16,20.309999,15961300,17.63491
2010-01-14,20.26,20.370001,20.059999,20.200001,14059800,17.5394
2010-01-15,20.24,20.24,19.49,19.66,16443600,17.070524
2010-01-19,19.389999,19.790001,19.25,19.790001,18925800,17.183402
2010-01-20,19.639999,19.83,19.34,19.77,16125600,17.166036
2010-01-21,19.85,20.24,19.51,19.610001,16865700,17.02711
2010-01-22,19.540001,19.540001,18.5,18.559999,16469900,16.115408
2010-01-25,18.719999,18.99,18.530001,18.719999,17693500,16.254334
2010-01-26,18.67,18.709999,18.030001,18.65,26839200,16.193554
2010-01-27,18.65,19.209999,18.530001,19.139999,17644900,16.619014
2010-01-28,19.219999,19.469999,18.309999,18.610001,22234500,16.158823
2010-01-29,18.610001,18.83,18.01,18.08,20518800,15.69863
2010-02-01,18.16,18.309999,17.969999,18.16,16375100,15.768093
2010-02-02,18.219999,18.780001,18.030001,18.709999,18324900,16.245651
2010-02-03,18.65,19.049999,18.6,18.950001,12932600,16.454041
2010-02-04,18.76,18.780001,18.200001,18.25,16538700,15.846239
2010-02-05,18.1,18.24,16.959999,18.049999,32322500,15.672581
2010-02-08,18.040001,18.17,17.75,17.84,11449000,15.490242
2010-02-09,18.0,18.18,17.48,17.76,18104900,15.420779
2010-02-10,17.75,17.76,17.35,17.52,12914700,15.21239
2010-02-11,17.549999,17.950001,17.309999,17.950001,14990900,15.585754
2010-02-12,17.780001,17.91,17.42,17.889999,15591700,15.533655
2010-02-16,18.07,18.190001,17.870001,18.15,13418200,15.75941
2010-02-17,18.23,18.24,17.790001,18.01,12557300,15.637851
2010-02-18,17.950001,18.040001,17.780001,17.99,10071900,15.620484
2010-02-19,17.82,18.309999,17.82,18.290001,13176500,15.880972
2010-02-22,18.290001,18.290001,17.440001,17.76,21806100,15.420779
2010-02-23,17.33,17.440001,17.16,17.209999,23526600,14.94322
2010-02-24,17.26,17.629999,17.25,17.5,16668800,15.239299
2010-02-25,17.18,17.540001,16.75,17.5,31412100,15.239299
2010-02-26,17.41,17.809999,17.33,17.629999,20319700,15.352504
2010-03-01,17.700001,17.799999,17.57,17.77,8688200,15.47442
2010-03-02,17.9,17.969999,17.530001,17.610001,12978700,15.335089
2010-03-03,17.68,17.870001,17.549999,17.610001,12200700,15.335089
2010-03-04,17.75,17.75,17.25,17.51,13267300,15.248007
2010-03-05,17.700001,18.120001,17.629999,18.1,14018100,15.761789
2010-03-08,18.219999,18.379999,18.07,18.35,13749100,15.979493
2010-03-09,18.32,18.52,18.209999,18.4,13154600,16.023034
2010-03-10,18.43,18.639999,18.290001,18.48,10807100,16.092699
2010-03-11,18.42,18.450001,18.17,18.35,12497300,15.979493
2010-03-12,18.540001,18.540001,18.030001,18.040001,11108200,15.709541
2010-03-15,17.959999,18.110001,17.92,18.08,12912900,15.744372
2010-03-16,18.24,18.52,18.07,18.48,22057700,16.092699
2010-03-17,18.58,19.059999,18.559999,18.879999,20462100,16.441025
2010-03-18,19.24,19.440001,19.120001,19.24,16267800,16.75452
2010-03-19,19.389999,19.73,19.309999,19.389999,24105400,16.885142
2010-03-22,19.200001,19.5,19.09,19.42,17273900,16.911267
2010-03-23,19.57,19.74,19.4,19.68,14103600,17.13768
2010-03-24,19.92,19.93,19.379999,19.459999,12484500,16.946099
2010-03-25,19.790001,20.09,19.67,19.690001,16407200,17.146388
2010-03-26,19.780001,19.99,19.690001,19.790001,14425200,17.233471
2010-03-29,19.879999,20.15,19.799999,20.1,13259700,17.503423
2010-03-30,20.09,20.25,20.049999,20.17,13777600,17.56438
2010-03-31,20.0,20.35,20.0,20.209999,13626800,17.599212
2010-04-01,20.280001,20.549999,20.23,20.379999,15886200,17.747251
2010-04-05,20.49,20.75,20.42,20.66,8385300,17.99108
2010-04-06,20.6,20.6,20.27,20.450001,10402800,17.80821
2010-04-07,20.34,20.440001,19.969999,20.07,12288700,17.477298
2010-04-08,19.93,19.940001,19.559999,19.82,16862500,17.259594
2010-04-09,19.860001,19.93,19.629999,19.67,12740900,17.128972
2010-04-12,19.75,20.049999,19.75,19.98,9890400,17.398925
2010-04-13,19.93,20.07,19.809999,20.030001,9764800,17.442466
2010-04-14,20.16,20.32,19.91,20.309999,10610700,17.686294
2010-04-15,20.26,20.440001,20.18,20.219999,9846000,17.60792
2010-04-16,20.15,20.299999,19.75,19.9,11983500,17.329259
2010-04-19,19.940001,20.200001,19.620001,19.98,13452800,17.398925
2010-04-20,20.110001,20.200001,19.780001,20.1,11941800,17.503423
2010-04-21,20.200001,20.58,20.15,20.4,11502300,17.764668
2010-04-22,20.389999,20.76,20.030001,20.690001,12896900,18.017206
2010-04-23,20.74,20.85,20.58,20.84,11267200,18.147828
2010-04-26,20.9,21.0,20.82,20.92,11962500,18.217493
2010-04-27,20.92,21.1,20.1,20.120001,19247000,17.52084
2010-04-28,20.559999,20.6,19.790001,20.07,20938700,17.477298
2010-04-29,20.290001,20.360001,19.870001,19.940001,21340700,17.364093
2010-04-30,20.139999,20.24,19.23,19.25,20394500,16.763229
2010-05-03,19.469999,19.92,19.26,19.809999,12944700,17.250886
2010-05-04,19.59,19.629999,18.809999,18.940001,15089800,16.493276
2010-05-05,18.700001,18.9,18.24,18.67,19674900,16.258155
2010-05-06,18.469999,18.5,15.51,17.5,34028600,15.239299
2010-05-07,17.65,17.82,16.879999,17.540001,24251600,15.274132
2010-05-10,18.450001,18.690001,18.190001,18.41,18552100,16.031742
2010-05-11,18.18,18.469999,18.049999,18.219999,12949700,15.866286
2010-05-12,18.309999,18.799999,18.219999,18.530001,12848700,16.136241
2010-05-13,18.51,18.82,18.43,18.52,13646600,16.127532
2010-05-14,18.26,18.299999,17.67,17.959999,18009300,15.639874
2010-05-17,18.07,18.360001,17.75,18.32,19690200,15.953368
