Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,8.54,8.76,8.47,8.63,13472700,7.409463
2010-01-05,8.63,8.65,8.56,8.64,8579300,7.418049
2010-01-06,8.64,8.67,8.54,8.56,6941700,7.349363
2010-01-07,8.53,8.62,8.51,8.6,11880200,7.383706
2010-01-08,8.58,8.64,8.51,8.57,6482500,7.357948
2010-01-11,8.62,8.84,8.57,8.78,13900400,7.538248
2010-01-12,8.68,8.91,8.68,8.85,18706200,7.598348
2010-01-13,8.88,8.97,8.81,8.95,11117400,7.684205
2010-01-14,8.91,9.0,8.85,8.89,9249700,7.632691
2010-01-15,8.85,8.89,8.79,8.84,11527200,7.589762
2010-01-19,8.83,9.04,8.79,9.02,17863000,7.744305
2010-01-20,8.92,8.95,8.73,8.89,20787000,7.632691
2010-01-21,9.16,9.48,9.13,9.28,44240100,7.967533
2010-01-22,9.19,9.27,8.91,8.97,21866600,7.701377
2010-01-25,9.03,9.11,8.86,8.89,14668100,7.632691
2010-01-26,8.87,8.94,8.72,8.86,10855700,7.606933
2010-01-27,8.83,8.91,8.71,8.89,18320200,7.632691
2010-01-28,8.88,8.95,8.78,8.82,18055100,7.572591
2010-01-29,8.9,8.91,8.71,8.72,22324400,7.486734
2010-02-01,8.75,8.97,8.73,8.97,14442700,7.701377
2010-02-02,8.98,9.16,8.93,9.13,24610200,7.838748
2010-02-03,9.09,9.17,8.97,8.99,13122500,7.718548
2010-02-04,8.98,9.04,8.63,8.65,24839100,7.426634
2010-02-05,8.55,8.6,8.35,8.47,36423600,7.272091
2010-02-08,8.39,8.51,8.25,8.45,12811700,7.25492
2010-02-09,8.53,8.55,8.2,8.38,27285300,7.19482
2010-02-10,8.39,8.54,8.37,8.45,10699600,7.25492
2010-02-11,8.47,8.81,8.4,8.76,23186600,7.521077
2010-02-12,8.6,8.88,8.54,8.77,13527800,7.529663
2010-02-16,8.7,8.9,8.69,8.86,9919500,7.606933
2010-02-17,8.9,9.03,8.8,8.92,13713700,7.658448
2010-02-18,8.93,9.19,8.87,9.17,17983200,7.873091
2010-02-19,9.11,9.27,9.09,9.2,14373900,7.898847
2010-02-22,9.3,9.31,9.19,9.24,12534200,7.93319
2010-02-23,9.22,9.23,9.04,9.1,7947400,7.812991
2010-02-24,9.16,9.26,9.09,9.25,10582500,7.941776
2010-02-25,9.12,9.31,9.1,9.29,11735000,7.976119
2010-02-26,9.29,9.4,9.21,9.37,11007800,8.044805
2010-03-01,9.38,9.58,9.38,9.55,12528600,8.199347
2010-03-02,9.54,9.6,9.44,9.5,11579200,8.156419
2010-03-03,9.6,9.7,9.5,9.52,10315800,8.173591
2010-03-04,9.61,9.64,9.4,9.54,15502600,8.190762
2010-03-05,9.62,9.9,9.58,9.87,13873400,8.47409
2010-03-08,9.9,10.07,9.88,9.91,13831300,8.508433
2010-03-09,9.7,9.88,9.67,9.74,9199200,8.362475
2010-03-10,9.78,9.87,9.69,9.85,12324300,8.456919
2010-03-11,9.79,10.0,9.76,10.0,13069300,8.585704
2010-03-12,10.0,10.0,9.81,9.89,13891300,8.491262
2010-03-15,9.85,10.05,9.83,10.02,14334200,8.602876
2010-03-16,10.11,10.17,10.01,10.09,12826700,8.662975
2010-03-17,10.11,10.12,9.85,9.9,18152100,8.499847
2010-03-18,9.93,9.93,9.75,9.86,12103800,8.465504
2010-03-19,9.57,9.94,9.52,9.57,17805500,8.216518
2010-03-22,9.51,9.89,9.45,9.87,14269700,8.47409
2010-03-23,9.92,10.12,9.79,10.11,14926700,8.680146
