Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,14.59,14.65,14.5,14.52,2239700,10.754866
2010-01-05,14.56,14.61,14.29,14.41,4227100,10.673389
2010-01-06,14.45,14.45,14.18,14.27,5716100,10.569692
2010-01-07,14.3,14.42,14.09,14.41,5962900,10.673389
2010-01-08,14.33,14.38,14.18,14.24,4050400,10.547471
2010-01-11,14.3,14.34,14.21,14.34,2175000,10.621541
2010-01-12,14.32,14.68,14.32,14.43,4563400,10.688203
2010-01-13,14.42,14.55,14.37,14.55,2294300,10.777086
2010-01-14,14.57,14.64,14.41,14.62,2262200,10.828935
2010-01-15,14.55,14.64,14.35,14.61,3405900,10.821528
2010-01-19,14.63,14.9,14.62,14.82,3809100,10.977073
2010-01-20,14.75,14.89,14.61,14.86,3133200,11.006701
2010-01-21,14.83,14.9,14.44,14.56,5705400,10.784493
2010-01-22,14.51,14.56,14.19,14.2,3879300,10.517843
2010-01-25,14.36,14.42,14.2,14.33,3653400,10.614134
2010-01-26,14.3,14.33,14.19,14.2,4317600,10.517843
2010-01-27,14.26,14.26,13.9,14.08,4590200,10.42896
2010-01-28,14.11,14.22,13.84,14.1,5906400,10.443775
2010-01-29,14.11,14.24,13.93,13.95,3918700,10.33267
2010-02-01,14.01,14.29,13.9,14.26,4989400,10.562285
2010-02-02,14.3,14.49,14.13,14.46,4657100,10.710424
2010-02-03,14.44,14.5,14.33,14.38,3609700,10.651168
2010-02-04,14.32,14.39,13.89,13.89,5717500,10.288229
2010-02-05,13.88,13.98,13.72,13.92,5084400,10.31045
2010-02-08,13.98,14.0,13.74,13.75,4410200,10.184532
2010-02-09,13.89,14.17,13.8,14.01,5162600,10.377112
2010-02-10,14.02,14.05,13.71,13.83,4420100,10.243787
2010-02-11,13.67,13.77,13.48,13.74,3952900,10.322672
2010-02-12,13.64,13.7,13.51,13.65,5529300,10.255056
2010-02-16,13.7,13.98,13.7,13.95,2975400,10.480442
2010-02-17,13.96,14.09,13.95,14.06,3407200,10.563084
2010-02-18,14.05,14.4,14.0,14.39,5963400,10.811009
2010-02-19,14.34,14.59,14.23,14.53,4373100,10.916188
2010-02-22,14.53,14.61,14.41,14.45,2310200,10.856086
2010-02-23,14.4,14.47,14.28,14.31,2839400,10.750906
2010-02-24,14.32,14.36,13.99,14.21,3171800,10.675777
2010-02-25,14.05,14.16,13.95,14.1,4075600,10.593136
2010-02-26,14.04,14.04,13.36,13.38,12626900,10.05221
2010-03-01,13.47,13.68,13.47,13.6,6794300,10.217493
2010-03-02,13.66,13.91,13.65,13.83,3806900,10.390288
2010-03-03,13.92,13.96,13.75,13.77,3725200,10.345211
2010-03-04,13.83,14.02,13.76,14.02,3937800,10.533033
2010-03-05,14.01,14.16,14.0,14.01,4250700,10.52552
2010-03-08,14.02,14.19,14.02,14.15,2968600,10.6307
2010-03-09,14.15,14.23,14.04,14.11,2637700,10.600648
2010-03-10,14.14,14.15,14.01,14.12,2848000,10.608161
2010-03-11,14.17,14.28,14.1,14.28,1936000,10.728367
2010-03-12,14.34,14.39,14.16,14.24,1616900,10.698315
2010-03-15,14.25,14.32,14.1,14.23,2251500,10.690802
2010-03-16,14.21,14.46,14.16,14.43,2335200,10.84106
2010-03-17,14.5,14.52,14.41,14.46,2584700,10.863599
2010-03-18,14.52,14.52,14.33,14.41,1757500,10.826034
2010-03-19,14.43,14.52,14.33,14.43,4085700,10.84106
2010-03-22,14.38,14.44,14.27,14.28,3552600,10.728367
2010-03-23,14.28,14.35,14.21,14.3,3383500,10.743393
2010-03-24,14.25,14.35,14.17,14.19,2031800,10.660751
2010-03-25,14.23,14.29,14.13,14.13,1783400,10.615674
2010-03-26,14.21,14.28,14.07,14.19,3173100,10.660751
2010-03-29,14.24,14.5,14.18,14.47,3443400,10.871112
2010-03-30,14.42,14.5,14.32,14.44,3417800,10.848573
2010-03-31,14.37,14.5,14.31,14.36,3647700,10.78847
2010-04-01,14.37,14.62,14.37,14.5,4110900,10.89365
2010-04-05,14.56,14.69,14.51,14.64,2402600,10.99883
2010-04-06,14.6,14.77,14.56,14.74,3617400,11.073959
2010-04-07,14.76,14.76,14.41,14.47,4859500,10.871112
2010-04-08,14.38,14.48,14.3,14.37,2889400,10.795983
2010-04-09,14.46,14.56,14.31,14.5,2459700,10.89365
2010-04-12,14.58,14.63,14.51,14.53,2088700,10.916188
2010-04-13,14.55,14.58,14.4,14.5,1615300,10.89365
2010-04-14,14.51,14.55,14.35,14.52,1372100,10.908676
2010-04-15,14.57,14.63,14.51,14.62,1575100,10.983804
2010-04-16,14.59,14.64,14.28,14.32,2913700,10.758418
2010-04-19,14.27,14.36,14.17,14.25,3239700,10.705828
2010-04-20,14.3,14.38,14.23,14.36,1942400,10.78847
2010-04-21,14.34,14.44,14.28,14.38,3213400,10.803496
2010-04-22,14.34,14.43,14.25,14.36,3453000,10.78847
2010-04-23,14.38,14.58,14.31,14.57,1494500,10.94624
2010-04-26,14.53,14.63,14.5,14.55,2709400,10.931214
2010-04-27,14.45,14.53,14.18,14.18,2608400,10.653239
2010-04-28,14.26,14.39,14.16,14.34,2303600,10.773444
2010-04-29,14.43,14.49,14.35,14.39,3377000,10.811009
2010-04-30,14.44,14.65,14.36,14.36,4300800,10.78847
2010-05-03,14.44,14.63,14.42,14.57,2917300,10.94624
2010-05-04,14.46,14.6,14.3,14.34,4552200,10.773444
2010-05-05,14.4,14.65,14.29,14.38,6588700,10.803496
2010-05-06,14.39,14.39,5.67,13.88,9331200,10.427853
2010-05-07,13.87,14.04,13.38,13.75,7085500,10.330185
2010-05-10,14.18,14.43,13.94,14.14,5670200,10.623187
2010-05-11,14.0,14.38,13.99,14.18,5572700,10.653239
2010-05-12,14.08,14.41,13.9,14.29,6556100,10.885576
2010-05-13,14.26,14.51,14.18,14.25,3815000,10.855105
2010-05-14,14.19,14.31,14.01,14.15,4945300,10.778929
2010-05-17,14.18,14.24,13.89,14.18,3196700,10.801782
2010-05-18,14.25,14.35,13.94,13.98,5675300,10.649429
2010-05-19,13.87,13.97,13.62,13.76,6158100,10.481842
2010-05-20,13.52,13.62,13.24,13.27,7340200,10.108579
2010-05-21,13.14,13.36,12.95,13.33,5127900,10.154285
2010-05-24,13.3,13.44,13.18,13.2,2656000,10.055255
2010-05-25,12.93,13.06,12.75,13.06,6941900,9.948609
2010-05-26,13.16,13.36,13.04,13.15,5641300,10.017167
2010-05-27,13.31,13.54,13.28,13.52,2918100,10.29902
2010-05-28,13.55,13.81,13.54,13.62,5267700,10.375195
2010-06-01,13.54,13.63,13.26,13.28,3010500,10.116196
2010-06-02,13.36,13.58,13.29,13.58,3166400,10.344725
2010-06-03,13.57,13.76,13.57,13.72,2551100,10.451372
2010-06-04,13.48,13.59,13.14,13.2,5225100,10.055255
2010-06-07,13.24,13.49,13.2,13.29,6318100,10.123814
2010-06-08,13.25,13.35,13.19,13.33,7405300,10.154285
2010-06-09,13.21,13.24,12.87,12.9,9512000,9.826727
2010-06-10,13.17,13.31,13.03,13.16,32234100,10.024785
2010-06-11,13.12,13.27,13.05,13.27,4659300,10.108579
2010-06-14,13.35,13.52,13.28,13.34,4381900,10.161902
2010-06-15,13.44,13.62,13.41,13.6,3559100,10.359961
2010-06-16,13.5,13.86,13.43,13.78,4091100,10.497077
2010-06-17,13.79,13.95,13.71,13.95,2925500,10.626577
2010-06-18,13.96,14.03,13.88,14.01,4313400,10.672283
2010-06-21,14.1,14.15,13.9,13.99,2854200,10.657047
2010-06-22,13.98,14.04,13.62,13.64,4185900,10.390431
2010-06-23,13.68,13.75,13.43,13.52,2636200,10.29902
2010-06-24,13.5,13.71,13.47,13.54,3409500,10.314255
2010-06-25,13.58,13.66,13.4,13.52,7757100,10.29902
2010-06-28,13.59,13.8,13.5,13.72,2736900,10.451372
2010-06-29,13.62,13.66,13.23,13.31,4750300,10.13905
2010-06-30,13.26,13.44,13.11,13.16,5145800,10.024785
2010-07-01,13.11,13.2,12.96,13.06,5208900,9.948609
2010-07-02,13.11,13.13,12.96,13.03,3336000,9.925756
2010-07-06,13.2,13.36,13.08,13.24,9079400,10.085726
2010-07-07,13.25,13.71,13.25,13.71,4309000,10.443754
2010-07-08,13.74,13.97,13.66,13.97,5752600,10.641812
2010-07-09,13.94,14.07,13.87,14.05,2345400,10.702753
2010-07-12,13.98,14.08,13.91,14.07,2380600,10.717988
2010-07-13,14.19,14.32,14.1,14.19,3642000,10.809399
2010-07-14,14.18,14.27,13.98,14.18,4428800,10.801782
2010-07-15,14.2,14.33,14.07,14.3,2935200,10.893194
2010-07-16,14.19,14.26,13.9,13.93,2975000,10.611342
2010-07-19,14.01,14.1,13.88,14.05,3477800,10.702753
2010-07-20,13.87,14.19,13.87,14.17,2453400,10.794165
2010-07-21,14.18,14.23,13.82,13.91,2413400,10.596106
2010-07-22,14.0,14.26,13.93,14.19,2233100,10.809399
2010-07-23,14.16,14.28,14.06,14.25,2279800,10.855105
2010-07-26,14.26,14.4,14.25,14.4,2675500,10.969369
2010-07-27,14.41,14.61,14.34,14.6,3969700,11.121722
2010-07-28,14.56,14.58,14.45,14.54,2560800,11.076016
2010-07-29,14.62,14.64,14.21,14.33,3304400,10.916046
2010-07-30,14.24,14.33,14.12,14.23,3189600,10.83987
2010-08-02,14.36,14.59,14.36,14.53,2645500,11.068399
2010-08-03,14.5,14.62,14.41,14.46,3062800,11.015075
2010-08-04,14.5,14.75,14.32,14.73,4976800,11.220751
2010-08-05,14.7,14.81,14.6,14.81,2829700,11.281692
2010-08-06,14.71,14.84,14.51,14.84,3210400,11.304545
2010-08-09,14.89,15.0,14.83,14.96,3418300,11.395956
2010-08-10,14.87,15.08,14.67,15.06,4046800,11.472133
2010-08-11,14.89,14.89,14.69,14.74,3431400,11.228369
2010-08-12,14.39,14.58,14.19,14.48,3209200,11.17819
2010-08-13,14.44,14.67,14.44,14.5,3285800,11.193629
2010-08-16,14.43,14.59,14.29,14.5,2584900,11.193629
2010-08-17,14.6,14.9,14.55,14.78,3411000,11.409782
2010-08-18,14.77,14.82,14.48,14.72,3875300,11.363464
2010-08-19,14.67,14.67,14.37,14.49,3235100,11.18591
2010-08-20,14.36,14.58,14.34,14.55,2375200,11.232228
2010-08-23,14.63,14.74,14.52,14.55,7254700,11.232228
2010-08-24,14.43,14.79,14.4,14.67,3760900,11.324865
2010-08-25,14.6,14.81,14.59,14.77,4379000,11.402063
2010-08-26,14.83,14.84,14.57,14.62,2757800,11.286266
2010-08-27,14.74,14.97,14.54,14.96,3883700,11.548738
2010-08-30,14.86,14.96,14.66,14.67,3275600,11.324865
2010-08-31,14.65,14.9,14.54,14.79,4646100,11.417502
2010-09-01,14.93,15.18,14.85,15.12,4174800,11.672254
2010-09-02,15.15,15.15,14.92,15.06,3334900,11.625935
2010-09-03,15.11,15.26,15.07,15.26,2577200,11.78033
2010-09-07,15.26,15.36,15.13,15.27,4005600,11.78805
2010-09-08,15.33,15.34,15.02,15.06,3871500,11.625935
2010-09-09,15.22,15.32,15.16,15.21,1927300,11.741731
2010-09-10,15.3,15.35,15.11,15.2,5049600,11.734011
2010-09-13,15.33,15.34,15.15,15.26,3409300,11.78033
2010-09-14,15.27,15.37,15.13,15.25,4614300,11.77261
2010-09-15,15.23,15.27,15.07,15.12,4124200,11.672254
2010-09-16,15.07,15.18,14.98,14.99,4211800,11.571897
2010-09-17,15.07,15.12,14.91,15.03,5111600,11.602776
2010-09-20,15.15,15.39,15.05,15.38,4101900,11.872967
2010-09-21,15.4,15.55,15.32,15.36,6046800,11.857527
2010-09-22,15.34,15.56,15.34,15.41,3887500,11.896126
2010-09-23,15.31,15.47,15.24,15.24,4188000,11.76489
2010-09-24,15.41,15.73,15.41,15.65,4592800,12.0814
2010-09-27,15.69,15.81,15.57,15.72,4200800,12.135438
2010-09-28,15.8,15.85,15.59,15.84,4600600,12.228075
2010-09-29,15.81,15.84,15.64,15.76,2083700,12.166317
2010-09-30,15.85,15.98,15.7,15.72,5474700,12.135438
2010-10-01,15.84,16.01,15.73,15.9,3715500,12.274393
2010-10-04,15.9,15.97,15.69,15.78,3258700,12.181757
2010-10-05,15.88,16.049999,15.84,16.030001,2607300,12.374751
2010-10-06,16.02,16.049999,15.79,15.89,3123300,12.266674
2010-10-07,15.97,16.059999,15.86,16.0,2206300,12.351591
2010-10-08,16.030001,16.129999,15.98,16.09,2697500,12.421069
2010-10-11,16.139999,16.23,16.049999,16.16,3309200,12.475107
2010-10-12,16.110001,16.18,16.0,16.08,2716700,12.413349
2010-10-13,16.16,16.18,15.96,15.99,4553800,12.343871
2010-10-14,15.99,16.110001,15.88,15.96,2947800,12.320712
2010-10-15,16.110001,16.129999,16.0,16.129999,2754500,12.451947
