Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,20.33,20.33,19.959999,19.99,2975900,14.944367
2010-01-05,19.9,20.059999,19.33,19.58,5206100,14.637854
2010-01-06,19.5,19.58,19.190001,19.5,6354900,14.578047
2010-01-07,19.700001,20.07,19.639999,20.0,9714500,14.951843
2010-01-08,19.91,20.059999,19.74,19.77,3362600,14.779897
2010-01-11,19.790001,19.98,19.66,19.9,5180500,14.877084
2010-01-12,19.690001,19.9,19.18,19.35,5961600,14.465908
2010-01-13,19.389999,20.059999,19.32,19.99,8627500,14.944367
2010-01-14,19.870001,20.540001,19.799999,20.48,10507800,15.310687
2010-01-15,20.610001,20.610001,20.08,20.280001,5765900,15.161169
2010-01-19,20.26,20.860001,20.15,20.780001,4809100,15.534965
2010-01-20,20.67,20.700001,20.290001,20.58,3656100,15.385446
2010-01-21,20.75,21.0,20.280001,20.58,7519000,15.385446
2010-01-22,20.530001,20.860001,19.940001,19.950001,4988600,14.914464
2010-01-25,19.950001,20.290001,19.83,19.959999,3078800,14.921939
2010-01-26,19.9,20.07,19.799999,19.85,2451900,14.839704
2010-01-27,19.940001,19.99,19.690001,19.959999,3754300,14.921939
2010-01-28,20.1,20.370001,19.879999,20.040001,8085800,14.981747
2010-01-29,20.450001,20.51,19.07,19.719999,13902000,14.742517
2010-02-01,19.860001,20.34,19.51,20.27,6403200,15.153693
2010-02-02,20.27,20.83,20.030001,20.809999,5342000,15.557392
2010-02-03,20.690001,20.98,20.6,20.92,4060200,15.639628
2010-02-04,20.809999,20.870001,20.02,20.030001,5082300,14.974271
2010-02-05,20.030001,20.27,19.67,20.1,6642800,15.026603
2010-02-08,20.200001,20.57,20.02,20.059999,5308200,14.996698
2010-02-09,20.35,20.639999,20.15,20.51,5198600,15.333115
2010-02-10,20.549999,20.620001,20.1,20.27,4648900,15.153693
2010-02-11,20.190001,20.620001,19.809999,20.610001,4979000,15.407875
2010-02-12,20.389999,21.030001,20.299999,20.99,6897900,15.691959
2010-02-16,21.23,21.379999,21.02,21.25,5185000,15.886333
2010-02-17,21.5,21.719999,21.01,21.559999,8737600,16.118086
2010-02-18,21.66,21.92,21.57,21.9,5113500,16.372268
2010-02-19,22.0,22.0,21.66,21.780001,6021600,16.282558
2010-02-22,21.9,21.940001,21.52,21.58,3436600,16.133039
2010-02-23,21.639999,21.870001,21.549999,21.799999,7844000,16.297508
2010-02-24,22.07,22.07,21.74,22.0,4450600,16.447027
2010-02-25,21.700001,22.129999,21.620001,22.08,5502300,16.506835
2010-02-26,22.1,22.15,21.84,21.99,3581000,16.439551
2010-03-01,22.0,22.07,21.77,22.07,4161100,16.499359
2010-03-02,22.1,22.290001,21.91,22.290001,4527000,16.66383
2010-03-03,22.4,22.4,21.84,21.940001,4346000,16.402172
2010-03-04,21.889999,22.07,21.719999,22.059999,3637900,16.491882
2010-03-05,22.139999,22.719999,22.02,22.5,6612400,16.820823
2010-03-08,22.49,22.639999,22.26,22.59,4092500,16.888107
2010-03-09,22.93,22.99,22.49,22.6,4807300,16.895583
2010-03-10,22.66,22.940001,22.58,22.889999,6202400,17.112384
2010-03-11,22.75,22.9,22.65,22.82,5317000,17.060053
2010-03-12,22.809999,22.889999,22.4,22.76,4912300,17.015198
2010-03-15,22.790001,22.969999,22.610001,22.940001,4146600,17.149764
2010-03-16,22.99,23.469999,22.950001,23.139999,5308800,17.299282
2010-03-17,23.190001,23.33,22.950001,23.209999,2047600,17.351613
2010-03-18,23.110001,23.25,22.969999,23.139999,3246900,17.299282
2010-03-19,23.309999,23.469999,22.51,23.190001,5535400,17.336662
2010-03-22,23.139999,23.290001,22.969999,23.27,4007500,17.39647
2010-03-23,23.24,23.35,23.01,23.219999,4296400,17.359089
2010-03-24,23.209999,23.209999,22.74,22.940001,5216300,17.149764
2010-03-25,23.049999,23.17,22.790001,22.790001,4242900,17.037626
2010-03-26,22.73,23.120001,22.700001,22.83,4740400,17.067529
2010-03-29,23.120001,23.26,23.02,23.09,2757600,17.261903
2010-03-30,23.139999,23.23,22.940001,23.120001,2507200,17.284331
2010-03-31,23.18,23.18,22.709999,22.74,1810900,17.000245
2010-04-01,22.9,23.030001,22.52,22.610001,5293400,16.903059
2010-04-05,22.99,23.530001,22.66,23.52,3926900,17.583368
2010-04-06,23.35,23.42,23.09,23.309999,2575800,17.426373
2010-04-07,23.17,23.34,22.93,23.139999,2753000,17.299282
2010-04-08,23.1,23.540001,22.82,23.49,3594700,17.560939
2010-04-09,23.48,23.530001,23.110001,23.18,4586300,17.329186
2010-04-12,23.24,23.4,23.17,23.280001,4188500,17.403946
2010-04-13,23.25,23.620001,23.24,23.459999,4864900,17.538511
2010-04-14,23.370001,23.5,22.969999,23.32,7223600,17.433849
2010-04-15,23.4,23.790001,23.16,23.75,6149500,17.755314
2010-04-16,24.17,24.6,23.719999,23.84,11403600,17.822597
2010-04-19,24.139999,24.25,23.09,23.52,7384200,17.583368
2010-04-20,23.709999,23.799999,23.42,23.629999,5044100,17.665602
2010-04-21,23.58,23.690001,23.200001,23.6,5503600,17.643175
2010-04-22,23.459999,23.66,23.16,23.43,4366000,17.516084
2010-04-23,23.379999,23.57,23.209999,23.540001,3381700,17.59832
2010-04-26,23.639999,24.040001,23.549999,23.860001,5217600,17.837549
2010-04-27,24.16,24.42,23.190001,23.280001,5553100,17.403946
2010-04-28,23.27,23.41,22.99,23.24,4538500,17.374041
2010-04-29,23.280001,23.700001,23.049999,23.65,4301700,17.680554
2010-04-30,23.700001,23.889999,22.99,23.02,4453800,17.209572
2010-05-03,23.290001,24.059999,23.26,23.959999,4380800,17.912307
2010-05-04,23.58,23.58,22.809999,22.99,5609000,17.187143
2010-05-05,22.99,23.280001,22.76,22.879999,4829400,17.104908
2010-05-06,22.59,22.860001,20.549999,22.1,6513800,16.521787
2010-05-07,21.85,22.08,20.98,21.450001,8910000,16.035852
2010-05-10,22.190001,22.59,22.139999,22.49,5715600,16.813347
2010-05-11,22.389999,23.0,22.23,22.82,6706300,17.060053
