Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,23.32,23.33,22.91,23.049999,16370000,10.438582
2010-01-05,22.959999,24.0,22.889999,23.59,30058800,10.683131
2010-01-06,23.48,23.620001,23.26,23.42,14209600,10.606143
2010-01-07,23.280001,23.530001,23.190001,23.360001,10256000,10.578971
2010-01-08,23.200001,23.6,23.190001,23.280001,10274800,10.542742
2010-01-11,23.370001,23.370001,22.870001,23.209999,11387000,10.511041
2010-01-12,22.9,23.190001,22.5,22.82,15429600,10.334423
2010-01-13,22.9,23.5,22.77,23.379999,15098400,10.588028
2010-01-14,23.24,23.6,23.209999,23.549999,15517400,10.665015
2010-01-15,23.73,23.75,22.91,23.27,21862600,10.538213
2010-01-19,23.4,23.799999,23.16,23.58,18908200,10.678602
2010-01-20,23.74,23.799999,22.85,23.290001,33950400,10.547271
2010-01-21,24.120001,24.450001,23.33,23.68,53670800,10.723889
2010-01-22,23.629999,23.83,22.85,22.91,24557600,10.375181
2010-01-25,23.0,23.059999,22.27,22.4,24673800,10.144219
2010-01-26,22.209999,22.74,22.17,22.540001,22492600,10.207621
2010-01-27,22.540001,22.57,22.129999,22.41,21200200,10.148747
2010-01-28,22.5,22.629999,21.860001,22.08,28730400,9.999301
2010-01-29,22.120001,22.530001,21.75,21.790001,18741800,9.86797
2010-02-01,21.99,22.27,21.77,22.23,13498800,10.067231
2010-02-02,22.15,22.49,21.91,22.450001,15336200,10.166863
2010-02-03,22.389999,22.49,22.1,22.43,14938600,10.157805
2010-02-04,22.26,22.389999,21.790001,21.809999,19542400,9.877027
2010-02-05,21.790001,22.040001,21.26,21.700001,22069800,9.827212
2010-02-08,21.66,22.15,21.41,21.91,15988600,9.922314
2010-02-09,22.15,22.299999,21.66,22.190001,20816200,10.049117
2010-02-10,22.040001,22.530001,22.040001,22.370001,20032800,10.130633
2010-02-11,22.26,22.68,21.93,22.559999,18518200,10.216677
2010-02-12,22.07,22.68,22.059999,22.6,15750800,10.234792
2010-02-16,22.690001,22.879999,22.469999,22.879999,16820000,10.361595
2010-02-17,23.07,23.299999,22.969999,23.15,12950400,10.483869
2010-02-18,23.209999,23.32,23.01,23.26,9300600,10.533684
2010-02-19,23.17,23.459999,23.17,23.360001,9731800,10.578971
2010-02-22,23.33,23.360001,22.82,22.9,16983800,10.370652
2010-02-23,22.76,22.91,22.469999,22.68,16508400,10.271022
2010-02-24,22.75,23.08,22.709999,23.08,12921000,10.452168
2010-02-25,22.65,22.98,22.43,22.9,18623800,10.370652
2010-02-26,22.92,22.99,22.68,22.91,12100000,10.375181
2010-03-01,22.93,23.34,22.91,23.290001,12703000,10.547271
2010-03-02,23.18,23.4,23.08,23.33,17122200,10.565385
2010-03-03,23.299999,23.379999,22.940001,23.059999,11035000,10.443111
2010-03-04,23.049999,23.17,22.870001,22.92,12892600,10.37971
2010-03-05,23.040001,23.389999,22.870001,23.370001,12328800,10.5835
2010-03-08,23.27,23.59,23.25,23.32,8997200,10.560856
2010-03-09,23.5,23.75,23.200001,23.620001,13357200,10.696717
