Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,23.25,23.289999,22.999999,23.11,4009700,14.446016
2010-01-05,23.12,23.55,22.95,23.209998,5517100,14.508525
2010-01-06,23.24,23.349998,23.050001,23.129999,4248700,14.458518
2010-01-07,23.179999,23.27,23.009999,23.199998,3484900,14.502274
2010-01-08,23.169999,23.169999,22.969999,23.019999,2861700,14.389757
2010-01-11,23.09,23.43,23.06,23.41,4880200,14.633546
2010-01-12,23.369998,23.659999,23.319999,23.659999,5073100,14.78982
2010-01-13,23.659999,23.86,23.639999,23.809999,3586000,14.883584
2010-01-14,23.849998,23.849998,23.489999,23.629999,3831900,14.771067
2010-01-15,23.609999,23.659999,23.12,23.26,5408700,14.539781
2010-01-19,23.28,23.529998,23.25,23.529998,4806700,14.708557
2010-01-20,23.469999,23.6,23.24,23.529998,6486600,14.708557
2010-01-21,23.56,23.949999,23.299999,23.369998,5501700,14.608541
2010-01-22,23.309999,23.519998,23.139999,23.139999,4482100,14.464769
2010-01-25,23.25,23.4,23.1,23.149999,3280200,14.47102
2010-01-26,23.1,23.24,22.95,23.08,4218500,14.427264
2010-01-27,22.79,22.979999,22.669999,22.95,5348000,14.471402
2010-01-28,23.029998,23.129999,22.869998,22.879998,4100600,14.427262
2010-01-29,23.009999,23.139999,22.679999,22.74,4723000,14.338984
2010-02-01,22.849999,22.94,22.709998,22.94,3985800,14.465096
2010-02-02,22.94,23.1,22.809999,23.09,5166900,14.559681
2010-02-03,23.06,23.139999,22.819999,22.95,3750900,14.471402
2010-02-04,22.849999,22.92,22.29,22.29,10445800,14.055231
2010-02-05,22.26,22.879998,22.189999,22.829999,11179100,14.395734
2010-02-08,22.869998,22.979999,22.649999,22.669999,4982700,14.294844
2010-02-09,22.859999,23.12,22.77,22.95,4082400,14.471402
2010-02-10,22.95,23.179999,22.74,23.09,4824500,14.559681
2010-02-11,23.009999,23.329999,22.849999,23.289999,4958700,14.685793
2010-02-12,23.09,23.44,22.869998,23.4,6098700,14.755155
2010-02-16,23.629999,23.949999,23.41,23.92,6669300,15.083047
2010-02-17,23.989999,24.129999,23.76,24.03,5185700,15.152409
2010-02-18,23.929999,24.319998,23.929999,24.259999,4587700,15.297438
2010-02-19,24.36,24.7,24.099999,24.639998,7098900,15.537051
2010-02-22,24.609999,24.749999,24.4,24.599999,6056500,15.511829
2010-02-23,24.589999,24.599999,24.24,24.37,4789500,15.3668
2010-02-24,24.439999,24.629999,24.309999,24.53,4032700,15.46769
2010-02-25,24.36,24.55,24.169998,24.51,4646800,15.455079
2010-02-26,24.51,24.609999,24.37,24.459999,4606000,15.42355
2010-03-01,24.55,24.84,24.55,24.69,6098500,15.56858
2010-03-02,24.84,24.949999,24.799998,24.899999,5344800,15.700998
2010-03-03,24.889999,25.0,24.809998,24.889999,4243500,15.694692
2010-03-04,25.01,25.069999,24.649998,24.899999,6398400,15.700998
2010-03-05,24.980001,25.289998,24.85,25.289998,5938200,15.946916
2010-03-08,25.31,25.34,25.049999,25.239999,4500200,15.915389
2010-03-09,25.209999,25.369999,25.17,25.239999,2846100,15.915389
2010-03-10,25.249999,25.300001,25.079999,25.219999,3402900,15.902778
2010-03-11,25.369999,25.379999,25.059999,25.369999,2860800,15.997362
2010-03-12,25.419999,25.49,25.15,25.369999,3301900,15.997362
2010-03-15,25.34,25.5,25.300001,25.5,4068700,16.079335
2010-03-16,25.32,25.65,25.32,25.599998,4393500,16.142391
2010-03-17,25.66,25.82,25.589999,25.759998,4248500,16.243281
2010-03-18,25.82,25.96,25.689999,25.859999,5732600,16.306337
2010-03-19,25.84,26.039999,25.66,25.84,6060300,16.293726
2010-03-22,25.539999,26.249998,25.539999,26.12,6468600,16.470284
2010-03-23,26.13,26.32,26.019999,26.28,5239700,16.571174
2010-03-24,26.209999,26.219999,25.99,26.099998,7351200,16.457672
2010-03-25,25.8,25.899999,24.84,24.939999,12670600,15.72622
2010-03-26,24.85,24.939999,24.23,24.639998,12029400,15.537051
2010-03-29,24.69,25.089999,24.619999,25.03,6515800,15.782971
2010-03-30,25.089999,25.16,24.899999,24.959998,6085000,15.738831
2010-03-31,24.85,25.229999,24.789999,25.069999,6518300,15.808193
2010-04-01,25.19,25.289998,25.079999,25.229999,4589900,15.909083
2010-04-05,25.34,25.379999,25.109999,25.219999,4983500,15.902778
2010-04-06,25.079999,25.099999,24.789999,25.02,7998200,15.776666
2010-04-07,25.03,25.219999,24.84,25.19,7243400,15.883861
2010-04-08,25.109999,25.239999,25.0,25.140001,4765900,15.852333
2010-04-09,25.16,25.35,25.129998,25.229999,3502700,15.909083
2010-04-12,25.129998,25.259999,24.939999,25.0,5829900,15.764055
2010-04-13,25.0,25.129998,24.929999,25.059999,5139600,15.801888
2010-04-14,25.079999,25.279998,25.079999,25.249999,3704100,15.921694
2010-04-15,25.229999,25.239999,24.969998,25.03,4851300,15.782971
2010-04-16,25.0,25.119998,24.759999,24.88,5809000,15.688387
2010-04-19,24.789999,24.929999,24.660001,24.85,3535500,15.66947
2010-04-20,24.909999,25.02,24.88,24.929999,2727900,15.719914
2010-04-21,24.99,25.16,24.899999,25.049999,3878000,15.795582
2010-04-22,24.88,25.049999,24.83,24.99,3972800,15.757749
2010-04-23,24.99,24.99,24.749999,24.909999,3588700,15.707303
2010-04-26,24.85,25.01,24.759999,24.820001,5146600,15.650554
2010-04-27,24.779999,24.789999,24.35,24.439999,6851600,15.410939
2010-04-28,24.449999,24.599999,24.089999,24.51,4617800,15.582594
2010-04-29,24.619999,24.749999,24.52,24.67,4527800,15.684317
2010-04-30,24.619999,24.749999,24.459999,24.469999,7232000,15.557163
2010-05-03,24.579999,24.83,24.37,24.739999,5415100,15.72882
2010-05-04,24.56,24.69,24.340001,24.469999,5659800,15.557163
2010-05-05,24.319998,24.69,24.319998,24.500001,5630400,15.576237
2010-05-06,24.469999,24.469999,22.359999,23.809999,10077200,15.137558
2010-05-07,23.809999,23.88,23.38,23.58,7972700,14.991333
2010-05-10,24.19,24.469999,23.829999,24.36,6894800,15.48723
2010-05-11,24.23,24.619999,24.129999,24.36,4444700,15.48723
2010-05-12,24.37,24.799998,24.299999,24.739999,4425900,15.72882
2010-05-13,24.68,24.919999,24.54,24.729999,4417700,15.722462
2010-05-14,24.589999,24.7,24.169998,24.37,5121100,15.493587
2010-05-17,24.4,24.55,24.269999,24.479998,5382600,15.56352
2010-05-18,24.55,24.729999,24.4,24.479998,9876400,15.56352
2010-05-19,24.4,24.84,24.24,24.83,9314300,15.786039
2010-05-20,24.449999,24.68,24.249999,24.4,12413200,15.51266
2010-05-21,24.009998,24.759999,23.9,24.759999,9915600,15.741535
2010-05-24,24.71,24.749999,24.2,24.439999,6579600,15.53809
2010-05-25,23.999998,24.139999,23.689998,24.099999,8490500,15.32193
2010-05-26,24.180001,24.279999,23.799999,23.86,5536000,15.169347
2010-05-27,24.129999,24.289999,23.989999,24.289999,3972200,15.442725
2010-05-28,24.309999,24.38,24.129999,24.180001,3256700,15.372792
2010-06-01,23.989999,24.4,23.829999,24.020001,3950200,15.27107
2010-06-02,24.149999,24.569999,24.109999,24.56,3765700,15.614382
2010-06-03,24.68,24.84,24.609999,24.749999,4291000,15.735177
2010-06-04,24.449999,24.479998,24.180001,24.21,5549000,15.391865
2010-06-07,24.19,24.479998,23.999998,23.999998,5440600,15.258353
2010-06-08,23.969999,24.489998,23.969999,24.439999,6550500,15.53809
2010-06-09,24.579999,24.959998,24.4,24.479998,7628700,15.56352
2010-06-10,24.7,25.04,24.7,24.959998,4849300,15.868687
2010-06-11,24.809998,24.899999,24.52,24.88,3995500,15.817827
2010-06-14,24.99,25.17,24.889999,24.909999,4042500,15.8369
2010-06-15,24.939999,25.109999,24.889999,25.089999,3343700,15.951337
2010-06-16,24.969998,25.19,24.929999,25.109999,3734100,15.964052
2010-06-17,25.17,25.419999,25.129998,25.229999,7588400,16.040344
2010-06-18,25.129998,25.16,24.959998,24.969998,7207200,15.875045
2010-06-21,25.140001,25.249999,24.86,24.939999,4472800,15.855972
2010-06-22,24.99,25.18,24.649998,24.69,4540700,15.697032
2010-06-23,24.660001,24.88,24.569999,24.69,6151400,15.697032
2010-06-24,23.999998,24.619999,23.799999,24.21,7588400,15.391865
2010-06-25,24.21,24.23,23.849998,23.92,7113200,15.207493
2010-06-28,23.989999,24.159998,23.89,23.999998,6464200,15.258353
2010-06-29,23.76,23.989999,23.55,23.609999,8406900,15.010406
2010-06-30,23.6,23.71,23.28,23.319999,7846500,14.826033
2010-07-01,23.329999,23.349998,23.009999,23.27,6711300,14.794246
2010-07-02,23.349998,23.349998,23.06,23.159999,4029500,14.724311
2010-07-06,23.369998,23.449999,23.12,23.26,4836600,14.787888
2010-07-07,23.24,23.679998,23.159999,23.649999,3512700,15.035836
2010-07-08,23.74,24.08,23.609999,24.04,5089400,15.283785
2010-07-09,23.989999,24.05,23.86,23.91,2917000,15.201135
2010-07-12,23.89,24.099999,23.769999,23.89,4834800,15.18842
2010-07-13,24.03,24.159998,23.999998,24.009998,3963800,15.264711
2010-07-14,23.929999,24.23,23.91,24.099999,2950000,15.32193
2010-07-15,24.05,24.24,23.86,24.099999,3412300,15.32193
2010-07-16,23.989999,24.04,23.629999,23.659999,4164800,15.042193
2010-07-19,23.73,23.88,23.7,23.769999,3558800,15.112128
2010-07-20,23.56,23.92,23.499999,23.9,3789700,15.194778
2010-07-21,24.06,24.06,23.57,23.659999,4122000,15.042193
2010-07-22,23.829999,23.88,23.639999,23.789999,4156100,15.124843
2010-07-23,23.639999,23.969999,23.639999,23.929999,4024400,15.21385
2010-07-26,23.819999,24.07,23.819999,24.06,2596700,15.2965
2010-07-27,24.119999,24.249999,23.989999,24.129999,5404600,15.341003
2010-07-28,24.020001,24.129999,23.72,23.779999,3649400,15.244839
2010-07-29,23.829999,23.88,23.299999,23.329999,5301100,14.956354
2010-07-30,23.179999,23.55,23.149999,23.479999,4332900,15.052515
2010-08-02,23.689998,23.87,23.499999,23.509998,4925000,15.071747
2010-08-03,23.4,23.6,22.839999,22.859999,10236700,14.655047
2010-08-04,22.859999,23.029998,22.75,22.829999,10734100,14.635815
2010-08-05,22.730001,22.809999,22.45,22.719998,10008900,14.565296
2010-08-06,22.64,22.699999,22.179999,22.209999,10970700,14.238346
2010-08-09,22.32,22.519999,21.99,22.049999,14988100,14.135773
2010-08-10,21.930001,22.42,21.930001,22.16,13083700,14.206293
2010-08-11,21.859999,21.889999,21.46,21.599998,12468900,13.847288
2010-08-12,21.35,21.65,21.33,21.51,7700000,13.789592
2010-08-13,21.409999,21.68,21.34,21.62,4367800,13.860111
2010-08-16,21.529999,21.610001,21.34,21.599998,4262000,13.847288
2010-08-17,21.749998,21.95,21.599998,21.81,5827100,13.981915
2010-08-18,21.84,22.13,21.78,22.12,6713400,14.18065
2010-08-19,21.909998,22.1,21.5,21.739999,5679400,13.937039
2010-08-20,21.559999,21.65,21.34,21.450001,6947900,13.751128
2010-08-23,21.5,21.62,21.47,21.49,5090700,13.77677
2010-08-24,21.31,21.47,21.229999,21.359999,6068700,13.69343
2010-08-25,21.239999,21.64,21.239999,21.599998,5294100,13.847288
2010-08-26,21.689999,21.689999,21.419999,21.49,4095200,13.77677
2010-08-27,21.549999,21.749998,21.279998,21.739999,3202600,13.937039
2010-08-30,21.589998,21.719999,21.439998,21.46,3310300,13.757538
2010-08-31,21.439998,21.66,21.34,21.589998,5697400,13.840877
2010-09-01,21.770001,22.019999,21.719999,22.009999,4291300,14.110131
2010-09-02,22.11,22.15,21.919998,21.96,3664700,14.078077
2010-09-03,22.11,22.11,21.869999,21.99,2927000,14.097309
2010-09-07,21.899999,21.98,21.79,21.889999,3626700,14.033201
2010-09-08,21.94,22.0,21.869999,21.919998,4320200,14.052433
2010-09-09,22.15,22.16,21.82,21.83,4026800,13.994737
2010-09-10,21.81,22.009999,21.78,21.95,4248700,14.071667
2010-09-13,22.090001,22.12,21.759998,21.849999,4048600,14.007558
2010-09-14,21.719999,22.079998,21.67,21.96,3932600,14.078077
2010-09-15,21.899999,22.31,21.899999,22.31,4308500,14.302454
2010-09-16,22.0,22.12,21.889999,22.059999,4371700,14.142184
2010-09-17,22.1,22.229998,22.019999,22.090001,3572300,14.161418
2010-09-20,22.13,22.379999,22.019999,22.369999,5091000,14.340918
2010-09-21,21.249999,21.749998,21.03,21.569999,20965900,13.828056
2010-09-22,21.450001,21.63,21.399999,21.419999,8493700,13.731894
2010-09-23,21.259999,21.589998,21.239999,21.559999,8707700,13.821645
2010-09-24,21.63,21.78,21.579999,21.78,6711400,13.962683
2010-09-27,21.709999,21.879999,21.68,21.78,6604500,13.962683
2010-09-28,21.849999,21.99,21.65,21.98,4661300,14.090899
2010-09-29,21.859999,22.1,21.83,21.96,6603900,14.078077
2010-09-30,22.009999,22.13,21.709999,21.94,7150000,14.065256
2010-10-01,22.059999,22.169999,21.919998,22.13,5270900,14.18706
2010-10-04,22.15,22.199999,21.909998,22.0,4487700,14.10372
2010-10-05,22.189999,22.389998,22.039999,22.32,6651700,14.308865
2010-10-06,22.26,22.32,21.97,22.029999,8155000,14.122952
2010-10-07,22.13,22.16,21.859999,21.930001,3779600,14.058845
2010-10-08,22.029999,22.039999,21.78,21.869999,4955700,14.02038
2010-10-11,21.919998,22.039999,21.849999,21.96,5458900,14.078077
2010-10-12,21.930001,22.090001,21.859999,22.029999,4467600,14.122952
2010-10-13,22.090001,22.58,22.059999,22.58,8218000,14.475546
2010-10-14,22.59,22.849999,22.529999,22.61,6249500,14.494778
2010-10-15,22.79,22.79,22.369999,22.42,5949200,14.372973
2010-10-18,22.399998,22.679999,22.399998,22.6,12760800,14.488367
2010-10-19,22.43,22.689999,22.42,22.559998,5365600,14.462723
2010-10-20,22.62,22.730001,22.509999,22.61,4298800,14.494778
2010-10-21,22.659999,22.879998,22.559998,22.879998,5846800,14.667868
2010-10-22,22.859999,22.999999,22.809999,22.95,4087100,14.712744
2010-10-25,23.019999,23.159999,22.859999,22.92,4445600,14.693512
2010-10-26,22.890001,22.979999,22.58,22.679999,4933600,14.539653
2010-10-27,22.44,22.46,22.189999,22.410001,4849600,14.51375
2010-10-28,22.539999,22.659999,22.47,22.570001,3351400,14.617373
2010-10-29,22.47,22.62,22.45,22.489999,3201100,14.565561
2010-11-01,22.539999,22.559998,22.1,22.229998,4783400,14.397172
2010-11-02,22.339999,22.47,22.179999,22.28,3938800,14.429556
2010-11-03,22.349999,22.379999,22.049999,22.26,2284900,14.416603
2010-11-04,22.379999,22.43,22.12,22.189999,5275800,14.371267
2010-11-05,22.239998,22.28,21.97,22.14,3701400,14.338885
2010-11-08,22.079998,22.32,22.069998,22.26,3243700,14.416603
2010-11-09,22.26,22.29,22.049999,22.1,3689000,14.31298
2010-11-10,22.13,22.229998,21.97,22.14,4036200,14.338885
2010-11-11,21.96,22.16,21.899999,22.16,4423600,14.351838
2010-11-12,22.009999,22.079998,21.869999,22.009999,3565900,14.254691
2010-11-15,22.049999,22.179999,21.579999,21.610001,5138100,13.995633
2010-11-16,21.529999,21.549999,21.02,21.14,7493000,13.691239
2010-11-17,21.14,21.49,21.119998,21.389999,3638100,13.85315
2010-11-18,21.51,21.62,21.409999,21.529999,3234900,13.943821
2010-11-19,21.559999,21.559999,21.3,21.48,2360200,13.911439
2010-11-22,21.46,21.569999,21.249999,21.549999,3381600,13.956773
2010-11-23,21.409999,21.409999,21.249999,21.369999,2408200,13.840197
2010-11-24,21.48,21.48,21.290001,21.439998,2178300,13.885532
2010-11-26,21.379999,21.68,21.34,21.62,2129100,14.002109
2010-11-29,21.48,21.899999,21.429998,21.770001,5908800,14.099256
2010-11-30,21.63,21.689999,21.429998,21.48,6627800,13.911439
2010-12-01,21.749998,22.0,21.610001,21.95,3619200,14.215832
2010-12-02,22.0,22.1,21.869999,22.079998,3524200,14.300025
2010-12-03,22.039999,22.079998,21.869999,22.079998,10533700,14.300025
2010-12-06,22.049999,22.049999,21.8,21.909998,2665200,14.189925
2010-12-07,22.029999,22.16,21.95,22.009999,3322200,14.254691
2010-12-08,22.049999,22.27,22.0,22.250001,3417600,14.410127
2010-12-09,22.15,22.389998,22.049999,22.16,7359300,14.351838
2010-12-10,22.16,22.329999,22.059999,22.329999,5188200,14.461937
2010-12-13,22.399998,22.489999,22.029999,22.199999,6076500,14.377743
2010-12-14,22.179999,22.28,22.14,22.199999,3242600,14.377743
2010-12-15,22.14,22.32,22.090001,22.26,4237200,14.416603
2010-12-16,22.28,22.46,22.229998,22.44,4297900,14.533179
2010-12-17,22.43,22.559998,22.349999,22.489999,6521900,14.565561
2010-12-20,22.570001,22.58,22.199999,22.44,6305200,14.533179
2010-12-21,22.44,22.709998,22.329999,22.399998,7514600,14.507272
2010-12-22,22.369999,22.570001,22.250001,22.489999,5808200,14.565561
2010-12-23,22.489999,22.549998,22.379999,22.399998,4128100,14.507272
2010-12-27,22.32,22.559998,22.26,22.43,5078600,14.526703
2010-12-28,22.48,22.549998,22.329999,22.399998,3124600,14.507272
2010-12-29,22.389998,22.61,22.379999,22.489999,2762500,14.565561
2010-12-30,22.489999,22.699999,22.45,22.63,3239500,14.656231
2010-12-31,22.6,22.699999,22.499999,22.58,2242500,14.62385
2011-01-03,22.689999,22.75,22.519999,22.6,6503400,14.636802
2011-01-04,22.649999,22.699999,22.549998,22.64,5284200,14.662708
2011-01-05,22.529999,22.849999,22.529999,22.689999,5496600,14.69509
2011-01-06,22.699999,22.76,22.63,22.689999,7426500,14.69509
2011-01-07,22.669999,22.709998,22.43,22.61,8033700,14.643279
2011-01-10,22.76,22.77,22.519999,22.669999,6939900,14.682137
2011-01-11,22.699999,22.75,22.64,22.669999,4493000,14.682137
2011-01-12,22.78,23.359998,22.709998,23.209998,6260300,15.031865
2011-01-13,23.169999,23.369998,23.149999,23.199998,5384900,15.025389
2011-01-14,23.22,23.349998,23.050001,23.11,4206100,14.967102
2011-01-18,23.159999,23.25,23.08,23.22,3658400,15.038343
2011-01-19,23.199998,23.4,23.129999,23.139999,4594900,14.986531
2011-01-20,23.11,23.639999,23.08,23.459999,5127200,15.193777
2011-01-21,23.509998,23.58,23.299999,23.469999,3769000,15.200254
2011-01-24,23.44,23.649999,23.38,23.499999,8902700,15.219683
2011-01-25,23.499999,23.679998,23.39,23.58,4307700,15.271495
2011-01-26,23.659999,23.669998,23.24,23.289999,6124100,15.083678
2011-01-27,23.08,23.08,22.8,22.869998,6812200,14.959398
2011-01-28,22.93,23.039998,22.43,22.44,5841000,14.678134
2011-01-31,22.48,22.509999,22.28,22.329999,6866300,14.606182
2011-02-01,22.389998,22.63,22.389998,22.539999,3988300,14.743543
2011-02-02,22.48,22.6,22.43,22.539999,3494300,14.743543
2011-02-03,22.46,22.6,22.339999,22.539999,4341000,14.743543
2011-02-04,22.549998,22.849999,22.539999,22.78,3165700,14.90053
2011-02-07,22.78,22.819999,22.64,22.709998,3926800,14.854741
2011-02-08,22.76,22.890001,22.61,22.699999,4649600,14.8482
2011-02-09,22.689999,22.95,22.64,22.9,4126100,14.979023
2011-02-10,22.709998,22.890001,22.649999,22.699999,3822200,14.8482
2011-02-11,22.649999,22.76,22.359999,22.519999,7605400,14.730461
2011-02-14,22.549998,22.78,22.499999,22.719998,4426400,14.861282
2011-02-15,22.679999,22.699999,22.359999,22.410001,6367300,14.658511
2011-02-16,22.499999,22.699999,22.47,22.669999,5261000,14.828577
2011-02-17,22.659999,22.809999,22.58,22.8,4043300,14.913611
2011-02-18,22.79,22.849999,22.64,22.76,4956000,14.887448
2011-02-22,22.489999,22.75,22.45,22.539999,6588300,14.743543
2011-02-23,22.45,22.809999,22.45,22.730001,4776500,14.867825
2011-02-24,22.76,22.890001,22.63,22.77,5044100,14.893989
2011-02-25,22.859999,23.09,22.77,22.999999,4904500,15.044432
2011-02-28,23.08,23.25,23.009999,23.159999,3523100,15.149089
2011-03-01,23.24,23.299999,22.9,22.91,4543800,14.985564
2011-03-02,22.93,22.989999,22.649999,22.93,5201400,14.998646
2011-03-03,23.12,23.23,23.050001,23.169999,3517200,15.15563
2011-03-04,23.1,23.199998,22.989999,23.159999,3922600,15.149089
2011-03-07,23.199998,23.39,23.019999,23.050001,4676100,15.077139
2011-03-08,23.08,23.289999,23.08,23.28,3451400,15.227582
2011-03-09,23.22,23.41,23.199998,23.38,3084600,15.292993
2011-03-10,23.129999,23.459999,23.12,23.349998,4227900,15.273369
2011-03-11,23.339999,23.469999,23.329999,23.369998,2211500,15.286451
2011-03-14,23.25,23.39,23.169999,23.26,7233300,15.2145
2011-03-15,22.94,23.139999,22.77,23.029998,8521000,15.064055
2011-03-16,22.9,22.999999,22.699999,22.829999,7678500,14.933234
2011-03-17,23.189998,23.189998,22.44,22.48,8542300,14.704298
2011-03-18,22.689999,22.93,22.59,22.77,6937700,14.893989
2011-03-21,22.890001,23.1,22.859999,23.06,3869500,15.08368
2011-03-22,23.08,23.09,22.890001,22.989999,4343300,15.037891
2011-03-23,22.64,23.06,22.64,22.93,4185400,14.998646
2011-03-24,23.199998,23.469999,22.819999,23.4,8674400,15.306075
2011-03-25,23.43,23.9,23.43,23.829999,7092800,15.58734
2011-03-28,23.839998,23.949999,23.72,23.74,3148500,15.528471
2011-03-29,23.75,23.839998,23.609999,23.71,3186700,15.508848
2011-03-30,23.769999,23.989999,23.769999,23.849998,6032200,15.600422
2011-03-31,23.9,23.949999,23.72,23.75,3557000,15.535012
2011-04-01,23.9,23.949999,23.689998,23.839998,3475900,15.593881
2011-04-04,23.92,23.92,23.76,23.789999,2376400,15.561176
2011-04-05,23.809999,23.979999,23.799999,23.819999,3548700,15.580799
2011-04-06,23.839998,23.989999,23.76,23.89,2828000,15.626587
2011-04-07,23.839998,23.87,23.659999,23.779999,2446000,15.554635
2011-04-08,23.86,23.91,23.58,23.649999,3042200,15.469601
2011-04-11,23.669998,23.86,23.669998,23.829999,2359300,15.58734
2011-04-12,23.76,23.769999,23.509998,23.619999,3992100,15.449978
2011-04-13,23.649999,23.75,23.6,23.6,6441800,15.436896
2011-04-14,23.56,24.24,23.54,24.159998,4959100,15.803195
2011-04-15,24.23,24.71,24.21,24.69,7809600,16.149872
2011-04-18,24.429999,24.569999,24.23,24.37,3602800,15.940558
2011-04-19,24.419999,24.56,24.37,24.469999,3723200,16.005967
2011-04-20,24.649998,24.739999,24.329998,24.36,4567500,15.934017
2011-04-21,24.53,24.53,24.05,24.119999,4514100,15.777031
2011-04-25,24.05,24.129999,23.959999,24.05,2958300,15.731244
2011-04-26,24.099999,24.340001,24.089999,24.259999,3855000,15.868606
2011-04-27,24.149999,24.39,24.089999,24.340001,3905100,16.073322
2011-04-28,24.289999,24.37,24.2,24.340001,3285600,16.073322
2011-04-29,24.309999,24.500001,24.089999,24.449999,10207900,16.145961
2011-05-02,24.500001,24.969998,24.500001,24.68,7223800,16.297846
2011-05-03,24.609999,24.84,24.56,24.749999,9387600,16.344071
2011-05-04,25.01,25.82,24.87,25.51,23669700,16.84595
2011-05-05,25.32,25.689999,25.049999,25.069999,15291100,16.555389
2011-05-06,25.300001,25.569999,25.16,25.17,6568900,16.621426
2011-05-09,25.219999,25.369999,25.02,25.249999,4770400,16.674254
2011-05-10,25.35,25.47,25.18,25.279998,4190800,16.694065
2011-05-11,25.19,25.389999,25.140001,25.229999,4406900,16.661047
2011-05-12,25.249999,25.599998,25.2,25.52,4180200,16.852554
2011-05-13,25.5,25.609998,25.35,25.52,3457200,16.852554
2011-05-16,25.419999,25.549999,25.32,25.47,4150200,16.819536
2011-05-17,25.449998,25.48,25.15,25.2,7198200,16.641237
2011-05-18,25.239999,25.369999,25.16,25.35,7361100,16.740292
2011-05-19,25.429999,25.620001,25.289998,25.579999,3982500,16.892175
2011-05-20,25.48,25.689999,25.32,25.52,3614200,16.852554
2011-05-23,25.35,25.539999,25.300001,25.369999,3316500,16.753499
2011-05-24,25.379999,25.48,25.219999,25.300001,2645300,16.707274
2011-05-25,25.140001,25.2,24.749999,24.749999,6802300,16.344071
