Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,29.700001,30.209999,29.610001,30.16,1228200,26.265626
2010-01-05,30.059999,31.08,30.0,31.059999,1377600,27.049414
2010-01-06,30.92,31.059999,30.610001,30.969999,1326900,26.971035
2010-01-07,30.83,31.41,30.68,31.35,1022500,27.301969
2010-01-08,31.290001,31.4,31.02,31.370001,592400,27.319387
2010-01-11,31.5,31.82,31.290001,31.59,660100,27.510979
2010-01-12,31.42,31.870001,31.209999,31.299999,770500,27.258424
2010-01-13,31.450001,31.799999,31.209999,31.59,555500,27.510979
2010-01-14,31.49,31.51,30.969999,31.26,1025600,27.22359
2010-01-15,31.129999,31.18,30.379999,30.530001,1367300,26.587851
2010-01-19,30.5,31.07,30.34,30.83,2084800,26.849113
2010-01-20,30.6,30.73,29.950001,30.299999,1283500,26.387548
2010-01-21,30.23,31.469999,29.59,31.299999,4078900,27.258424
2010-01-22,31.32,32.650002,31.120001,31.83,4528300,27.719989
2010-01-25,32.240002,32.34,31.92,32.119999,2152900,27.972542
2010-01-26,31.950001,32.48,31.450001,31.49,1441500,27.423891
2010-01-27,31.41,31.98,31.120001,31.85,1240200,27.737407
2010-01-28,32.080002,32.080002,31.48,31.58,1085200,27.50227
2010-01-29,31.75,32.029999,31.4,31.43,991300,27.371639
2010-02-01,31.620001,32.200001,31.280001,31.67,1995000,27.580649
2010-02-02,31.66,32.119999,31.559999,32.110001,674400,27.963835
2010-02-03,31.940001,32.049999,31.290001,31.66,1158300,27.57194
2010-02-04,31.780001,32.810001,31.540001,31.73,3295400,27.632901
2010-02-05,31.530001,31.620001,30.18,30.92,2015500,26.927492
2010-02-08,31.059999,31.24,30.16,30.16,1155700,26.265626
2010-02-09,30.459999,30.790001,30.190001,30.370001,1181000,26.448511
2010-02-10,30.32,30.35,29.92,30.129999,1844300,26.239499
2010-02-11,29.85,30.129999,29.540001,29.76,2199700,25.917276
2010-02-12,29.5,29.870001,29.08,29.860001,1782000,26.004364
2010-02-16,30.280001,30.82,30.049999,30.809999,1079000,26.831695
