Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,25.690001,25.870001,25.4,25.809999,4550800,21.302903
2010-01-05,25.709999,26.219999,25.59,26.18,7023400,21.608292
2010-01-06,25.950001,26.91,25.950001,26.58,7824000,22.064864
2010-01-07,26.530001,27.959999,26.42,27.65,9981500,22.953104
2010-01-08,27.52,27.799999,26.98,27.34,5948300,22.695764
2010-01-11,27.540001,27.540001,27.0,27.34,4074200,22.695764
2010-01-12,27.139999,27.799999,27.139999,27.43,8415800,22.770475
2010-01-13,27.41,28.0,27.34,27.9,5030400,23.160636
2010-01-14,27.75,28.639999,27.75,28.52,5784200,23.675318
2010-01-15,28.290001,28.379999,27.629999,27.76,7970000,23.044418
2010-01-19,27.59,28.190001,27.5,28.17,6210700,23.384772
2010-01-20,27.98,28.629999,27.75,28.5,6385100,23.658715
2010-01-21,28.5,29.85,28.5,29.08,18024900,24.14019
2010-01-22,28.99,29.280001,27.290001,28.15,16433600,23.368169
2010-01-25,28.389999,28.67,27.34,27.57,11303800,22.886693
2010-01-26,27.389999,27.76,26.719999,26.799999,10534100,22.247492
2010-01-27,27.08,28.450001,27.0,28.280001,12624400,23.476087
2010-01-28,28.280001,28.790001,28.049999,28.32,11803700,23.509291
2010-01-29,28.360001,28.5,27.799999,27.870001,7489100,23.135733
2010-02-01,28.0,28.32,27.85,28.219999,6697800,23.426278
2010-02-02,28.25,28.5,27.940001,28.42,8551200,23.592304
2010-02-03,28.25,28.34,27.610001,27.799999,7098300,23.077623
2010-02-04,27.59,27.84,26.82,26.93,9222500,22.35541
2010-02-05,27.030001,27.77,26.76,27.51,8191000,22.836886
2010-02-08,27.5,27.799999,27.110001,27.129999,5785400,22.521435
2010-02-09,27.370001,27.610001,26.940001,27.200001,6255300,22.579546
2010-02-10,27.18,27.74,27.09,27.370001,4674400,22.720668
2010-02-11,27.48,27.48,27.07,27.190001,4456000,22.571244
2010-02-12,27.0,27.219999,26.610001,26.92,6218400,22.347109
2010-02-16,27.139999,27.43,26.879999,27.41,5202500,22.753872
2010-02-17,27.35,27.469999,27.049999,27.219999,4871200,22.596147
2010-02-18,27.059999,27.389999,27.049999,27.25,3649800,22.621052
2010-02-19,27.110001,27.450001,27.1,27.309999,4684500,22.670859
2010-02-22,27.34,28.41,27.200001,28.209999,7221700,23.417976
2010-02-23,28.07,28.34,27.620001,27.75,6083700,23.036117
2010-02-24,27.83,28.690001,27.76,28.48,6612000,23.642112
2010-02-25,28.15,28.27,27.860001,28.23,5600100,23.434579
2010-02-26,28.219999,28.629999,27.99,28.530001,5643900,23.683619
2010-03-01,28.549999,28.59,27.59,27.799999,7718200,23.077623
2010-03-02,27.9,28.08,27.75,27.809999,4871400,23.085924
2010-03-03,27.719999,27.98,27.35,27.379999,6655800,22.728968
2010-03-04,27.879999,28.120001,27.610001,27.809999,6131300,23.085924
2010-03-05,28.030001,28.639999,27.969999,28.530001,6500900,23.683619
2010-03-08,28.51,28.82,28.4,28.709999,4245200,23.833041
2010-03-09,28.540001,29.01,28.299999,28.82,4891000,23.924356
2010-03-10,28.85,29.75,28.809999,29.629999,8718200,24.596761
2010-03-11,29.52,30.459999,29.52,30.42,10564100,25.252565
2010-03-12,30.42,30.950001,30.389999,30.700001,8331800,25.485002
2010-03-15,30.610001,30.870001,30.51,30.780001,6248600,25.551412
2010-03-16,30.84,31.690001,30.76,31.59,8346500,26.223818
2010-03-17,31.65,32.18,31.59,32.16,8175400,26.696992
2010-03-18,32.0,32.389999,31.719999,31.91,8593100,26.489459
2010-03-19,31.85,32.310001,31.6,31.85,7386400,26.439652
2010-03-22,31.57,32.09,31.440001,32.0,4084400,26.564171
2010-03-23,32.0,32.139999,31.540001,32.099998,4567900,26.647183
2010-03-24,31.950001,32.419998,31.92,32.119999,5057300,26.663786
2010-03-25,32.369999,32.93,32.259998,32.290001,5651100,26.804909
