Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,106.18,108.32,105.899998,108.0,3746700,31.507422
2010-01-05,107.619999,109.009998,107.399998,108.839996,3276600,31.752479
2010-01-06,108.569996,109.639996,108.32,108.920002,2470800,31.775819
2010-01-07,108.820004,109.389999,107.619999,107.939999,3049200,31.489918
2010-01-08,107.690002,108.070004,105.799999,108.049999,3692400,31.522009
2010-01-11,108.149998,111.450005,108.149998,110.41,3252900,32.210504
2010-01-12,109.890003,111.770004,108.729996,110.900002,5898000,32.353455
2010-01-13,110.879997,112.259995,110.609997,111.619995,3539700,32.563503
2010-01-14,111.240005,111.579998,109.799995,111.049999,1731900,32.397215
2010-01-15,111.049999,111.049999,108.049999,108.309998,3330300,31.597859
2010-01-19,108.149998,110.910004,107.900002,110.740002,3393000,32.306778
2010-01-20,110.150002,110.430004,107.719997,108.949997,2156400,31.78457
2010-01-21,108.990005,109.369995,104.650005,104.719997,3979800,30.550529
2010-01-22,105.020004,105.16,100.749996,101.260002,4684500,29.541126
2010-01-25,102.199997,103.670002,101.869995,103.5,3771300,30.194613
2010-01-26,102.540001,103.450001,100.300003,100.470005,3578700,29.310656
2010-01-27,100.300003,104.210003,100.300003,103.880001,5362200,30.305473
2010-01-28,105.0,106.730003,98.740002,100.329998,6083700,29.269811
2010-01-29,100.639996,101.929996,98.079998,99.029995,5793300,28.890554
2010-02-01,99.59,101.590004,99.029995,101.449997,3535800,29.596555
2010-02-02,101.310001,102.880005,100.680004,101.790001,3034200,29.695746
2010-02-03,101.420002,102.230003,100.709999,101.829998,2854200,29.707414
2010-02-04,103.410004,103.410004,98.189999,98.279995,5029500,28.671753
2010-02-05,98.430004,99.099998,94.430002,98.000004,6282900,28.590069
2010-02-08,97.950005,98.549995,96.230003,96.299995,3813000,28.094117
2010-02-09,97.799995,98.420002,96.220001,97.219997,4401600,28.362514
2010-02-10,96.700001,98.220005,96.660004,97.300003,2889900,28.385854
2010-02-11,97.130001,98.380005,96.400005,97.990002,2362800,28.587151
2010-02-12,97.360004,98.019997,95.820002,97.859997,3818400,28.549224
2010-02-16,98.640003,99.999996,98.540005,99.980003,3912000,29.167705
2010-02-17,100.02,101.119995,99.779995,100.900005,3474900,29.436102
2010-02-18,100.969997,101.540005,100.269997,101.41,3449700,29.584886
2010-02-19,101.609997,102.290005,100.77,101.609997,4464600,29.643232
2010-02-22,102.230003,102.359997,100.849995,101.360001,2446200,29.570299
2010-02-23,100.780003,101.330006,99.610004,100.030003,3590700,29.182292
2010-02-24,100.419994,101.690002,99.830006,101.650005,3674400,29.654904
2010-02-25,100.5,100.5,98.750004,100.169998,4352100,29.223134
2010-02-26,100.620003,101.919994,100.059998,101.719997,3145800,29.675323
2010-03-01,103.090004,103.090004,101.430004,102.839996,2659800,30.002067
2010-03-02,102.849998,104.279995,102.610004,104.129997,3442800,30.378405
2010-03-03,104.129997,104.950001,103.610001,103.919998,3160500,30.317141
2010-03-04,103.919998,105.770004,103.379997,105.700001,3771600,30.836431
2010-03-05,106.379997,109.400002,106.369995,109.290001,4580100,31.883761
2010-03-08,109.200005,109.450001,107.950001,108.32,3455700,31.600777
2010-03-09,107.580002,108.419998,107.169994,108.16,3471900,31.5541
2010-03-10,108.450005,108.450005,106.859997,107.430004,4466700,31.341134
2010-03-11,107.100002,108.029995,106.470005,107.970005,3079200,31.498672
2010-03-12,108.700001,108.999996,107.929996,108.340004,1921200,31.606613
2010-03-15,108.039997,108.91,107.339996,108.330002,2312400,31.603695
2010-03-16,108.419998,108.999996,107.690002,108.939995,2699400,31.781652
2010-03-17,109.240002,112.529995,109.240002,111.469997,3796800,32.519743
2010-03-18,110.989998,111.810001,110.540005,111.59,3168900,32.554752
2010-03-19,110.370003,112.300003,110.110004,110.370003,4360800,32.198836
2010-03-22,109.450001,111.560005,109.439999,111.419998,3166800,32.505157
2010-03-23,111.359997,112.98,110.700005,112.689995,2783400,32.87566
2010-03-24,112.259995,112.649998,110.609997,110.630001,3867900,32.274687
2010-03-25,111.600002,114.710003,111.130005,112.23,3882300,32.741463
2010-03-26,112.680004,112.680004,110.110004,110.960003,4317000,32.37096
2010-03-29,111.189995,111.469997,110.339996,111.240005,2540100,32.517114
2010-03-30,111.59,111.970001,110.609997,111.700001,3319500,32.651578
2010-03-31,111.070004,111.820004,109.959995,110.900002,2544000,32.417726
2010-04-01,112.560001,113.68,112.269997,113.630001,3978600,33.215745
2010-04-05,114.139996,114.91,113.420002,114.469997,2926800,33.461289
2010-04-06,113.490005,114.739998,113.119995,114.0,2511600,33.323902
2010-04-07,113.389996,113.829998,112.240002,112.830002,3519300,32.981894
2010-04-08,112.909996,113.960003,112.290001,113.540005,2852100,33.189438
2010-04-09,113.549995,115.090004,113.549995,114.820004,2511600,33.563601
2010-04-12,114.409996,115.570004,114.359997,115.059998,3812400,33.633755
2010-04-13,115.090004,119.229996,114.779995,118.830002,6210600,34.735783
2010-04-14,119.41,121.379997,118.730003,121.310005,4185600,35.460725
2010-04-15,121.140003,121.900005,120.290005,121.259995,3159000,35.446106
2010-04-16,120.899998,121.250004,116.900002,118.450001,4141500,34.624703
2010-04-19,117.519997,119.68,116.919994,119.220005,2938200,34.849787
2010-04-20,120.43,120.43,118.470005,119.389996,4043700,34.899478
2010-04-21,118.780003,119.530003,116.850002,117.939995,4588200,34.475621
2010-04-22,116.960003,117.509995,116.009995,117.220001,4981800,34.265156
2010-04-23,117.59,119.860004,117.59,119.640003,3757200,34.972559
2010-04-26,119.509998,119.509998,116.509998,116.609997,3741600,34.086843
2010-04-27,116.179996,116.819996,112.880001,112.969997,3938100,33.022817
2010-04-28,114.209999,115.310005,112.479996,114.199997,4812900,33.382364
2010-04-29,115.319996,118.670002,115.109997,118.34,4263900,34.592548
2010-04-30,117.639999,118.749996,115.510002,115.639996,3319800,33.803297
2010-05-03,116.220005,117.710003,115.639996,117.259998,1959300,34.276848
2010-05-04,115.18,115.620003,112.610001,113.330006,3693600,33.128052
2010-05-05,111.849998,114.199997,110.84,112.429996,3372600,32.864966
2010-05-06,112.209995,114.149998,99.999996,107.189999,9035400,31.333237
2010-05-07,107.239998,107.499996,103.300003,104.52,9318300,30.552756
2010-05-10,109.620003,111.020004,108.650002,110.979996,4862100,32.441109
2010-05-11,109.749996,110.979996,108.839996,109.489998,4690500,32.005561
2010-05-12,109.670002,111.519997,109.119999,111.290005,5685600,32.53173
2010-05-13,110.439995,111.309998,109.489998,109.539997,3741000,32.020176
2010-05-14,108.199997,108.500004,105.049999,106.090004,5159400,31.011692
2010-05-17,106.07,108.16,104.349998,106.599998,5716500,31.160771
2010-05-18,107.719997,108.209999,103.109997,103.790005,6505800,30.339368
2010-05-19,103.329998,105.020004,101.709995,103.780003,4605000,30.336444
2010-05-20,102.049999,102.049999,98.040001,99.049999,9410700,28.953793
2010-05-21,97.450001,103.169998,96.970001,102.729996,8859300,30.029511
2010-05-24,101.210003,101.459999,97.240002,97.350002,7045800,28.456859
2010-05-25,95.390001,97.610001,94.169998,97.389999,7581600,28.468551
2010-05-26,98.299999,98.970005,95.610003,96.049999,5445300,28.076848
2010-05-27,97.259995,99.899998,96.999996,99.789997,5602200,29.170106
