Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,19.92,20.43,19.9,20.24,2171500,18.75698
2010-01-05,19.93,20.32,19.93,20.299999,1481700,18.812583
2010-01-06,20.200001,20.360001,20.16,20.290001,2446700,18.803317
2010-01-07,20.25,20.299999,19.889999,20.02,2832800,18.5531
2010-01-08,20.030001,20.299999,19.879999,20.23,1449200,18.747712
2010-01-11,20.24,20.4,20.1,20.280001,1788100,18.79405
2010-01-12,20.16,20.299999,19.82,19.93,1732800,18.469694
2010-01-13,19.85,20.15,19.75,20.120001,2277300,18.645773
2010-01-14,20.02,20.290001,19.93,20.25,1497900,18.766247
2010-01-15,20.219999,20.4,20.030001,20.16,2327300,18.682841
2010-01-19,20.16,20.24,20.040001,20.129999,1052300,18.655039
2010-01-20,20.02,20.1,19.690001,19.93,1920500,18.469694
2010-01-21,19.99,19.99,18.9,18.969999,4474300,17.580034
2010-01-22,18.91,19.030001,18.280001,18.34,3887000,16.996196
2010-01-25,18.59,18.59,18.25,18.35,2642600,17.005464
2010-01-26,18.15,18.43,18.1,18.1,2569300,16.773782
2010-01-27,18.120001,18.42,18.09,18.35,3089100,17.005464
2010-01-28,18.41,18.549999,18.129999,18.24,1790100,16.903523
2010-01-29,18.27,18.469999,17.99,17.99,3012900,16.671841
2010-02-01,18.15,18.6,18.049999,18.42,4002900,17.070334
2010-02-02,18.459999,18.719999,18.4,18.58,1849600,17.218611
2010-02-03,19.24,19.27,18.719999,19.059999,6138500,17.66344
2010-02-04,18.93,18.93,18.33,18.360001,3812000,17.014731
2010-02-05,18.290001,18.809999,18.290001,18.799999,2936700,17.42249
2010-02-08,18.870001,18.950001,17.99,18.049999,4219400,16.727444
2010-02-09,18.290001,18.52,18.059999,18.200001,5746300,16.866455
2010-02-10,18.15,18.26,17.92,18.09,3922900,16.764514
2010-02-11,18.030001,18.32,17.99,18.15,3077100,16.820117
2010-02-12,18.030001,18.4,17.870001,18.290001,4129200,16.949861
2010-02-16,18.450001,18.620001,18.27,18.549999,3088200,17.190808
2010-02-17,18.610001,18.690001,18.379999,18.57,2380900,17.209343
2010-02-18,18.290001,18.65,18.290001,18.610001,2217700,17.246413
2010-02-19,18.6,18.73,18.49,18.629999,2067300,17.264946
2010-02-22,18.6,18.65,18.51,18.530001,1220800,17.172275
2010-02-23,18.6,18.66,18.389999,18.440001,2142800,17.088869
2010-02-24,18.5,18.709999,18.360001,18.6,2183500,17.237146
2010-02-25,18.299999,18.700001,18.280001,18.67,1968800,17.302016
2010-02-26,18.629999,18.77,18.459999,18.629999,1901000,17.264946
2010-03-01,18.700001,18.809999,18.57,18.799999,1945500,17.42249
2010-03-02,18.959999,19.440001,18.950001,19.25,3351700,17.839519
2010-03-03,19.35,19.57,19.26,19.440001,2537400,18.015598
2010-03-04,19.309999,19.870001,19.309999,19.75,3462000,18.302883
2010-03-05,19.690001,20.110001,19.690001,20.030001,3479400,18.562367
2010-03-08,19.91,20.09,19.75,20.07,2695900,18.599436
2010-03-09,19.93,20.24,19.9,20.15,2598100,18.673574
2010-03-10,20.139999,20.25,20.030001,20.219999,3057500,18.738445
2010-03-11,20.01,20.27,20.01,20.24,1694800,18.75698
2010-03-12,20.280001,20.42,20.24,20.299999,1339200,18.812583
2010-03-15,20.299999,20.309999,19.84,20.280001,2897700,18.79405
2010-03-16,20.27,20.35,20.139999,20.25,2897900,18.766247
2010-03-17,20.35,20.68,20.209999,20.51,2728000,19.007197
2010-03-18,20.629999,20.870001,20.6,20.73,2430600,19.211076
2010-03-19,20.860001,21.07,20.620001,21.030001,4298900,19.489096
2010-03-22,20.83,20.91,20.5,20.799999,2298000,19.275947
2010-03-23,20.74,20.959999,20.709999,20.940001,1846100,19.40569
2010-03-24,20.799999,21.110001,20.74,20.99,2316500,19.452026
2010-03-25,21.02,21.209999,20.940001,20.969999,2201000,19.433491
2010-03-26,21.299999,21.299999,20.85,21.049999,2047000,19.507629
2010-03-29,21.08,21.23,21.040001,21.16,1412100,19.60957
2010-03-30,21.190001,21.290001,21.02,21.059999,1518500,19.516896
2010-03-31,20.9,21.33,20.9,21.120001,1991400,19.572501
2010-04-01,21.290001,21.35,21.0,21.15,2004500,19.600302
2010-04-05,21.27,21.67,21.209999,21.610001,2405500,20.026598
2010-04-06,21.57,21.709999,21.5,21.690001,2696600,20.100736
2010-04-07,21.58,21.66,21.32,21.42,2390700,19.850519
2010-04-08,21.41,21.809999,21.290001,21.709999,2217700,20.119269
2010-04-09,21.68,21.91,21.540001,21.91,2285300,20.304616
2010-04-12,21.889999,22.120001,21.809999,22.040001,1843100,20.425091
2010-04-13,22.040001,22.07,21.719999,21.99,2165500,20.378754
2010-04-14,22.110001,22.32,21.93,22.309999,2008400,20.675307
2010-04-15,22.24,22.280001,21.969999,22.18,2969800,20.554833
2010-04-16,22.120001,22.17,21.360001,21.4,5995800,19.831984
2010-04-19,21.280001,21.58,21.129999,21.58,3351100,19.998796
2010-04-20,21.610001,21.9,21.559999,21.709999,2835100,20.119269
2010-04-21,21.709999,21.889999,21.57,21.84,3704900,20.239745
2010-04-22,21.58,22.26,21.450001,22.26,3637900,20.628971
2010-04-23,22.16,22.780001,22.139999,22.68,3142800,21.018197
2010-04-26,22.68,23.110001,22.49,22.959999,2983600,21.27768
2010-04-27,22.42,22.58,21.75,21.77,5244400,20.174874
2010-04-28,21.92,22.299999,21.17,21.190001,4816200,19.637372
2010-04-29,21.450001,21.940001,21.219999,21.84,4294000,20.239745
2010-04-30,20.84,21.389999,20.6,21.0,7057200,19.461293
2010-05-03,21.280001,21.42,20.780001,21.110001,2626900,19.563234
2010-05-04,20.860001,20.9,20.33,20.4,3348800,18.905256
2010-05-05,20.129999,21.030001,19.92,20.860001,4141600,19.331552
2010-05-06,20.84,21.040001,19.5,20.15,4389500,18.673574
2010-05-07,20.07,20.209999,18.969999,19.120001,9211100,17.719045
2010-05-10,19.870001,19.99,19.57,19.620001,6522200,18.182409
2010-05-11,19.5,19.99,19.280001,19.610001,4350500,18.173142
2010-05-12,19.790001,20.15,19.690001,20.040001,2223000,18.571635
2010-05-13,20.049999,20.15,19.83,19.83,1723700,18.377021
2010-05-14,19.73,19.73,19.290001,19.639999,3536000,18.200942
2010-05-17,19.73,19.85,19.219999,19.65,2640600,18.21021
2010-05-18,19.82,19.870001,19.030001,19.049999,4037500,17.654172
2010-05-19,19.030001,19.360001,18.66,19.120001,3879700,17.719045
2010-05-20,18.58,18.74,18.059999,18.08,8111900,16.755247
2010-05-21,17.799999,18.77,17.790001,18.77,6488400,17.39469
2010-05-24,18.75,18.9,18.34,18.360001,4731900,17.014731
2010-05-25,17.790001,18.34,17.540001,18.299999,4206200,16.959126
2010-05-26,18.4,18.67,18.25,18.280001,3544200,16.940593
2010-05-27,18.549999,18.93,18.469999,18.93,2459300,17.542966
2010-05-28,18.9,18.950001,18.5,18.59,2793200,17.227878
2010-06-01,18.58,18.889999,18.35,18.389999,3271000,17.042532
2010-06-02,18.549999,18.73,18.35,18.73,2492800,17.35762
2010-06-03,18.860001,18.9,18.6,18.77,2237900,17.39469
2010-06-04,18.42,18.6,18.4,18.43,4293100,17.079602
2010-06-07,18.540001,18.82,18.209999,18.219999,3075600,16.884988
2010-06-08,18.27,18.42,17.83,18.25,3309700,16.912791
2010-06-09,18.299999,18.700001,18.25,18.299999,3471300,16.959126
2010-06-10,18.610001,19.02,18.5,18.98,2425100,17.589302
2010-06-11,18.700001,19.200001,18.66,19.15,1782100,17.746846
2010-06-14,19.440001,19.5,19.09,19.1,1989000,17.70051
2010-06-15,19.34,19.700001,19.27,19.690001,2786200,18.24728
2010-06-16,19.65,19.67,19.360001,19.540001,1657500,18.108271
2010-06-17,19.530001,19.549999,19.07,19.33,1644000,17.913657
2010-06-18,19.440001,19.440001,19.120001,19.17,2402000,17.765381
2010-06-21,19.35,19.43,18.91,19.0,2216600,17.607837
2010-06-22,18.99,19.16,18.66,18.67,2078100,17.302016
2010-06-23,18.790001,18.92,18.530001,18.58,1748200,17.218611
2010-06-24,18.51,18.68,18.299999,18.34,2261800,16.996196
2010-06-25,18.469999,19.02,18.4,18.889999,3294600,17.505896
2010-06-28,18.940001,19.110001,18.85,18.860001,2177200,17.478095
2010-06-29,18.52,18.57,17.99,18.049999,2661400,16.727444
2010-06-30,18.01,18.23,17.77,17.780001,2840600,16.477229
2010-07-01,17.889999,18.17,17.450001,17.700001,3021700,16.403091
2010-07-02,17.74,17.860001,17.299999,17.299999,2083800,16.032398
2010-07-06,17.52,17.75,17.18,17.360001,2921100,16.088003
2010-07-07,17.459999,17.82,17.299999,17.790001,2921600,16.486496
2010-07-08,17.959999,18.059999,17.76,17.959999,1851800,16.644038
2010-07-09,17.9,18.26,17.870001,18.200001,1894100,16.866455
2010-07-12,18.15,18.24,18.02,18.15,1395200,16.820117
2010-07-13,18.33,18.440001,18.07,18.280001,2987300,16.940593
2010-07-14,18.280001,18.299999,17.950001,18.120001,1811700,16.792317
2010-07-15,18.07,18.23,17.82,18.139999,1195100,16.81085
2010-07-16,17.940001,18.1,17.540001,17.610001,2621200,16.319685
2010-07-19,17.66,17.780001,17.5,17.709999,1437000,16.412356
2010-07-20,17.51,18.18,17.42,18.15,2303900,16.820117
2010-07-21,18.4,18.4,17.76,17.780001,1922800,16.477229
2010-07-22,18.0,18.49,17.950001,18.4,1906100,17.051799
2010-07-23,18.440001,18.68,18.110001,18.629999,1592500,17.264946
2010-07-26,18.700001,19.030001,18.530001,19.0,1598100,17.607837
2010-07-27,19.52,20.1,19.43,19.49,4258500,18.061933
2010-07-28,19.84,19.889999,19.299999,19.34,2230800,17.922924
2010-07-29,19.4,19.6,19.09,19.459999,2094300,18.034131
2010-07-30,19.26,19.540001,19.09,19.469999,3636200,18.043398
2010-08-02,19.719999,20.16,19.49,20.1,2490900,18.627238
2010-08-03,20.059999,20.15,19.950001,20.040001,2136500,18.571635
2010-08-04,20.030001,20.27,19.959999,20.16,2451400,18.682841
2010-08-05,19.99,20.370001,19.860001,20.309999,2246300,18.82185
2010-08-06,20.09,20.299999,19.950001,20.209999,2027400,18.729177
2010-08-09,20.209999,20.5,20.15,20.48,2224500,18.979394
2010-08-10,20.299999,20.540001,20.049999,20.35,2832600,18.85892
2010-08-11,20.02,20.139999,19.65,19.76,2875300,18.31215
2010-08-12,19.5,20.129999,19.5,19.959999,3158700,18.497495
2010-08-13,19.889999,20.24,19.889999,19.940001,2095000,18.478962
2010-08-16,19.92,20.18,19.780001,20.15,2594100,18.673574
2010-08-17,20.32,20.4,20.129999,20.129999,2164500,18.655039
2010-08-18,20.129999,20.280001,19.940001,20.15,2366700,18.673574
2010-08-19,20.02,20.15,19.67,19.700001,3161500,18.256547
2010-08-20,19.59,19.620001,19.33,19.51,1645000,18.080468
2010-08-23,19.549999,19.629999,19.370001,19.42,1232200,17.997063
2010-08-24,19.25,19.25,18.809999,18.85,3504300,17.468828
2010-08-25,18.68,18.77,18.389999,18.67,4487200,17.302016
2010-08-26,18.51,18.65,18.18,18.32,4101300,16.977661
2010-08-27,18.5,18.549999,18.17,18.540001,3540900,17.181543
2010-08-30,18.43,18.540001,18.09,18.09,1782700,16.764514
2010-08-31,18.0,18.08,17.809999,17.91,3952200,16.597703
2010-09-01,18.139999,18.5,18.02,18.49,2283600,17.135205
