Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,19.209999,19.85,18.91,19.780001,14023600,18.125952
2010-01-05,19.389999,19.73,19.27,19.719999,13248300,18.070968
2010-01-06,19.639999,19.68,19.23,19.360001,10143700,17.741073
2010-01-07,19.1,19.389999,18.67,19.290001,19494500,17.676927
2010-01-08,19.18,19.24,18.969999,19.16,9655100,17.557797
2010-01-11,19.280001,19.280001,18.98,19.110001,9586600,17.511979
2010-01-12,19.0,19.43,18.959999,19.09,11449100,17.493651
2010-01-13,19.17,19.190001,18.950001,19.1,12530900,17.502815
2010-01-14,19.0,19.34,18.959999,19.18,6612800,17.576125
2010-01-15,19.02,19.16,18.77,19.0,13235600,17.411177
2010-01-19,19.0,19.41,18.91,19.290001,10795900,17.676927
2010-01-20,18.780001,19.110001,18.65,19.02,28242900,17.429505
2010-01-21,19.040001,19.309999,18.790001,19.15,49512700,17.548633
2010-01-22,19.139999,19.26,18.76,18.82,26803300,17.246228
2010-01-25,19.01,19.1,18.84,18.959999,12216000,17.374521
2010-01-26,18.879999,19.09,18.620001,18.629999,13896700,17.072116
2010-01-27,18.73,18.82,18.469999,18.74,16489200,17.172918
2010-01-28,18.809999,18.809999,18.33,18.42,14864700,16.879678
2010-01-29,18.66,18.690001,18.18,18.290001,10510700,16.760549
2010-02-01,18.450001,18.51,18.309999,18.440001,8519200,16.898006
2010-02-02,18.200001,18.549999,18.129999,18.23,15495600,16.705565
2010-02-03,18.299999,18.4,18.040001,18.17,12133500,16.650583
2010-02-04,18.030001,18.120001,17.5,17.59,28299200,16.119084
2010-02-05,17.559999,18.08,17.559999,18.07,19732000,16.558945
2010-02-08,18.049999,18.09,17.709999,17.719999,14734000,16.238213
2010-02-09,17.879999,17.98,17.440001,17.5,16020900,16.03661
2010-02-10,17.49,18.02,17.389999,17.870001,26045100,16.432009
2010-02-11,17.85,17.92,17.59,17.68,9711700,16.257298
2010-02-12,17.75,17.77,17.48,17.610001,15981100,16.192931
2010-02-16,17.620001,17.83,17.549999,17.809999,8150700,16.376836
2010-02-17,17.870001,17.9,17.5,17.74,10138300,16.312469
2010-02-18,17.610001,17.870001,17.6,17.809999,10787000,16.376836
2010-02-19,18.15,18.84,18.120001,18.73,26144900,17.222804
2010-02-22,18.700001,18.870001,18.58,18.709999,14953500,17.204413
2010-02-23,18.629999,18.719999,18.360001,18.41,11761700,16.928554
2010-02-24,18.370001,18.540001,18.360001,18.43,9636400,16.946945
2010-02-25,18.219999,18.280001,18.02,18.26,11696400,16.790625
2010-02-26,18.35,18.379999,18.1,18.309999,11311000,16.836601
2010-03-01,18.24,18.389999,18.219999,18.25,7913800,16.78143
2010-03-02,18.26,18.35,18.07,18.26,5904800,16.790625
2010-03-03,18.280001,18.42,18.09,18.120001,10580800,16.661891
2010-03-04,18.18,18.690001,18.15,18.43,7293200,16.946945
2010-03-05,18.48,18.959999,18.43,18.959999,8003800,17.434295
2010-03-08,18.93,19.110001,18.83,19.040001,7081200,17.507859
2010-03-09,19.030001,19.110001,18.780001,18.969999,6132400,17.443491
2010-03-10,18.99,19.17,18.9,19.059999,8201800,17.526249
2010-03-11,19.0,19.129999,18.75,19.1,7653800,17.563031
2010-03-12,18.889999,18.950001,18.33,18.43,19925100,16.946945
2010-03-15,18.33,18.5,18.15,18.24,16563200,16.772234
2010-03-16,18.309999,18.540001,18.209999,18.469999,15542900,16.983726
2010-03-17,18.27,18.6,18.27,18.49,13029800,17.002117
2010-03-18,18.389999,18.82,18.389999,18.790001,8925500,17.277977
2010-03-19,18.83,18.959999,18.58,18.58,14262400,17.084875
2010-03-22,18.51,18.66,18.4,18.540001,7779700,17.048094
2010-03-23,18.58,18.690001,18.43,18.52,9209400,17.029703
2010-03-24,18.49,18.559999,18.200001,18.450001,8590700,16.965336
2010-03-25,18.48,18.879999,18.379999,18.719999,11928700,17.213608
2010-03-26,18.77,18.91,18.59,18.76,13440500,17.25039
2010-03-29,18.76,18.940001,18.68,18.73,11824500,17.222804
2010-03-30,18.700001,18.809999,18.549999,18.75,8654100,17.241195
2010-03-31,18.690001,18.780001,18.52,18.690001,10355600,17.186024
