Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,18.52,18.75,18.450001,18.719999,2555900,16.14249
2010-01-05,18.639999,18.84,18.450001,18.59,3505000,16.030391
2010-01-06,18.549999,18.66,18.33,18.4,3423100,15.866551
2010-01-07,18.33,18.469999,18.18,18.4,5076400,15.866551
2010-01-08,18.360001,18.370001,18.08,18.200001,2865600,15.694089
2010-01-11,18.360001,18.4,18.190001,18.280001,3598200,15.763074
2010-01-12,18.0,18.0,17.280001,17.360001,10797500,14.969746
2010-01-13,17.34,17.74,17.27,17.51,4770400,15.099093
2010-01-14,17.49,17.58,17.09,17.459999,8226100,15.055976
2010-01-15,17.309999,17.379999,17.0,17.09,5619300,14.736922
2010-01-19,17.08,17.700001,17.0,17.610001,4660800,15.185325
2010-01-20,17.360001,17.610001,17.23,17.52,3589500,15.107716
2010-01-21,17.52,17.719999,16.959999,17.34,5895200,14.9525
2010-01-22,17.389999,17.389999,16.42,16.48,4567600,14.210911
2010-01-25,16.780001,16.91,16.52,16.74,3413300,14.435112
2010-01-26,16.67,17.34,16.559999,16.74,4608300,14.435112
2010-01-27,16.74,17.08,16.49,16.99,3339600,14.65069
2010-01-28,17.08,17.08,16.66,16.75,4069700,14.443735
2010-01-29,16.92,17.16,16.68,16.77,4546200,14.460982
2010-02-01,16.75,17.09,16.639999,16.879999,3285200,14.555835
2010-02-02,16.93,17.52,16.799999,17.33,4282200,14.943877
2010-02-03,17.25,17.34,17.09,17.139999,2657900,14.780037
2010-02-04,17.02,17.02,16.309999,16.41,6716100,14.150549
2010-02-05,16.379999,16.549999,15.91,16.459999,4760900,14.193664
2010-02-08,16.469999,16.85,16.290001,16.51,4793200,14.23678
2010-02-09,16.76,17.049999,16.549999,17.02,3975700,14.67656
2010-02-10,16.799999,17.34,16.719999,16.969999,6706700,14.633443
2010-02-11,17.030001,17.719999,16.870001,17.620001,5938200,15.193948
2010-02-12,17.34,17.66,17.049999,17.639999,3811600,15.211193
2010-02-16,17.75,18.1,17.6,18.08,3259400,15.590611
2010-02-17,18.09,18.27,17.85,18.040001,4596100,15.556119
2010-02-18,17.98,18.389999,17.870001,18.360001,3219900,15.832059
2010-02-19,18.299999,18.51,18.16,18.42,3521700,15.883797
2010-02-22,18.379999,18.5,18.290001,18.389999,2504000,15.857927
2010-02-23,18.18,18.299999,17.969999,18.040001,4099500,15.556119
2010-02-24,18.059999,18.41,18.02,18.389999,3562200,15.857927
2010-02-25,18.040001,18.360001,17.92,18.299999,2648200,15.780319
2010-02-26,18.309999,18.360001,18.040001,18.27,2920800,15.754451
2010-03-01,18.35,18.629999,18.280001,18.58,2572100,16.021767
2010-03-02,18.65,18.92,18.549999,18.809999,4380000,16.220099
