Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,58.990002,58.990002,57.639998,58.289998,11467500,26.85414
2010-01-05,58.309999,58.309999,57.709998,57.889997,5993700,26.66986
2010-01-06,58.0,58.39,57.729999,58.089998,5229300,26.762
2010-01-07,58.01,59.199999,57.919999,59.029997,6279400,27.195057
2010-01-08,59.100001,59.399996,58.84,59.169997,5171300,27.259555
2010-01-11,59.230001,59.230001,58.729998,58.83,5439400,27.102918
2010-01-12,58.729998,60.159996,58.589997,59.760002,9434000,27.531369
2010-01-13,59.899995,60.559997,59.760002,60.37,7932500,27.812395
2010-01-14,60.790002,61.879999,60.5,61.709996,11379900,28.42973
2010-01-15,61.540001,61.839997,60.719998,61.569996,8236000,28.365231
2010-01-19,60.159996,61.629999,60.12,61.439996,10666500,28.30534
2010-01-20,61.339997,61.839997,60.079998,60.799996,8736200,28.010493
2010-01-21,60.910002,60.910002,59.35,59.6,7913100,27.457656
2010-01-22,59.380002,59.799997,58.659998,58.739998,7451600,27.061455
2010-01-25,58.970001,59.929997,58.77,58.96,6397600,27.162809
2010-01-26,58.749999,59.319999,58.599998,59.059998,5531600,27.208878
2010-01-27,59.129995,59.360001,57.979999,58.909997,8232500,27.139773
2010-01-28,57.68,58.719997,56.519999,58.2,11958900,26.812678
2010-01-29,58.229999,58.51,57.519998,57.589998,6105800,26.531651
2010-02-01,57.56,57.87,56.98,57.859999,6613000,26.65604
2010-02-02,57.81,58.529997,57.61,58.469998,5410800,26.937066
2010-02-03,58.25,58.38,57.389998,57.49,6740400,26.485582
2010-02-04,57.209999,57.339999,56.34,56.34,10924600,25.955778
2010-02-05,56.27,56.879998,56.049998,56.59,8389000,26.070953
2010-02-08,56.619998,56.85,56.319999,56.359998,5257100,25.964991
2010-02-09,56.709999,57.17,56.09,56.379999,5890800,25.974205
2010-02-10,56.449999,56.699999,55.900001,56.129999,6289000,25.859031
2010-02-11,56.179998,56.259999,55.779997,56.01,8654700,25.803747
2010-02-12,55.89,55.999999,55.289999,55.919998,7184600,25.762283
2010-02-16,56.14,56.989997,56.01,56.939998,6274800,26.232196
2010-02-17,57.139998,57.909999,57.079999,57.649998,8283200,26.559293
2010-02-18,57.459998,57.819997,57.179997,57.379997,5374900,26.434904
2010-02-19,57.379997,57.649998,56.899999,57.539999,7192400,26.508616
2010-02-22,57.699998,57.889997,57.079999,57.74,7768200,26.600756
2010-02-23,57.659999,57.729999,56.91,56.959999,7117400,26.241411
2010-02-24,57.249997,57.699998,56.949998,57.599999,4954300,26.536258
2010-02-25,57.329998,57.42,56.669997,57.089999,8144500,26.301302
2010-02-26,57.119997,57.349999,56.609997,56.929997,7998700,26.227589
