Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,40.259998,40.630001,40.259998,40.349998,546500,39.319505
2010-01-05,40.200001,40.200001,38.540001,38.790001,1387400,37.799348
2010-01-06,38.98,39.200001,37.880001,38.299999,1742200,37.321861
2010-01-07,38.139999,38.240002,37.740002,37.990002,601300,37.01978
2010-01-08,38.02,38.150002,37.459999,37.779999,631700,36.815141
2010-01-11,38.59,39.509998,38.23,39.439999,1289800,38.432746
2010-01-12,39.860001,41.529999,39.860001,41.110001,1353800,40.060098
2010-01-13,41.290001,42.200001,41.220001,41.91,885400,40.839666
2010-01-14,41.700001,42.150002,41.650002,42.130001,550800,41.054049
2010-01-15,42.16,42.32,41.82,42.150002,762500,41.073538
2010-01-19,42.139999,43.110001,42.02,43.009998,1044200,41.911572
2010-01-20,42.740002,42.880001,42.150002,42.779999,581100,41.687446
2010-01-21,42.869999,43.099998,42.169998,42.549999,725900,41.463321
2010-01-22,42.48,43.060001,42.259998,42.560001,959300,41.473067
2010-01-25,42.650002,42.689999,41.540001,41.580002,847100,40.518096
2010-01-26,41.369999,42.799999,41.25,42.5,1191600,41.414598
2010-01-27,42.439999,43.169998,42.439999,43.049999,838500,41.950551
2010-01-28,43.060001,43.82,42.82,43.529999,764200,42.418292
2010-01-29,43.700001,44.59,43.48,44.279999,1116100,43.149138
2010-02-01,44.459999,44.830002,43.709999,44.200001,1243000,43.071183
2010-02-02,43.279999,46.099998,43.099998,45.919998,3031500,44.747254
2010-02-03,45.290001,46.900002,45.049999,46.27,1630200,45.088317
2010-02-04,46.099998,46.48,45.77,45.779999,1229800,44.61083
2010-02-05,45.880001,45.91,44.700001,45.290001,1243000,44.133346
2010-02-08,45.41,46.18,45.200001,45.740002,1015800,44.571854
2010-02-09,46.25,46.669998,46.040001,46.32,1032700,45.13704
2010-02-10,46.27,46.27,45.700001,45.810001,439300,44.640066
2010-02-11,45.68,47.259998,45.009998,47.060001,1323100,45.858143
2010-02-12,46.91,48.630001,46.360001,48.549999,2082100,47.310088
2010-02-16,48.98,48.98,48.349998,48.470001,991400,47.232133
2010-02-17,48.419998,48.709999,47.880001,48.119999,1103300,46.891069
2010-02-18,48.119999,49.23,47.970001,49.200001,1217800,47.943489
2010-02-19,49.310001,50.16,49.150002,49.880001,1218400,48.606123
2010-02-22,49.650002,49.650002,48.610001,49.200001,971400,47.943489
2010-02-23,49.150002,49.310001,48.759998,48.970001,929600,47.719363
2010-02-24,48.630001,49.040001,48.43,48.709999,857700,47.527146
2010-02-25,48.490002,50.02,48.439999,49.650002,1510500,48.444321
2010-02-26,49.790001,49.959999,49.32,49.57,571600,48.366262
2010-03-01,50.360001,51.330002,50.349998,51.16,1218800,49.917651
2010-03-02,51.389999,52.720001,51.259998,52.68,1314100,51.400741
2010-03-03,52.619999,52.73,51.860001,52.240002,905000,50.971427
2010-03-04,52.400002,52.48,51.150002,51.279999,1109600,50.034736
2010-03-05,51.630001,51.849998,49.849998,50.73,2312900,49.498093
2010-03-08,50.740002,50.990002,49.509998,50.139999,1747600,48.92242
2010-03-09,49.959999,49.98,49.200001,49.330002,1432100,48.132092
2010-03-10,49.169998,50.139999,49.119999,50.099998,903500,48.883391
2010-03-11,50.099998,50.900002,50.0,50.77,844700,49.537123
2010-03-12,50.77,50.939999,50.279999,50.68,514300,49.449308
2010-03-15,50.549999,50.98,50.310001,50.939999,830000,49.702993
2010-03-16,51.110001,51.580002,50.970001,51.52,498000,50.26891
2010-03-17,51.830002,51.849998,49.759998,50.060001,1698900,48.844365
2010-03-18,50.25,50.299999,49.82,50.189999,648800,48.971205
2010-03-19,50.279999,50.48,49.84,50.380001,910900,49.156594
2010-03-22,50.32,51.41,50.299999,51.130001,425700,49.888381
2010-03-23,54.209999,57.490002,53.639999,57.200001,5727700,55.81098
2010-03-24,57.27,57.959999,56.459999,57.799999,2279500,56.396408
2010-03-25,57.950001,58.669998,56.41,56.529999,2023100,55.157248
2010-03-26,56.669998,56.84,55.91,56.790001,981300,55.410936
2010-03-29,57.009998,58.220001,57.0,58.220001,798300,56.806211
2010-03-30,58.200001,59.25,58.0,58.68,1049700,57.255039
2010-03-31,58.75,59.740002,58.650002,58.720001,899900,57.294069
2010-04-01,59.380001,59.639999,58.880001,59.080002,705400,57.645327
2010-04-05,59.360001,61.41,59.27,61.009998,932200,59.528457
2010-04-06,60.700001,61.099998,60.060001,60.689999,682600,59.216228
2010-04-07,60.330002,60.450001,59.139999,59.580002,992500,58.133186
2010-04-08,59.049999,59.09,58.0,59.0,781400,57.567268
2010-04-09,59.060001,59.279999,58.549999,59.0,466800,57.567268
2010-04-12,59.290001,59.98,58.82,59.91,894400,58.45517
2010-04-13,59.98,60.919998,59.799999,60.77,795400,59.294287
2010-04-14,60.990002,61.43,60.470001,60.990002,647000,59.508946
2010-04-15,60.869999,62.349998,60.75,61.98,715600,60.474903
2010-04-16,61.98,62.23,59.880001,60.349998,975800,58.884484
2010-04-19,60.0,60.490002,58.900002,59.470001,913900,58.025856
2010-04-20,59.830002,60.150002,59.450001,60.0,526800,58.542985
2010-04-21,60.080002,60.080002,58.669998,59.07,537700,57.635568
2010-04-22,58.889999,60.400002,58.0,59.869999,1059400,58.416141
2010-04-23,60.07,60.889999,59.599998,60.580002,909100,59.108902
2010-04-26,59.82,60.639999,59.82,60.240002,837900,58.777158
2010-04-27,59.830002,60.290001,58.689999,59.419998,912100,57.977067
2010-04-28,59.27,59.279999,58.060001,59.040001,1207000,57.606298
2010-04-29,59.27,64.589996,59.119999,63.470001,3449600,61.928722
2010-04-30,63.220001,63.34,61.02,61.139999,1343700,59.655301
2010-05-03,60.900002,63.110001,60.810001,62.869999,1175700,61.34329
2010-05-04,62.009998,62.380001,61.439999,61.959999,797500,60.455388
2010-05-05,61.16,61.900002,59.810001,61.669998,964800,60.172429
2010-05-06,61.380001,61.959999,54.040001,59.330002,1409100,57.889257
2010-05-07,59.279999,60.0,57.220001,57.57,1481600,56.171994
2010-05-10,60.25,62.360001,60.25,61.98,1282000,60.474903
2010-05-11,61.0,63.740002,60.610001,63.43,1641500,61.889692
2010-05-12,63.610001,64.660004,63.52,64.349998,1603100,62.78735
2010-05-13,64.080002,64.080002,62.150002,62.450001,1067200,60.933491
2010-05-14,62.040001,62.209999,60.34,60.509998,1015000,59.040598
2010-05-17,60.84,61.32,59.060001,59.970001,1018500,58.513714
2010-05-18,60.509998,60.849998,58.459999,58.509998,949600,57.089166
2010-05-19,58.459999,59.380001,57.549999,58.299999,1155900,56.884266
2010-05-20,57.66,57.810001,54.919998,56.049999,2215600,54.688904
2010-05-21,55.209999,58.700001,54.169998,58.59,1947700,57.167225
2010-05-24,58.299999,58.650002,56.880001,57.040001,987800,55.654865
2010-05-25,55.599998,56.25,53.099998,56.099998,2235000,54.737689
2010-05-26,57.060001,59.490002,56.82,58.099998,2374800,56.752856
2010-05-27,59.029999,60.5,59.029999,60.240002,1952400,58.843239
2010-05-28,60.09,60.720001,59.369999,59.41,1536100,58.032483
2010-06-01,57.349998,59.130001,56.5,56.52,1861000,55.209492
2010-06-02,56.900002,57.959999,56.639999,57.490002,1227100,56.157003
2010-06-03,57.75,59.32,57.509998,58.900002,1736300,57.534309
2010-06-04,57.709999,58.759998,56.860001,56.98,1766100,55.658826
2010-06-07,56.799999,57.529999,55.709999,55.82,1434300,54.525722
2010-06-08,55.889999,57.669998,55.240002,57.669998,1620900,56.332826
2010-06-09,57.360001,59.689999,57.360001,58.34,1557600,56.987293
2010-06-10,59.009998,59.889999,58.77,59.59,718600,58.208309
2010-06-11,58.970001,60.650002,58.900002,59.900002,865800,58.511123
2010-06-14,60.57,60.689999,59.650002,59.759998,809000,58.374366
2010-06-15,60.07,60.290001,59.279999,60.18,737000,58.784629
2010-06-16,59.700001,59.779999,58.810001,59.23,1160900,57.856656
2010-06-17,59.48,59.779999,58.82,59.419998,455600,58.042249
2010-06-18,59.43,60.0,58.669998,58.77,652200,57.407323
2010-06-21,59.450001,60.91,59.450001,59.970001,1211800,58.579499
2010-06-22,60.23,60.709999,59.060001,59.150002,717900,57.778513
2010-06-23,59.52,60.389999,57.91,58.549999,946800,57.192422
2010-06-24,57.73,58.27,57.150002,57.779999,931800,56.440276
2010-06-25,58.0,59.369999,57.610001,59.189999,1499200,57.817582
2010-06-28,59.25,59.360001,57.810001,59.299999,1011100,57.925032
2010-06-29,58.869999,60.16,58.200001,59.209999,2168100,57.837119
2010-06-30,59.279999,60.16,58.900002,59.07,1299600,57.700366
2010-07-01,59.18,59.18,56.310001,57.490002,1613500,56.157003
2010-07-02,57.610001,58.82,56.869999,57.25,1029300,55.922566
2010-07-06,57.880001,58.779999,56.849998,57.060001,1120200,55.736973
2010-07-07,55.849998,56.490002,54.900002,56.439999,2410700,55.131346
2010-07-08,56.849998,57.939999,56.82,57.5,875900,56.166769
2010-07-09,57.529999,58.119999,56.75,58.049999,720500,56.704016
2010-07-12,58.040001,58.150002,56.439999,56.880001,973800,55.561146
2010-07-13,57.490002,57.970001,57.07,57.34,744300,56.010479
2010-07-14,56.849998,57.349998,56.290001,57.110001,568100,55.785812
2010-07-15,57.0,58.950001,56.889999,58.799999,1117900,57.436626
2010-07-16,58.549999,58.900002,57.139999,57.290001,977700,55.961639
2010-07-19,56.040001,56.299999,54.619999,55.279999,3229700,53.998242
2010-07-20,54.939999,55.75,54.709999,55.580002,1430300,54.291289
