Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,34.82,35.279999,34.400002,34.869999,1802400,8.343807
2010-01-05,34.759998,36.939999,34.759998,36.779999,3052800,8.800838
2010-01-06,36.25,37.139999,36.200001,36.450001,2994000,8.721875
2010-01-07,36.549999,37.68,36.16,36.259998,2887200,8.67641
2010-01-08,36.23,36.860001,35.240002,35.540001,2457600,8.504127
2010-01-11,35.830002,35.950001,34.849998,35.32,2324000,8.451484
2010-01-12,35.099998,36.200001,35.009998,36.110001,1866800,8.640518
2010-01-13,36.330002,37.599998,35.950001,37.34,1442000,8.934837
2010-01-14,37.389999,37.77,37.209999,37.400002,1028400,8.949194
2010-01-15,36.73,36.779999,35.650002,36.060001,2452800,8.628554
2010-01-19,36.189999,37.200001,35.990002,37.169998,1736400,8.894158
2010-01-20,36.75,37.200001,36.080002,37.0,2017200,8.85348
2010-01-21,37.200001,37.950001,36.84,37.23,2466000,8.908515
2010-01-22,37.23,37.57,35.93,36.049999,1602400,8.626161
2010-01-25,36.259998,36.799999,36.16,36.509998,1302800,8.736231
2010-01-26,36.299999,36.580002,35.450001,35.48,1676000,8.48977
2010-01-27,35.360001,36.669998,34.939999,36.5,2150800,8.733839
2010-01-28,35.560001,36.0,32.580002,32.59,7360000,7.798241
2010-01-29,32.790001,32.990002,31.24,31.34,3382800,7.499137
2010-02-01,31.370001,32.009998,31.24,31.969999,1856800,7.649885
2010-02-02,32.099998,33.25,32.040001,33.25,2856000,7.956168
2010-02-03,33.16,33.560001,32.689999,33.259998,3080400,7.95856
2010-02-04,32.139999,32.57,31.639999,32.0,5684800,7.657064
2010-02-05,31.9,32.34,31.51,32.16,3012000,7.695349
2010-02-08,32.07,32.91,31.879999,32.389999,2164800,7.750384
2010-02-09,32.900002,33.700001,32.77,33.369999,2364400,7.984882
2010-02-10,33.150002,33.220001,31.59,31.76,2656800,7.599636
2010-02-11,31.799999,32.650002,31.6,32.330002,3575200,7.736028
2010-02-12,32.18,32.82,31.43,32.75,2327200,7.836526
2010-02-16,33.169998,34.25,32.990002,34.009998,1916000,8.138023
2010-02-17,34.25,34.5,33.849998,34.25,1792000,8.195451
2010-02-18,34.310001,35.59,34.220001,35.560001,2375600,8.508913
2010-02-19,35.52,36.849998,35.360001,36.490002,3352400,8.731446
2010-02-22,36.529999,37.18,35.470001,35.529999,2300800,8.501734
2010-02-23,35.459999,35.91,34.73,34.919998,1634400,8.355771
2010-02-24,34.91,35.299999,34.700001,34.950001,1399600,8.36295
2010-02-25,34.080002,34.740002,34.040001,34.619999,1677600,8.283986
2010-02-26,34.720001,35.119999,34.419998,35.0,1939600,8.374914
2010-03-01,35.220001,37.5,35.209999,37.169998,4232000,8.894158
2010-03-02,37.450001,37.720001,36.209999,36.259998,2903200,8.67641
2010-03-03,36.450001,36.900002,35.990002,36.619999,1382400,8.762552
2010-03-04,36.560001,36.82,35.709999,36.23,1340400,8.669232
2010-03-05,36.57,37.169998,36.25,37.150002,2717600,8.889373
2010-03-08,37.0,37.57,35.959999,36.099998,2030800,8.638125
2010-03-09,36.099998,37.970001,36.099998,37.959999,4521600,9.083192
2010-03-10,37.919998,40.380001,37.919998,40.099998,5502000,9.595258
2010-03-11,39.900002,40.470001,39.75,40.380001,3516400,9.662258
2010-03-12,40.25,40.639999,39.790001,40.560001,2555600,9.705329
2010-03-15,40.27,41.16,40.259998,40.790001,2671200,9.760364
2010-03-16,40.77,40.91,40.139999,40.32,2453600,9.647901
2010-03-17,40.439999,41.23,39.98,41.02,2256800,9.815399
2010-03-18,41.139999,41.400002,40.41,40.41,1341200,9.669436
2010-03-19,40.169998,40.529999,39.25,40.169998,3152400,9.612008
2010-03-22,39.810001,41.43,39.5,41.290001,1887600,9.880006
2010-03-23,41.490002,41.990002,40.93,41.869999,1567600,10.018789
2010-03-24,41.52,41.98,40.759998,41.07,1607600,9.827363
2010-03-25,41.310001,42.389999,41.099998,41.119999,1910800,9.839327
2010-03-26,41.360001,42.59,41.119999,41.330002,1465200,9.889577
2010-03-29,41.360001,41.919998,41.02,41.139999,1010400,9.844113
2010-03-30,41.200001,41.610001,40.75,41.119999,1028400,9.839327
2010-03-31,40.880001,42.0,40.830002,41.23,2074400,9.865648
2010-04-01,41.59,41.880001,40.709999,40.889999,1848400,9.784292
2010-04-05,40.98,41.119999,40.41,41.099998,1346400,9.834541
2010-04-06,40.75,41.540001,40.75,40.98,1208800,9.805827
2010-04-07,40.98,40.98,39.880001,40.040001,1949600,9.580902
2010-04-08,40.0,42.740002,40.0,41.779999,3802400,9.997254
2010-04-09,42.110001,42.200001,41.169998,42.16,1144000,10.088182
2010-04-12,42.400002,43.709999,42.34,43.419998,2223200,10.389678
2010-04-13,43.259998,43.959999,42.860001,43.59,2920400,10.430357
2010-04-14,43.84,44.380001,43.650002,44.169998,2156000,10.569141
2010-04-15,44.32,45.439999,44.16,45.060001,2248000,10.782104
2010-04-16,45.099998,45.279999,42.360001,43.09,3186800,10.310715
2010-04-19,41.700001,43.130001,41.43,41.880001,1974800,10.021183
2010-04-20,42.139999,42.48,41.049999,42.040001,1592400,10.059468
2010-04-21,42.0,42.57,40.119999,41.110001,2922800,9.836935
2010-04-22,40.799999,42.57,40.389999,42.009998,2683200,10.052289
2010-04-23,42.740002,44.240002,42.549999,43.790001,2796400,10.478214
2010-04-26,44.200001,45.0,43.790001,44.880001,2401200,10.739032
2010-04-27,44.439999,45.720001,41.869999,42.09,2934000,10.071432
2010-04-28,42.439999,42.73,41.43,42.240002,3124400,10.107325
2010-04-29,42.639999,42.939999,41.779999,42.02,1862400,10.054682
2010-04-30,42.200001,42.740002,41.400002,41.41,2348000,9.908719
2010-05-03,43.299999,46.07,43.060001,45.200001,5806400,10.815603
2010-05-04,44.959999,44.959999,41.889999,42.52,3158400,10.174324
2010-05-05,41.900002,43.16,41.009998,42.369999,3173200,10.138431
2010-05-06,42.110001,42.610001,37.029999,39.630001,4126800,9.482795
2010-05-07,39.799999,42.200001,39.23,41.029999,5511600,9.817791
2010-05-10,42.990002,43.549999,42.240002,43.450001,2487200,10.396857
2010-05-11,42.740002,44.529999,42.369999,44.310001,2014400,10.602641
2010-05-12,44.380001,46.099998,44.380001,46.049999,2092000,11.018993
2010-05-13,45.889999,46.900002,45.32,45.619999,1554400,10.916102
2010-05-14,45.310001,45.529999,44.259998,44.82,1351600,10.724675
2010-05-17,44.959999,46.099998,43.900002,45.450001,1877200,10.875424
2010-05-18,46.169998,46.59,45.330002,45.509998,3063600,10.88978
2010-05-19,45.139999,46.060001,44.639999,45.419998,3524800,10.868245
2010-05-20,43.630001,44.709999,42.310001,42.34,3647600,10.131253
2010-05-21,41.169998,44.810001,41.119999,44.349998,3469200,10.612212
2010-05-24,44.34,44.990002,44.040001,44.360001,2300800,10.614605
2010-05-25,43.040001,46.209999,42.880001,45.950001,3420400,10.995065
2010-05-26,46.299999,48.07,45.599998,46.720001,4450000,11.179314
2010-05-27,47.5,49.049999,47.130001,48.700001,3272000,11.653094
2010-05-28,48.720001,48.720001,46.650002,46.700001,3305600,11.174528
2010-06-01,46.849998,47.080002,46.02,46.18,2706400,11.050101
2010-06-02,46.939999,49.93,46.939999,49.93,3725600,11.947413
2010-06-03,49.240002,50.700001,49.240002,50.290001,2482000,12.033555
2010-06-04,48.68,49.639999,48.110001,48.25,2151200,11.545417
2010-06-07,48.810001,48.869999,47.119999,47.189999,1407600,11.291776
2010-06-08,47.529999,48.09,46.27,47.549999,1396000,11.377918
2010-06-09,48.209999,49.169998,47.540001,47.849998,1836000,11.449703
2010-06-10,48.200001,49.169998,47.759998,49.009998,2242400,11.727272
2010-06-11,48.490002,50.860001,47.810001,50.860001,4062000,12.169946
2010-06-14,51.720001,52.599998,51.040001,51.27,2737200,12.268052
2010-06-15,51.34,52.23,51.34,51.759998,2402800,12.385301
2010-06-16,51.5,53.189999,50.459999,52.799999,3702000,12.634155
2010-06-17,53.299999,53.82,52.849998,53.299999,2630000,12.753797
2010-06-18,53.259998,54.130001,52.310001,52.59,2214800,12.583906
2010-06-21,53.580002,53.700001,51.34,51.720001,1553200,12.37573
2010-06-22,51.869999,52.09,49.580002,49.630001,2050800,11.875628
2010-06-23,49.599998,50.639999,48.619999,49.849998,2415200,11.92827
2010-06-24,49.349998,49.919998,48.389999,48.470001,1735600,11.598059
2010-06-25,48.57,48.959999,47.029999,47.5,3320400,11.365954
2010-06-28,47.610001,49.389999,47.580002,48.330002,1584000,11.56456
2010-06-29,47.330002,47.330002,45.02,45.23,2298800,10.822781
2010-06-30,45.459999,46.919998,44.91,44.950001,2297600,10.755782
2010-07-01,45.43,46.540001,43.25,44.259998,2430400,10.590676
2010-07-02,44.66,44.740002,42.0,43.240002,1719200,10.346608
2010-07-06,43.540001,46.869999,43.540001,44.669998,3150000,10.688782
2010-07-07,44.91,47.099998,44.16,47.040001,2097600,11.255884
2010-07-08,47.16,47.75,46.220001,47.310001,1606000,11.320491
2010-07-09,47.310001,47.889999,47.049999,47.639999,964800,11.399454
2010-07-12,47.349998,47.619999,45.82,46.900002,1304800,11.222385
2010-07-13,47.560001,48.0,47.220001,47.779999,2056800,11.432953
2010-07-14,47.68,49.369999,47.68,48.830002,1943200,11.684201
2010-07-15,48.650002,49.119999,47.84,48.5,1924000,11.605238
2010-07-16,48.43,48.650002,47.810001,47.860001,2047600,11.452096
2010-07-19,48.09,48.09,45.799999,47.700001,1846400,11.413811
2010-07-20,47.52,48.970001,47.07,48.93,2092000,11.708129
2010-07-21,49.060001,49.529999,47.700001,47.93,2027600,11.468846
2010-07-22,48.799999,49.310001,48.080002,49.259998,2332400,11.787092
2010-07-23,49.259998,50.119999,49.060001,50.0,4671200,11.964162
2010-07-26,50.380001,51.970001,50.240002,51.880001,2729200,12.414015
2010-07-27,52.439999,52.91,50.0,50.959999,3223200,12.193874
2010-07-28,50.740002,52.169998,50.740002,51.459999,1910400,12.313516
2010-07-29,52.029999,52.349998,50.619999,51.75,1407200,12.382908
2010-07-30,50.959999,52.009998,50.68,51.59,1517200,12.344623
2010-08-02,52.799999,53.0,52.080002,52.950001,1630000,12.670048
2010-08-03,52.459999,52.740002,51.0,51.34,1120800,12.284802
2010-08-04,51.740002,51.82,50.650002,51.299999,1640800,12.27523
2010-08-05,51.0,52.68,50.790001,52.439999,2479600,12.548013
2010-08-06,51.759998,52.849998,51.099998,52.700001,1761600,12.610227
2010-08-09,52.869999,54.66,52.720001,54.09,3949600,12.942831
2010-08-10,53.91,53.91,52.509998,53.009998,1572800,12.684405
2010-08-11,51.509998,52.25,49.68,49.759998,1935600,11.906734
2010-08-12,48.68,50.849998,48.150002,50.119999,1579200,11.992876
2010-08-13,49.830002,51.400002,49.330002,51.110001,1547200,12.229767
2010-08-16,50.759998,52.369999,50.299999,52.07,1416000,12.459479
2010-08-17,52.689999,53.880001,52.639999,53.209999,1756400,12.732261
2010-08-18,53.0,54.189999,52.689999,54.009998,3057600,12.923688
2010-08-19,53.740002,54.189999,51.360001,51.439999,2227200,12.30873
2010-08-20,51.099998,51.099998,48.799999,50.040001,3047600,11.973734
2010-08-23,50.27,51.16,48.259998,48.290001,1877600,11.554988
2010-08-24,47.360001,47.950001,46.18,47.119999,2091200,11.275026
2010-08-25,46.57,46.57,45.009998,45.560001,4030800,10.901745
2010-08-26,45.77,45.990002,44.43,44.52,2464800,10.65289
2010-08-27,44.91,45.110001,44.080002,44.799999,3375600,10.719889
2010-08-30,44.75,45.279999,44.360001,44.369999,2586400,10.616997
2010-08-31,44.349998,44.68,43.889999,44.23,3633600,10.583498
2010-09-01,44.93,45.529999,43.939999,45.209999,3626000,10.817995
2010-09-02,45.09,46.860001,44.619999,46.459999,2334800,11.1171
2010-09-03,47.369999,48.200001,46.970001,47.32,2102400,11.322883
2010-09-07,46.990002,46.990002,45.860001,45.98,2116400,11.002244
2010-09-08,46.02,46.240002,45.02,45.32,1636800,10.844317
2010-09-09,46.099998,46.66,45.330002,46.330002,2425200,11.085993
2010-09-10,46.610001,46.950001,46.23,46.259998,1513600,11.069243
2010-09-13,47.0,47.790001,46.82,47.23,1616000,11.301348
2010-09-14,47.009998,48.650002,46.700001,47.439999,1731200,11.351597
2010-09-15,47.369999,49.02,47.32,48.419998,1988400,11.586094
2010-09-16,48.27,48.27,47.400002,47.939999,1180800,11.471239
2010-09-17,48.209999,48.439999,46.689999,46.959999,1693600,11.236741
2010-09-20,47.25,47.689999,47.0,47.439999,1424800,11.351597
2010-09-21,47.540001,49.700001,47.5,49.299999,2285200,11.796664
2010-09-22,48.990002,49.43,48.259998,48.34,1116000,11.566952
2010-09-23,48.060001,48.630001,46.880001,47.099998,1524800,11.270241
2010-09-24,47.82,48.330002,47.43,47.860001,1134800,11.452096
2010-09-27,48.34,51.0,48.110001,49.970001,2228000,11.956984
2010-09-28,50.049999,50.32,49.049999,49.639999,1256800,11.87802
2010-09-29,49.5,51.290001,49.240002,50.919998,2074400,12.184303
2010-09-30,51.220001,51.849998,50.91,51.029999,2580800,12.210624
2010-10-01,51.73,51.849998,49.470001,49.790001,1663600,11.913913
2010-10-04,49.720001,50.360001,47.990002,48.57,1512400,11.621987
2010-10-05,49.040001,49.139999,47.779999,48.860001,2567200,11.69138
2010-10-06,48.880001,49.580002,48.349998,48.75,1043600,11.665058
2010-10-07,49.110001,49.380001,44.860001,46.5,7682400,11.126671
2010-10-08,46.619999,48.689999,46.610001,48.189999,3212400,11.531059
2010-10-11,48.139999,48.43,47.0,47.02,1256800,11.251098
2010-10-12,46.75,47.529999,46.540001,47.32,1434000,11.322883
2010-10-13,47.650002,47.75,47.200001,47.540001,1598400,11.375526
2010-10-14,47.43,47.59,47.009998,47.380001,1549200,11.337241
2010-10-15,48.040001,48.060001,46.759998,47.150002,1681200,11.282206
2010-10-18,47.150002,47.639999,47.029999,47.59,1102800,11.38749
