Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,87.900002,88.900002,87.120003,87.970001,898900,74.887688
2010-01-05,88.0,88.239998,87.139999,87.370003,1129600,74.376917
2010-01-06,88.099998,88.68,87.260002,87.57,1173800,74.547172
2010-01-07,87.879997,87.900002,87.080002,87.599998,763800,74.572709
2010-01-08,87.629997,87.919998,87.160004,87.75,751200,74.700404
2010-01-11,88.0,88.75,87.889999,88.639999,593200,75.458048
2010-01-12,88.269997,88.300003,87.470001,88.18,791600,75.066457
2010-01-13,88.230003,89.169998,88.230003,88.940002,610900,75.713437
2010-01-14,88.940002,90.199997,88.540001,90.07,713400,76.675388
2010-01-15,90.129997,90.360001,88.959999,89.449997,1078400,76.147588
2010-01-19,89.510002,90.309998,88.690002,89.540001,809300,76.224207
2010-01-20,89.110001,89.120003,87.239998,88.160004,845700,75.049434
2010-01-21,88.099998,89.050003,86.510002,86.610001,767000,73.729937
2010-01-22,86.349998,86.75,84.830002,84.940002,834800,72.30829
2010-01-25,85.449997,85.970001,85.07,85.57,403500,72.844598
2010-01-26,85.209999,85.379997,84.580002,84.989998,879900,72.350851
2010-01-27,84.709999,85.639999,83.650002,85.510002,754000,72.793523
2010-01-28,85.650002,85.940002,83.5,84.360001,696100,71.814542
2010-01-29,84.839996,84.900002,83.040001,83.339996,724100,70.946226
2010-02-01,83.629997,84.839996,83.480003,84.639999,618300,72.052902
2010-02-02,84.800003,87.379997,84.629997,87.089996,1494100,74.138551
2010-02-03,86.550003,87.410004,86.550003,86.949997,812200,74.019372
2010-02-04,86.690002,86.690002,84.489998,84.519997,934300,71.950745
2010-02-05,84.349998,84.760002,82.800003,84.239998,1048200,71.712386
2010-02-08,84.239998,85.550003,84.010002,84.599998,792500,72.018849
2010-02-09,85.239998,86.620003,84.580002,86.010002,905900,73.219167
2010-02-10,85.959999,86.230003,85.419998,85.989998,827500,73.202137
2010-02-11,85.519997,87.080002,85.099998,87.080002,698400,74.130043
2010-02-12,86.099998,87.160004,85.699997,87.010002,855400,74.070453
2010-02-16,87.370003,88.099998,87.239998,87.599998,1380400,74.572709
2010-02-17,88.089996,88.330002,86.559998,88.110001,908700,75.006867
2010-02-18,88.120003,90.0,87.830002,89.849998,742600,76.488104
2010-02-19,89.68,90.730003,89.389999,90.339996,1278000,76.905233
2010-02-22,90.370003,91.800003,90.370003,91.32,1248800,77.739497
2010-02-23,91.099998,91.529999,90.080002,90.18,1228300,76.76903
2010-02-24,90.540001,92.120003,90.389999,91.330002,1209900,77.748011
2010-02-25,89.970001,91.110001,89.449997,91.050003,948300,77.85062
2010-02-26,90.839996,91.790001,90.419998,91.419998,830900,78.166977
2010-03-01,91.400002,92.0,91.050003,91.919998,1092200,78.594493
2010-03-02,92.260002,92.620003,91.470001,92.419998,984300,79.022009
2010-03-03,92.43,92.940002,92.339996,92.589996,753100,79.167363
2010-03-04,92.68,92.910004,91.519997,92.470001,765900,79.064763
2010-03-05,92.510002,93.419998,92.510002,93.160004,837100,79.654737
2010-03-08,93.25,93.300003,92.099998,92.540001,751000,79.124615
2010-03-09,92.349998,92.870003,91.830002,92.279999,1112300,78.902305
2010-03-10,92.209999,92.790001,91.849998,92.559998,847700,79.141713
2010-03-11,92.440002,92.480003,91.269997,92.440002,633400,79.039113
2010-03-12,92.5,92.5,91.419998,92.32,485400,78.936507
2010-03-15,92.050003,92.580002,91.830002,92.440002,646700,79.039113
2010-03-16,92.559998,93.110001,92.410004,92.949997,850200,79.475174
2010-03-17,92.959999,94.260002,92.769997,94.010002,977500,80.381512
2010-03-18,93.879997,94.32,93.529999,94.18,543600,80.526866
2010-03-19,94.169998,94.870003,93.739998,94.169998,1084700,80.518314
2010-03-22,93.620003,94.220001,93.209999,94.169998,962900,80.518314
2010-03-23,94.089996,94.709999,93.870003,94.620003,989900,80.903082
2010-03-24,94.510002,94.610001,93.25,93.519997,985600,79.962542
2010-03-25,94.160004,94.25,92.860001,92.959999,1380200,79.483727
2010-03-26,93.230003,93.669998,92.690002,93.260002,1024500,79.740239
2010-03-29,93.75,93.860001,93.110001,93.589996,907000,80.022394
2010-03-30,93.620003,93.82,92.760002,92.940002,752600,79.466629
2010-03-31,92.809998,92.809998,91.440002,91.629997,1186200,78.346533
2010-04-01,91.809998,92.800003,91.809998,92.529999,766600,79.116063
2010-04-05,92.730003,93.379997,92.550003,92.830002,626900,79.372575
2010-04-06,92.690002,93.120003,92.050003,93.099998,829000,79.60343
2010-04-07,92.68,93.040001,92.089996,92.669998,951100,79.235767
2010-04-08,92.550003,92.660004,91.970001,92.519997,748300,79.107511
2010-04-09,92.720001,93.989998,92.349998,93.910004,742900,80.29601
2010-04-12,93.790001,94.650002,93.489998,94.389999,759000,80.706422
2010-04-13,94.489998,95.209999,93.699997,95.18,823000,81.381898
2010-04-14,95.379997,95.620003,94.400002,95.610001,719700,81.749561
2010-04-15,95.480003,96.5,95.370003,96.019997,909300,82.100121
2010-04-16,95.620003,95.980003,94.0,94.800003,841200,81.056988
2010-04-19,94.720001,95.349998,94.360001,95.150002,575700,81.356248
2010-04-20,95.5,97.089996,95.349998,96.529999,790500,82.536189
2010-04-21,96.760002,97.809998,96.650002,97.540001,875400,83.399772
2010-04-22,96.440002,97.18,95.410004,96.730003,1231600,82.707199
2010-04-23,96.82,97.080002,95.599998,96.82,934100,82.784149
2010-04-26,96.910004,96.910004,95.760002,96.110001,833000,82.177077
2010-04-27,95.620003,95.82,93.540001,93.82,1043400,80.219054
2010-04-28,94.129997,94.800003,93.260002,93.919998,1000400,80.304556
2010-04-29,94.349998,95.580002,94.349998,95.43,623300,81.595655
2010-04-30,95.529999,95.68,93.57,93.57,782200,80.005296
2010-05-03,93.910004,95.599998,93.910004,95.339996,735400,81.518699
2010-05-04,94.459999,94.470001,92.040001,92.510002,925000,79.098965
2010-05-05,92.510002,92.93,92.0,92.559998,884900,79.141713
2010-05-06,92.050003,92.470001,85.0,89.660004,1411600,76.662127
2010-05-07,89.599998,89.690002,86.209999,86.519997,1774200,73.977322
2010-05-10,90.300003,90.459999,87.949997,89.260002,1327700,76.320113
2010-05-11,88.650002,90.669998,88.330002,89.879997,798100,76.850228
2010-05-12,90.029999,91.0,89.330002,90.870003,732000,77.696714
2010-05-13,90.440002,90.589996,89.470001,89.730003,858600,77.061191
2010-05-14,89.059998,89.459999,87.779999,88.330002,822000,75.858853
2010-05-17,88.620003,88.839996,86.68,88.389999,816000,75.910379
2010-05-18,88.620003,89.440002,87.489998,87.519997,823700,75.163211
2010-05-19,86.43,87.400002,85.459999,86.269997,1037500,74.089696
2010-05-20,85.010002,85.050003,82.410004,82.620003,1473500,70.955038
2010-05-21,81.110001,83.669998,81.010002,83.669998,1617500,71.856786
2010-05-24,83.440002,83.879997,82.879997,82.949997,715300,71.238441
2010-05-25,81.050003,82.779999,80.790001,82.650002,1542200,70.980801
2010-05-26,83.209999,83.5,81.839996,81.970001,957100,70.396809
2010-05-27,83.440002,83.830002,82.790001,83.82,972700,71.985609
2010-05-28,83.370003,83.809998,82.309998,82.629997,950300,70.963621
2010-06-01,81.949997,83.580002,81.629997,81.639999,950600,70.113399
2010-06-02,81.900002,82.300003,81.0,82.239998,1424700,70.628685
2010-06-03,82.839996,83.529999,82.660004,83.330002,868500,71.564793
2010-06-04,81.82,82.209999,80.839996,81.120003,1452700,69.66682
2010-06-07,81.290001,81.360001,79.459999,79.519997,1324800,68.292716
2010-06-08,79.800003,79.839996,78.25,79.480003,979400,68.258369
2010-06-09,79.75,80.650002,78.830002,79.160004,905400,67.98355
2010-06-10,78.580002,80.099998,77.790001,79.879997,2079400,68.601889
2010-06-11,79.07,79.669998,78.5,79.610001,997700,68.370012
2010-06-14,80.010002,81.660004,80.010002,80.260002,917700,68.928241
2010-06-15,80.309998,82.449997,80.309998,82.449997,1054200,70.809035
2010-06-16,81.82,82.580002,81.779999,82.129997,640300,70.534215
2010-06-17,82.18,82.510002,81.25,82.379997,636000,70.748918
2010-06-18,81.690002,82.059998,80.75,81.610001,1207100,70.087636
2010-06-21,82.580002,82.639999,80.839996,81.389999,890900,69.898696
2010-06-22,80.32,81.260002,78.669998,78.800003,1238800,67.674377
2010-06-23,79.019997,79.309998,77.589996,77.839996,1356800,66.849912
2010-06-24,77.57,77.610001,74.870003,75.239998,1978000,64.617002
2010-06-25,75.540001,75.660004,74.269997,74.849998,1684400,64.282066
2010-06-28,74.75,75.720001,74.519997,74.620003,1021200,64.084543
2010-06-29,73.790001,73.900002,71.190002,71.57,1796400,61.465164
2010-06-30,71.599998,72.540001,70.75,70.839996,1817700,60.838229
2010-07-01,70.839996,70.839996,69.559998,70.360001,1756700,60.426003
2010-07-02,70.410004,71.169998,69.93,70.43,1049800,60.486119
2010-07-06,71.059998,71.239998,69.75,70.32,882200,60.391649
2010-07-07,70.57,72.940002,70.5,72.800003,1548700,62.521506
2010-07-08,73.099998,74.150002,73.07,74.0,1240000,63.552077
2010-07-09,73.860001,73.860001,72.330002,73.220001,747700,62.882205
2010-07-12,72.860001,72.860001,71.699997,71.860001,917200,61.71422
2010-07-13,72.620003,73.440002,72.110001,73.25,1081000,62.907968
2010-07-14,73.660004,74.940002,73.040001,74.489998,1269600,63.972893
2010-07-15,74.599998,74.949997,72.730003,73.790001,1079000,63.371728
2010-07-16,73.480003,73.489998,71.489998,71.629997,992500,61.516691
2010-07-19,71.769997,72.32,71.25,72.32,1004100,62.109273
2010-07-20,71.419998,73.120003,70.610001,73.120003,1193900,62.796325
2010-07-21,73.75,73.75,71.910004,72.339996,1122600,62.126446
2010-07-22,73.32,74.589996,72.970001,74.230003,767200,63.749607
2010-07-23,74.169998,75.410004,74.010002,75.150002,937100,64.539712
2010-07-26,75.57,76.650002,75.129997,76.650002,756700,65.82793
2010-07-27,75.849998,75.849998,72.57,73.029999,2335100,62.719029
2010-07-28,73.019997,74.199997,72.690002,74.029999,1945900,63.577841
2010-07-29,74.75,74.75,72.889999,73.550003,1745500,63.165615
2010-07-30,72.940002,73.410004,72.269997,73.040001,1467000,62.727619
2010-08-02,73.910004,74.669998,73.010002,74.25,1115100,63.76678
2010-08-03,73.889999,74.949997,73.889999,74.470001,920300,63.95572
2010-08-04,74.489998,75.080002,74.349998,74.739998,780200,64.187596
2010-08-05,74.18,74.879997,74.129997,74.82,593800,64.256303
2010-08-06,74.050003,74.760002,73.440002,74.43,627100,63.921367
2010-08-09,74.879997,74.949997,74.190002,74.550003,727100,64.024426
2010-08-10,74.190002,74.5,73.150002,74.059998,960000,63.603604
2010-08-11,73.120003,73.150002,71.349998,71.559998,1078700,61.456574
2010-08-12,70.5,71.029999,70.230003,70.269997,1092300,60.348706
2010-08-13,69.730003,71.169998,69.470001,70.260002,1128900,60.685564
2010-08-16,69.980003,70.580002,69.480003,70.110001,544900,60.556003
2010-08-17,70.599998,71.989998,70.419998,71.290001,680600,61.575203
2010-08-18,71.419998,71.720001,70.68,71.440002,1023300,61.704764
2010-08-19,71.129997,71.330002,69.800003,70.059998,878400,60.512814
2010-08-20,69.690002,69.730003,68.809998,69.269997,1011000,59.830468
2010-08-23,69.480003,69.489998,68.669998,68.800003,1180000,59.424521
2010-08-24,67.989998,68.410004,67.57,67.870003,1266900,58.621253
2010-08-25,67.330002,68.269997,66.800003,67.93,898800,58.673075
2010-08-26,68.870003,69.0,67.769997,67.889999,843400,58.638525
2010-08-27,68.160004,68.779999,67.169998,68.709999,740900,59.346782
2010-08-30,67.690002,68.620003,67.0,67.059998,820300,57.921629
2010-08-31,66.660004,67.230003,66.110001,66.599998,1131200,57.524314
2010-09-01,67.300003,69.279999,67.300003,69.269997,823700,59.830468
2010-09-02,69.519997,69.989998,69.400002,69.910004,532300,60.38326
2010-09-03,70.540001,70.68,69.940002,70.68,587200,61.048328
2010-09-07,70.470001,70.5,69.209999,69.370003,715800,59.916846
2010-09-08,69.190002,69.360001,68.760002,68.769997,1091200,59.398604
2010-09-09,69.529999,69.529999,67.919998,68.269997,781800,58.966739
2010-09-10,68.25,68.839996,67.919998,68.5,553600,59.1654
2010-09-13,69.260002,69.480003,68.800003,69.260002,793300,59.821835
2010-09-14,69.050003,69.440002,68.449997,69.050003,765300,59.640453
2010-09-15,68.669998,68.889999,68.25,68.790001,571400,59.415882
2010-09-16,68.519997,69.029999,68.209999,69.0,652500,59.597264
2010-09-17,69.449997,71.120003,69.089996,70.730003,1320000,61.091517
2010-09-20,71.0,71.730003,70.730003,71.559998,997400,61.808407
2010-09-21,71.5,71.800003,71.019997,71.489998,771800,61.747946
2010-09-22,71.269997,71.589996,70.739998,70.910004,663700,61.246989
2010-09-23,70.449997,70.75,69.559998,69.720001,510800,60.21915
2010-09-24,70.379997,71.839996,70.190002,71.610001,803600,61.851596
2010-09-27,71.93,71.93,71.190002,71.25,509300,61.540653
2010-09-28,71.559998,72.300003,70.360001,72.150002,576100,62.31801
2010-09-29,71.75,72.470001,71.650002,72.419998,622300,62.551214
2010-09-30,72.650002,73.440002,71.839996,72.269997,704000,62.421653
2010-10-01,72.75,73.010002,71.529999,71.720001,589700,61.946606
2010-10-04,71.339996,71.620003,69.650002,69.949997,860800,60.417803
2010-10-05,70.669998,70.860001,70.080002,70.650002,1245500,61.022417
2010-10-06,70.660004,71.150002,70.620003,70.830002,841100,61.177889
2010-10-07,70.760002,70.949997,69.849998,70.300003,515300,60.720114
2010-10-08,70.290001,70.900002,69.82,70.779999,883700,61.1347
2010-10-11,70.610001,70.809998,70.019997,70.269997,396100,60.694196
2010-10-12,70.269997,70.279999,69.389999,70.029999,669700,60.486903
2010-10-13,70.480003,71.550003,70.330002,71.220001,667500,61.514742
2010-10-14,71.169998,71.220001,70.540001,70.959999,433600,61.290171
2010-10-15,71.279999,71.650002,70.68,71.050003,687000,61.36791
2010-10-18,71.139999,71.150002,70.559998,70.790001,892000,61.143339
2010-10-19,69.550003,69.790001,68.389999,68.870003,1119200,59.484982
2010-10-20,69.019997,69.980003,68.809998,69.669998,602200,60.17596
2010-10-21,69.910004,70.959999,69.650002,70.040001,682000,60.495542
2010-10-22,70.0,70.07,69.599998,69.800003,540300,60.288249
2010-10-25,70.139999,70.720001,69.43,70.459999,749800,60.858307
2010-10-26,70.169998,71.43,70.110001,71.330002,981800,61.609753
2010-10-27,70.769997,71.330002,70.489998,71.129997,915600,61.437003
2010-10-28,69.290001,71.5,68.760002,71.239998,1388100,61.532014
2010-10-29,70.959999,72.290001,70.699997,72.18,1139200,62.343921
2010-11-01,72.68,73.589996,72.300003,72.690002,995600,62.784424
2010-11-02,73.339996,73.970001,73.059998,73.120003,1079700,63.155828
2010-11-03,73.099998,73.699997,72.739998,73.269997,1149900,63.285382
2010-11-04,74.050003,74.099998,72.540001,73.370003,1124400,63.37176
2010-11-05,73.5,74.099998,73.029999,73.900002,833900,63.829535
2010-11-08,73.57,73.989998,73.209999,73.620003,823400,63.587692
2010-11-09,73.800003,73.800003,72.900002,73.129997,729600,63.16446
2010-11-10,73.160004,73.230003,72.25,72.419998,658200,62.551214
2010-11-11,71.870003,71.870003,71.029999,71.379997,911300,61.652935
2010-11-12,70.980003,71.059998,70.300003,70.620003,765400,60.996506
2010-11-15,70.43,71.309998,69.809998,70.650002,972800,61.370028
2010-11-16,70.010002,70.419998,69.449997,69.889999,822700,60.709853
2010-11-17,69.809998,70.419998,69.68,70.209999,851100,60.987821
2010-11-18,70.870003,71.599998,70.309998,71.440002,635000,62.056262
2010-11-19,71.309998,71.839996,70.879997,71.300003,740100,61.934651
2010-11-22,70.760002,71.019997,70.089996,70.940002,661400,61.621937
2010-11-23,70.169998,71.209999,70.040001,70.93,862700,61.613249
2010-11-24,71.400002,72.699997,71.32,72.610001,688600,63.072579
2010-11-26,72.010002,72.5,71.07,71.379997,472100,62.004138
2010-11-29,70.980003,71.040001,69.989998,70.940002,673100,61.621937
2010-11-30,70.190002,70.800003,70.019997,70.330002,832600,61.092061
2010-12-01,71.209999,72.25,71.010002,72.040001,998500,62.577449
2010-12-02,72.059998,74.0,71.910004,73.639999,1157400,63.967286
2010-12-03,73.260002,73.760002,72.75,73.25,976200,63.628513
2010-12-06,72.970001,73.139999,72.129997,72.489998,1028400,62.968339
2010-12-07,73.029999,73.110001,72.209999,72.510002,965200,62.985715
2010-12-08,72.519997,73.010002,72.089996,72.440002,700800,62.92491
2010-12-09,72.529999,72.660004,71.25,71.379997,971600,62.004138
2010-12-10,71.629997,71.910004,71.339996,71.389999,740900,62.012826
2010-12-13,71.639999,71.870003,70.269997,70.610001,1229900,61.335282
2010-12-14,70.669998,71.169998,70.620003,70.900002,733800,61.58719
2010-12-15,70.620003,70.730003,69.620003,69.900002,1232800,60.718542
2010-12-16,69.699997,71.019997,69.43,70.830002,1015700,61.526385
2010-12-17,70.75,70.809998,70.0,70.440002,1276100,61.187613
2010-12-20,70.459999,70.510002,69.57,70.25,1413600,61.022568
2010-12-21,70.32,70.980003,70.019997,70.050003,1230900,60.84884
2010-12-22,69.879997,70.860001,69.629997,70.800003,874400,61.500327
2010-12-23,70.769997,72.330002,70.580002,71.660004,1124800,62.247365
2010-12-27,71.489998,71.699997,71.25,71.610001,657800,62.20393
2010-12-28,71.709999,72.010002,71.389999,71.959999,435500,62.507956
2010-12-29,71.980003,72.120003,70.629997,70.669998,624000,61.387398
2010-12-30,70.559998,71.07,70.269997,70.690002,436300,61.404775
