Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,41.540001,42.080002,41.130001,41.549999,640700,35.477663
2010-01-05,41.450001,41.68,40.439999,40.799999,805400,34.837272
2010-01-06,40.75,41.139999,40.189999,40.240002,762200,34.359115
2010-01-07,40.16,40.16,39.400002,39.5,821500,33.727261
2010-01-08,39.34,40.490002,39.27,40.34,885200,34.444499
2010-01-11,40.419998,41.169998,40.419998,41.09,1040700,35.08489
2010-01-12,40.720001,41.040001,38.889999,39.049999,1358800,33.343026
2010-01-13,39.34,40.259998,38.599998,40.220001,1247500,34.342038
2010-01-14,39.98,40.810001,39.900002,40.549999,748900,34.623808
2010-01-15,40.689999,40.779999,39.279999,39.880001,613700,34.051727
2010-01-19,39.619999,40.259998,39.619999,40.119999,499200,34.25665
2010-01-20,39.849998,39.849998,38.619999,39.610001,593000,33.821186
2010-01-21,39.57,40.049999,38.470001,38.650002,681800,33.001486
2010-01-22,38.389999,38.700001,37.220001,37.43,823700,31.959782
2010-01-25,37.970001,37.970001,36.950001,37.119999,526600,31.695086
2010-01-26,37.349998,37.650002,36.84,36.91,484500,31.515777
2010-01-27,36.740002,37.220001,36.189999,37.200001,755400,31.763396
2010-01-28,37.380001,37.380001,36.09,36.52,665900,31.182775
2010-01-29,36.700001,37.330002,36.130001,36.400002,821800,31.080313
2010-02-01,36.77,37.450001,36.580002,37.099998,1355300,31.678009
2010-02-02,37.130001,37.439999,36.25,37.34,1752800,31.882935
2010-02-03,33.900002,35.349998,33.009998,34.450001,3191500,29.415296
2010-02-04,34.040001,34.150002,32.48,32.549999,2342700,27.79297
2010-02-05,32.450001,33.330002,31.860001,33.139999,1329500,28.296745
2010-02-08,33.02,33.540001,32.34,32.669998,867600,27.895432
2010-02-09,33.34,33.849998,33.040001,33.400002,687900,28.518749
2010-02-10,33.349998,33.389999,32.580002,33.209999,499100,28.356514
2010-02-11,33.34,34.279999,33.119999,34.040001,987700,29.065215
2010-02-12,33.540001,34.18,33.139999,34.150002,861700,29.15914
2010-02-16,34.549999,34.700001,33.959999,34.700001,693300,29.628759
2010-02-17,34.919998,34.919998,34.259998,34.639999,666600,29.577527
2010-02-18,34.5,34.75,34.290001,34.689999,387100,29.620219
2010-02-19,34.27,35.0,34.23,34.849998,835700,29.972842
2010-02-22,34.970001,35.259998,34.689999,35.119999,609700,30.205056
2010-02-23,35.040001,35.16,34.02,34.43,1233000,29.611621
2010-02-24,34.709999,34.889999,34.169998,34.860001,752700,29.981444
2010-02-25,34.18,34.830002,33.849998,34.740002,908200,29.878239
2010-02-26,34.830002,35.360001,34.52,35.290001,694400,30.351267
2010-03-01,35.529999,35.990002,35.209999,35.290001,628200,30.351267
2010-03-02,35.610001,35.740002,35.009998,35.080002,663800,30.170657
2010-03-03,35.310001,35.450001,34.939999,35.110001,841400,30.196457
2010-03-04,35.25,35.490002,34.869999,35.290001,519900,30.351267
2010-03-05,35.549999,36.07,35.549999,35.91,638400,30.884499
2010-03-08,35.91,36.459999,35.810001,36.009998,343800,30.970503
2010-03-09,35.889999,36.830002,35.849998,36.610001,694900,31.486537
2010-03-10,36.669998,36.93,36.259998,36.43,779300,31.331727
2010-03-11,36.220001,36.450001,35.52,35.959999,796500,30.927501
2010-03-12,36.119999,36.959999,35.98,36.799999,834400,31.649945
2010-03-15,36.650002,37.040001,36.43,36.959999,537700,31.787554
2010-03-16,37.07,37.790001,36.939999,37.689999,726400,32.415392
2010-03-17,37.880001,38.939999,37.75,38.490002,1160900,33.103437
2010-03-18,38.540001,38.970001,38.380001,38.529999,654100,33.137837
2010-03-19,38.689999,39.389999,38.380001,38.689999,1358400,33.275445
2010-03-22,38.439999,39.009998,38.25,38.77,466500,33.344251
2010-03-23,38.790001,38.93,38.369999,38.889999,538300,33.447456
2010-03-24,38.68,38.889999,38.32,38.540001,530800,33.146439
2010-03-25,38.91,39.07,38.169998,38.259998,584600,32.905622
2010-03-26,38.380001,39.0,38.310001,38.560001,524700,33.16364
2010-03-29,38.75,39.299999,38.66,38.860001,306600,33.421656
2010-03-30,38.98,39.139999,38.529999,39.009998,344400,33.550662
2010-03-31,38.77,39.16,38.650002,38.759998,599300,33.335648
2010-04-01,39.009998,39.380001,38.57,39.189999,654400,33.705471
2010-04-05,39.450001,39.689999,39.150002,39.619999,474200,34.075294
2010-04-06,39.459999,41.669998,38.889999,41.560001,1305700,35.743799
2010-04-07,41.27,42.099998,41.259998,41.73,915200,35.890006
2010-04-08,41.490002,42.029999,41.200001,41.84,494700,35.984613
2010-04-09,41.709999,42.450001,41.66,42.439999,498300,36.500643
2010-04-12,42.369999,42.77,42.32,42.720001,517100,36.74146
2010-04-13,42.669998,43.080002,42.650002,42.950001,600500,36.939272
2010-04-14,43.150002,43.849998,43.0,43.73,450900,37.610112
2010-04-15,43.639999,44.200001,43.630001,43.939999,589300,37.790723
2010-04-16,44.0,44.580002,42.889999,43.349998,761000,37.283291
2010-04-19,43.240002,43.48,42.209999,43.360001,772500,37.291894
2010-04-20,43.630001,44.0,43.09,43.630001,726900,37.524108
2010-04-21,44.259998,46.59,44.25,45.740002,1851600,39.33882
2010-04-22,46.049999,48.080002,45.459999,47.759998,1098900,41.076124
2010-04-23,47.93,47.93,46.77,47.349998,1216600,40.723503
2010-04-26,47.450001,48.130001,47.279999,47.639999,715200,40.972919
2010-04-27,47.52,47.59,46.490002,46.790001,846600,40.241875
2010-04-28,47.0,47.48,45.610001,46.860001,1178200,40.302079
2010-04-29,47.25,47.599998,47.0,47.459999,1114200,40.818109
2010-04-30,47.529999,48.490002,46.5,46.52,843300,40.009661
2010-05-03,46.799999,47.98,46.790001,47.810001,486700,41.11913
2010-05-04,47.189999,47.240002,45.599998,45.93,636900,39.502229
2010-05-05,45.66,47.169998,45.360001,46.279999,1277700,39.803246
2010-05-06,45.990002,46.98,42.080002,45.23,1417700,38.900192
2010-05-07,45.299999,45.669998,42.25,42.459999,1969900,36.517845
2010-05-10,44.68,45.060001,44.220001,44.810001,1513100,38.538971
2010-05-11,44.259998,46.68,44.189999,46.040001,1161300,39.596836
2010-05-12,46.220001,47.689999,46.040001,47.200001,883700,40.594497
2010-05-13,47.0,47.419998,46.32,46.470001,657900,39.966659
2010-05-14,45.98,46.09,44.470001,44.990002,1057400,38.693781
2010-05-17,45.110001,46.029999,44.459999,45.57,1073800,39.19261
2010-05-18,46.07,46.619999,45.16,45.23,1031500,38.900192
2010-05-19,45.09,45.630001,43.919998,45.0,861100,38.70238
2010-05-20,43.619999,43.91,41.810001,42.279999,1240900,36.363035
2010-05-21,41.380001,43.919998,41.349998,43.48,1803900,37.617529
2010-05-24,43.099998,44.380001,42.889999,43.52,993800,37.652137
2010-05-25,41.950001,43.599998,41.32,43.5,1320800,37.634833
2010-05-26,44.259998,45.02,43.98,44.139999,1265600,38.18854
2010-05-27,44.919998,45.470001,44.349998,45.470001,1383100,39.339216
2010-05-28,45.43,45.540001,44.400002,44.939999,930100,38.880674
2010-06-01,44.450001,45.0,43.43,43.470001,900600,37.608879
2010-06-02,43.73,44.5,43.389999,44.5,716600,38.500001
2010-06-03,44.84,45.369999,44.080002,44.91,851500,38.85472
2010-06-04,43.799999,44.099998,41.41,41.669998,1476200,36.051573
2010-06-07,41.77,41.84,40.150002,40.169998,942100,34.75382
2010-06-08,40.41,40.810001,39.470001,40.650002,1124700,35.169104
2010-06-09,41.0,42.689999,40.91,41.299999,1108500,35.731461
2010-06-10,42.25,43.619999,42.25,43.599998,1074600,37.721348
2010-06-11,42.939999,43.959999,42.830002,43.889999,665900,37.972248
2010-06-14,44.639999,45.189999,43.790001,43.860001,928000,37.946294
2010-06-15,44.580002,45.450001,44.049999,45.419998,735500,39.295955
2010-06-16,45.060001,45.18,44.16,44.5,671900,38.500001
2010-06-17,44.889999,45.009998,43.48,44.639999,733300,38.621125
2010-06-18,44.669998,44.970001,44.220001,44.490002,598100,38.491351
2010-06-21,45.869999,45.869999,43.950001,44.209999,700600,38.249102
2010-06-22,44.169998,44.560001,42.150002,42.34,516100,36.631237
2010-06-23,42.09,42.970001,41.400002,42.560001,568400,36.821576
2010-06-24,42.43,42.84,41.549999,42.07,559200,36.397642
2010-06-25,42.389999,42.639999,41.610001,42.549999,927800,36.812922
2010-06-28,42.490002,42.82,41.950001,42.040001,512400,36.371688
2010-06-29,41.400002,41.43,40.099998,40.369999,530600,34.926854
2010-06-30,40.349998,41.029999,40.09,40.23,592300,34.805731
2010-07-01,40.279999,40.75,38.509998,40.189999,1094000,34.771124
2010-07-02,40.209999,40.41,38.57,38.84,916000,33.603147
2010-07-06,39.470001,39.990002,38.07,38.380001,702000,33.205171
2010-07-07,38.57,40.240002,38.369999,40.18,707900,34.762473
2010-07-08,40.580002,41.169998,40.32,40.98,626300,35.454608
2010-07-09,40.900002,41.189999,40.490002,41.119999,594700,35.575731
2010-07-12,40.970001,41.380001,40.669998,40.84,472500,35.333485
2010-07-13,41.400002,41.889999,41.130001,41.639999,1011300,36.025619
2010-07-14,41.48,41.990002,41.060001,41.619999,671700,36.008315
2010-07-15,41.639999,41.779999,40.509998,41.169998,619800,35.618989
2010-07-16,40.830002,41.130001,39.759998,39.830002,469900,34.459666
2010-07-19,40.32,40.689999,39.630001,40.470001,561200,35.013373
2010-07-20,39.919998,41.669998,39.439999,41.560001,732500,35.956407
2010-07-21,41.98,42.380001,40.970001,41.32,805000,35.748765
2010-07-22,42.16,43.360001,42.139999,43.189999,750300,37.366629
2010-07-23,44.580002,44.779999,42.799999,43.25,1108100,37.418541
2010-07-26,43.560001,43.91,43.150002,43.450001,1072400,37.591575
2010-07-27,43.860001,44.48,43.419998,43.959999,769800,38.03281
2010-07-28,43.59,44.220001,43.439999,43.68,551600,37.790563
2010-07-29,44.099998,44.32,43.049999,43.82,818400,37.911687
2010-07-30,43.099998,43.959999,42.889999,43.669998,844000,37.78191
2010-08-02,44.389999,44.450001,43.470001,44.040001,515100,38.102025
2010-08-03,43.77,43.77,42.779999,43.139999,492800,37.323372
2010-08-04,43.200001,44.200001,43.150002,44.169998,418300,38.214494
2010-08-05,43.610001,44.279999,43.540001,44.18,376200,38.223148
2010-08-06,43.52,44.200001,42.810001,43.52,393900,37.652137
2010-08-09,43.779999,44.330002,43.68,44.27,290000,38.301013
2010-08-10,43.73,43.889999,42.860001,43.139999,484700,37.323372
2010-08-11,42.189999,42.220001,40.790001,40.93,497500,35.41135
2010-08-12,40.099998,40.959999,40.029999,40.740002,495900,35.246969
2010-08-13,40.549999,40.849998,40.130001,40.330002,469000,34.89225
2010-08-16,39.990002,40.5,39.66,40.349998,419700,34.909551
2010-08-17,40.900002,41.529999,40.48,41.130001,495000,35.584384
2010-08-18,41.009998,41.509998,40.689999,41.16,583000,35.610338
2010-08-19,40.799999,40.799999,39.439999,39.650002,1093100,34.530448
2010-08-20,39.360001,39.669998,38.57,39.32,615500,34.243056
2010-08-23,39.639999,39.68,38.43,38.5,776900,33.528933
2010-08-24,37.68,38.41,37.330002,37.91,642800,33.015113
2010-08-25,37.5,38.23,37.0,38.07,598100,33.154454
2010-08-26,38.209999,38.790001,37.93,38.049999,675500,33.137036
2010-08-27,38.369999,39.310001,37.639999,39.200001,558100,34.138551
2010-08-30,38.98,39.240002,38.310001,38.32,357800,33.372174
2010-08-31,38.049999,38.860001,37.810001,38.369999,555500,33.415718
2010-09-01,39.080002,39.700001,38.59,39.549999,1072500,34.443358
2010-09-02,39.759998,40.599998,39.740002,40.5,840200,35.270696
2010-09-03,41.09,41.59,40.349998,40.990002,601600,35.697429
2010-09-07,40.75,40.919998,39.900002,40.150002,380000,34.965889
2010-09-08,40.290001,41.16,40.18,40.900002,450700,35.61905
2010-09-09,41.52,41.630001,41.09,41.57,516600,36.202539
2010-09-10,41.630001,41.860001,41.299999,41.57,286100,36.202539
2010-09-13,42.18,42.68,41.970001,42.23,330000,36.77732
2010-09-14,42.09,42.650002,41.869999,42.400002,380600,36.925372
2010-09-15,42.049999,42.400002,41.689999,42.27,348500,36.812156
2010-09-16,42.029999,42.290001,41.509998,41.950001,364100,36.533474
2010-09-17,42.23,42.32,41.509998,42.099998,510800,36.664105
2010-09-20,42.27,42.889999,42.200001,42.849998,397700,37.317266
2010-09-21,42.779999,44.0,42.720001,43.57,625200,37.944301
2010-09-22,43.439999,44.110001,43.209999,43.369999,756900,37.770124
2010-09-23,42.900002,43.150002,41.93,42.07,561600,36.637979
2010-09-24,42.82,43.52,42.82,43.259998,598000,37.674327
2010-09-27,43.369999,43.400002,42.799999,42.82,399300,37.29114
2010-09-28,42.93,43.299999,42.439999,43.139999,542300,37.569822
2010-09-29,42.959999,43.139999,42.759998,42.939999,423400,37.395645
2010-09-30,43.279999,43.900002,42.490002,42.77,453400,37.247597
2010-10-01,43.150002,43.299999,42.380001,42.509998,514500,37.021166
2010-10-04,42.439999,42.810001,41.43,41.869999,513800,36.463802
2010-10-05,42.450001,43.700001,42.400002,43.299999,1266200,37.709163
2010-10-06,43.32,43.48,42.939999,43.310001,370600,37.717874
2010-10-07,43.639999,43.73,42.509998,43.150002,458000,37.578533
2010-10-08,43.259998,44.0,42.91,43.82,319200,38.162022
2010-10-11,43.709999,44.68,43.619999,44.369999,332900,38.641006
2010-10-12,44.259998,44.450001,43.490002,44.220001,488200,38.510376
2010-10-13,44.630001,46.470001,44.52,45.82,720300,39.903785
2010-10-14,45.799999,45.880001,45.139999,45.439999,462500,39.572849
2010-10-15,46.07,46.529999,45.130001,45.380001,553600,39.520598
2010-10-18,45.360001,45.82,45.040001,45.720001,290500,39.816698
2010-10-19,45.259998,45.57,44.810001,45.040001,473300,39.224498
2010-10-20,45.23,46.310001,45.080002,46.130001,430200,40.173759
2010-10-21,46.27,46.799999,44.150002,44.66,1139200,38.893562
2010-10-22,44.759998,45.279999,44.549999,44.869999,529600,39.076447
2010-10-25,45.0,45.650002,44.560001,44.68,703300,38.91098
2010-10-26,44.450001,44.450001,43.810001,44.099998,796300,38.405867
2010-10-27,43.57,43.77,43.220001,43.630001,566100,37.996555
2010-10-28,44.040001,44.27,43.43,43.619999,412100,37.987845
2010-10-29,43.41,44.09,43.389999,43.75,399000,38.10106
2010-11-01,43.93,44.369999,43.740002,43.98,465700,38.301363
2010-11-02,44.450001,44.75,44.209999,44.41,378400,38.675842
2010-11-03,44.580002,45.16,44.209999,44.68,714500,38.91098
2010-11-04,45.23,45.650002,44.970001,45.240002,709500,39.398675
2010-11-05,45.389999,45.459999,44.900002,45.23,538700,39.389964
2010-11-08,45.02,45.529999,44.779999,45.07,414100,39.250623
2010-11-09,45.169998,45.299999,44.259998,44.389999,502800,38.658424
2010-11-10,44.389999,44.650002,43.950001,44.580002,273300,38.823893
2010-11-11,44.09,44.599998,43.759998,44.459999,433100,38.719385
