Date,Open,High,Low,Close,Volume,Adj Close
2010-01-04,18.57,18.969999,18.4,18.889999,11116900,14.431263
2010-01-05,18.860001,19.040001,18.43,18.52,14536200,14.148597
2010-01-06,18.43,18.639999,18.219999,18.389999,7171200,14.049281
2010-01-07,18.4,18.41,17.940001,18.040001,8556300,13.781895
2010-01-08,17.58,18.08,17.48,17.889999,11329000,13.667299
2010-01-11,18.26,18.65,18.219999,18.35,11497500,14.018723
2010-01-12,18.27,18.440001,17.57,17.719999,11522800,13.537426
2010-01-13,17.950001,18.299999,17.59,18.190001,8800200,13.896489
2010-01-14,18.16,18.49,18.01,18.34,6398700,14.011083
2010-01-15,18.309999,18.6,17.530001,17.77,13716200,13.575625
2010-01-19,17.879999,18.27,17.77,18.16,7802900,13.87357
2010-01-20,18.15,18.18,17.459999,17.76,16283900,13.567985
2010-01-21,19.84,20.299999,19.34,19.49,35144100,14.889641
2010-01-22,19.370001,19.620001,18.27,18.4,20111600,14.056921
2010-01-25,18.790001,19.059999,18.59,18.92,15582000,14.454182
2010-01-26,18.889999,19.620001,18.76,19.309999,16018200,14.752127
2010-01-27,19.219999,19.43,18.68,19.08,15416200,14.576416
2010-01-28,19.190001,19.280001,18.139999,18.360001,14128500,14.026363
2010-01-29,18.35,18.51,16.469999,16.709999,28653200,12.765823
2010-02-01,17.23,17.98,17.059999,17.9,18205800,13.674939
2010-02-02,17.879999,18.6,17.780001,18.58,17569900,14.194434
2010-02-03,18.370001,18.870001,18.26,18.84,16905200,14.393065
2010-02-04,18.17,18.48,17.780001,18.02,21505800,13.766615
2010-02-05,18.1,18.190001,17.469999,18.02,23836800,13.766615
2010-02-08,18.049999,18.74,17.84,18.18,14937100,13.888849
2010-02-09,18.559999,18.74,18.219999,18.33,12415000,14.003444
2010-02-10,18.360001,18.66,18.17,18.48,9770100,14.118038
2010-02-11,18.49,18.83,18.190001,18.76,8142000,14.331948
2010-02-12,18.549999,18.870001,18.15,18.700001,11482500,14.286111
2010-02-16,18.799999,19.84,18.799999,19.73,19036400,15.072992
2010-02-17,19.940001,20.049999,19.549999,20.0,13328300,15.279262
2010-02-18,19.879999,20.809999,19.719999,20.73,17442500,15.836955
2010-02-19,20.549999,20.940001,20.4,20.51,15071300,15.668883
2010-02-22,20.530001,20.870001,20.379999,20.73,10665100,15.836955
2010-02-23,20.639999,20.719999,20.030001,20.33,11630800,15.53137
2010-02-24,20.379999,20.73,19.4,19.5,27780900,14.897281
2010-02-25,19.16,19.540001,18.610001,19.49,28118900,14.889641
2010-02-26,19.67,20.0,19.4,19.91,9090300,15.210505
2010-03-01,20.1,21.450001,20.0,21.35,20620200,16.310613
2010-03-02,21.5,21.58,20.91,21.01,13412000,16.050865
2010-03-03,20.75,20.84,19.610001,19.629999,25207200,14.996595
2010-03-04,19.809999,19.82,19.139999,19.73,15528100,15.072992
2010-03-05,19.84,20.1,19.51,19.92,10340300,15.218145
2010-03-08,20.190001,20.24,19.639999,19.889999,9933400,15.195226
2010-03-09,19.879999,20.139999,19.5,19.6,12782500,14.973677
2010-03-10,19.719999,19.9,19.0,19.17,25708800,14.645173
2010-03-11,18.799999,19.27,18.389999,19.23,26402500,14.69101
2010-03-12,19.35,19.35,18.85,19.27,14388000,14.721569
2010-03-15,19.139999,19.16,18.58,18.780001,11815100,14.347228
2010-03-16,18.98,19.25,18.67,19.129999,11810000,14.614614
2010-03-17,19.209999,19.59,19.02,19.32,11421100,14.759767
2010-03-18,19.41,19.52,19.200001,19.32,6879500,14.759767
2010-03-19,19.4,19.469999,18.77,18.93,12289900,14.461822
2010-03-22,18.790001,19.940001,18.67,19.709999,15350900,15.057712
2010-03-23,19.76,20.610001,19.690001,20.450001,20338400,15.623046
2010-03-24,20.25,20.299999,20.0,20.030001,10619300,15.302181
2010-03-25,20.17,20.27,19.620001,19.620001,10167400,14.988957
2010-03-26,19.209999,19.360001,18.799999,18.93,21547800,14.461822
2010-03-29,19.120001,19.379999,18.83,18.9,10719000,14.438902
2010-03-30,18.83,18.93,18.129999,18.17,25804100,13.88121
2010-03-31,17.969999,18.610001,17.879999,18.26,12664100,13.949966
2010-04-01,18.52,18.6,17.879999,18.110001,11090900,13.835372
2010-04-05,18.32,18.6,18.18,18.48,14810100,14.118038
2010-04-06,18.41,19.23,18.299999,19.059999,15020600,14.561136
2010-04-07,18.84,19.0,18.440001,18.85,15168200,14.400705
2010-04-08,18.84,18.870001,18.389999,18.68,9454200,14.270831
2010-04-09,18.83,19.17,18.690001,19.139999,7965900,14.622253
2010-04-12,19.1,19.450001,19.030001,19.08,10932500,14.576416
2010-04-13,18.879999,19.139999,18.32,18.379999,21400400,14.041641
2010-04-14,18.6,19.58,18.58,19.27,25927400,14.721569
2010-04-15,19.110001,19.91,19.08,19.690001,13541700,15.042434
2010-04-16,19.59,19.950001,19.02,19.25,14669500,14.70629
2010-04-19,19.0,19.1,18.58,19.09,11932900,14.584056
2010-04-20,19.24,19.440001,18.84,19.33,13691300,14.767407
2010-04-21,20.07,20.32,19.299999,19.540001,28733300,14.92784
2010-04-22,19.4,19.870001,19.030001,19.690001,11872000,15.042434
2010-04-23,19.82,20.9,19.82,20.77,24285900,15.867514
2010-04-26,20.809999,20.83,20.27,20.459999,10002200,15.630684
2010-04-27,20.23,20.33,19.52,19.629999,15216000,14.996595
2010-04-28,19.719999,19.84,19.110001,19.469999,16226500,14.874361
2010-04-29,19.459999,19.540001,18.98,19.139999,18822600,14.622253
2010-04-30,19.18,19.209999,18.299999,18.35,15765500,14.018723
2010-05-03,18.540001,19.16,18.51,18.950001,14079600,14.477101
2010-05-04,18.92,18.950001,18.370001,18.9,18722100,14.438902
2010-05-05,18.66,19.030001,18.139999,18.360001,23427400,14.026363
2010-05-06,18.23,18.67,16.01,17.85,28243000,13.636742
2010-05-07,17.76,18.33,17.23,17.75,27272200,13.560345
2010-05-10,18.540001,18.799999,18.299999,18.48,15719900,14.118038
2010-05-11,18.4,18.860001,18.24,18.4,12584800,14.056921
2010-05-12,18.42,19.1,18.42,18.99,10215300,14.507659
2010-05-13,18.790001,19.200001,18.4,18.530001,11340100,14.156237
2010-05-14,18.25,18.32,17.73,17.98,12244100,13.736056
2010-05-17,18.120001,18.469999,17.43,17.84,15089400,13.629102
2010-05-18,18.02,18.139999,16.75,17.059999,25750900,13.03321
2010-05-19,17.0,17.42,16.450001,16.620001,23430600,12.697067
2010-05-20,16.110001,16.540001,15.83,16.1,18181500,12.299806
2010-05-21,15.97,17.48,15.64,16.35,19087900,12.490797
2010-05-24,16.17,16.49,16.059999,16.139999,11175200,12.330364
2010-05-25,15.49,15.59,14.92,15.52,31640500,11.856708
2010-05-26,15.78,16.040001,14.8,14.86,26563700,11.352491
2010-05-27,15.37,15.88,14.86,15.68,20741300,11.978942
2010-05-28,15.67,15.68,15.06,15.36,13729100,11.734473
2010-06-01,15.21,15.46,14.44,14.46,18220800,11.046907
2010-06-02,14.54,15.43,14.54,15.38,17530400,11.749753
2010-06-03,15.41,16.040001,15.22,15.94,21297100,12.177572
2010-06-04,15.42,15.77,15.05,15.15,13224900,11.574041
2010-06-07,15.13,15.28,14.5,14.52,13745600,11.092745
2010-06-08,14.38,14.85,14.19,14.41,18049200,11.008708
2010-06-09,14.55,15.1,14.45,14.49,18944900,11.069825
2010-06-10,14.88,14.95,14.5,14.88,11341200,11.367771
2010-06-11,14.78,15.0,14.46,14.75,14204800,11.268456
2010-06-14,15.0,15.31,14.82,14.9,12525500,11.38305
2010-06-15,15.24,15.66,15.03,15.62,11074900,11.933104
2010-06-16,15.57,15.71,15.34,15.47,8879600,11.818509
2010-06-17,15.53,15.63,15.25,15.53,7557800,11.864347
2010-06-18,15.51,15.56,15.24,15.35,8109100,11.726834
2010-06-21,15.56,15.63,14.66,14.87,12772300,11.360131
2010-06-22,14.93,15.0,14.41,14.45,10019400,11.039267
2010-06-23,14.41,14.59,14.23,14.31,13071000,10.932312
2010-06-24,14.21,14.24,13.31,13.66,22789000,10.435736
2010-06-25,13.7,13.94,13.42,13.68,16681800,10.451015
2010-06-28,14.01,14.24,13.85,13.88,13067000,10.603808
2010-06-29,13.6,13.8,13.29,13.38,15202500,10.221826
2010-06-30,13.4,13.62,13.0,13.04,10643800,9.962079
2010-07-01,13.0,13.47,12.69,13.29,16280400,10.15307
2010-07-02,13.52,13.53,13.05,13.17,7621200,10.061394
2010-07-06,13.34,13.59,12.5,12.75,17837100,9.74053
2010-07-07,13.32,13.6,12.98,13.46,12131000,10.282943
2010-07-08,13.57,13.81,13.36,13.69,12346300,10.458655
2010-07-09,13.75,13.84,13.58,13.81,6378800,10.550331
2010-07-12,13.9,14.31,13.88,14.07,11352400,10.748961
2010-07-13,14.32,14.6,13.96,14.46,11722600,11.046907
2010-07-14,14.81,15.28,14.74,14.98,20972800,11.444167
2010-07-15,14.92,14.99,14.5,14.77,12874100,11.283735
2010-07-16,14.78,14.97,14.07,14.16,9453000,10.817717
2010-07-19,14.16,14.43,13.97,14.27,6073800,10.901754
2010-07-20,13.93,14.56,13.73,14.53,14726500,11.100384
2010-07-21,14.61,14.65,13.01,13.14,43121200,10.038475
2010-07-22,13.16,13.51,13.01,13.18,15607600,10.069034
2010-07-23,13.13,13.2,12.67,12.79,26418700,9.771088
2010-07-26,12.8,13.36,12.72,13.31,17461000,10.168349
2010-07-27,13.3,13.55,13.08,13.23,14705100,10.107232
2010-07-28,13.13,13.28,12.75,12.84,10250100,9.809286
2010-07-29,12.99,12.99,12.38,12.6,12129400,9.625935
2010-07-30,12.45,12.7,12.28,12.55,9686000,9.587737
2010-08-02,12.85,13.04,12.6,12.93,7746500,9.878043
2010-08-03,12.92,12.92,12.45,12.47,12469800,9.52662
2010-08-04,12.44,12.6,12.18,12.55,10880500,9.587737
2010-08-05,12.4,12.74,12.4,12.5,5987900,9.549539
2010-08-06,12.43,12.44,12.17,12.21,19607800,9.32799
2010-08-09,12.21,12.33,11.82,11.87,19702300,9.068242
2010-08-10,11.62,11.7,10.96,11.1,30586000,8.479991
2010-08-11,10.75,11.49,10.66,11.28,30970200,8.617504
